@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'Table','5-53.','Projected','annual','average','daily','traffic','on','U.S.','Highway','95','in','Las','Vegas,','1998','Without','repository','(baseline)','With','Number','of','segment','cars','trucks','Total','vehicles','Decatur','to','Valley','View','71,233','2,204','73,437','72,397','2,240','74,637','Rancho','82,151','2,541','84,462','83,494','2,583','86,077','Highland','96,135','2,974','99,109','97,707','3,022','100,729','1-15','Interchange','107,847','3,336','111,183','109,610','3,390','113,000','Casino','Center','Blvd.','78,189','1,596','79,785','79,467','1,622','81,089','Down','Town','Exp.','36,285','741','37,026','36,878','753','37,631','Vegas','37,409','763','38,172','38,020','776','38,796','ul','Charleston','34,960','714','35,674','35,531','726','36,257','1','Sahara','66,109','2,045','68,154','67,189','2,078','69,267','1-','1..,','Lamb','65,791','2,035','67,826','66,866','2,068','68,934','Ui','Flamingo','66,521','2,058','68,579','67,609','2,091','69,700','Nellis','Tropicana','49,422','1,529','50,951','50,230','1,554','51,784','Veggs','NLVa','51,965','1,607','53,572','52,815','1,633','54,448','NLV','NUL','Henderson','48,692','1,506','50,198','49,488','1,530','51,018','Sunset','Rd.','S.R.','146c','58,232','2,426','60,658','59,183','2,466','61,649','146','34,162','2,181','36,343','34,720','2,216','36,936','a','North','Vegas.','b','=','Northern','Urban','Limits.','c','State','Route.'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
521.0,286.0,150.0,0.0,725.0,0.0,121.0,30.0,'Table','0'
671.0,286.0,175.0,150.0,725.0,0.0,115.0,32.0,'5-53.','0'
846.0,286.0,251.0,175.0,725.0,0.0,220.0,39.0,'Projected','0'
1097.0,286.0,175.0,251.0,725.0,0.0,144.0,30.0,'annual','0'
1272.0,286.0,198.0,175.0,725.0,0.0,169.0,30.0,'average','0'
1470.0,286.0,152.0,198.0,725.0,0.0,123.0,39.0,'daily','0'
1622.0,286.0,199.0,152.0,725.0,0.0,169.0,31.0,'traffic','0'
1821.0,286.0,73.0,199.0,725.0,0.0,45.0,22.0,'on','0'
1894.0,286.0,125.0,73.0,725.0,0.0,91.0,29.0,'U.S.','0'
2019.0,286.0,201.0,125.0,725.0,0.0,173.0,40.0,'Highway','0'
2220.0,286.0,76.0,201.0,725.0,0.0,43.0,32.0,'95','0'
2296.0,286.0,73.0,76.0,725.0,0.0,44.0,30.0,'in','0'
2369.0,286.0,98.0,73.0,725.0,0.0,70.0,29.0,'Las','0'
2467.0,286.0,181.0,98.0,725.0,0.0,142.0,37.0,'Vegas,','0'
2648.0,286.0,1443.0,181.0,725.0,0.0,90.0,32.0,'1998','0'
1219.0,481.0,202.0,1443.0,725.0,725.0,171.0,31.0,'Without','1'
1421.0,481.0,277.0,202.0,114.0,725.0,246.0,37.0,'repository','1'
1698.0,481.0,619.0,277.0,114.0,725.0,239.0,39.0,'(baseline)','1'
2317.0,481.0,127.0,619.0,114.0,725.0,97.0,30.0,'With','1'
2444.0,481.0,1326.0,127.0,114.0,725.0,246.0,37.0,'repository','1'
1120.0,536.0,176.0,1326.0,114.0,114.0,147.0,31.0,'Number','1'
1296.0,536.0,99.0,176.0,679.0,114.0,44.0,30.0,'of','1'
1395.0,536.0,175.0,99.0,679.0,114.0,146.0,30.0,'Number','1'
1570.0,536.0,498.0,175.0,679.0,114.0,45.0,30.0,'of','1'
2068.0,536.0,176.0,498.0,679.0,114.0,147.0,31.0,'Number','1'
2244.0,536.0,99.0,176.0,679.0,114.0,45.0,31.0,'of','1'
2343.0,536.0,175.0,99.0,679.0,114.0,146.0,31.0,'Number','1'
2518.0,536.0,2076.0,175.0,679.0,114.0,44.0,30.0,'of','1'
443.0,587.0,205.0,2076.0,679.0,679.0,176.0,38.0,'Highway','1'
648.0,587.0,524.0,205.0,192.0,679.0,169.0,34.0,'segment','1'
1172.0,587.0,251.0,524.0,192.0,679.0,94.0,23.0,'cars','1'
1423.0,587.0,247.0,251.0,192.0,679.0,142.0,31.0,'trucks','1'
1670.0,587.0,150.0,247.0,192.0,679.0,119.0,30.0,'Total','1'
1820.0,587.0,300.0,150.0,192.0,679.0,194.0,31.0,'vehicles','1'
2120.0,587.0,251.0,300.0,192.0,679.0,94.0,21.0,'cars','1'
2371.0,587.0,246.0,251.0,192.0,679.0,141.0,31.0,'trucks','1'
2617.0,587.0,151.0,246.0,192.0,679.0,119.0,31.0,'Total','1'
2768.0,587.0,2452.0,151.0,192.0,679.0,193.0,31.0,'vehicles','1'
321.0,734.0,202.0,2452.0,192.0,192.0,172.0,29.0,'Decatur','1'
523.0,734.0,72.0,202.0,54.0,192.0,45.0,26.0,'to','1'
595.0,734.0,175.0,72.0,54.0,192.0,148.0,38.0,'Valley','1'
770.0,734.0,378.0,175.0,54.0,192.0,101.0,30.0,'View','1'
1148.0,734.0,300.0,378.0,54.0,192.0,143.0,40.0,'71,233','1'
1448.0,734.0,324.0,300.0,54.0,192.0,117.0,39.0,'2,204','1'
1772.0,734.0,324.0,324.0,54.0,192.0,142.0,39.0,'73,437','1'
2096.0,734.0,300.0,324.0,54.0,192.0,143.0,39.0,'72,397','1'
2396.0,734.0,324.0,300.0,54.0,192.0,117.0,39.0,'2,240','1'
2720.0,734.0,2401.0,324.0,54.0,192.0,142.0,40.0,'74,637','1'
320.0,787.0,176.0,2401.0,54.0,54.0,150.0,38.0,'Valley','1'
496.0,787.0,128.0,176.0,50.0,54.0,101.0,30.0,'View','1'
624.0,787.0,73.0,128.0,50.0,54.0,45.0,26.0,'to','1'
697.0,787.0,451.0,73.0,50.0,54.0,147.0,31.0,'Rancho','1'
1148.0,787.0,299.0,451.0,50.0,54.0,140.0,39.0,'82,151','1'
1447.0,787.0,325.0,299.0,50.0,54.0,116.0,38.0,'2,541','1'
1772.0,787.0,324.0,325.0,50.0,54.0,142.0,38.0,'84,462','1'
2096.0,787.0,300.0,324.0,50.0,54.0,143.0,39.0,'83,494','1'
2396.0,787.0,323.0,300.0,50.0,54.0,117.0,38.0,'2,583','1'
2719.0,787.0,2399.0,323.0,50.0,54.0,144.0,39.0,'86,077','1'
321.0,836.0,176.0,2399.0,50.0,50.0,146.0,30.0,'Rancho','1'
497.0,836.0,73.0,176.0,51.0,50.0,44.0,26.0,'to','1'
570.0,836.0,577.0,73.0,51.0,50.0,198.0,38.0,'Highland','1'
1147.0,836.0,300.0,577.0,51.0,50.0,143.0,40.0,'96,135','1'
1447.0,836.0,324.0,300.0,51.0,50.0,118.0,39.0,'2,974','1'
1771.0,836.0,324.0,324.0,51.0,50.0,144.0,39.0,'99,109','1'
2095.0,836.0,300.0,324.0,51.0,50.0,143.0,39.0,'97,707','1'
2395.0,836.0,299.0,300.0,51.0,50.0,116.0,39.0,'3,022','1'
2694.0,836.0,2376.0,299.0,51.0,50.0,168.0,39.0,'100,729','1'
319.0,886.0,230.0,2376.0,51.0,51.0,198.0,38.0,'Highland','1'
549.0,886.0,75.0,230.0,53.0,51.0,43.0,26.0,'to','1'
624.0,886.0,125.0,75.0,53.0,51.0,93.0,31.0,'1-15','1'
749.0,886.0,376.0,125.0,53.0,51.0,268.0,38.0,'Interchange','1'
1125.0,886.0,322.0,376.0,53.0,51.0,165.0,39.0,'107,847','1'
1447.0,886.0,302.0,322.0,53.0,51.0,119.0,38.0,'3,336','1'
1749.0,886.0,324.0,302.0,53.0,51.0,165.0,38.0,'111,183','1'
2073.0,886.0,322.0,324.0,53.0,51.0,166.0,39.0,'109,610','1'
2395.0,886.0,301.0,322.0,53.0,51.0,118.0,39.0,'3,390','1'
2696.0,886.0,2374.0,301.0,53.0,51.0,167.0,38.0,'113,000','1'
323.0,938.0,125.0,2374.0,53.0,53.0,94.0,31.0,'1-15','1'
448.0,938.0,300.0,125.0,68.0,53.0,269.0,38.0,'Interchange','1'
748.0,938.0,379.0,300.0,68.0,53.0,44.0,25.0,'to','1'
372.0,985.0,175.0,379.0,68.0,68.0,145.0,29.0,'Casino','1'
547.0,985.0,175.0,175.0,71.0,68.0,146.0,29.0,'Center','1'
722.0,985.0,401.0,175.0,71.0,68.0,115.0,30.0,'Blvd.','1'
1123.0,985.0,327.0,401.0,71.0,68.0,143.0,38.0,'78,189','1'
1450.0,985.0,322.0,327.0,71.0,68.0,115.0,38.0,'1,596','1'
1772.0,985.0,325.0,322.0,71.0,68.0,142.0,38.0,'79,785','1'
2097.0,985.0,300.0,325.0,71.0,68.0,141.0,39.0,'79,467','1'
2397.0,985.0,321.0,300.0,71.0,68.0,115.0,38.0,'1,622','1'
2718.0,985.0,2397.0,321.0,71.0,68.0,144.0,37.0,'81,089','1'
322.0,1035.0,176.0,2397.0,71.0,71.0,145.0,30.0,'Casino','1'
498.0,1035.0,175.0,176.0,70.0,71.0,145.0,29.0,'Center','1'
673.0,1035.0,151.0,175.0,70.0,71.0,114.0,31.0,'Blvd.','1'
824.0,1035.0,457.0,151.0,70.0,71.0,44.0,26.0,'to','1'
370.0,1085.0,126.0,457.0,70.0,70.0,98.0,28.0,'Down','1'
496.0,1085.0,126.0,126.0,71.0,70.0,96.0,29.0,'Town','1'
622.0,1085.0,526.0,126.0,71.0,70.0,92.0,36.0,'Exp.','1'
1148.0,1085.0,350.0,526.0,71.0,70.0,144.0,39.0,'36,285','1'
1498.0,1085.0,273.0,350.0,71.0,70.0,65.0,31.0,'741','1'
1771.0,1085.0,324.0,273.0,71.0,70.0,145.0,38.0,'37,026','1'
2095.0,1085.0,351.0,324.0,71.0,70.0,144.0,38.0,'36,878','1'
2446.0,1085.0,272.0,351.0,71.0,70.0,66.0,32.0,'753','1'
2718.0,1085.0,2397.0,272.0,71.0,70.0,142.0,38.0,'37,631','1'
322.0,1137.0,124.0,2397.0,71.0,71.0,95.0,29.0,'Down','1'
446.0,1137.0,125.0,124.0,69.0,71.0,96.0,28.0,'Town','1'
571.0,1137.0,128.0,125.0,69.0,71.0,92.0,37.0,'Exp.','1'
699.0,1137.0,332.0,128.0,69.0,71.0,45.0,27.0,'to','1'
371.0,1185.0,100.0,332.0,69.0,69.0,72.0,29.0,'Las','1'
471.0,1185.0,152.0,100.0,167.0,69.0,121.0,37.0,'Vegas','1'
