@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'Table','6-28.','Summary','of','analyses','for','Section','6.3.1.3;','postclosure','rock','characteristics','(10','CFR','960.4-2-3)','(continued)','Condition','Department','Energy','(DOE)','finding','(3)','A','combination','geologic','structure,','geochem-','The','evidence','indicates','that','this','potentially','adverse','ical','and','thermal','properties,','hydrologic','condition','is','not','present','at','Yucca','Mountain:','no','conditions','in','the','host','surrounding','host-rock','properties','units','such','heat','generated','by','has','been','identified','would','be','expected','to','cause','waste','could','significantly','decrease','isola-','a','isolation','capability','because','tion','provided','as','compared','load.','with','pre-waste-emplacement','conditions.','QUALIFYING','CONDITION','Existing','information','does','support','shall','site','likely','meet','qualifying','condi-','capable','accommodating','thermal,','chemical,','(level','3):','mechanical,','radiation','stresses','are','permit','induced','repository','construction,','operation,','compliance','containment','or','require-','closure','interactions','among','ments.','Available','data','suggest','waste,','rock,','ground','water,','engineered','compromise','performance','components.','package.','processes','operating','within','setting','(1)','requirements','specified','960.4-1','radionuclide','releases','accessible','environment','(2)','set','forth','10','60.113','radio-','nuclide','from','engineered-barrier','system','using','reasonably','available','technology.','6-209'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
130.0,374.0,129.0,0.0,284.0,0.0,103.0,26.0,'Table','0'
259.0,374.0,150.0,129.0,284.0,0.0,99.0,27.0,'6-28.','0'
409.0,374.0,171.0,150.0,284.0,0.0,147.0,31.0,'Summary','0'
580.0,374.0,63.0,171.0,284.0,0.0,38.0,26.0,'of','0'
643.0,374.0,194.0,63.0,284.0,0.0,167.0,32.0,'analyses','0'
837.0,374.0,85.0,194.0,284.0,0.0,60.0,27.0,'for','0'
922.0,374.0,169.0,85.0,284.0,0.0,145.0,26.0,'Section','0'
1091.0,374.0,192.0,169.0,284.0,0.0,163.0,34.0,'6.3.1.3;','0'
1283.0,374.0,256.0,192.0,284.0,0.0,230.0,31.0,'postclosure','0'
1539.0,374.0,105.0,256.0,284.0,0.0,82.0,26.0,'rock','0'
1644.0,374.0,342.0,105.0,284.0,0.0,314.0,27.0,'characteristics','0'
1986.0,374.0,82.0,342.0,284.0,0.0,58.0,32.0,'(10','0'
2068.0,374.0,87.0,82.0,284.0,0.0,63.0,24.0,'CFR','0'
2155.0,374.0,1746.0,87.0,284.0,0.0,207.0,33.0,'960.4-2-3)','0'
410.0,416.0,215.0,1746.0,284.0,284.0,226.0,32.0,'(continued)','0'
537.0,589.0,916.0,215.0,215.0,215.0,189.0,27.0,'Condition','1'
1453.0,589.0,233.0,916.0,423.0,215.0,207.0,32.0,'Department','1'
1686.0,589.0,64.0,233.0,423.0,215.0,39.0,25.0,'of','1'
1750.0,589.0,151.0,64.0,423.0,215.0,125.0,32.0,'Energy','1'
1901.0,589.0,127.0,151.0,423.0,215.0,98.0,34.0,'(DOE)','1'
2028.0,589.0,1899.0,127.0,423.0,215.0,145.0,35.0,'finding','1'
134.0,715.0,102.0,1899.0,423.0,423.0,55.0,32.0,'(3)','1'
236.0,715.0,44.0,102.0,114.0,423.0,21.0,25.0,'A','1'
280.0,715.0,256.0,44.0,114.0,423.0,232.0,26.0,'combination','1'
536.0,715.0,63.0,256.0,114.0,423.0,38.0,26.0,'of','1'
599.0,715.0,194.0,63.0,114.0,423.0,168.0,34.0,'geologic','1'
793.0,715.0,232.0,194.0,114.0,423.0,205.0,29.0,'structure,','1'
1025.0,715.0,255.0,232.0,114.0,423.0,168.0,32.0,'geochem-','1'
1280.0,715.0,87.0,255.0,114.0,423.0,61.0,27.0,'The','1'
1367.0,715.0,193.0,87.0,114.0,423.0,166.0,27.0,'evidence','1'
1560.0,715.0,213.0,193.0,114.0,423.0,185.0,27.0,'indicates','1'
1773.0,715.0,105.0,213.0,114.0,423.0,77.0,25.0,'that','1'
1878.0,715.0,105.0,105.0,114.0,423.0,78.0,26.0,'this','1'
1983.0,715.0,255.0,105.0,114.0,423.0,231.0,34.0,'potentially','1'
2238.0,715.0,2001.0,255.0,114.0,423.0,146.0,27.0,'adverse','1'
238.0,760.0,106.0,2001.0,114.0,114.0,79.0,26.0,'ical','1'
344.0,760.0,87.0,106.0,43.0,114.0,59.0,25.0,'and','1'
431.0,760.0,169.0,87.0,43.0,114.0,144.0,26.0,'thermal','1'
600.0,760.0,256.0,169.0,43.0,114.0,227.0,32.0,'properties,','1'
856.0,760.0,85.0,256.0,43.0,114.0,59.0,26.0,'and','1'
941.0,760.0,341.0,85.0,43.0,114.0,209.0,33.0,'hydrologic','1'
1282.0,760.0,214.0,341.0,43.0,114.0,188.0,26.0,'condition','1'
1496.0,760.0,63.0,214.0,43.0,114.0,36.0,26.0,'is','1'
1559.0,760.0,85.0,63.0,43.0,114.0,57.0,23.0,'not','1'
1644.0,760.0,170.0,85.0,43.0,114.0,142.0,29.0,'present','1'
1814.0,760.0,62.0,170.0,43.0,114.0,35.0,21.0,'at','1'
1876.0,760.0,127.0,62.0,43.0,114.0,102.0,27.0,'Yucca','1'
2003.0,760.0,234.0,127.0,43.0,114.0,184.0,25.0,'Mountain:','1'
2237.0,760.0,2001.0,234.0,43.0,114.0,39.0,19.0,'no','1'
237.0,802.0,236.0,2001.0,43.0,43.0,208.0,26.0,'conditions','1'
473.0,802.0,65.0,236.0,44.0,43.0,38.0,24.0,'in','1'
538.0,802.0,82.0,65.0,44.0,43.0,57.0,27.0,'the','1'
620.0,802.0,108.0,82.0,44.0,43.0,80.0,27.0,'host','1'
728.0,802.0,106.0,108.0,44.0,43.0,81.0,25.0,'rock','1'
834.0,802.0,86.0,106.0,44.0,43.0,59.0,26.0,'and','1'
920.0,802.0,361.0,86.0,44.0,43.0,229.0,32.0,'surrounding','1'
1281.0,802.0,254.0,361.0,44.0,43.0,230.0,26.0,'combination','1'
1535.0,802.0,64.0,254.0,44.0,43.0,38.0,26.0,'of','1'
1599.0,802.0,213.0,64.0,44.0,43.0,188.0,27.0,'host-rock','1'
1812.0,802.0,233.0,213.0,44.0,43.0,206.0,33.0,'properties','1'
2045.0,802.0,85.0,233.0,44.0,43.0,59.0,25.0,'and','1'
2130.0,802.0,1894.0,85.0,44.0,43.0,209.0,27.0,'conditions','1'
237.0,846.0,129.0,1894.0,44.0,44.0,102.0,26.0,'units','1'
366.0,846.0,107.0,129.0,44.0,44.0,82.0,25.0,'such','1'
473.0,846.0,106.0,107.0,44.0,44.0,79.0,27.0,'that','1'
579.0,846.0,84.0,106.0,44.0,44.0,60.0,26.0,'the','1'
663.0,846.0,107.0,84.0,44.0,44.0,81.0,27.0,'heat','1'
770.0,846.0,214.0,107.0,44.0,44.0,189.0,31.0,'generated','1'
984.0,846.0,65.0,214.0,44.0,44.0,39.0,33.0,'by','1'
1049.0,846.0,231.0,65.0,44.0,44.0,57.0,25.0,'the','1'
1280.0,846.0,86.0,231.0,44.0,44.0,60.0,26.0,'has','1'
1366.0,846.0,108.0,86.0,44.0,44.0,81.0,26.0,'been','1'
1474.0,846.0,234.0,108.0,44.0,44.0,206.0,26.0,'identified','1'
1708.0,846.0,104.0,234.0,44.0,44.0,77.0,25.0,'that','1'
1812.0,846.0,128.0,104.0,44.0,44.0,102.0,27.0,'would','1'
1940.0,846.0,63.0,128.0,44.0,44.0,37.0,26.0,'be','1'
2003.0,846.0,193.0,63.0,44.0,44.0,166.0,32.0,'expected','1'
2196.0,846.0,64.0,193.0,44.0,44.0,38.0,22.0,'to','1'
2260.0,846.0,2026.0,64.0,44.0,44.0,102.0,19.0,'cause','1'
235.0,889.0,129.0,2026.0,44.0,44.0,104.0,21.0,'waste','1'
364.0,889.0,129.0,129.0,43.0,44.0,103.0,25.0,'could','1'
