@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'Table','2.','Recommended','Rock','Mass','Properties','(cont.)','Version','1','Date','October','1984','(J/cm3K)','(W/mK)','Functional','a','Unit*','(10-8','K-I)','Cgsat','Csat','Kgpsat','Ksat','1A2','10.7','(25-200)','2.24','2.34','(25-100)','2.00','2.07','10.14','12.21','(100-125)','1.95','1.99','1.86','(1125)','1.90','5.0','(25-400)','2.59','2.97','1.17','1.35','IB','33.63','41.77','1.10','1.19','1.09','1.02','IIL','1.88','2.84','(25-100)*','1.16','2.15','31.8','(200-350)','12.13','32.98','1.01','1.50','1.38','1-38','.85','-85','II','NL','2.25','2.33','2.18','9.77','16.73','2.05','III','1-88','1.91','IVA-v','2.46','2.77','1.21','27.75','34.38','1.12','1.24','IVA-z','6.7','2.74','1.49','IVB-z','-56.0','(100-150)','13.49','16.52','1.20','1.26','-4.5','(150-300)','1.37','(1150)','1.03','V','8.3','2.42','2.64','-12.0','18.96','23.43','1.61','1.68','10.9','1.43','1.64','VI','2.67','1.31','12.46','15.22','1.18','1.04','VII','2.65','1.72','18.95','23.29','1.53','1.66','1-35','VIIIA-z','2.39','1.48','VIIIB-z','11.00','13.36','VIIIC-z','4.5','1.13','IX','2.57','2.09','15.45','18.86','1.82','1.94','1.79','(',')','denotes','temperature','range.','80','sat','80%','saturated.','fully','lithophaysae','full','of','(an','additional','204','porosity.)','water'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
281.0,212.0,139.0,0.0,1138.0,0.0,108.0,22.0,'Table','0'
420.0,212.0,99.0,139.0,1138.0,0.0,34.0,22.0,'2.','0'
519.0,212.0,276.0,99.0,1138.0,0.0,250.0,27.0,'Recommended','0'
795.0,212.0,112.0,276.0,1138.0,0.0,89.0,26.0,'Rock','0'
907.0,212.0,119.0,112.0,1138.0,0.0,92.0,24.0,'Mass','0'
1026.0,212.0,257.0,119.0,1138.0,0.0,227.0,33.0,'Properties','0'
1283.0,212.0,273.0,257.0,1138.0,0.0,188.0,24.0,'(cont.)','0'
1556.0,212.0,184.0,273.0,1138.0,0.0,157.0,27.0,'Version','0'
1740.0,212.0,334.0,184.0,1138.0,0.0,18.0,26.0,'1','0'
1416.0,292.0,115.0,334.0,1138.0,1138.0,88.0,26.0,'Date','0'
1531.0,292.0,186.0,115.0,345.0,1138.0,156.0,28.0,'October','0'
1717.0,292.0,631.0,186.0,345.0,1138.0,86.0,28.0,'1984','0'
1103.0,436.0,598.0,631.0,345.0,345.0,165.0,40.0,'(J/cm3K)','1'
1701.0,436.0,1529.0,598.0,931.0,345.0,122.0,32.0,'(W/mK)','1'
173.0,471.0,447.0,1529.0,931.0,931.0,227.0,29.0,'Functional','1'
620.0,471.0,405.0,447.0,63.0,931.0,24.0,20.0,'a','1'
218.0,514.0,310.0,405.0,63.0,63.0,111.0,27.0,'Unit*','1'
528.0,514.0,131.0,310.0,94.0,63.0,103.0,40.0,'(10-8','1'
659.0,514.0,224.0,131.0,94.0,63.0,81.0,40.0,'K-I)','1'
883.0,514.0,322.0,224.0,94.0,63.0,141.0,30.0,'Cgsat','1'
1205.0,514.0,260.0,322.0,94.0,63.0,95.0,27.0,'Csat','1'
1465.0,514.0,276.0,260.0,94.0,63.0,134.0,29.0,'Kgpsat','1'
1741.0,514.0,1569.0,276.0,94.0,63.0,88.0,25.0,'Ksat','1'
