@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'women','who','advertise','phone','sex','TOP','VIDEOS','SEQUELS','on','TV','are','the','ones','actually','pick','up','calls.','D+','Doug','Brod','O','F','THE','WEEK',''CRYING'','TIME',''Secret','Games','2:','VINTAGE','The','Escort'','WITH','ARTSIER','video','renters','having','DAVID','HOLZMAN'S','DIARY','L.M.','Kit','Car-','run','through','Howards','End','(which','drops',''Chained','Heat','2'','son','(1','967',',','Fox','Lorber,','unrated,','off','10','this','week),','Crying','$79.95)','Years','before','he','went','Hol-','top',''Amityville:','A','New','lywood','with','Big','Easy','and','Game','finally','joins','chart','at','No.','7','in','Great','Balls','of','Fire!,','director','Jim','its','third','week','release.','Apparently,','Generation'','McBride','scored','droll','put-','fake','underground','movie','that','laserdisc','buyers','were','awaiting','Oscar','on,','a',''Lady','Dragon','shoots','snarky','darts','film-','nominee','far','more','eagerly','than','tape','student','pretensions.','David','Holz-','renters:','laser','version','debuts','sur-',''Relentless','3'','man','(Carson)','is','sincere','young','prising','twerp','who,','seeking','Truth,','2.','films','his','life','what','was','then-','Meanwhile,','upward','mobility','Columbia','TriStar/','1,','I'','fashionable','grainy','B&W','verit6.','Voyager's','Bram','Stoker's','Dracula','may','soon','What','finds','swift','corrective','all','those','think','movies','be','halted.','Two','just-released','inexpensive,','wide-screen','to','U','N','ATTRIBUTED','important','reality.','Raw,','versions','should','cut','into','sales','current','pricey','QUOTE','ragged,','right,','Diary','both','an','($124.99),','feature-packed','edition.','unerring','late-'60s','time','capsule','as','modern','teen','angst.','A-','TB','TAPE','RENTALS','WEEKS','GRANT','ON','over-the-top','DOCUMENTARY','1','UNFORGIVEN','Clint','Eastwood,','Warner','3','action','thriller','2','5','BODYGUARD','Kevin','Costner,','LOST','FLEET','OF','GUADALCANAL','FEW','GOOD','MEN','Tom','Cruise,','TriStar','4','hyper-kinetic','BRAM','STOKEWS','DRACULA','Gary','Oldman,','Star','(1993,','TriStar,','$19.95)','I'd','edges"','When','Robert','Ballard,','discov-','6','LEAP','FAITH','Steve','Martin,','Paramount','ered','Titanic','Bismarck,','9','TEENAGE','MUTANT','NINJA','TURTLES','III','set','1992','find','50','Elias','Koteas,','Line','From','trade','magazine','ships"','downed','World','War','II','12','ntE','CRYING','GAME','Stephen','Rea,','LIVE','ad','for','Bhf','!1','Budd','(York,','battle','Guadalcanal,','met','8','FOREVER','YOUNG','Mel','Gibson,','$$9.95),','about','murder-','only','modest','success.','Fortunate-','11','LORENZO'S','OIL','Susan','Sarandon,','MCA/Universal','.2','ly,','he'd','brought','reinforcements:','ous','motorcych;:t','ma-','American','Japanese','survivors','JENNIFER','Andy','Garcia,','rauding','list'','harrowing','six-month','fight.','Their','moving','reminiscences','SALES','Aloja','e.','years','later,','accompanied','by','vivid','PINOCCHIO','Animated,','Disney,','$24.99','18','archival','footage,','eclipse','Bal-','Tuwnzs','lard's','underwater','sunken','m','ACTING','Line,','$22.99','STRETCH','metal.','Combining','elements','Jacques','Cousteau','war-docu-','SING-ALONG','SONGS:','FRIEND','UKE','ME','$12.99','13','mentary','genres,','National','Geo-','graphic's','Lost','Fleet','ultimately','tran-','RICHARD','SIMMONS:','SWEATIN'','TO','OLDIES','Burghoff','Fitness,','Good','Times,','$19.98','28','scends','both.','Chumsky','BEAUTY','AND','BEAST','39',''Small','Kill'','MUSIC','BARNEY','GOES','SCHOOL','Barney,','Lyons,','$14.95','.22','DANCES','WOLVES','Orion,','$14.98','LITTLE','MERMAID:','STORMY,','WILD','SEANORSE','fA,','PRIDE','JOY:','STORY','ALLIGA-','22','TOR','RECORDS','Koko','Taylor,','Lonnie','BARNEY'S','BEST','MANNERS','16','Brooks','BMG,','$29.95)','For','101','DALMATIANS','68','two','decades,','Alligator','Records','has','been','introducing','LASERDISC','young,','mostly','white','music','fans','contemporary','hard','blues.','la-','Warner,','$39.98','bel's','success','storycaptured','LIVE,','$34.95','87-minute','documentaryin-','BLADE','RUNNER','Harrison','Ford,','$49.98','17','volves','equal','parts','nostalgia,','clever','marketing,','genuine','labor','STOKER'S','DRACUU','TriStar/Voyager,','$124.99','love.','Director','Mugge','(Deep','Blues)','places','BODY','EVIDENCE','Madonna,','MGM/UA,','$84.98','(VOL','$59.95),','which','con-','HOWARDS','text','Chicago','blues','scene,','in-','END','Emma','Thompson,','$39.95','M','S',''s','meek','terviews','key','players,','presents','UNDER','SIEGE','Steven','Seagal,','$29.98','Radar','O'Reilly','plays','some','enthralling','live','performances.','LAST','MOHICANS','But','still','suffers','from','Daniel','Day-Lewis,','FoxVideo/Image,','09.98','15','genius,','homicidal,','perfunctory:','In','band','interviews,','MATINEE','John','Goodman,','MCA1Universal,','$34.98','cross-dressing,','artists','reveal','good-na-','Paramount,',''3','psychotic','drug','loni','tured','sincerity','without','ever','dig-','ging','deeper','Taylor's','remark,','DATA:','VIDEO','BUSINESS','FOR','ENDING','JULY','25,','1993','wannahe.','it.','We','slept','born','BILLBOARD','31,','ate','blues."','C+','Taehee','Kim','ENTERTAINMENT','67','WEEKLY'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
783.0,206.0,113.0,0.0,414.0,0.0,102.0,17.0,'women','0'
896.0,206.0,69.0,113.0,414.0,0.0,57.0,24.0,'who','0'
965.0,206.0,147.0,69.0,414.0,0.0,135.0,24.0,'advertise','0'
1112.0,206.0,97.0,147.0,414.0,0.0,85.0,30.0,'phone','0'
1209.0,206.0,426.0,97.0,414.0,0.0,47.0,16.0,'sex','0'
1635.0,206.0,136.0,426.0,414.0,0.0,99.0,21.0,'TOP','0'
1771.0,206.0,1401.0,136.0,414.0,0.0,204.0,21.0,'VIDEOS','0'
371.0,243.0,413.0,1401.0,414.0,414.0,250.0,26.0,'SEQUELS','0'
784.0,243.0,44.0,413.0,414.0,414.0,32.0,17.0,'on','0'
828.0,243.0,57.0,44.0,414.0,414.0,45.0,23.0,'TV','0'
885.0,243.0,57.0,57.0,414.0,414.0,45.0,16.0,'are','0'
942.0,243.0,57.0,57.0,414.0,414.0,44.0,24.0,'the','0'
999.0,243.0,76.0,57.0,414.0,414.0,63.0,16.0,'ones','0'
1075.0,243.0,69.0,76.0,414.0,414.0,56.0,24.0,'who','0'
1144.0,243.0,363.0,69.0,414.0,414.0,113.0,30.0,'actually','0'
783.0,281.0,65.0,363.0,414.0,414.0,56.0,31.0,'pick','0'
848.0,281.0,43.0,65.0,484.0,414.0,33.0,22.0,'up','0'
891.0,281.0,80.0,43.0,484.0,414.0,65.0,24.0,'calls.','0'
971.0,281.0,103.0,80.0,484.0,414.0,36.0,20.0,'D+','0'
1074.0,281.0,114.0,103.0,484.0,414.0,105.0,30.0,'Doug','0'
1188.0,281.0,889.0,114.0,484.0,414.0,68.0,24.0,'Brod','0'
300.0,305.0,42.0,889.0,484.0,484.0,23.0,21.0,'O','0'
342.0,305.0,61.0,42.0,62.0,484.0,17.0,20.0,'F','0'
403.0,305.0,142.0,61.0,62.0,484.0,97.0,21.0,'THE','0'
545.0,305.0,1060.0,142.0,62.0,484.0,146.0,21.0,'WEEK','0'
1605.0,305.0,268.0,1060.0,62.0,484.0,252.0,82.0,''CRYING'','0'
1873.0,305.0,1544.0,268.0,62.0,484.0,142.0,80.0,'TIME','0'
330.0,359.0,155.0,1544.0,62.0,62.0,142.0,55.0,''Secret','0'
485.0,359.0,141.0,155.0,87.0,62.0,128.0,54.0,'Games','0'
626.0,359.0,272.0,141.0,87.0,62.0,37.0,54.0,'2:','0'
898.0,359.0,519.0,272.0,87.0,62.0,248.0,58.0,'VINTAGE','0'
384.0,426.0,81.0,519.0,87.0,87.0,69.0,54.0,'The','0'
465.0,426.0,880.0,81.0,405.0,87.0,140.0,54.0,'Escort'','0'
1345.0,426.0,125.0,880.0,405.0,87.0,103.0,30.0,'WITH','0'
1470.0,426.0,178.0,125.0,405.0,87.0,158.0,23.0,'ARTSIER','0'
1648.0,426.0,103.0,178.0,405.0,87.0,89.0,30.0,'video','0'
1751.0,426.0,139.0,103.0,405.0,87.0,125.0,28.0,'renters','0'
1890.0,426.0,1105.0,139.0,405.0,87.0,115.0,37.0,'having','0'
786.0,469.0,80.0,1105.0,405.0,405.0,70.0,22.0,'DAVID','0'
866.0,469.0,147.0,80.0,451.0,405.0,137.0,24.0,'HOLZMAN'S','0'
1013.0,469.0,79.0,147.0,451.0,405.0,71.0,22.0,'DIARY','0'
1092.0,469.0,59.0,79.0,451.0,405.0,48.0,22.0,'L.M.','0'
1151.0,469.0,45.0,59.0,451.0,405.0,36.0,22.0,'Kit','0'
1196.0,469.0,148.0,45.0,451.0,405.0,59.0,23.0,'Car-','0'
1344.0,469.0,68.0,148.0,451.0,405.0,56.0,21.0,'run','0'
1412.0,469.0,141.0,68.0,451.0,405.0,129.0,37.0,'through','0'
1553.0,469.0,159.0,141.0,451.0,405.0,147.0,29.0,'Howards','0'
1712.0,469.0,84.0,159.0,451.0,405.0,72.0,29.0,'End','0'
1796.0,469.0,117.0,84.0,451.0,405.0,106.0,33.0,'(which','0'
1913.0,469.0,1577.0,117.0,451.0,405.0,90.0,37.0,'drops','0'
337.0,507.0,178.0,1577.0,451.0,451.0,166.0,56.0,''Chained','0'
515.0,507.0,102.0,178.0,447.0,451.0,90.0,54.0,'Heat','0'
617.0,507.0,167.0,102.0,447.0,451.0,38.0,53.0,'2'','0'
784.0,507.0,63.0,167.0,447.0,451.0,45.0,19.0,'son','0'
847.0,507.0,28.0,63.0,447.0,451.0,22.0,27.0,'(1','0'
875.0,507.0,49.0,28.0,447.0,451.0,47.0,21.0,'967','0'
924.0,507.0,22.0,49.0,447.0,451.0,5.0,9.0,',','0'
946.0,507.0,71.0,22.0,447.0,451.0,55.0,23.0,'Fox','0'
1017.0,507.0,116.0,71.0,447.0,451.0,100.0,27.0,'Lorber,','0'
1133.0,507.0,212.0,116.0,447.0,451.0,122.0,28.0,'unrated,','0'
1345.0,507.0,59.0,212.0,447.0,451.0,48.0,30.0,'off','0'
1404.0,507.0,141.0,59.0,447.0,451.0,55.0,30.0,'the','0'
1545.0,507.0,50.0,141.0,447.0,451.0,36.0,30.0,'10','0'
1595.0,507.0,79.0,50.0,447.0,451.0,64.0,30.0,'this','0'
1674.0,507.0,132.0,79.0,447.0,451.0,114.0,36.0,'week),','0'
1806.0,507.0,77.0,132.0,447.0,451.0,61.0,30.0,'The','0'
1883.0,507.0,1101.0,77.0,447.0,451.0,122.0,38.0,'Crying','0'
