@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'Stocks','WIRELESS','TELECOM','Making','Some','Noise','Irrekss','Telecom's','sends','profitable','signal','testing','equipment','a','BY','JONATHAN','MORELAND','HAS','DIS(',''OVERED','WHAT','Wireless'','test','equipment,','which','bears','that','the','$843','million','U.S.','market:','many','hip','rock',''n'','n','hers','already','passing','resemblance','to','stereo','components','and','cations','will','grow','knew:','Going','commercial','can','be','personal','computers,','reproduces','interfer-','by','turn','of','century.','The','v','lucrative.','For','Wireless,','however,','it','wasn't','ence','wireless','communications','their','reckoning,','froi','matter','selling','out;','was','survival.','experiences','in','real','world.','$7.2','billion.','These','figures','reprE','Wireless','Telecom','began','life','ten','years','ago','received','mobile','telephone','or','other','wire-','equipmE','under','name','Com,','became','king','less','device','is','very','different','than','sent','significant','fast-growi','hill','market','for','manufacturing','from','transmission','source.','this','total.','noise-generation','equipment.','waves','comprising','may','There','are','lot','companies','I','Purchased','mainly','military,','these','pristine','strong','when','they','originate,','but','pool','money.','Hewlett-Packard','products','used','jam','encode','communi-','pick','up','as','zip','most','categories','cations.','But','military','spending','declined,','through','air.','It','rare','ment.','VVi','Corn','realized','had','expand','its','hori-','makes','peting','su','.','zons.','company','focusing','on','commer-','destination','without','offering','cial','markets,','found','expertise','could','bouncing','off','trees,','quality','applied','toward','communica-','buildings,','cars,','product','tions','sector,','which,','thanks','ever-more-','humans,','each','Modern','popular','cellular','phone,','exploding.','distorts','tec','own','way.','If','cellu-','placing','Testing,','Testing','lar','phone','cannot','inter-','demands','pret','bastardized','cy','test-r','While','cash','signal,','worthless.','an','cow','company,','firm's-','new','line','As','manufacturers','work','feverishly','develop','willing','better','afford','money','more','sensitiv','generating','excitement.','waste','R&D','time','technology','Customer','service','also','pi','compared','year-','function','Using','Wire-','adds','value','customet','and-a-half','ago,"','confirms','CFO','Gene','Ferrara,','devices','pany','has','been','responsive','firm's','recent','change','soon','possible','allows','focus','inquiries,"','says','Gary','Simonya','testifies','successful','direction.','promising','technology.','founder','chairman.','al','cru-','tomers'','orders','quickly.','Abou','WTT:','FINANCIAL','HIGHLIGHTS','part','control','percent','we','receive','ai','production','same','day,','half','ship]','Fiscal','Years','Ended','12/31','1992','1993','1994','devices.','week.','This','unheard','our','$4,024,926','$5,022,702','With','about','50','malty','takes','six','weeks."','Total','revenues','$8,590,000','Operating','income','1,345,424','1,450,252','3,640,000','users','worldwide,','products,','Net','804,722','886,068','2,221,000','phones','certainly','trade','journals,','i:','per','share','0.15','0.17','0.40','recognizable','form','growing','business,"','Mr.','Three','Months','built','some','Periods','todayand','recognition','with','readers','Mic','$1,218,000','$2,697,000','horde','expected','RF','Design,','journalE','268,000','1,395,000','five-fold','year','2000.','poll','one','journal','listed','IN','215,000','852,000','Untethered','best','known','maker','0.04','noiE','transferring','data','BALANCE','SHEET','DATA','(at','9/30/941','VALUATION','STATISTICS','images','two,"','Ferrara','proudly.','Cash','&','equivalents','$3,348,680','Price/earnings:','43.1x','Recent','price','$17.25','become','preva-','cians','familiar','enough','us','current','assets','6,414,787','Price/book','14.5x','52-week','high','18.00','lent.','name."','6,919,580','Price/sales','10.6x','low','1.78','liabilities','624,255','Shares','out','5.3','mil.','Insiders','30%','manufactured','satisfy','hardh','Long-term','debt','0','demand','have','ever.','still','sells','nois','tested.','Shareholders'','equity','6,295,325','name,','Frost','Sullivan,','accounts','compan'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
198.0,167.0,795.0,0.0,795.0,0.0,351.0,108.0,'Stocks','0'
986.0,268.0,293.0,795.0,795.0,795.0,261.0,39.0,'WIRELESS','0'
1279.0,268.0,709.0,293.0,436.0,795.0,234.0,38.0,'TELECOM','0'
601.0,472.0,741.0,709.0,436.0,436.0,671.0,225.0,'Making','0'
1342.0,472.0,545.0,741.0,1286.0,436.0,479.0,173.0,'Some','0'
1886.0,503.0,1279.0,545.0,1286.0,1286.0,490.0,155.0,'Noise','0'
622.0,696.0,252.0,1279.0,1279.0,1279.0,220.0,65.0,'Irrekss','0'
874.0,696.0,804.0,252.0,537.0,1279.0,256.0,66.0,'Telecom's','0'
1678.0,696.0,238.0,804.0,537.0,1279.0,156.0,66.0,'sends','0'
1916.0,696.0,281.0,238.0,537.0,1279.0,257.0,81.0,'profitable','0'
2197.0,696.0,1040.0,281.0,537.0,1279.0,174.0,81.0,'signal','0'
1158.0,716.0,208.0,1040.0,537.0,537.0,184.0,62.0,'testing','0'
1366.0,716.0,494.0,208.0,106.0,537.0,290.0,63.0,'equipment','0'
1860.0,716.0,672.0,494.0,106.0,537.0,30.0,29.0,'a','0'
1196.0,814.0,84.0,672.0,106.0,106.0,64.0,43.0,'BY','0'
1280.0,814.0,256.0,84.0,1008.0,106.0,233.0,44.0,'JONATHAN','0'
1536.0,814.0,1347.0,256.0,1008.0,106.0,254.0,44.0,'MORELAND','0'
192.0,899.0,304.0,1347.0,1008.0,1008.0,294.0,126.0,'WIRELESS','0'
496.0,899.0,162.0,304.0,185.0,1008.0,151.0,29.0,'TELECOM','0'
658.0,899.0,74.0,162.0,185.0,1008.0,63.0,22.0,'HAS','0'
732.0,899.0,62.0,74.0,185.0,1008.0,52.0,22.0,'DIS(','0'
794.0,899.0,140.0,62.0,185.0,1008.0,130.0,23.0,''OVERED','0'
934.0,899.0,194.0,140.0,185.0,1008.0,93.0,22.0,'WHAT','0'
1128.0,899.0,187.0,194.0,185.0,1008.0,158.0,31.0,'Wireless'','0'
1315.0,899.0,87.0,187.0,185.0,1008.0,61.0,26.0,'test','0'
1402.0,899.0,228.0,87.0,185.0,1008.0,201.0,39.0,'equipment,','0'
1630.0,899.0,135.0,228.0,185.0,1008.0,108.0,30.0,'which','0'
1765.0,899.0,120.0,135.0,185.0,1008.0,93.0,30.0,'bears','0'
1885.0,899.0,70.0,120.0,185.0,1008.0,17.0,20.0,'a','0'
1955.0,899.0,79.0,70.0,185.0,1008.0,68.0,30.0,'that','0'
2034.0,899.0,65.0,79.0,185.0,1008.0,53.0,31.0,'the','0'
2099.0,899.0,90.0,65.0,185.0,1008.0,78.0,33.0,'$843','0'
2189.0,899.0,137.0,90.0,185.0,1008.0,126.0,29.0,'million','0'
2326.0,899.0,83.0,137.0,185.0,1008.0,69.0,29.0,'U.S.','0'
2409.0,899.0,2040.0,83.0,185.0,1008.0,143.0,30.0,'market:','0'
370.0,946.0,126.0,2040.0,185.0,185.0,100.0,32.0,'many','0'
496.0,946.0,86.0,126.0,48.0,185.0,58.0,40.0,'hip','0'
582.0,946.0,104.0,86.0,48.0,185.0,76.0,30.0,'rock','0'
686.0,946.0,70.0,104.0,48.0,185.0,42.0,28.0,''n'','0'
756.0,946.0,39.0,70.0,48.0,185.0,26.0,20.0,'n','0'
795.0,946.0,100.0,39.0,48.0,185.0,73.0,30.0,'hers','0'
895.0,946.0,182.0,100.0,48.0,185.0,131.0,41.0,'already','0'
1077.0,946.0,146.0,182.0,48.0,185.0,132.0,39.0,'passing','0'
1223.0,946.0,228.0,146.0,48.0,185.0,215.0,31.0,'resemblance','0'
1451.0,946.0,46.0,228.0,48.0,185.0,35.0,26.0,'to','0'
