@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'Trends','.li->_','License','to','Browse:','Mosaic','Netscape','vs.',';','r','.Current','(ist','Produce','ranking','issue','company','THE','BATTLE','BETWEEN','TWO','evaluation,','but','Navigator','is','much','like','a','1','Norton','Anti-Virus','3.0','most','popular','Web','brow-sersNCSA','shareware','product','in','its','approach','end-','Symantec','Corp.','and','Navigatoris','heating','user','licensing.','CompuServe','Value','Pack','2','up','at','the','licensing','level','as','hardware','manu-','Corporate','end-user','for','Net-','Information','facturers','software','publishers','are','chomp-','scape','starts','$39','per','unit','Services','Inc.','operates','on','sliding','3','MS-DOS','6.22','Upgrade','The','Licensing','Race','Heats','Up','scale.','Like','Spyglass,','Microsoft','however,','4','6','WordPerfect','6.1','recent','license','of','Spyglass's','Enhanced','NCSA','with','could','offers','browser','Windows','double','or','triple','number','licenses','by','end','1996.','Meanwhile,','technology','Novell','inclusion','InternetMCI','manufacturers','5','WinFax','PRO','4.0','expected','boost','licenses.','in-product','licens-','Delrina','Technology','20','ing.','According','Procomm','Plus','2.1','Rosanne','Siino','Data','storm','E','15','Netscape,','licen-','7','MS','Works','Money','ei','new','Spyglass','sees','include','Silicon','10','Graphics;','Digital','8','CoreiGallery','1.0','Corel','Equipment','Corp.;','9','MCI,','which','cus-','0,','tomizing','interface','QEMM','7.5','October','December','January','February','March','Inter-netMCI;','Quarterdeck','Office','Systems','1994','1995','Delphi.','Recently,','Note:','November','data','available.','Source:','Communications',':TbisiPtcrwik.5','PO*.','in4fprpgrams','was','not','licensed','aciiiii*g7ic4he!ibtatntimbet','Of','copies','ing','bit','client','technolo-',''fishipPOroWer12090','stores','andAssellers','in;.:','gy','their','products.','But','there's','no','consensus','Internet','Publisher.','has','also','weektrdineffarch25,199t','list','two','standards','adopt.','entered','into','alliance','Adobe','will','cannot','be','interpreted','picture','an','entire','market.','Adapted','from','Mosaic,','developed','National','Center','bundle','Adobe's','Acrobat','compilation','Ingram','Micro.','Supercomputing','Applications','technology.Neil','Randall','University','Illinois,','comes','unusual','agreement.','A','master','glWill4W0AWIMMEWSOMEgnifilaWFAIVACtlegaRIVAZWAI',':MC"'','40idEMMETHFAMIENE5WO.X4ONSZENUettSW_E_','WiLTet','agreement','between','Packaging','Net','tantly,','they're','designed','completely','means','doesn't','handle','requests','plug-and-play','solutions.','In','1994,','En-','Maneesh','Dhir,','senior','hanced','(a','modified','version','SUDDENLY,','INTERNET-IN-A-BOX','IS','manager','Sun,','Netra','aimed','found','free','Net)','now','phrase','meaning.','Growing','recog-','smaller','organizations.','assume','mini-','it','publishers,','nition','among','network','administrators','mal','Unix','knowledge,"','he','says.','manufacturers,','book','publishers.','need','workstations','crucial','link','wants','get','Internet,','businesses','You','can','find','technol-','LANs','creating','don't','always','want','go','out','hire','sys-','ogy','such','products','Spry's','Air','big','market','hard-','tern','administrator.','might','have','(Spry','recently','been','acquired','ware.','All','major','work-','Unix-savvy','people','HQ,','your','CompuServe),','Luckman','Interactive's','Super','station','branch','offices','you','not.','Quarterdeck's','Qmosaic,','well','begun','packaging','lets','these','reach','machines','turnkey','solu-','easily,','well."','books','tions','connecting','Sun','appears','ahead','O'Reilly','&','Associates','Ventana','Press.','Net,','somesuch','Plug-and-','pack,','other','workstation','makers','addition','sta-','Graphics','play','Internet.','taken','notice','hardware.','ble','Microsoft,','Force','servershave','Corp.,','instance,','95.','offer','all-in-one,','World-Wide','AlphaServer','200.','hasn't','yet','made','clear','whether','servers','well.','Designed','connectivity','through','modems','what','form','appear.','Microsystems'','Server','LANs,','server','stocked','Unlike','NCSA,','Communica-','explicitly','connect','software,','including','FTP,','Telnet,','Lnx,','Wis,','freely','both','workgroup','Ping,','Pine.','DEC's','higher-end','developed.','over-','(for','about','50','users)','ship','Netscape's','NetSite','FTP','departmental','larger','groups.','software.','DEC','offering','Electronic','frequently','used','Running','either','microSPARC-II','Locker,','Web,','butstrictly','speakingit's','SuperSPARC','processor','Sun's','Solaris','nonexperts','use','automate','product.','Educational','free,','2.4','operating','system,','creation','accounts','track','disk','anyone','download','full','suite','Most','impor-','quotas','performance."Neil','32','PC','MAGAZINE','MAY','30.'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
1035.0,135.0,643.0,0.0,643.0,0.0,284.0,61.0,'Trends','0'
1658.0,291.0,1535.0,643.0,643.0,643.0,103.0,33.0,'.li->_','0'
124.0,321.0,276.0,1535.0,1535.0,1535.0,251.0,61.0,'License','0'
400.0,321.0,88.0,276.0,917.0,1535.0,63.0,46.0,'to','0'
488.0,321.0,287.0,88.0,917.0,1535.0,260.0,62.0,'Browse:','0'
775.0,321.0,374.0,287.0,917.0,1535.0,243.0,61.0,'Mosaic','0'
1149.0,321.0,111.0,374.0,917.0,1535.0,303.0,83.0,'Netscape','0'
1040.0,341.0,772.0,111.0,917.0,917.0,81.0,37.0,'vs.','0'
1812.0,341.0,116.0,772.0,537.0,917.0,4.0,15.0,';','0'
1928.0,341.0,358.0,116.0,537.0,917.0,6.0,12.0,'r','0'
1574.0,392.0,108.0,358.0,537.0,537.0,80.0,22.0,'.Current','1'
1682.0,392.0,69.0,108.0,33.0,537.0,40.0,25.0,'(ist','1'
1751.0,392.0,172.0,69.0,33.0,537.0,82.0,29.0,'Produce','1'
1582.0,423.0,101.0,172.0,33.0,33.0,70.0,27.0,'ranking','1'
1683.0,423.0,68.0,101.0,1463.0,33.0,49.0,22.0,'issue','1'
1751.0,423.0,1632.0,68.0,1463.0,33.0,86.0,21.0,'company','1'
120.0,443.0,101.0,1632.0,1463.0,1463.0,81.0,26.0,'THE','0'
221.0,443.0,173.0,101.0,1493.0,1463.0,153.0,27.0,'BATTLE','0'
394.0,443.0,211.0,173.0,1493.0,1463.0,191.0,27.0,'BETWEEN','0'
605.0,443.0,99.0,211.0,1493.0,1463.0,79.0,26.0,'THE','0'
704.0,443.0,141.0,99.0,1493.0,1463.0,88.0,27.0,'TWO','0'
845.0,443.0,194.0,141.0,1493.0,1463.0,176.0,30.0,'evaluation,','0'
1039.0,443.0,68.0,194.0,1493.0,1463.0,51.0,26.0,'but','0'
1107.0,443.0,175.0,68.0,1493.0,1463.0,158.0,35.0,'Navigator','0'
1282.0,443.0,41.0,175.0,1493.0,1463.0,24.0,27.0,'is','0'
1323.0,443.0,103.0,41.0,1493.0,1463.0,86.0,26.0,'much','0'
1426.0,443.0,77.0,103.0,1493.0,1463.0,58.0,27.0,'like','0'
1503.0,443.0,112.0,77.0,1493.0,1463.0,15.0,18.0,'a','0'
1612.0,465.0,69.0,112.0,1493.0,1493.0,11.0,27.0,'1','1'
1681.0,465.0,74.0,69.0,1491.0,1493.0,27.0,4.0,?,'1'
1755.0,465.0,99.0,74.0,1491.0,1493.0,90.0,27.0,'Norton','1'
1854.0,465.0,148.0,99.0,1491.0,1493.0,140.0,28.0,'Anti-Virus','1'
2002.0,465.0,1881.0,148.0,1491.0,1493.0,39.0,27.0,'3.0','1'
122.0,487.0,112.0,1881.0,1491.0,1491.0,74.0,23.0,'most','0'
234.0,487.0,158.0,112.0,1633.0,1491.0,121.0,33.0,'popular','0'
392.0,487.0,110.0,158.0,1633.0,1491.0,72.0,26.0,'Web','0'
502.0,487.0,344.0,110.0,1633.0,1491.0,292.0,28.0,'brow-sersNCSA','0'
846.0,487.0,174.0,344.0,1633.0,1491.0,161.0,26.0,'shareware','0'
1020.0,487.0,136.0,174.0,1633.0,1491.0,123.0,34.0,'product','0'
1156.0,487.0,41.0,136.0,1633.0,1491.0,29.0,27.0,'in','0'
1197.0,487.0,49.0,41.0,1633.0,1491.0,35.0,26.0,'its','0'
1246.0,487.0,159.0,49.0,1633.0,1491.0,146.0,34.0,'approach','0'
1405.0,487.0,44.0,159.0,1633.0,1491.0,30.0,22.0,'to','0'
1449.0,487.0,306.0,44.0,1633.0,1491.0,69.0,26.0,'end-','0'
1754.0,508.0,136.0,306.0,1633.0,1633.0,127.0,30.0,'Symantec','1'
1890.0,508.0,1769.0,136.0,1633.0,1633.0,71.0,28.0,'Corp.','1'
122.0,531.0,119.0,1769.0,1633.0,1633.0,110.0,27.0,'Mosaic','0'
241.0,531.0,65.0,119.0,1490.0,1633.0,56.0,27.0,'and','0'
306.0,531.0,151.0,65.0,1490.0,1633.0,141.0,34.0,'Netscape','0'
457.0,531.0,224.0,151.0,1490.0,1633.0,214.0,34.0,'Navigatoris','0'
681.0,531.0,165.0,224.0,1490.0,1633.0,114.0,35.0,'heating','0'
846.0,531.0,73.0,165.0,1490.0,1633.0,64.0,19.0,'user','0'
919.0,531.0,834.0,73.0,1490.0,1633.0,143.0,35.0,'licensing.','0'
1753.0,531.0,177.0,834.0,1490.0,1633.0,169.0,31.0,'CompuServe','1'
