@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'SPORT','BEAT','PENNY','WELL','SPENT','ORLANDO','GOT','MORE','THAN','IT','BARGAINED','FOR','IN','ANFERNEE','HARDAWAY,','ALREADY','ONE','OF','THE','NBA'S','BEST/BY','RICK','WEINBERG','playing','in','just','Hardaway','has','blown','us','all','away','brought','Bubby','Brister,','it'll','be','inter-','his','second','with','breathtaking','array','of','skills.','He's','esting','to','see','what','develops.','Remem-','NBA','sea-','among','the','top','five','players','game','ber,','Brister','was','Kotite's','No.','2','quarter-','son,','he','already','is','today.','At','22,','and','after','only','11/2','years','back','Philadelphia,','when','Randall','one','most','league,','starting','point','Cunningham','slumped,','Kotite','yanked','electrifying','guard','for','Eastern','Conference','All-','him','called','on','Brister.','compelling','per-','Stars.','Kotite,','Esiason's','fifth','coach','formers','a','fearless','penetrator','who','ex-','seasons,','refuses','speculate,','but','it's','game.','plodes','bas-','evident','that','if','Esiason','ineffective,','Anfernee','ket.','He'll','dunk','will','get','call.','Hardaway.','The','name','magical','over','Patrick','Ew-','sound','it.','ing','Hakeem','r,,rn','If','last','year's','draft','take','or','7','were','absolutely','phenomenal,"','says','Olajuwon','with-','A','place','today,','10','would','look','fellow','magician,','Magic','Johnson.','out','blinking.','6-','-A','little','different,','according','panel','words','don't','describe','how','7,','he's','got','great','two','assistant','coaches','gen-','going','ball-handling','eral','manager:','be.','three','enter-','skills','low-','taining','league','right','now."','post','moves.','LAST','JUNE'S','TOP','And','think','some','people','actually','dazzling','passer','Boomer','questionedsome','even','complained','tremendous','1.','Glenn','Robinson,','Milwaukee','aboutthe','Orlando','Magic's','acquisi-','court','vision','2.','Jason','Kidd,','Dallas','tion','this','extraordinary','talent.','Would','rebounding','guard.','Granted,','3.','Grant','Hill,','Detroit','anyone','consider','trading','Hard-','not','outside','shooteryet.','4.','Donyell','Marshall,','Minnesota','Chris','Webber','today?','He','vows','he'll','become','one;','plans','5.','Juwan','Howard,','Washington','Pity','those','poor','Golden','State','War-','launch','jumpers','hundreds"','ev-','6.','Sharone','Wright,','Philadelphia','riors.','In','20th-anniversary','season','ery','day','during','off-season.','7.','Lamond','Murray,','L.A.','Clippers','their','championship,','can','Penny','averaging','22-25','8.','Brian','Grant,','Sacramento','riors','have','had','forgettable','year','points,','assists,','six','9.','Eric','Montross,','Boston','sports','franchise','recent','memory,','boards,','maybe','next','season,"','10.','Eddie','Jones,','Lakers','being','forced','trade','Webber,','forward','Horace','Grant.','having','live','fact','they','what's','exciting','way','gets','REVISED','(BASED','SOLELY','dealt','assists','rebounds.','so','ON','TALENT,','NOT','TEAM','NEED)','Hardaway,','al-','there,','like','magician."','1','Says','Hardaway:','want','known','Robinson','Hill','picks','as','greatest','history.','Webber.','r','When','talk','about','greats,','I','Howard','Today,','mentioned','Michael','Jor-','Jones','ber','dan,','Johnson,','Larry','Bird."','Kidd',''s','wouldn't','That','well','may','very','come.','Montross','deal','done,"','member','Jets','quarterback','Esiason,','Wright','Marshall','says.','who's','proven','good','What's','hard','broadcast','booth','Murray','once','believe','Or-','field,','unfortunately','no','peer','still','might','taken','lando','originally','wasn't','interested','it','comes','inconsistency','at','because','its','desperate','need','It','wanted','position','guard,','there's','question','more','than','seasons.','Mavericks','been','disappointed','Penny.','par-','led','22','intercep-','Kidd's','shooting','(he's','hovered','ticularly','didn't','do','much','tions','1990','averaged','12','TDs','around','37','percent','season)','initial','visit','change','15','1991',''92.','After','free-throw','shooting.','minds','club','officials.','But','throwing','3,421','yards','complet-','Early','on,','appeared','Bucks','Shaquille','O'Neal','played','against','61','passes','first','pick','by','taking','Robin-','filming','Chips,"',''93,','sunk','son','Hill.','No','mistake.','Hill's','stud,','Shaq','convinced','management','give','58-percent','completion','ratio','17','came','seasoned','look.','That's','13','interceptions','season.','All-Star','month','into','away,"','di-','also','saw','December','record','big','changes,','above','rank-','rector','player','personnel','John','Gabriel','slip','1-7.','ings','indicate,','from','fourth','puts','With','new','Rich','on.','picked','too','high,','74','SPORT/JUNE','1995'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
962.0,162.0,284.0,0.0,787.0,0.0,266.0,90.0,'SPORT','0'
1246.0,162.0,1063.0,284.0,787.0,0.0,215.0,88.0,'BEAT','0'
204.0,372.0,252.0,1063.0,787.0,787.0,227.0,64.0,'PENNY','0'
456.0,372.0,202.0,252.0,98.0,787.0,174.0,64.0,'WELL','0'
658.0,372.0,237.0,202.0,98.0,787.0,208.0,65.0,'SPENT','0'
895.0,372.0,277.0,237.0,98.0,787.0,251.0,65.0,'ORLANDO','0'
1172.0,372.0,126.0,277.0,98.0,787.0,103.0,65.0,'GOT','0'
1298.0,372.0,176.0,126.0,98.0,787.0,151.0,65.0,'MORE','0'
1474.0,372.0,166.0,176.0,98.0,787.0,136.0,65.0,'THAN','0'
1640.0,372.0,66.0,166.0,98.0,787.0,41.0,64.0,'IT','0'
1706.0,372.0,330.0,66.0,98.0,787.0,302.0,65.0,'BARGAINED','0'
2036.0,372.0,126.0,330.0,98.0,787.0,99.0,65.0,'FOR','0'
2162.0,372.0,1965.0,126.0,98.0,787.0,47.0,64.0,'IN','0'
200.0,469.0,266.0,1965.0,98.0,98.0,245.0,64.0,'ANFERNEE','0'
466.0,469.0,286.0,266.0,365.0,98.0,270.0,77.0,'HARDAWAY,','0'
752.0,469.0,228.0,286.0,365.0,98.0,211.0,64.0,'ALREADY','0'
980.0,469.0,114.0,228.0,365.0,98.0,96.0,65.0,'ONE','0'
1094.0,469.0,75.0,114.0,365.0,98.0,59.0,65.0,'OF','0'
1169.0,469.0,107.0,75.0,365.0,98.0,87.0,64.0,'THE','0'
1276.0,469.0,160.0,107.0,365.0,98.0,140.0,65.0,'NBA'S','0'
1436.0,469.0,255.0,160.0,365.0,98.0,236.0,86.0,'BEST/BY','0'
1691.0,469.0,162.0,255.0,365.0,98.0,141.0,65.0,'RICK','0'
1853.0,469.0,1314.0,162.0,365.0,98.0,358.0,66.0,'WEINBERG','0'
545.0,587.0,195.0,1314.0,365.0,365.0,182.0,111.0,'playing','0'
740.0,587.0,35.0,195.0,94.0,365.0,25.0,27.0,'in','0'
775.0,587.0,163.0,35.0,94.0,365.0,61.0,35.0,'just','0'
938.0,587.0,197.0,163.0,94.0,365.0,184.0,35.0,'Hardaway','0'
1135.0,587.0,75.0,197.0,94.0,365.0,62.0,28.0,'has','0'
1210.0,587.0,121.0,75.0,94.0,365.0,107.0,27.0,'blown','0'
1331.0,587.0,51.0,121.0,94.0,365.0,39.0,21.0,'us','0'
1382.0,587.0,52.0,51.0,94.0,365.0,39.0,28.0,'all','0'
1434.0,587.0,146.0,52.0,94.0,365.0,94.0,28.0,'away','0'
1580.0,587.0,142.0,146.0,94.0,365.0,131.0,35.0,'brought','0'
1722.0,587.0,39.0,142.0,94.0,365.0,26.0,27.0,'in','0'
1761.0,587.0,123.0,39.0,94.0,365.0,113.0,34.0,'Bubby','0'
1884.0,587.0,141.0,123.0,94.0,365.0,127.0,30.0,'Brister,','0'
2025.0,587.0,57.0,141.0,94.0,365.0,44.0,27.0,'it'll','0'
2082.0,587.0,51.0,57.0,94.0,365.0,40.0,27.0,'be','0'
2133.0,587.0,1505.0,51.0,94.0,365.0,86.0,28.0,'inter-','0'
629.0,629.0,67.0,1505.0,94.0,94.0,53.0,27.0,'his','0'
696.0,629.0,191.0,67.0,42.0,94.0,138.0,28.0,'second','0'
887.0,629.0,76.0,191.0,42.0,94.0,65.0,27.0,'with','0'
963.0,629.0,54.0,76.0,42.0,94.0,44.0,27.0,'his','0'
1017.0,629.0,212.0,54.0,42.0,94.0,202.0,35.0,'breathtaking','0'
1229.0,629.0,89.0,212.0,42.0,94.0,81.0,27.0,'array','0'
1318.0,629.0,39.0,89.0,42.0,94.0,31.0,27.0,'of','0'
1357.0,629.0,99.0,39.0,42.0,94.0,86.0,28.0,'skills.','0'
1456.0,629.0,123.0,99.0,42.0,94.0,71.0,28.0,'He's','0'
1579.0,629.0,113.0,123.0,42.0,94.0,103.0,35.0,'esting','0'
1692.0,629.0,44.0,113.0,42.0,94.0,33.0,25.0,'to','0'
1736.0,629.0,68.0,44.0,42.0,94.0,58.0,21.0,'see','0'
1804.0,629.0,92.0,68.0,42.0,94.0,82.0,28.0,'what','0'
1896.0,629.0,179.0,92.0,42.0,94.0,165.0,34.0,'develops.','0'
2075.0,629.0,1447.0,179.0,42.0,94.0,144.0,27.0,'Remem-','0'
629.0,671.0,117.0,1447.0,42.0,42.0,86.0,28.0,'NBA','0'
746.0,671.0,141.0,117.0,95.0,42.0,88.0,21.0,'sea-','0'
887.0,671.0,124.0,141.0,95.0,42.0,114.0,28.0,'among','0'
1011.0,671.0,62.0,124.0,95.0,42.0,53.0,28.0,'the','0'
1073.0,671.0,64.0,62.0,95.0,42.0,54.0,33.0,'top','0'
1137.0,671.0,69.0,64.0,95.0,42.0,58.0,28.0,'five','0'
1206.0,671.0,131.0,69.0,95.0,42.0,119.0,35.0,'players','0'
1337.0,671.0,35.0,131.0,95.0,42.0,24.0,27.0,'in','0'
1372.0,671.0,62.0,35.0,95.0,42.0,52.0,27.0,'the','0'
1434.0,671.0,146.0,62.0,95.0,42.0,93.0,27.0,'game','0'
1580.0,671.0,75.0,146.0,95.0,42.0,61.0,32.0,'ber,','0'
1655.0,671.0,118.0,75.0,95.0,42.0,110.0,27.0,'Brister','0'
1773.0,671.0,78.0,118.0,95.0,42.0,66.0,22.0,'was','0'
1851.0,671.0,138.0,78.0,95.0,42.0,127.0,28.0,'Kotite's','0'
1989.0,671.0,66.0,138.0,95.0,42.0,55.0,28.0,'No.','0'
2055.0,671.0,29.0,66.0,95.0,42.0,18.0,27.0,'2','0'
2084.0,671.0,1542.0,29.0,95.0,42.0,135.0,33.0,'quarter-','0'
543.0,711.0,82.0,1542.0,95.0,95.0,68.0,26.0,'son,','0'
625.0,711.0,49.0,82.0,43.0,95.0,38.0,28.0,'he','0'
674.0,711.0,137.0,49.0,43.0,95.0,126.0,36.0,'already','0'
811.0,711.0,75.0,137.0,43.0,95.0,24.0,28.0,'is','0'
886.0,711.0,114.0,75.0,43.0,95.0,103.0,36.0,'today.','0'
1000.0,711.0,45.0,114.0,43.0,95.0,35.0,28.0,'At','0'
1045.0,711.0,60.0,45.0,43.0,95.0,48.0,33.0,'22,','0'
1105.0,711.0,72.0,60.0,43.0,95.0,61.0,28.0,'and','0'
1177.0,711.0,84.0,72.0,43.0,95.0,76.0,28.0,'after','0'
1261.0,711.0,80.0,84.0,43.0,95.0,68.0,35.0,'only','0'
1341.0,711.0,59.0,80.0,43.0,95.0,50.0,30.0,'11/2','0'
1400.0,711.0,101.0,59.0,43.0,95.0,90.0,28.0,'years','0'
1501.0,711.0,79.0,101.0,43.0,95.0,25.0,28.0,'in','0'
1580.0,711.0,88.0,79.0,43.0,95.0,79.0,28.0,'back','0'
1668.0,711.0,37.0,88.0,43.0,95.0,25.0,27.0,'in','0'
1705.0,711.0,217.0,37.0,43.0,95.0,206.0,35.0,'Philadelphia,','0'
1922.0,711.0,70.0,217.0,43.0,95.0,60.0,27.0,'and','0'
1992.0,711.0,99.0,70.0,43.0,95.0,86.0,27.0,'when','0'
2091.0,711.0,1549.0,99.0,43.0,95.0,129.0,28.0,'Randall','0'
543.0,754.0,82.0,1549.0,43.0,43.0,68.0,22.0,'one','0'
625.0,754.0,46.0,82.0,42.0,43.0,34.0,28.0,'of','0'
671.0,754.0,74.0,46.0,42.0,43.0,58.0,27.0,'the','0'
745.0,754.0,141.0,74.0,42.0,43.0,90.0,26.0,'most','0'
886.0,754.0,67.0,141.0,42.0,43.0,55.0,28.0,'the','0'
953.0,754.0,141.0,67.0,42.0,43.0,127.0,34.0,'league,','0'
1094.0,754.0,51.0,141.0,42.0,43.0,40.0,27.0,'he','0'
1145.0,754.0,79.0,51.0,42.0,43.0,69.0,21.0,'was','0'
1224.0,754.0,66.0,79.0,42.0,43.0,55.0,28.0,'the','0'
1290.0,754.0,149.0,66.0,42.0,43.0,135.0,35.0,'starting','0'
1439.0,754.0,142.0,149.0,42.0,43.0,88.0,34.0,'point','0'
1581.0,754.0,239.0,142.0,42.0,43.0,228.0,35.0,'Cunningham','0'
1820.0,754.0,168.0,239.0,42.0,43.0,154.0,35.0,'slumped,','0'
1988.0,754.0,108.0,168.0,42.0,43.0,99.0,28.0,'Kotite','0'
2096.0,754.0,1554.0,108.0,42.0,43.0,122.0,35.0,'yanked','0'
543.0,796.0,225.0,1554.0,42.0,42.0,212.0,35.0,'electrifying','0'
768.0,796.0,119.0,225.0,41.0,42.0,66.0,28.0,'and','0'
887.0,796.0,109.0,119.0,41.0,42.0,98.0,35.0,'guard','0'
996.0,796.0,56.0,109.0,41.0,42.0,47.0,28.0,'for','0'
1052.0,796.0,65.0,56.0,41.0,42.0,53.0,27.0,'the','0'
1117.0,796.0,141.0,65.0,41.0,42.0,129.0,28.0,'Eastern','0'
1258.0,796.0,211.0,141.0,41.0,42.0,202.0,29.0,'Conference','0'
1469.0,796.0,111.0,211.0,41.0,42.0,57.0,27.0,'All-','0'
1580.0,796.0,66.0,111.0,41.0,42.0,56.0,27.0,'him','0'
1646.0,796.0,69.0,66.0,41.0,42.0,59.0,27.0,'and','0'
1715.0,796.0,104.0,69.0,41.0,42.0,94.0,27.0,'called','0'
1819.0,796.0,50.0,104.0,41.0,42.0,38.0,20.0,'on','0'
1869.0,796.0,1327.0,50.0,41.0,42.0,112.0,27.0,'Brister.','0'
543.0,837.0,220.0,1327.0,41.0,41.0,205.0,35.0,'compelling','0'
763.0,837.0,125.0,220.0,42.0,41.0,72.0,29.0,'per-','0'
888.0,837.0,743.0,125.0,42.0,41.0,91.0,29.0,'Stars.','0'
1631.0,837.0,124.0,743.0,42.0,41.0,110.0,32.0,'Kotite,','0'
1755.0,837.0,175.0,124.0,42.0,41.0,165.0,28.0,'Esiason's','0'
1930.0,837.0,77.0,175.0,42.0,41.0,65.0,27.0,'fifth','0'
2007.0,837.0,116.0,77.0,42.0,41.0,103.0,29.0,'coach','0'
2123.0,837.0,37.0,116.0,42.0,41.0,26.0,28.0,'in','0'
2160.0,837.0,1618.0,37.0,42.0,41.0,60.0,28.0,'five','0'
543.0,879.0,181.0,1618.0,42.0,42.0,162.0,29.0,'formers','0'
724.0,879.0,49.0,181.0,41.0,42.0,31.0,27.0,'in','0'
773.0,879.0,166.0,49.0,41.0,42.0,62.0,28.0,'the','0'
939.0,879.0,87.0,166.0,41.0,42.0,75.0,28.0,'He's','0'
1026.0,879.0,27.0,87.0,41.0,42.0,18.0,20.0,'a','0'
1053.0,879.0,148.0,27.0,41.0,42.0,136.0,29.0,'fearless','0'
1201.0,879.0,191.0,148.0,41.0,42.0,182.0,34.0,'penetrator','0'
1392.0,879.0,82.0,191.0,41.0,42.0,71.0,28.0,'who','0'
1474.0,879.0,105.0,82.0,41.0,42.0,53.0,20.0,'ex-','0'
1579.0,879.0,164.0,105.0,41.0,42.0,150.0,25.0,'seasons,','0'
1743.0,879.0,133.0,164.0,41.0,42.0,123.0,28.0,'refuses','0'
1876.0,879.0,43.0,133.0,41.0,42.0,32.0,26.0,'to','0'
1919.0,879.0,189.0,43.0,41.0,42.0,175.0,34.0,'speculate,','0'
2108.0,879.0,64.0,189.0,41.0,42.0,53.0,28.0,'but','0'
2172.0,879.0,1630.0,64.0,41.0,42.0,48.0,27.0,'it's','0'
543.0,920.0,345.0,1630.0,41.0,41.0,99.0,29.0,'game.','0'
888.0,920.0,118.0,345.0,66.0,41.0,109.0,34.0,'plodes','0'
1006.0,920.0,40.0,118.0,66.0,41.0,32.0,26.0,'to','0'
1046.0,920.0,62.0,40.0,66.0,41.0,52.0,27.0,'the','0'
1108.0,920.0,472.0,62.0,66.0,41.0,71.0,27.0,'bas-','0'
1580.0,920.0,141.0,472.0,66.0,41.0,130.0,28.0,'evident','0'
1721.0,920.0,81.0,141.0,66.0,41.0,69.0,27.0,'that','0'
1802.0,920.0,31.0,81.0,66.0,41.0,19.0,27.0,'if','0'
1833.0,920.0,151.0,31.0,66.0,41.0,137.0,28.0,'Esiason','0'
1984.0,920.0,38.0,151.0,66.0,41.0,25.0,28.0,'is','0'
2022.0,920.0,1430.0,38.0,66.0,41.0,195.0,32.0,'ineffective,','0'
593.0,963.0,295.0,1430.0,66.0,66.0,243.0,28.0,'Anfernee','0'
888.0,963.0,90.0,295.0,399.0,66.0,72.0,28.0,'ket.','0'
978.0,963.0,106.0,90.0,399.0,66.0,90.0,28.0,'He'll','0'
1084.0,963.0,497.0,106.0,399.0,66.0,96.0,28.0,'dunk','0'
1581.0,963.0,112.0,497.0,399.0,66.0,105.0,28.0,'Brister','0'
1693.0,963.0,60.0,112.0,399.0,66.0,50.0,27.0,'will','0'
1753.0,963.0,58.0,60.0,399.0,66.0,50.0,33.0,'get','0'
1811.0,963.0,59.0,58.0,399.0,66.0,51.0,28.0,'the','0'
1870.0,963.0,1674.0,59.0,399.0,66.0,63.0,27.0,'call.','0'
197.0,1005.0,212.0,1674.0,399.0,399.0,199.0,35.0,'Hardaway.','0'
409.0,1005.0,77.0,212.0,26.0,399.0,65.0,28.0,'The','0'
486.0,1005.0,108.0,77.0,26.0,399.0,96.0,21.0,'name','0'
594.0,1005.0,72.0,108.0,26.0,399.0,60.0,28.0,'has','0'
666.0,1005.0,30.0,72.0,26.0,399.0,18.0,20.0,'a','0'
696.0,1005.0,191.0,30.0,26.0,399.0,138.0,35.0,'magical','0'
887.0,1005.0,86.0,191.0,26.0,399.0,74.0,21.0,'over','0'
973.0,1005.0,140.0,86.0,26.0,399.0,128.0,27.0,'Patrick','0'
1113.0,1005.0,919.0,140.0,26.0,399.0,66.0,27.0,'Ew-','0'
195.0,1030.0,109.0,919.0,26.0,26.0,99.0,27.0,'sound','0'
304.0,1030.0,41.0,109.0,768.0,26.0,31.0,26.0,'to','0'
345.0,1030.0,544.0,41.0,768.0,26.0,24.0,27.0,'it.','0'
889.0,1030.0,126.0,544.0,768.0,26.0,59.0,35.0,'ing','0'
1015.0,1030.0,536.0,126.0,768.0,26.0,164.0,28.0,'Hakeem','0'
1551.0,1030.0,31.0,536.0,768.0,26.0,16.0,47.0,'r,,rn','0'
1582.0,1030.0,74.0,31.0,768.0,26.0,62.0,112.0,'If','0'
1656.0,1030.0,68.0,74.0,768.0,26.0,58.0,28.0,'last','0'
1724.0,1030.0,116.0,68.0,768.0,26.0,103.0,35.0,'year's','0'
1840.0,1030.0,86.0,116.0,768.0,26.0,75.0,27.0,'NBA','0'
1926.0,1030.0,180.0,86.0,768.0,26.0,77.0,28.0,'draft','0'
2106.0,1030.0,41.0,180.0,768.0,26.0,31.0,26.0,'to','0'
2147.0,1030.0,1186.0,41.0,768.0,26.0,72.0,28.0,'take','0'
962.0,1050.0,340.0,1186.0,768.0,768.0,37.0,21.0,'or','0'
1302.0,1050.0,711.0,340.0,717.0,768.0,8.0,22.0,'7','0'
2013.0,1050.0,1768.0,711.0,717.0,768.0,82.0,21.0,'were','0'
345.0,1079.0,177.0,99.0,71.0,717.0,167.0,34.0,'absolutely','0'
522.0,1079.0,240.0,177.0,71.0,717.0,229.0,34.0,'phenomenal,"','0'
762.0,1079.0,126.0,240.0,71.0,717.0,74.0,28.0,'says','0'
888.0,1079.0,198.0,126.0,71.0,717.0,187.0,34.0,'Olajuwon','0'
1086.0,1079.0,464.0,198.0,71.0,717.0,93.0,27.0,'with-','0'
1550.0,1079.0,86.0,464.0,71.0,717.0,17.0,48.0,'A','0'
1636.0,1079.0,97.0,86.0,71.0,717.0,88.0,35.0,'place','0'
1733.0,1079.0,111.0,97.0,71.0,717.0,101.0,36.0,'today,','0'
1844.0,1079.0,61.0,111.0,71.0,717.0,52.0,27.0,'the','0'
1905.0,1079.0,64.0,61.0,71.0,717.0,52.0,34.0,'top','0'
1969.0,1079.0,47.0,64.0,71.0,717.0,38.0,28.0,'10','0'
2016.0,1079.0,108.0,47.0,71.0,717.0,97.0,29.0,'would','0'
2124.0,1079.0,77.0,108.0,71.0,717.0,68.0,28.0,'look','0'
2201.0,1079.0,2006.0,77.0,71.0,717.0,19.0,21.0,'a','0'
196.0,1129.0,28.0,2006.0,71.0,71.0,18.0,21.0,'a','0'
224.0,1129.0,120.0,28.0,43.0,71.0,108.0,28.0,'fellow','0'
344.0,1129.0,190.0,120.0,43.0,71.0,174.0,36.0,'magician,','0'
534.0,1129.0,125.0,190.0,43.0,71.0,114.0,34.0,'Magic','0'
659.0,1129.0,229.0,125.0,43.0,71.0,175.0,27.0,'Johnson.','0'
888.0,1129.0,64.0,229.0,43.0,71.0,53.0,26.0,'out','0'
952.0,1129.0,149.0,64.0,43.0,71.0,138.0,35.0,'blinking.','0'
1101.0,1129.0,46.0,149.0,43.0,71.0,35.0,28.0,'At','0'
1147.0,1129.0,405.0,46.0,43.0,71.0,32.0,27.0,'6-','0'
1552.0,1129.0,85.0,405.0,43.0,71.0,15.0,38.0,'-A','0'
1637.0,1129.0,79.0,85.0,43.0,71.0,68.0,28.0,'little','0'
1716.0,1129.0,163.0,79.0,43.0,71.0,150.0,32.0,'different,','0'
1879.0,1129.0,178.0,163.0,43.0,71.0,166.0,35.0,'according','0'
2057.0,1129.0,41.0,178.0,43.0,71.0,30.0,26.0,'to','0'
2098.0,1129.0,31.0,41.0,43.0,71.0,19.0,22.0,'a','0'
2129.0,1129.0,1933.0,31.0,43.0,71.0,90.0,35.0,'panel','0'
353.0,1171.0,126.0,156.0,43.0,43.0,113.0,28.0,'words','0'
479.0,1171.0,108.0,126.0,43.0,43.0,96.0,28.0,'don't','0'
