@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'gallon','hats,','bolo','ties','and','cowboy','boots','explained','how','they','brainstormed','their','way','to','a','sophisticated','new','computer','chip','in','only','16','weeks,','10','weeks','faster','than','the','normal','develop-','ment','time.','The','chip,','which','allows','Motorola','make','cellular','phones','smaller,','is','expected','add','several','hundred','million','dollars','revenue','by','end','of','1996.','Top','executives','at','Motor-','ola','believe','that','compa-','ny's','future','increasingly','de-','pends','on','workers','who','display','this','kind','inven-','tiveness','adaptability.','To','help','its','employees','grow,','plans','double','education','efforts','over','next','five','years.','By','decade,','every','worker','will','study','80','100','hours','year,','push','company's','training','budget','up','about','$300','million.','How','risky','plan?','Mo-','torola','U.','President','William','Wiggenhorn','doesn't','know,','but','he','worries','manding','too','much','from','workers,','many','whom','al-','ready','put','60-hour','weeks.','do','we','stay','competitive,"','muses','Wiggenhorn,','killing','every-','body?"','Others','question','whether','in-','tensified','effort','cause','become','inward','looking.','During','quality','push,','concentrated','so','hard','reducing','defects','some','cus-','tomers','became','dissatisfied','because','felt','company','was','ignoring','needs.','restore','balance,','launched','Total','Customer','Satisfac-','tion','campaign.','Finally,','not','course','rousing','success.','Curtis','Plott,','president','American','Society','for','Training','Development,','argues:','are','business','prob-','lems','solution','train-','ing."','When','units','supply','single','corporation,','ex-','ample,','need','unified','strategy.','That's','an','organizational','issue','can't','be','addressed','through','training.','best','judgment','far,','however,','has','avoided','overtraining','employees,','mainly','aligning','educa-','tional','with','And','there','growing','financial','proof','continuous','learning','may','one','smartest','investments','em-','ployers','ever','make.','BY','LINDA','GRANT','U.S.NEWS','&','WORLD','REPORT,','MAY','22,','55','1995'}
@ATTRIBUTE 'table' {'0'}

@DATA
347.0,375.0,126.0,0.0,41.0,0.0,102.0,38.0,'gallon','0'
473.0,375.0,101.0,126.0,41.0,0.0,76.0,35.0,'hats,','0'
574.0,375.0,99.0,101.0,41.0,0.0,73.0,30.0,'bolo','0'
673.0,375.0,81.0,99.0,41.0,0.0,56.0,29.0,'ties','0'
754.0,375.0,410.0,81.0,41.0,0.0,60.0,29.0,'and','0'
347.0,416.0,160.0,410.0,41.0,41.0,131.0,37.0,'cowboy','0'
507.0,416.0,104.0,160.0,42.0,41.0,96.0,30.0,'boots','0'
611.0,416.0,35.0,104.0,42.0,41.0,27.0,3.0,?,'0'
646.0,416.0,302.0,35.0,42.0,41.0,169.0,38.0,'explained','0'
347.0,458.0,110.0,302.0,42.0,42.0,74.0,29.0,'how','0'
457.0,458.0,112.0,110.0,41.0,42.0,76.0,37.0,'they','0'
569.0,458.0,226.0,112.0,41.0,42.0,245.0,30.0,'brainstormed','0'
347.0,499.0,91.0,226.0,41.0,41.0,79.0,30.0,'their','0'
438.0,499.0,78.0,91.0,42.0,41.0,64.0,29.0,'way','0'
516.0,499.0,49.0,78.0,42.0,41.0,32.0,25.0,'to','0'
565.0,499.0,31.0,49.0,42.0,41.0,17.0,19.0,'a','0'
596.0,499.0,253.0,31.0,42.0,41.0,218.0,38.0,'sophisticated','0'
347.0,541.0,84.0,253.0,42.0,42.0,67.0,20.0,'new','0'
431.0,541.0,178.0,84.0,42.0,42.0,160.0,34.0,'computer','0'
609.0,541.0,87.0,178.0,42.0,42.0,69.0,39.0,'chip','0'
696.0,541.0,49.0,87.0,42.0,42.0,31.0,28.0,'in','0'
745.0,541.0,400.0,49.0,42.0,42.0,70.0,38.0,'only','0'
348.0,582.0,56.0,400.0,42.0,42.0,32.0,29.0,'16','0'
404.0,582.0,135.0,56.0,41.0,42.0,109.0,35.0,'weeks,','0'
539.0,582.0,56.0,135.0,41.0,42.0,33.0,29.0,'10','0'
595.0,582.0,126.0,56.0,41.0,42.0,101.0,29.0,'weeks','0'
721.0,582.0,376.0,126.0,41.0,42.0,93.0,29.0,'faster','0'
348.0,623.0,100.0,376.0,41.0,41.0,74.0,29.0,'than','0'
448.0,623.0,79.0,100.0,41.0,41.0,52.0,30.0,'the','0'
527.0,623.0,145.0,79.0,41.0,41.0,118.0,29.0,'normal','0'
672.0,623.0,327.0,145.0,41.0,41.0,142.0,38.0,'develop-','0'
348.0,664.0,99.0,327.0,41.0,41.0,84.0,24.0,'ment','0'
447.0,664.0,97.0,99.0,43.0,41.0,81.0,30.0,'time.','0'
544.0,664.0,80.0,97.0,43.0,41.0,65.0,29.0,'The','0'
624.0,664.0,92.0,80.0,43.0,41.0,78.0,39.0,'chip,','0'
716.0,664.0,370.0,92.0,43.0,41.0,98.0,29.0,'which','0'
349.0,706.0,130.0,370.0,43.0,43.0,101.0,30.0,'allows','0'
479.0,706.0,186.0,130.0,43.0,43.0,158.0,28.0,'Motorola','0'
665.0,706.0,61.0,186.0,43.0,43.0,32.0,25.0,'to','0'
726.0,706.0,381.0,61.0,43.0,43.0,89.0,30.0,'make','0'
348.0,748.0,146.0,381.0,43.0,43.0,123.0,29.0,'cellular','0'
494.0,748.0,143.0,146.0,41.0,43.0,119.0,38.0,'phones','0'
637.0,748.0,154.0,143.0,41.0,43.0,129.0,34.0,'smaller,','0'
791.0,748.0,445.0,154.0,41.0,43.0,24.0,30.0,'is','0'
348.0,789.0,187.0,445.0,41.0,41.0,161.0,39.0,'expected','0'
535.0,789.0,62.0,187.0,42.0,41.0,34.0,25.0,'to','0'
597.0,789.0,91.0,62.0,42.0,41.0,64.0,29.0,'add','0'
688.0,789.0,342.0,91.0,42.0,41.0,126.0,30.0,'several','0'
349.0,830.0,162.0,342.0,42.0,42.0,141.0,30.0,'hundred','0'
511.0,830.0,140.0,162.0,43.0,42.0,117.0,30.0,'million','0'
651.0,830.0,134.0,140.0,43.0,42.0,112.0,30.0,'dollars','0'
785.0,830.0,440.0,134.0,43.0,42.0,30.0,29.0,'in','0'
348.0,872.0,145.0,440.0,43.0,43.0,133.0,20.0,'revenue','0'
493.0,872.0,51.0,145.0,58.0,43.0,39.0,38.0,'by','0'
544.0,872.0,66.0,51.0,58.0,43.0,53.0,29.0,'the','0'
610.0,872.0,74.0,66.0,58.0,43.0,60.0,29.0,'end','0'
684.0,872.0,46.0,74.0,58.0,43.0,36.0,28.0,'of','0'
730.0,872.0,345.0,46.0,58.0,43.0,80.0,29.0,'1996.','0'
388.0,914.0,81.0,345.0,58.0,58.0,67.0,37.0,'Top','0'
469.0,914.0,183.0,81.0,57.0,58.0,169.0,29.0,'executives','0'
652.0,914.0,44.0,183.0,57.0,58.0,30.0,24.0,'at','0'
696.0,914.0,351.0,44.0,57.0,58.0,119.0,29.0,'Motor-','0'
348.0,954.0,64.0,351.0,57.0,57.0,51.0,29.0,'ola','0'
412.0,954.0,132.0,64.0,42.0,57.0,117.0,31.0,'believe','0'
544.0,954.0,81.0,132.0,42.0,57.0,65.0,29.0,'that','0'
625.0,954.0,67.0,81.0,42.0,57.0,51.0,30.0,'the','0'
692.0,954.0,347.0,67.0,42.0,57.0,122.0,29.0,'compa-','0'
348.0,996.0,81.0,347.0,42.0,42.0,63.0,38.0,'ny's','0'
429.0,996.0,120.0,81.0,42.0,42.0,102.0,29.0,'future','0'
549.0,996.0,213.0,120.0,42.0,42.0,196.0,39.0,'increasingly','0'
762.0,996.0,417.0,213.0,42.0,42.0,52.0,29.0,'de-','0'
348.0,1038.0,140.0,417.0,42.0,42.0,106.0,38.0,'pends','0'
488.0,1038.0,76.0,140.0,41.0,42.0,43.0,21.0,'on','0'
564.0,1038.0,178.0,76.0,41.0,42.0,145.0,30.0,'workers','0'
742.0,1038.0,397.0,178.0,41.0,42.0,73.0,29.0,'who','0'
348.0,1079.0,136.0,397.0,41.0,41.0,116.0,39.0,'display','0'
484.0,1079.0,80.0,136.0,43.0,41.0,59.0,30.0,'this','0'
564.0,1079.0,94.0,80.0,43.0,41.0,74.0,30.0,'kind','0'
658.0,1079.0,55.0,94.0,43.0,41.0,36.0,29.0,'of','0'
713.0,1079.0,367.0,55.0,43.0,41.0,101.0,30.0,'inven-','0'
349.0,1121.0,138.0,367.0,43.0,43.0,130.0,29.0,'tiveness','0'
487.0,1121.0,69.0,138.0,41.0,43.0,61.0,29.0,'and','0'
556.0,1121.0,213.0,69.0,41.0,43.0,204.0,39.0,'adaptability.','0'
769.0,1121.0,422.0,213.0,41.0,43.0,46.0,29.0,'To','0'
349.0,1162.0,99.0,422.0,41.0,41.0,75.0,39.0,'help','0'
448.0,1162.0,64.0,99.0,43.0,41.0,40.0,28.0,'its','0'
512.0,1162.0,208.0,64.0,43.0,41.0,184.0,39.0,'employees','0'
720.0,1162.0,373.0,208.0,43.0,41.0,95.0,30.0,'grow,','0'
350.0,1204.0,167.0,373.0,43.0,43.0,158.0,29.0,'Motorola','0'
517.0,1204.0,96.0,167.0,41.0,43.0,87.0,38.0,'plans','0'
613.0,1204.0,43.0,96.0,41.0,43.0,33.0,24.0,'to','0'
656.0,1204.0,125.0,43.0,41.0,43.0,114.0,30.0,'double','0'
781.0,1204.0,434.0,125.0,41.0,43.0,36.0,29.0,'its','0'
349.0,1244.0,189.0,434.0,41.0,41.0,164.0,31.0,'education','0'
538.0,1244.0,130.0,189.0,42.0,41.0,107.0,30.0,'efforts','0'
668.0,1244.0,96.0,130.0,42.0,41.0,73.0,21.0,'over','0'
764.0,1244.0,418.0,96.0,42.0,41.0,52.0,29.0,'the','0'
349.0,1286.0,78.0,418.0,42.0,42.0,70.0,25.0,'next','0'
427.0,1286.0,67.0,78.0,42.0,42.0,60.0,30.0,'five','0'
494.0,1286.0,105.0,67.0,42.0,42.0,94.0,29.0,'years.','0'
599.0,1286.0,52.0,105.0,42.0,42.0,44.0,38.0,'By','0'
651.0,1286.0,62.0,52.0,42.0,42.0,52.0,29.0,'the','0'
713.0,1286.0,69.0,62.0,42.0,42.0,60.0,29.0,'end','0'
782.0,1286.0,436.0,69.0,42.0,42.0,36.0,29.0,'of','0'
349.0,1328.0,81.0,436.0,42.0,42.0,52.0,29.0,'the','0'
430.0,1328.0,154.0,81.0,42.0,42.0,124.0,35.0,'decade,','0'
584.0,1328.0,114.0,154.0,42.0,42.0,87.0,29.0,'every','0'
698.0,1328.0,353.0,114.0,42.0,42.0,118.0,30.0,'worker','0'
348.0,1369.0,74.0,353.0,42.0,42.0,59.0,30.0,'will','0'
422.0,1369.0,102.0,74.0,41.0,42.0,88.0,38.0,'study','0'
524.0,1369.0,52.0,102.0,41.0,42.0,37.0,29.0,'80','0'
576.0,1369.0,47.0,52.0,41.0,42.0,33.0,25.0,'to','0'
623.0,1369.0,67.0,47.0,41.0,42.0,53.0,29.0,'100','0'
690.0,1369.0,110.0,67.0,41.0,42.0,95.0,30.0,'hours','0'
800.0,1369.0,454.0,110.0,41.0,42.0,17.0,20.0,'a','0'
348.0,1410.0,105.0,454.0,41.0,41.0,80.0,29.0,'year,','0'
453.0,1410.0,122.0,105.0,43.0,41.0,98.0,29.0,'which','0'
575.0,1410.0,84.0,122.0,43.0,41.0,58.0,29.0,'will','0'
659.0,1410.0,105.0,84.0,43.0,41.0,79.0,38.0,'push','0'
764.0,1410.0,417.0,105.0,43.0,41.0,52.0,29.0,'the','0'
350.0,1452.0,198.0,417.0,43.0,43.0,175.0,39.0,'company's','0'
548.0,1452.0,153.0,198.0,41.0,43.0,130.0,39.0,'training','0'
701.0,1452.0,355.0,153.0,41.0,43.0,115.0,38.0,'budget','0'
349.0,1492.0,66.0,355.0,41.0,41.0,42.0,29.0,'up','0'
415.0,1492.0,57.0,66.0,43.0,41.0,32.0,25.0,'to','0'
472.0,1492.0,118.0,57.0,43.0,41.0,94.0,30.0,'about','0'
590.0,1492.0,100.0,118.0,43.0,41.0,77.0,34.0,'$300','0'
690.0,1492.0,343.0,100.0,43.0,41.0,125.0,29.0,'million.','0'
350.0,1534.0,93.0,343.0,43.0,43.0,79.0,29.0,'How','0'
443.0,1534.0,92.0,93.0,42.0,43.0,78.0,38.0,'risky','0'
535.0,1534.0,38.0,92.0,42.0,43.0,24.0,29.0,'is','0'
573.0,1534.0,67.0,38.0,42.0,43.0,52.0,29.0,'the','0'
640.0,1534.0,106.0,67.0,42.0,43.0,90.0,38.0,'plan?','0'
746.0,1534.0,399.0,106.0,42.0,43.0,70.0,29.0,'Mo-','0'
350.0,1576.0,112.0,399.0,42.0,42.0,100.0,29.0,'torola','0'
462.0,1576.0,53.0,112.0,42.0,42.0,39.0,29.0,'U.','0'
515.0,1576.0,170.0,53.0,42.0,42.0,157.0,30.0,'President','0'
685.0,1576.0,339.0,170.0,42.0,42.0,132.0,30.0,'William','0'
349.0,1617.0,229.0,339.0,42.0,42.0,207.0,39.0,'Wiggenhorn','0'
578.0,1617.0,140.0,229.0,42.0,42.0,119.0,30.0,'doesn't','0'
718.0,1617.0,372.0,140.0,42.0,42.0,98.0,34.0,'know,','0'
349.0,1659.0,81.0,372.0,42.0,42.0,55.0,30.0,'but','0'
430.0,1659.0,65.0,81.0,42.0,42.0,39.0,29.0,'he','0'
495.0,1659.0,150.0,65.0,42.0,42.0,123.0,30.0,'worries','0'
645.0,1659.0,120.0,150.0,42.0,42.0,94.0,30.0,'about','0'
765.0,1659.0,418.0,120.0,42.0,42.0,51.0,29.0,'de-','0'
350.0,1700.0,179.0,418.0,42.0,42.0,155.0,38.0,'manding','0'
529.0,1700.0,83.0,179.0,43.0,42.0,57.0,25.0,'too','0'
612.0,1700.0,120.0,83.0,43.0,42.0,95.0,29.0,'much','0'
732.0,1700.0,386.0,120.0,43.0,42.0,85.0,29.0,'from','0'
349.0,1742.0,158.0,386.0,43.0,43.0,141.0,35.0,'workers,','0'
507.0,1742.0,105.0,158.0,42.0,43.0,90.0,29.0,'many','0'
612.0,1742.0,46.0,105.0,42.0,43.0,35.0,29.0,'of','0'
658.0,1742.0,119.0,46.0,42.0,43.0,102.0,29.0,'whom','0'
777.0,1742.0,429.0,119.0,42.0,43.0,40.0,29.0,'al-','0'
350.0,1783.0,103.0,429.0,42.0,42.0,92.0,38.0,'ready','0'
453.0,1783.0,69.0,103.0,207.0,42.0,55.0,34.0,'put','0'
522.0,1783.0,43.0,69.0,207.0,42.0,30.0,29.0,'in','0'
565.0,1783.0,141.0,43.0,207.0,42.0,131.0,29.0,'60-hour','0'
