@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'MARKE','ADAR,','It'','Our','indicators','seem','to','be','settling','into','a','cautious','neutrality','that','should','favor','only','clever','stock','pickers.','Fundamental','measures','remain','on','the','weak','side,','meanwhile,','making','any','broad-based','rise','unlikely.','The','most','worrying','news','this','month','is','hefty','in','raw-materials','prices,','which','could','heat','up','Inflation.','But','upside,','optimism','among','investment','advisors','has','leveled','off.','These','guys','are','wrong','so','often','we','see','as','good','sign.','As','usual,','each','of','our','market','gets','historical','rating','(10','Is','bullish)','and','an','arrow','(message','for','month).','41111','Composite','Bellwether','(5','month/4','last','month)','This','Commodity','Index','(3/4)','Supplied','by','Goldman,','Sachs,','mea-','index,','computed','InvesTech,','tracks','utility','brokerage','stocks,','sure','raw-material','prices','jumped','nearly','4','percent','month,','usually','predict','turns.','indicator','been','tracking','upward','along','driven','increases','energy','precious','metals.','index','now','shows','with','broader','market,','but','weakness','utilities','remains','drag.','net','1.5','1995','date,','boding','ill','inflation.','410','Put/Cali','Ratio','(4/5)','Based','volume','equity','put','call','Consumer','Corporate','Debt','(5/5)','aggregate','options','traded','Chicago','Board','Options','Exchange.','contrarian','private','debt','resumed','its','trend,','bad','turns','negative','if','traders','betting','surge-which','they','being','fueled','partly','dramatic','growth','real-estate','lending,','have','lately,','after','noncommittal','three','months.','probably','will','slow','down','soon.','Provided','Safian','Investment','Research.','Advance/Decline','Line','(3/2)','A','moving','average','differ-','j','Yield','(3/3)','ratio','between','yields','90-day','Treasury','bills','ence','number','rising','falling','whether','S&P','500,','Leuthold','Group.','T-bill','com-','moves','broadly','or','narrowly','based.','Computed','ing','down-off','almost','0.3','percentage','points','from','January','high-but','measure','recently','bounced','back','provide','support','Dow's','run-up.','yield','faster.','gap','may','begin','narrow','soon,','though.','41.','Advisory','Sentiment','(6/6)','tend','fol-','II','Monetary','Environment','model','InvesTech','lowers,','not','leaders.','Historically,','get','excited','at','tops.','We','sures','how','Federal','Reserve','Bank','policy','affects','credit','availability,','interest','fretted','their','waxed','ever','stronger,','rates,','other','factors','encourage','money','flow','mar-','feeling','seems','plateaued.','Compiled','Investors','Intelligence.','ket.','It','stable,','little','hope','near-term','improvement.','INDUSTRY','SECTORS','Acquisition','fever','dominated','spending','picks','up,','says','Elliott','1,-,h,','12-,1,111ril','-II','da,','12.-111011til','2;-.','4'',',7,,,','Losers',',','holm','11,;4','April,','Chuck','Carlson,','editor','Rogers','Cowen','&','Co.','-2',')','-4','F','41','4,=,','Dow','Theory','Forecasts','Communications','media','Electronics-defense','13.8%','24.9%','Broadcast','-8.3%','6.7%','newsletter','Hammond,','Indiana.','stocks','were','battered','fierce','E-Systems','44.6%','52.9%','Tele-Communications','Cl.','A-8.5%','-11.5%','continue,"','he','pre-','competition,','cable','enters','sayings','loan','holing','13.4','14.3','Beverages-alcoholic','-5.1','2.5','am','dicts,','telephone','business','vice','Great','Western','Financial','14.0','21.6','Seagram','-11.7','-2.7','dollar','assets','look','at-','versa.','Moody's','considering','Aluminum','10.4','30.1','Health','care-HMOs','-4.6','-4.0','tractive','foreign','buyers."','downgrading','public','America','13.0','31.1','U.S.','Healthcare','-6.8','-11.4','acquired','encA','Inc.','AT&T','Machinery-diversified','9.9','3.6','Trucking','-4.4','-19.3','got','hammered,','use','cash','short-term','Clark','Equipment','69.4','33.2','Roadway','Services','-10.6','-29.3','Chrysler','shares','20','finance','$3.3','billion','buyout','Automobiles','-14.1','Home','building','-19.4','Kirk','Kerko-','um','Broadcasting.','20.4','-5.7','Pulte','-8.3','rian's','offer.','Shares','construc-','auto','Manufactured','housing','9.1','171','Retail-drugstores','-3.6','14.1','tion-machinery','maker','rebounded.','cycli-','Fleetwood','Enterprises','11.1','21.8','Rite','Aid','-8.5','22.0','.ed','rose','cals,"','Peter','Anker,','senior','Machine','tools','-8.0','Tdecomm.-Iong','distance','-2.3','-0.4','70','metals','analyst','NatWest','Secu-','Cincinnati','Milacron','20.1','22.3','-5.0','1.3',',/','01','I','Ingersoll-','rities.','quarter','people','love','Rand','agreed','them,','next','Chemicals-diversified','8.9','18.8','Containers-metal','glass','-2.2','17.9','Engelhard','40.4','47.8','Crown','Cork','Seal','12.9','buy','company,','while','don't."','Anker','expects','shot','$64','aluminum','industry,','Akins','8.3','9.6','Hospital','management','-2.1','2.7','$45','Southwest','Airlines','12.4','-37.9','Columbia/HCA','3.8','Raytheon','announced','particularly','Alcoa,','thanks','de-','intended','takeover.','Consoll-','mand','construction,','packag-','Communication-equip.','mfrs.','7.6','44.6','Retail-specialty','-1.8','-0.3','dation','defense','contrac-','ing,','durables,','Cisco','Systems','16.6','35.6','Pep','Boys','-16.7','-4.3','consumer','Stock','biggest','gain','loss','sector','appears','italics.','Source:','Compustat.','tors','continue','until','military','industry.-Manjeet','KrIpalani','46','worth','JUNE'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
781.0,263.0,805.0,0.0,459.0,0.0,386.0,63.0,'MARKE','0'
1586.0,263.0,355.0,805.0,459.0,0.0,300.0,63.0,'ADAR,','0'
1236.0,322.0,981.0,355.0,459.0,459.0,19.0,24.0,'It'','0'
260.0,418.0,63.0,981.0,981.0,981.0,54.0,25.0,'Our','0'
323.0,418.0,164.0,63.0,41.0,981.0,156.0,25.0,'indicators','0'
487.0,418.0,91.0,164.0,41.0,981.0,82.0,19.0,'seem','0'
578.0,418.0,41.0,91.0,41.0,981.0,32.0,24.0,'to','0'
619.0,418.0,45.0,41.0,41.0,981.0,36.0,26.0,'be','0'
664.0,418.0,129.0,45.0,41.0,981.0,121.0,31.0,'settling','0'
793.0,418.0,67.0,129.0,41.0,981.0,59.0,25.0,'into','0'
860.0,418.0,27.0,67.0,41.0,981.0,17.0,20.0,'a','0'
887.0,418.0,143.0,27.0,41.0,981.0,134.0,25.0,'cautious','0'
1030.0,418.0,157.0,143.0,41.0,981.0,149.0,31.0,'neutrality','0'
1187.0,418.0,72.0,157.0,41.0,981.0,64.0,26.0,'that','0'
1259.0,418.0,111.0,72.0,41.0,981.0,102.0,26.0,'should','0'
1370.0,418.0,87.0,111.0,41.0,981.0,79.0,26.0,'favor','0'
1457.0,418.0,72.0,87.0,41.0,981.0,64.0,30.0,'only','0'
1529.0,418.0,102.0,72.0,41.0,981.0,94.0,25.0,'clever','0'
1631.0,418.0,95.0,102.0,41.0,981.0,86.0,25.0,'stock','0'
1726.0,418.0,132.0,95.0,41.0,981.0,122.0,31.0,'pickers.','0'
1858.0,418.0,216.0,132.0,41.0,981.0,205.0,26.0,'Fundamental','0'
2074.0,418.0,160.0,216.0,41.0,981.0,151.0,20.0,'measures','0'
2234.0,418.0,116.0,160.0,41.0,981.0,107.0,25.0,'remain','0'
2350.0,418.0,46.0,116.0,41.0,981.0,37.0,19.0,'on','0'
2396.0,418.0,2137.0,46.0,41.0,981.0,51.0,25.0,'the','0'
260.0,459.0,91.0,2137.0,41.0,41.0,84.0,25.0,'weak','0'
351.0,459.0,83.0,91.0,43.0,41.0,74.0,31.0,'side,','0'
434.0,459.0,189.0,83.0,43.0,41.0,180.0,30.0,'meanwhile,','0'
623.0,459.0,124.0,189.0,43.0,41.0,117.0,32.0,'making','0'
747.0,459.0,63.0,124.0,43.0,41.0,54.0,25.0,'any','0'
810.0,459.0,201.0,63.0,43.0,41.0,191.0,26.0,'broad-based','0'
1011.0,459.0,65.0,201.0,43.0,41.0,56.0,26.0,'rise','0'
1076.0,459.0,138.0,65.0,43.0,41.0,130.0,31.0,'unlikely.','0'
1214.0,459.0,65.0,138.0,43.0,41.0,56.0,26.0,'The','0'
1279.0,459.0,84.0,65.0,43.0,41.0,78.0,25.0,'most','0'
1363.0,459.0,145.0,84.0,43.0,41.0,137.0,31.0,'worrying','0'
1508.0,459.0,87.0,145.0,43.0,41.0,80.0,20.0,'news','0'
1595.0,459.0,68.0,87.0,43.0,41.0,60.0,26.0,'this','0'
1663.0,459.0,108.0,68.0,43.0,41.0,99.0,25.0,'month','0'
1771.0,459.0,34.0,108.0,43.0,41.0,26.0,25.0,'is','0'
1805.0,459.0,26.0,34.0,43.0,41.0,17.0,19.0,'a','0'
1831.0,459.0,87.0,26.0,43.0,41.0,78.0,31.0,'hefty','0'
1918.0,459.0,66.0,87.0,43.0,41.0,57.0,25.0,'rise','0'
1984.0,459.0,37.0,66.0,43.0,41.0,27.0,25.0,'in','0'
2021.0,459.0,223.0,37.0,43.0,41.0,214.0,25.0,'raw-materials','0'
2244.0,459.0,111.0,223.0,43.0,41.0,103.0,31.0,'prices,','0'
2355.0,459.0,2094.0,111.0,43.0,41.0,92.0,26.0,'which','0'
262.0,501.0,93.0,2094.0,43.0,43.0,83.0,25.0,'could','0'
355.0,501.0,77.0,93.0,42.0,43.0,69.0,26.0,'heat','0'
432.0,501.0,45.0,77.0,42.0,43.0,36.0,24.0,'up','0'
477.0,501.0,148.0,45.0,42.0,43.0,137.0,26.0,'Inflation.','0'
625.0,501.0,60.0,148.0,42.0,43.0,53.0,26.0,'But','0'
685.0,501.0,45.0,60.0,42.0,43.0,37.0,19.0,'on','0'
730.0,501.0,60.0,45.0,42.0,43.0,51.0,26.0,'the','0'
790.0,501.0,119.0,60.0,42.0,43.0,110.0,32.0,'upside,','0'
909.0,501.0,153.0,119.0,42.0,43.0,143.0,31.0,'optimism','0'
1062.0,501.0,114.0,153.0,42.0,43.0,107.0,28.0,'among','0'
1176.0,501.0,181.0,114.0,42.0,43.0,174.0,26.0,'investment','0'
1357.0,501.0,138.0,181.0,42.0,43.0,129.0,26.0,'advisors','0'
1495.0,501.0,63.0,138.0,42.0,43.0,54.0,25.0,'has','0'
1558.0,501.0,118.0,63.0,42.0,43.0,109.0,26.0,'leveled','0'
1676.0,501.0,57.0,118.0,42.0,43.0,49.0,26.0,'off.','0'
1733.0,501.0,100.0,57.0,42.0,43.0,92.0,26.0,'These','0'
1833.0,501.0,79.0,100.0,42.0,43.0,71.0,28.0,'guys','0'
1912.0,501.0,57.0,79.0,42.0,43.0,49.0,20.0,'are','0'
