@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'poor','economy.','In','the','North','American','market,','automotive','as','a','member','of','industry','groups','at','non-owned','sites,','to','deter-','and','truck','brakes,','safety','restraints,','aftermarket','products','mine','feasibility','various','remedial','techniques','address','turbochargers','had','substantial','earnings','growth.','Productivity','environmental','matters.','The','Company','records','appropriate','lia-','improvements','higher','sales','volumes','substantially','reduced','bilities','for','such','matters','when','assessments','are','prior','year','losses','in','Brazil.','1993','results','include','an','after-','made','or','efforts','probable','costs','can','be','tax','charge','$3','million','reflecting','current','year's','impact','reasonably','estimated.','timing','these','accruals','is','generally','adopting','FASB','No.','112.','on','completion','studies','settlement','introduced','new','ABS','Europe','claims,','but','no','event','later','than','Company's','commitment','U.S.','which','strengthened','its','position','braking','plan','action.','systems','vehicle','production.','Although','market','share','Remedial','response','voluntary','cleanup','expenditures','remains','less','10','percent,','developing','were','$65','$69','1992,','respectively,','more','advanced','technology','that','should','strengthen','competi-','currently','estimated','increase','approximately','$96','mil-','tive','by','1996.','lion','1994.','While','annual','have','Increased','competitive','activity','across','all','product','lines','increased','from','year-to-year,','may','continue','over','increasing','cost','demands','customers','will','time,','expects','it','able','fund','put','pressure','busi-','cash','flow','operations.','ness.','However,','believes','offset','depends','number','factors,','including','regu-','conditions','through','innovation,','aggres-','latory','approval','projects,','sive','productivity','actions','reduce','accelerating','utilized','agreements','with','other','parties.','process','supplying','integrated','During','charged','$41','against','global','marketplace.','To','improve','operating','efficiencies,','income','costs.','At','initiated','plans','1991','1992','significantly','December','31,','recorded','liability','worldwide','locations.','By','end','was','$480','million.','addition,','incurred','1993,','20','plants','been','closed.','Sales','offices,','distri-','ongoing','costs,','capital','bution','centers','research','development','facilities','$39','million,','relating','compliance','also','being','consolidated.','regulations.','Adjusted','does','not','possess','suffi-','Engineered','Materials','Net','Income','cient','information','estimate','amounts','liabili-','$2,791','$269','$272','ties','upon','future','2,601','190','215','settlements,','neither','nor','amount','Increase','$','79','57','ultimate','associated','7','percent','increase.','determined,','they','significant','consoli-','fluorine','products,','environmentally-safer','substi-','dated','Management','expect','tutes','CFCs,','laminate','material','adverse','effect','grew','sys-','tems,','oximes,','performance','additives','tar','consolidated','financial','Company.','materially','higher.','carpet','industrial','fibers','See','Note','19','Notes','Financial','Statements','discus-','improved,','intermediate','chemicals','environ-','sion','commitments','contingencies,','mental','catalysts','lower','because','weak','those','related','conditions.','Inflation','has','factor','Materials'','adjusted','net','recent','years.','Cost','increases','labor','strong','gains','low,','any','pro-','improved','fibers,','ductivity','enhancement','programs.','revenues','per-','formance','products.','Results','UOP.','Partially','offsetting','systems,','demand','inancial','Condition.','Cash','Paxon.','activities','result','after-tax','$2','growth','strengthening','bal-','ance','sheet','reflects','greatly','operat-','Regarding','matters,','ing','working','customer','subject','federal,','state','local','requirements','advance.','protection','environment.','Total','assets','$10,829','that,','general','matter,','policies,','practices','procedures','$73','1992.','properly','designed','prevent','unreasonable','risk','equivalents','year-end','$892','damage','handling,','manufacture,','use','lion,','decrease','however,','investments','disposal','hazardous','toxic','substances','accord','classified','long-term','$40','$90','laws','mainly','1993.','flows','activities,','past','operations','predecessor','companies,','vided','reduc-','party','lawsuits','claims','tion','capital,','$111','cur-','asso-','rent','ratio','1.3x,','down','slightly','1.4x','ciated','Additional','lawsuits,','Mainly','reduction','involving','likely','con-','accounts','receivable','inventories,','tinue','arise','future.','continually','turnover','4.8x','ducts','studies,','individually','Company-owned','jointly','4.5x','earlier.','23'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
123.0,173.0,97.0,0.0,47.0,0.0,84.0,29.0,'poor','0'
220.0,173.0,182.0,97.0,47.0,0.0,166.0,29.0,'economy.','0'
402.0,173.0,49.0,182.0,47.0,0.0,35.0,26.0,'In','0'
451.0,173.0,68.0,49.0,47.0,0.0,54.0,29.0,'the','0'
519.0,173.0,115.0,68.0,47.0,0.0,102.0,28.0,'North','0'
634.0,173.0,180.0,115.0,47.0,0.0,167.0,27.0,'American','0'
814.0,173.0,145.0,180.0,47.0,0.0,128.0,34.0,'market,','0'
959.0,173.0,314.0,145.0,47.0,0.0,192.0,27.0,'automotive','0'
1273.0,173.0,46.0,314.0,47.0,0.0,32.0,21.0,'as','0'
1319.0,173.0,31.0,46.0,47.0,0.0,17.0,20.0,'a','0'
1350.0,173.0,158.0,31.0,47.0,0.0,145.0,29.0,'member','0'
1508.0,173.0,47.0,158.0,47.0,0.0,37.0,28.0,'of','0'
1555.0,173.0,155.0,47.0,47.0,0.0,142.0,37.0,'industry','0'
1710.0,173.0,132.0,155.0,47.0,0.0,118.0,29.0,'groups','0'
1842.0,173.0,43.0,132.0,47.0,0.0,30.0,24.0,'at','0'
1885.0,173.0,210.0,43.0,47.0,0.0,196.0,28.0,'non-owned','0'
2095.0,173.0,99.0,210.0,47.0,0.0,82.0,32.0,'sites,','0'
2194.0,173.0,47.0,99.0,47.0,0.0,32.0,23.0,'to','0'
2241.0,173.0,2118.0,47.0,47.0,0.0,98.0,29.0,'deter-','0'
124.0,219.0,75.0,2118.0,47.0,47.0,61.0,28.0,'and','0'
199.0,219.0,105.0,75.0,47.0,47.0,91.0,28.0,'truck','0'
304.0,219.0,136.0,105.0,47.0,47.0,119.0,34.0,'brakes,','0'
440.0,219.0,110.0,136.0,47.0,47.0,97.0,37.0,'safety','0'
550.0,219.0,182.0,110.0,47.0,47.0,165.0,32.0,'restraints,','0'
732.0,219.0,211.0,182.0,47.0,47.0,198.0,28.0,'aftermarket','0'
943.0,219.0,168.0,211.0,47.0,47.0,153.0,37.0,'products','0'
1111.0,219.0,161.0,168.0,47.0,47.0,61.0,28.0,'and','0'
1272.0,219.0,100.0,161.0,47.0,47.0,85.0,27.0,'mine','0'
1372.0,219.0,68.0,100.0,47.0,47.0,54.0,28.0,'the','0'
1440.0,219.0,177.0,68.0,47.0,47.0,163.0,38.0,'feasibility','0'
1617.0,219.0,46.0,177.0,47.0,47.0,36.0,28.0,'of','0'
1663.0,219.0,138.0,46.0,47.0,47.0,123.0,27.0,'various','0'
1801.0,219.0,162.0,138.0,47.0,47.0,147.0,29.0,'remedial','0'
1963.0,219.0,202.0,162.0,47.0,47.0,188.0,38.0,'techniques','0'
2165.0,219.0,48.0,202.0,47.0,47.0,33.0,24.0,'to','0'
2213.0,219.0,2091.0,48.0,47.0,47.0,127.0,28.0,'address','0'
123.0,265.0,254.0,2091.0,47.0,47.0,240.0,36.0,'turbochargers','0'
377.0,265.0,77.0,254.0,46.0,47.0,63.0,28.0,'had','0'
454.0,265.0,195.0,77.0,46.0,47.0,182.0,29.0,'substantial','0'
649.0,265.0,159.0,195.0,46.0,47.0,145.0,35.0,'earnings','0'
808.0,265.0,149.0,159.0,46.0,47.0,132.0,35.0,'growth.','0'
957.0,265.0,315.0,149.0,46.0,47.0,210.0,37.0,'Productivity','0'
1272.0,265.0,263.0,315.0,46.0,47.0,249.0,28.0,'environmental','0'
1535.0,265.0,152.0,263.0,46.0,47.0,136.0,24.0,'matters.','0'
1687.0,265.0,81.0,152.0,46.0,47.0,66.0,29.0,'The','0'
1768.0,265.0,178.0,81.0,46.0,47.0,165.0,37.0,'Company','0'
1946.0,265.0,143.0,178.0,46.0,47.0,128.0,28.0,'records','0'
2089.0,265.0,216.0,143.0,46.0,47.0,201.0,35.0,'appropriate','0'
