@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'In','summary,','for','the','cases','examined,','costs','ranged','from','$10.8','to','$20.5','billion','two','repositories.','The','of','individual','repositories','$5.3','$11.4','billion.','repository','cost','improved-performance','system','is','about','$1.0','lower','than','that','authorized','system,','and','all','this','difference','attributed','first','repository.','5.3','COMPARISON','WITH','PREVIOUS','COST','ESTIMATES','current','repository-cost','estimates','were','developed','independently','last','year's','estimates,2','therefore','many','differences','become','evident','when','are','compared','with','1986','TSLCC','estimates.','summarized','in','Tables','5-3','5-4','respectively.','range','-13','+17','percent.','a','tuff','increased','by','1','8','percent,','those','salt','15','17','percent;','basalt','0','2','per-','cent.','second','less','Table','Comparison','Reference-Case','First-Repository','Costs','Improved-Performance','System','Estimates'','(Billions','dollars)','Closure','Repository','Site','Construction','Operation','Decommissioning','Total','Basalt','1987','3.04','6.89','0.51','10.44','1.84','8.15','0.22','10.21','Change')','+1.20','-1.26','+0.29','+0.23','Salt','1.78','5.80','0.35','7.93','1.60','5.09','0.19','6.88','Change"','+0.18','+0.71','+0.16','+1.05','Tuff','0.84','4.21','0.37','5.42','0.98','4.30','0.07','5.35','Changeb','-0.14','+0.09','+0.30','+0.07',''Estimates','U.S.','Department','Energy,','Office','Civilian','Radioactive','Waste','Management,','Analysis','Life','Cycle','Cost','Management','Program,','DOE/RW-0047,','April','1986.','b','estimate','minus','estimate.','-87-'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
410.0,175.0,75.0,0.0,143.0,0.0,45.0,28.0,'In','0'
485.0,175.0,228.0,75.0,143.0,0.0,192.0,29.0,'summary,','0'
713.0,175.0,103.0,228.0,143.0,0.0,70.0,31.0,'for','0'
816.0,175.0,101.0,103.0,143.0,0.0,68.0,31.0,'the','0'
917.0,175.0,150.0,101.0,143.0,0.0,118.0,21.0,'cases','0'
1067.0,175.0,255.0,150.0,143.0,0.0,218.0,36.0,'examined,','0'
1322.0,175.0,99.0,255.0,143.0,0.0,68.0,29.0,'the','0'
1421.0,175.0,152.0,99.0,143.0,0.0,119.0,28.0,'costs','0'
1573.0,175.0,177.0,152.0,143.0,0.0,146.0,37.0,'ranged','0'
1750.0,175.0,126.0,177.0,143.0,0.0,97.0,31.0,'from','0'
1876.0,175.0,152.0,126.0,143.0,0.0,119.0,41.0,'$10.8','0'
2028.0,175.0,74.0,152.0,143.0,0.0,43.0,27.0,'to','0'
2102.0,175.0,1824.0,74.0,143.0,0.0,119.0,40.0,'$20.5','0'
279.0,231.0,206.0,1824.0,143.0,143.0,176.0,31.0,'billion','0'
485.0,231.0,103.0,206.0,46.0,143.0,70.0,31.0,'for','0'
588.0,231.0,100.0,103.0,46.0,143.0,68.0,26.0,'two','0'
688.0,231.0,379.0,100.0,46.0,143.0,318.0,39.0,'repositories.','0'
1067.0,231.0,102.0,379.0,46.0,143.0,71.0,30.0,'The','0'
1169.0,231.0,150.0,102.0,46.0,143.0,119.0,27.0,'costs','0'
1319.0,231.0,78.0,150.0,46.0,143.0,45.0,31.0,'of','0'
1397.0,231.0,277.0,78.0,46.0,143.0,244.0,32.0,'individual','0'
1674.0,231.0,329.0,277.0,46.0,143.0,296.0,40.0,'repositories','0'
