@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'Management's','Discussion','and','Analysis','his','discussion','should','be','read','in','conjunction','with','the','consolidated','financial','statements','accompanying','notes','supplemental','information.','(millions','of','dollars','except','per-share','amounts)','1993','1992','1991','Income','before','cumulative','effects','accounting','changes','$1,820','$','850','$1,173','Cumulative','(924)','311','Rate','Return*','Net','income','(loss)','(74)','$1,484','Return','on','Shareholders','Equity','per','share','Capital','Employed','3.66','1.71','2.36','percent','(.15)','2.98','15','vs.','Consolidated','net','for','amounted','to','million,','compared','a','loss','$74','million','incurred','1992.','Excluding','adoption','Statement','(SFAS)','Cash','Dividends*','Financial','Accounting','Standards','No.','106,','Postretirement','Benefits','Dividends','Paid','Other','Than','Pensions,"','SFAS','109,','Taxes,"','earnings','were','$850','million.','in-','89','90','91','92','93','4.00','come','was','which','included','cumu-','lative','benefit','$311','associated','96,','Taxes."','Year-to-year','comparisons','affected','by','various','items,','summarized','table','below:','incr./(decr.)','income)','Gain','dispositions','190','Restructurings','(170)','(805)','(43)','Tax','obligations','other','60','Sharjah','natural','gas','settlement','Casper','refinery','closing','(75)','Amoco','Cadiz','judgment','(47)','exclude','changes.','Favorably','affecting','gains','$190','disposition','certain','Canadian','properties','investments,','tax','benefits','$113','Adversely','results','charges','$170','mil-','lion','writedown','Congo','exploration','production','operations','current','recoverable','value','additional','deferred','taxes','$53','due','effect','rate','change','resulting','from','enactment','Omnibus','Budget','Reconciliation','Act','1993.','Included','$805','strategic','reassessment','business','operations.','Partially','offsetting','$90','related','contract','settlements','revised','esti-','mates','retirement','debt.'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
413.0,158.0,62.0,0.0,62.0,0.0,398.0,48.0,'Management's','0'
413.0,220.0,308.0,62.0,62.0,62.0,285.0,39.0,'Discussion','0'
721.0,220.0,316.0,308.0,64.0,62.0,98.0,39.0,'and','0'
412.0,283.0,907.0,316.0,64.0,64.0,228.0,49.0,'Analysis','0'
1285.0,526.0,70.0,907.0,907.0,907.0,53.0,29.0,'his','0'
1355.0,526.0,210.0,70.0,91.0,907.0,194.0,29.0,'discussion','0'
1565.0,526.0,136.0,210.0,91.0,907.0,120.0,30.0,'should','0'
1701.0,526.0,59.0,136.0,91.0,907.0,43.0,30.0,'be','0'
1760.0,526.0,95.0,59.0,91.0,907.0,79.0,30.0,'read','0'
1855.0,526.0,51.0,95.0,91.0,907.0,35.0,28.0,'in','0'
1906.0,526.0,231.0,51.0,91.0,907.0,215.0,36.0,'conjunction','0'
2137.0,526.0,97.0,231.0,91.0,907.0,82.0,30.0,'with','0'
2234.0,526.0,1027.0,97.0,91.0,907.0,58.0,30.0,'the','0'
1209.0,576.0,247.0,1027.0,91.0,91.0,232.0,29.0,'consolidated','0'
1456.0,576.0,173.0,247.0,51.0,91.0,157.0,30.0,'financial','0'
1629.0,576.0,219.0,173.0,51.0,91.0,202.0,26.0,'statements','0'
1848.0,576.0,84.0,219.0,51.0,91.0,67.0,30.0,'and','0'
1932.0,576.0,286.0,84.0,51.0,91.0,271.0,36.0,'accompanying','0'
2218.0,576.0,1012.0,286.0,51.0,91.0,99.0,26.0,'notes','0'
1208.0,626.0,84.0,1012.0,51.0,51.0,67.0,29.0,'and','0'
1292.0,626.0,263.0,84.0,159.0,51.0,247.0,36.0,'supplemental','0'
1555.0,626.0,385.0,263.0,159.0,51.0,218.0,30.0,'information.','0'
1205.0,784.0,128.0,385.0,159.0,159.0,115.0,28.0,'(millions','0'
1333.0,784.0,36.0,128.0,57.0,159.0,25.0,22.0,'of','0'
1369.0,784.0,102.0,36.0,57.0,159.0,89.0,22.0,'dollars','0'
1471.0,784.0,105.0,102.0,57.0,159.0,93.0,24.0,'except','0'
1576.0,784.0,143.0,105.0,57.0,159.0,130.0,27.0,'per-share','0'
1719.0,784.0,258.0,143.0,57.0,159.0,128.0,28.0,'amounts)','0'
1977.0,784.0,133.0,258.0,57.0,159.0,68.0,23.0,'1993','0'
2110.0,784.0,124.0,133.0,57.0,159.0,62.0,23.0,'1992','0'
