@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'3.','Cash','Flow','Information','6.','Property,','Plant','and','Equipment','The','Consolidated','Statement','of','Flows','provides','infor-','Investment','in','properties','at','December','31,','1993','1992,','mation','about','changes','cash','equivalents,','includ-','detailed','by','industry','segment,','was','as','follows:','ing','excess','daily','requirements','that','is','invested','marketable','securities,','substantially','all','which','have','a','ma-','1992','turity','three','months','or','less','when','acquired.','effect','millions','dollars','Gross','Net','foreign','currency','exchange','rate','fluctuations','on','total','securities','balances','not','significant.','Exploration','production','United','States','$15,057','$','6,935','7,071','provided','operating','activities','reflects','Non-U.S.','12,982','5,008','5,207','payments','for','interest','income','taxes','Refining,','marketing','transportation','9,817','5,797','5,730','1991','Chemicals','5,265','2,668','2,442','Other','operations','768','546','555','Interest','paid','367','550','449','Corporate','684','415','389','Income','632','974','1,341','44,573','$21,369','$21,394','Amounts','related','to','capital','leases','included','above','72','7','92','4.','Inventories','are','shown','the','following','table:','7.','Short-Term','Obligations','Amoco's','short-term','obligations','consist','notes','payable','commercial','paper.','Notes','1993,','totaled','$71','million','an','average','annual','3.2','Crude','oil','petroleum','products','318','$75','percent,','compared','with','Chemical','377','342','3.6','percent','year-end','1992.','Commercial','merchandise','21','26','paper','borrowings','were','$936','Materials','supplies','297','303','.','3.4','1,110','989','$143','3.5','carrying','value','During','year','ended','corporation','Decem-','reduced','certain','inventory','quantities','valued','ber','approximated','estimated','fair','value.','lower','LIFO','costs','prevailing','prior','years.','this','Bank','lines','credit','available','support','reduction','increase','net','approximately','$50','amounted','$490','million.','A','smaller','gain','$500','respectively.','carried','under','method','represented','ap-','All','these','supported','commitment','fees.','proximately','47','also','maintains','compensating','values','48','It','number','banks','various','purposes.','Such','arrange-','inventories','would','been','$900','ments','do','legally','restrict','withdrawal','usage','avail-','higher','than','reported','approxi-','able','funds.','In','aggregate,','they','material','mately','$1.3','billion','if','quan-','relation','liquid','assets.','tities','basis','instead','FIFO','basis.','8.','Accounts','Payable','5.','Amoco','Credit','Corporation','liabilities','$304','$342','million,','amount','re-','(Credit)','wholly','owned','spectively,','checks','issued','bank','bal-','finance','subsidiary','corporation.','primarily','ances','but','yet','presented','collection.','engaged','business','financing','accounts','receivable','through','issuance','9.','Long-Term','Debt','other','borrowings.','long-term','debt','resides','principally','two','financial','information','consolidated','subsidiaries','Company','Canada.','statements','functions','principal','holding','company','chemical','operations,','except','Canadian','selected','activities.','For','years','31:','Revenues','60','71','82','31','37','38','At','Assets,','287','321','385','Liabilities,','244','219','320','Shareholder's','43','102','65','ut','equity'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
72.0,306.0,50.0,0.0,56.0,0.0,30.0,29.0,'3.','0'
122.0,306.0,114.0,50.0,56.0,0.0,97.0,29.0,'Cash','0'
236.0,306.0,117.0,114.0,56.0,0.0,100.0,29.0,'Flow','0'
353.0,306.0,817.0,117.0,56.0,0.0,242.0,29.0,'Information','0'
1170.0,306.0,49.0,817.0,56.0,0.0,30.0,29.0,'6.','0'
1219.0,306.0,202.0,49.0,56.0,0.0,183.0,36.0,'Property,','0'
1421.0,306.0,124.0,202.0,56.0,0.0,107.0,28.0,'Plant','0'
1545.0,306.0,91.0,124.0,56.0,0.0,74.0,29.0,'and','0'
1636.0,306.0,1566.0,91.0,56.0,0.0,223.0,35.0,'Equipment','0'
72.0,362.0,79.0,1566.0,56.0,56.0,63.0,27.0,'The','0'
151.0,362.0,235.0,79.0,45.0,56.0,219.0,27.0,'Consolidated','0'
386.0,362.0,187.0,235.0,45.0,56.0,173.0,26.0,'Statement','0'
573.0,362.0,44.0,187.0,45.0,56.0,31.0,27.0,'of','0'
617.0,362.0,98.0,44.0,45.0,56.0,83.0,27.0,'Cash','0'
715.0,362.0,112.0,98.0,45.0,56.0,97.0,26.0,'Flows','0'
827.0,362.0,157.0,112.0,45.0,56.0,142.0,33.0,'provides','0'
984.0,362.0,185.0,157.0,45.0,56.0,87.0,26.0,'infor-','0'
1169.0,362.0,205.0,185.0,45.0,56.0,190.0,27.0,'Investment','0'
1374.0,362.0,45.0,205.0,45.0,56.0,30.0,25.0,'in','0'
1419.0,362.0,185.0,45.0,45.0,56.0,169.0,31.0,'properties','0'
1604.0,362.0,45.0,185.0,45.0,56.0,31.0,23.0,'at','0'
1649.0,362.0,187.0,45.0,45.0,56.0,171.0,27.0,'December','0'
1836.0,362.0,63.0,187.0,45.0,56.0,44.0,31.0,'31,','0'
1899.0,362.0,90.0,63.0,45.0,56.0,74.0,27.0,'1993','0'
1989.0,362.0,78.0,90.0,45.0,56.0,62.0,26.0,'and','0'
2067.0,362.0,1996.0,78.0,45.0,56.0,83.0,31.0,'1992,','0'
72.0,407.0,131.0,1996.0,45.0,45.0,116.0,26.0,'mation','0'
203.0,407.0,111.0,131.0,48.0,45.0,95.0,27.0,'about','0'
314.0,407.0,154.0,111.0,48.0,45.0,139.0,32.0,'changes','0'
468.0,407.0,47.0,154.0,48.0,45.0,31.0,25.0,'in','0'
515.0,407.0,91.0,47.0,48.0,45.0,76.0,26.0,'cash','0'
606.0,407.0,77.0,91.0,48.0,45.0,61.0,26.0,'and','0'
683.0,407.0,91.0,77.0,48.0,45.0,76.0,27.0,'cash','0'
774.0,407.0,218.0,91.0,48.0,45.0,201.0,33.0,'equivalents,','0'
992.0,407.0,178.0,218.0,48.0,45.0,115.0,26.0,'includ-','0'
1170.0,407.0,148.0,178.0,48.0,45.0,134.0,27.0,'detailed','0'
1318.0,407.0,56.0,148.0,48.0,45.0,41.0,33.0,'by','0'
1374.0,407.0,153.0,56.0,48.0,45.0,138.0,32.0,'industry','0'
1527.0,407.0,169.0,153.0,48.0,45.0,152.0,29.0,'segment,','0'
1696.0,407.0,81.0,169.0,48.0,45.0,66.0,19.0,'was','0'
1777.0,407.0,50.0,81.0,48.0,45.0,35.0,19.0,'as','0'
1827.0,407.0,1757.0,50.0,48.0,45.0,122.0,28.0,'follows:','0'
71.0,454.0,69.0,1757.0,48.0,48.0,54.0,33.0,'ing','0'
140.0,454.0,90.0,69.0,46.0,48.0,75.0,26.0,'cash','0'
230.0,454.0,48.0,90.0,46.0,48.0,32.0,25.0,'in','0'
278.0,454.0,126.0,48.0,46.0,48.0,111.0,19.0,'excess','0'
404.0,454.0,44.0,126.0,46.0,48.0,31.0,27.0,'of','0'
448.0,454.0,93.0,44.0,46.0,48.0,79.0,33.0,'daily','0'
541.0,454.0,239.0,93.0,46.0,48.0,224.0,32.0,'requirements','0'
780.0,454.0,80.0,239.0,46.0,48.0,67.0,26.0,'that','0'
860.0,454.0,42.0,80.0,46.0,48.0,27.0,25.0,'is','0'
902.0,454.0,158.0,42.0,46.0,48.0,143.0,27.0,'invested','0'
1060.0,454.0,991.0,158.0,46.0,48.0,31.0,25.0,'in','0'
71.0,500.0,201.0,991.0,46.0,46.0,186.0,27.0,'marketable','0'
272.0,500.0,188.0,201.0,45.0,46.0,171.0,29.0,'securities,','0'
460.0,500.0,228.0,188.0,45.0,46.0,213.0,33.0,'substantially','0'
688.0,500.0,50.0,228.0,45.0,46.0,35.0,26.0,'all','0'
738.0,500.0,43.0,50.0,45.0,46.0,30.0,27.0,'of','0'
781.0,500.0,118.0,43.0,45.0,46.0,104.0,27.0,'which','0'
899.0,500.0,95.0,118.0,45.0,46.0,80.0,27.0,'have','0'
994.0,500.0,32.0,95.0,45.0,46.0,18.0,19.0,'a','0'
1026.0,500.0,795.0,32.0,45.0,46.0,63.0,18.0,'ma-','0'
1821.0,500.0,320.0,795.0,45.0,46.0,69.0,25.0,'1993','1'
2141.0,500.0,2071.0,320.0,45.0,46.0,63.0,23.0,'1992','1'
71.0,545.0,105.0,2071.0,45.0,45.0,90.0,32.0,'turity','0'
176.0,545.0,43.0,105.0,1099.0,45.0,30.0,27.0,'of','0'
219.0,545.0,101.0,43.0,1099.0,45.0,86.0,26.0,'three','0'
320.0,545.0,141.0,101.0,1099.0,45.0,125.0,26.0,'months','0'
461.0,545.0,45.0,141.0,1099.0,45.0,30.0,19.0,'or','0'
506.0,545.0,76.0,45.0,1099.0,45.0,61.0,26.0,'less','0'
582.0,545.0,108.0,76.0,1099.0,45.0,93.0,26.0,'when','0'
690.0,545.0,172.0,108.0,1099.0,45.0,154.0,33.0,'acquired.','0'
862.0,545.0,79.0,172.0,1099.0,45.0,63.0,26.0,'The','0'
941.0,545.0,107.0,79.0,1099.0,45.0,92.0,26.0,'effect','0'
1048.0,545.0,124.0,107.0,1099.0,45.0,30.0,27.0,'of','0'
1169.0,571.0,101.0,124.0,1099.0,1099.0,91.0,19.0,'millions','1'
1270.0,571.0,31.0,101.0,1099.0,1099.0,22.0,19.0,'of','1'
1301.0,571.0,431.0,31.0,1099.0,1099.0,75.0,19.0,'dollars','1'
1732.0,571.0,225.0,431.0,1099.0,1099.0,78.0,23.0,'Gross','1'
1957.0,571.0,200.0,225.0,1099.0,1099.0,51.0,22.0,'Net','1'
2157.0,571.0,2087.0,200.0,1099.0,1099.0,50.0,23.0,'Net','1'
71.0,591.0,132.0,2087.0,1099.0,1099.0,117.0,34.0,'foreign','0'
203.0,591.0,162.0,132.0,40.0,1099.0,147.0,26.0,'currency','0'
365.0,591.0,177.0,162.0,40.0,1099.0,162.0,33.0,'exchange','0'
542.0,591.0,79.0,177.0,40.0,1099.0,64.0,23.0,'rate','0'
621.0,591.0,212.0,79.0,40.0,1099.0,197.0,28.0,'fluctuations','0'
833.0,591.0,54.0,212.0,40.0,1099.0,40.0,18.0,'on','0'
887.0,591.0,89.0,54.0,40.0,1099.0,74.0,26.0,'total','0'
976.0,591.0,906.0,89.0,40.0,1099.0,76.0,27.0,'cash','0'
71.0,631.0,77.0,906.0,40.0,40.0,62.0,26.0,'and','0'
148.0,631.0,201.0,77.0,1149.0,40.0,186.0,26.0,'marketable','0'
349.0,631.0,177.0,201.0,1149.0,40.0,162.0,26.0,'securities','0'
526.0,631.0,162.0,177.0,1149.0,40.0,147.0,26.0,'balances','0'
688.0,631.0,82.0,162.0,1149.0,40.0,66.0,19.0,'was','0'
770.0,631.0,68.0,82.0,1149.0,40.0,53.0,23.0,'not','0'
838.0,631.0,333.0,68.0,1149.0,40.0,185.0,34.0,'significant.','0'
1171.0,631.0,179.0,333.0,1149.0,40.0,166.0,28.0,'Exploration','1'
1350.0,631.0,67.0,179.0,1149.0,40.0,54.0,23.0,'and','1'
1417.0,631.0,202.0,67.0,1149.0,40.0,158.0,28.0,'production','1'
1219.0,670.0,112.0,202.0,1149.0,1149.0,97.0,23.0,'United','1'
1331.0,670.0,356.0,112.0,1149.0,1149.0,88.0,23.0,'States','1'
1687.0,670.0,202.0,356.0,1149.0,1149.0,123.0,30.0,'$15,057','1'
1889.0,670.0,35.0,202.0,1149.0,1149.0,17.0,28.0,'$','1'
1924.0,670.0,171.0,35.0,1149.0,1149.0,83.0,28.0,'6,935','1'
2095.0,670.0,37.0,171.0,1149.0,1149.0,14.0,28.0,'$','1'
2132.0,670.0,2062.0,37.0,1149.0,1149.0,72.0,27.0,'7,071','1'
71.0,700.0,76.0,2062.0,1149.0,1149.0,60.0,27.0,'Net','0'
147.0,700.0,90.0,76.0,46.0,1149.0,76.0,27.0,'cash','0'
237.0,700.0,162.0,90.0,46.0,1149.0,148.0,33.0,'provided','0'
399.0,700.0,56.0,162.0,46.0,1149.0,41.0,32.0,'by','0'
455.0,700.0,175.0,56.0,46.0,1149.0,160.0,32.0,'operating','0'
630.0,700.0,168.0,175.0,46.0,1149.0,153.0,26.0,'activities','0'
798.0,700.0,137.0,168.0,46.0,1149.0,120.0,27.0,'reflects','0'
935.0,700.0,284.0,137.0,46.0,1149.0,76.0,27.0,'cash','0'
1219.0,700.0,491.0,284.0,46.0,1149.0,128.0,24.0,'Non-U.S.','1'
1710.0,700.0,215.0,491.0,46.0,1149.0,100.0,28.0,'12,982','1'
1925.0,700.0,208.0,215.0,46.0,1149.0,82.0,28.0,'5,008','1'
2133.0,700.0,2063.0,208.0,46.0,1149.0,74.0,26.0,'5,207','1'
71.0,746.0,180.0,2063.0,46.0,46.0,165.0,29.0,'payments','0'
251.0,746.0,57.0,180.0,1149.0,46.0,42.0,26.0,'for','0'
308.0,746.0,143.0,57.0,1149.0,46.0,128.0,25.0,'interest','0'
451.0,746.0,76.0,143.0,1149.0,46.0,61.0,27.0,'and','0'
527.0,746.0,137.0,76.0,1149.0,46.0,122.0,25.0,'income','0'
664.0,746.0,103.0,137.0,1149.0,46.0,88.0,24.0,'taxes','0'
767.0,746.0,51.0,103.0,1149.0,46.0,35.0,19.0,'as','0'
818.0,746.0,354.0,51.0,1149.0,46.0,121.0,27.0,'follows:','0'
1172.0,746.0,143.0,354.0,1149.0,46.0,128.0,30.0,'Refining,','1'
1315.0,746.0,107.0,143.0,1149.0,46.0,149.0,28.0,'marketing','1'
1219.0,793.0,67.0,107.0,1149.0,1149.0,54.0,23.0,'and','1'
1286.0,793.0,441.0,67.0,1148.0,1149.0,206.0,27.0,'transportation','1'
1727.0,793.0,198.0,441.0,1148.0,1149.0,83.0,27.0,'9,817','1'
1925.0,793.0,209.0,198.0,1148.0,1149.0,83.0,28.0,'5,797','1'
2134.0,793.0,2063.0,209.0,1148.0,1149.0,73.0,27.0,'5,730','1'
72.0,835.0,685.0,2063.0,1148.0,1148.0,91.0,21.0,'millions','0'
757.0,835.0,146.0,685.0,103.0,1148.0,69.0,24.0,'1993','0'
903.0,835.0,141.0,146.0,103.0,1148.0,63.0,24.0,'1992','0'
1044.0,835.0,128.0,141.0,103.0,1148.0,60.0,23.0,'1991','0'
1172.0,835.0,555.0,128.0,103.0,1148.0,152.0,24.0,'Chemicals','1'
1727.0,835.0,197.0,555.0,103.0,1148.0,83.0,28.0,'5,265','1'
1924.0,835.0,208.0,197.0,103.0,1148.0,84.0,27.0,'2,668','1'
2132.0,835.0,1960.0,208.0,103.0,1148.0,75.0,26.0,'2,442','1'
173.0,855.0,30.0,1960.0,103.0,103.0,21.0,20.0,'of','0'
