@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'On','August','10,','1993,','the','Revenue','Reconciliation','Act','of','1993','was','signed','into','law.','As','a','result,','federal','statutory','income','tax','rate','retroactively','increased,','effective','January','1,','by','1%','to','35%.','This','resulted','in','$33','million','non-recurring,','after-tax,','non-cash','charge','related','revaluation','deferred','liability','accordance','with','FAS','109.','The','company's','43.4%','38.4%','1992','and','38.2%','1991.','A','reconciliation','between','is','presented','below:','1991','Statutory','35.0%','34.0%','State','taxes,','net','benefit','4.7','3.9','3.8','Revaluation','3.1','-','Other','.6','5','4','Effective','1','2','-CASH','FLOWS','For','purposes','Statement','Cash','Flows,','all','short-term','investments','maturities','90','days','or','less','are','considered','cash','equivalents.','Such','amounts','include','marketable','securities','$4.8','$104.6','1992.','effect','foreign','currency','exchange','fluctuations','not','material','for','Supplemental','information','respect','Flows','below','(in','millions):','Interest','paid,','capitalized','interest','$','168.6','158.0','205.8','Income','taxes','paid','510.2','552.3','480.0','Excise','1,673.4','1,663.0','1,606.6','Changes','Non-Cash','Working','Capital','Decrease/(increase)','current','assets:','Accounts','receivable','$(101.3)','5.0','(92.2)','Inventories','34.0','(25.1)','(68.4)','assets','.3','(50.3)','(38.8)','Increase/(decrease)','liabilities:','payable','75.1','27.6','(1.4)','Accrued','salaries,','wages','benefits','(13.4)','(24.0)','2.5','(6.1)','(13.8)','Due','customers','returnable','containers','2.1','3.7','(.1)','other','than','6.1','39.4','Estimated','52.2','(6.4)','(34.0)','liabilities','43.4','(1.9)','24.8','working','capital','99.6','$(208.5)','55'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
690.0,316.0,57.0,0.0,90.0,0.0,47.0,29.0,'On','0'
747.0,316.0,121.0,57.0,90.0,0.0,105.0,38.0,'August','0'
868.0,316.0,58.0,121.0,90.0,0.0,40.0,36.0,'10,','0'
926.0,316.0,94.0,58.0,90.0,0.0,79.0,35.0,'1993,','0'
1020.0,316.0,61.0,94.0,90.0,0.0,47.0,30.0,'the','0'
1081.0,316.0,143.0,61.0,90.0,0.0,128.0,29.0,'Revenue','0'
1224.0,316.0,227.0,143.0,90.0,0.0,216.0,32.0,'Reconciliation','0'
1451.0,316.0,61.0,227.0,90.0,0.0,48.0,28.0,'Act','0'
1512.0,316.0,45.0,61.0,90.0,0.0,32.0,31.0,'of','0'
1557.0,316.0,82.0,45.0,90.0,0.0,70.0,32.0,'1993','0'
1639.0,316.0,70.0,82.0,90.0,0.0,57.0,20.0,'was','0'
1709.0,316.0,112.0,70.0,90.0,0.0,99.0,39.0,'signed','0'
1821.0,316.0,73.0,112.0,90.0,0.0,60.0,29.0,'into','0'
1894.0,316.0,66.0,73.0,90.0,0.0,53.0,31.0,'law.','0'
1960.0,316.0,48.0,66.0,90.0,0.0,34.0,28.0,'As','0'
2008.0,316.0,27.0,48.0,90.0,0.0,15.0,20.0,'a','0'
2035.0,316.0,108.0,27.0,90.0,0.0,93.0,37.0,'result,','0'
2143.0,316.0,60.0,108.0,90.0,0.0,47.0,31.0,'the','0'
2203.0,316.0,1588.0,60.0,90.0,0.0,104.0,31.0,'federal','0'
616.0,366.0,147.0,1588.0,90.0,90.0,136.0,32.0,'statutory','0'
763.0,366.0,124.0,147.0,50.0,90.0,111.0,29.0,'income','0'
887.0,366.0,55.0,124.0,50.0,90.0,44.0,24.0,'tax','0'
942.0,366.0,68.0,55.0,50.0,90.0,57.0,24.0,'rate','0'
1010.0,366.0,68.0,68.0,50.0,90.0,56.0,20.0,'was','0'
