@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'1990','1989','1988','1987','1986','1985','1984','1983','86.5','80.7','78.5','76.1','72.3','68.0','64.0','60.5','$11,611.7','$10,283.6','$9,705.1','$9,110.4','$8,478.8','$7,756.7','$7,218.8','$6,714.7','868.1','802.3','781.0','760.7','724.5','683.0','657.0','624.3','10,743.6','9,481.3','8,924.1','8,349.7','7,754.3','7,073.7','6,561.8','6,090.4','7,093.5','6,275.8','5,825.5','5,374.3','5,026.5','4,729.8','4,464.6','4,161.0','3,650.1','3,205.5','3,098.6','2,975.4','2,727.8','2,343.9','2,097.2','1,929.4','2,051.1','1,876.8','1,834.5','1,826.8','1,709.8','1,498.2','1,338.5','1,226.4','1,599.0','1,328.7','1,264.1','1,148.6','1,018.0','845.7','758.7','703.0','(283.0)','(177.9)','(141.6)','(127.5)','(99.9)','(96.5)','(106.0)','(115.4)','54.6','51.5','44.2','40.3','33.2','37.2','46.8','32.9','7.0','12.6','9.8','12.8','9.6','21.3','22.8','12.5','(25.5)','11.8','(16.4)','(9.9)','(13.6)','(23.3)','(29.6)','(14.8)','1,352.1','1,226.7','1,160.1','1064.3','947.3(3)','784.4','692.7','618.2','509.7','459.5','444.2','449.6','429.3','340.7','301.2','270.2','842.4','767.2','715.9','614.7','518.0(3)','443.7','391.5','348.0','$','2.96','2.68','2.45','2.04','1.69(3)','1.42','1.23','1.08','2.95','$2.68','1,42','265.0','226.2','188.6','148.4','120.2','102.7','89.7','78.3','.94','.80','.66','.54','.44','.362/,','.317,','.27','-','20.1','26.9','27.0','29.7','3.23','3.60','284.6','286.2','292.2','301.5','306.6','312.6','317.4','321.0','289.7','(1)','1993','results','include','the','impact','of','two','non-recurring','special','charges.','These','charges','are','a','restructuring','charge','($565','million','pretax)','and','(2)','revaluation','deferred','tax','liability','due','to','1%','increase','in','federal','rates','($33','after-tax).','Excluding','these','charges,','operating','income,','pretax','net','income','fully','diluted','earnings','per','share','would','have','been','$1,776.9','million,','$1,615.4','$980.6','$3.','55','respectively.',',','1992','before','taxes,','reflect','adoption','neu,','Financial','Accounting','Standards','pertaining','Post','retirement','Benefits','(MS','106)','Income','Taxes','109).','financial','Standards,','$1,830.8','$1,676.0','$1,029.2','$3.58,','(3)','Effective','January','1,','1986,','company','adopted','provisions','No.','87','(FAS','87),','Employers'','For','Pensions.','The','effect','FAS','was','taxes','$45','$23','$.08.','61'}
@ATTRIBUTE 'table' {'1','0'}

@DATA
205.0,354.0,299.0,0.0,103.0,0.0,69.0,28.0,'1990','1'
504.0,354.0,261.0,299.0,103.0,0.0,68.0,28.0,'1989','1'
765.0,354.0,300.0,261.0,103.0,0.0,69.0,27.0,'1988','1'
1065.0,354.0,298.0,300.0,103.0,0.0,69.0,27.0,'1987','1'
1363.0,354.0,274.0,298.0,103.0,0.0,70.0,30.0,'1986','1'
1637.0,354.0,274.0,274.0,103.0,0.0,68.0,28.0,'1985','1'
1911.0,354.0,246.0,274.0,103.0,0.0,67.0,29.0,'1984','1'
2157.0,354.0,1914.0,246.0,103.0,0.0,66.0,28.0,'1983','1'
246.0,448.0,286.0,1914.0,103.0,103.0,63.0,33.0,'86.5','1'
532.0,448.0,249.0,286.0,97.0,103.0,64.0,29.0,'80.7','1'
781.0,448.0,299.0,249.0,97.0,103.0,64.0,30.0,'78.5','1'
1080.0,448.0,299.0,299.0,97.0,103.0,63.0,32.0,'76.1','1'
1379.0,448.0,274.0,299.0,97.0,103.0,64.0,32.0,'72.3','1'
1653.0,448.0,274.0,274.0,97.0,103.0,64.0,32.0,'68.0','1'
1927.0,448.0,245.0,274.0,97.0,103.0,64.0,32.0,'64.0','1'
2172.0,448.0,2010.0,245.0,97.0,103.0,63.0,33.0,'60.5','1'
163.0,497.0,284.0,2010.0,97.0,97.0,150.0,38.0,'$11,611.7','1'
447.0,497.0,268.0,284.0,81.0,97.0,150.0,37.0,'$10,283.6','1'
715.0,497.0,299.0,268.0,81.0,97.0,129.0,36.0,'$9,705.1','1'
1014.0,497.0,299.0,299.0,81.0,97.0,130.0,38.0,'$9,110.4','1'
1313.0,497.0,274.0,299.0,81.0,97.0,130.0,38.0,'$8,478.8','1'
1587.0,497.0,274.0,274.0,81.0,97.0,130.0,38.0,'$7,756.7','1'
1861.0,497.0,245.0,274.0,81.0,97.0,130.0,37.0,'$7,218.8','1'
2106.0,497.0,1881.0,245.0,81.0,97.0,130.0,38.0,'$6,714.7','1'
226.0,547.0,286.0,1881.0,81.0,81.0,82.0,32.0,'868.1','1'
512.0,547.0,250.0,286.0,77.0,81.0,83.0,32.0,'802.3','1'
762.0,547.0,299.0,250.0,77.0,81.0,84.0,30.0,'781.0','1'
1061.0,547.0,299.0,299.0,77.0,81.0,83.0,34.0,'760.7','1'
1360.0,547.0,273.0,299.0,77.0,81.0,81.0,33.0,'724.5','1'
1633.0,547.0,274.0,273.0,77.0,81.0,84.0,34.0,'683.0','1'
1907.0,547.0,245.0,274.0,77.0,81.0,83.0,33.0,'657.0','1'
2152.0,547.0,1972.0,245.0,77.0,81.0,82.0,35.0,'624.3','1'
182.0,610.0,302.0,1972.0,77.0,77.0,128.0,37.0,'10,743.6','1'
