@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'THE','COCA-COLA','COMPANY','AND','SUBSIDIARIES','NOTES','TO','CONSOLIDATED','FINANCIAL','STATEMENTS','12.','Restricted','Stock,','Stock','Options','1993','1992','1991','and','Other','Plans','Outstanding','at','January','1,','31','36','33','The','Company','restricted','stock','award','plans,','Granted','6','4','8','sponsors','(9)','(4)','Exercised','(7)','option','Incentive','Unit','Agreements','Performance','Canceled','(1)','Agreements.','December','31,','30','Under','the','amended','1989','Award','Plan','Exercisable','22','23','24','1983','(the','Shares','available','Plans),','20','million','12','shares','for','options','that','may','be','granted','45','51','55','of','common','stock,','respectively,','Prices','per','share','certain','officers','key','employees','Company.','$4-$41','$4-$28','$3-$28','to','Unexercised','At','1993,','17','were','$5-$44','$4-$30','grant','under','Plans.','participant','is','entitled','vote','receive','dividends','on','shares,','and,','In','1988,','entered','into','Agree-','Plan,','partici-','ments,','whereby,','subject','conditions,','pant','reimbursed','by','income','taxes','given','right','cash','awards','based','market','imposed','award,','but','not','generated','value','1.2','Company's','reimbursement','payment.','are','measurement','dates.','Agreements,','transfer','restrictions','forfeited','if','employee','leaves','reasons','other','than','retirement,','dis-','when','units','paid,','ability','or','death,','absent','a','change','in','control','As','On','July','18,','1991,','400,000','have','been','paid','800,000','specify','age','62','as','minimum','retirement','age.','outstanding.','was','further','con-','1985,','form','terms','whereby','requiring','five','years','service','between','difference','date','retirement.','amendments','affect','approximately','2.2','after','1991.','dates','base','price','Option','85.16,','2,','1985.','Plan),','maximum','60','780,000','issued','transferred','1.4','pursuant','appreciation','rights','13.','Pension','Benefits','Plan.','permit','holder,','upon','and/or','contributes','pension','plans','surrendering','all','part','related','option,','covering','substantially','U.S.','em-','cash,','combination','thereof,','an','ployees','international','locations.','benefits','primarily','amount','up','100','percent','employees'','compensation','price.','No','periods','(luring','last','employment.','since','1990,','costs','generally','funded','currently,','presently','does','intend','additional','appreci-','regulatory','funding','limitations.','also','ation','future.','outstanding','nonqualified,','unfunded','defined','benefit','include','various','employees.','addition,','previous','plans.','Further','information','relating','its','subsidiaries','forms','follows','(in','millions,','except','amounts):','postretirement','arrangements','outside','United','States.'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
852.0,77.0,95.0,0.0,623.0,0.0,66.0,22.0,'THE','0'
947.0,77.0,269.0,95.0,623.0,0.0,243.0,23.0,'COCA-COLA','0'
1216.0,77.0,221.0,269.0,623.0,0.0,195.0,24.0,'COMPANY','0'
1437.0,77.0,107.0,221.0,623.0,0.0,79.0,22.0,'AND','0'
1544.0,77.0,1305.0,107.0,623.0,0.0,265.0,24.0,'SUBSIDIARIES','0'
248.0,228.0,139.0,1305.0,623.0,623.0,124.0,29.0,'NOTES','0'
387.0,228.0,66.0,139.0,230.0,623.0,50.0,29.0,'TO','0'
453.0,228.0,314.0,66.0,230.0,623.0,297.0,28.0,'CONSOLIDATED','0'
767.0,228.0,220.0,314.0,230.0,623.0,205.0,29.0,'FINANCIAL','0'
987.0,228.0,769.0,220.0,230.0,623.0,238.0,28.0,'STATEMENTS','0'
253.0,457.0,70.0,769.0,230.0,230.0,52.0,27.0,'12.','0'
323.0,457.0,196.0,70.0,59.0,230.0,179.0,29.0,'Restricted','0'
519.0,457.0,123.0,196.0,59.0,230.0,108.0,34.0,'Stock,','0'
642.0,457.0,113.0,123.0,59.0,230.0,98.0,30.0,'Stock','0'
755.0,457.0,1175.0,113.0,59.0,230.0,144.0,36.0,'Options','0'
1930.0,457.0,206.0,1175.0,59.0,230.0,87.0,28.0,'1993','1'
2136.0,457.0,191.0,206.0,59.0,230.0,79.0,28.0,'1992','1'
2327.0,457.0,2077.0,191.0,59.0,230.0,74.0,28.0,'1991','1'
251.0,515.0,86.0,2077.0,59.0,59.0,70.0,29.0,'and','0'
337.0,515.0,122.0,86.0,47.0,59.0,107.0,29.0,'Other','0'
459.0,515.0,114.0,122.0,47.0,59.0,97.0,30.0,'Stock','0'
573.0,515.0,801.0,114.0,47.0,59.0,98.0,29.0,'Plans','0'
1374.0,515.0,214.0,801.0,47.0,59.0,197.0,36.0,'Outstanding','1'
1588.0,515.0,42.0,214.0,47.0,59.0,29.0,25.0,'at','1'
1630.0,515.0,144.0,42.0,47.0,59.0,126.0,35.0,'January','1'
1774.0,515.0,202.0,144.0,47.0,59.0,25.0,32.0,'1,','1'
1976.0,515.0,200.0,202.0,47.0,59.0,38.0,28.0,'31','1'
2176.0,515.0,188.0,200.0,47.0,59.0,40.0,28.0,'36','1'
2364.0,515.0,2112.0,188.0,47.0,59.0,39.0,28.0,'33','1'
253.0,561.0,81.0,2112.0,47.0,47.0,65.0,29.0,'The','0'
334.0,561.0,342.0,81.0,261.0,47.0,163.0,39.0,'Company','0'
676.0,561.0,182.0,342.0,261.0,47.0,167.0,29.0,'restricted','0'
858.0,561.0,103.0,182.0,261.0,47.0,88.0,29.0,'stock','0'
961.0,561.0,120.0,103.0,261.0,47.0,105.0,29.0,'award','0'
1081.0,561.0,116.0,120.0,261.0,47.0,100.0,38.0,'plans,','0'
1197.0,561.0,177.0,116.0,261.0,47.0,87.0,30.0,'stock','0'
1374.0,561.0,625.0,177.0,261.0,47.0,130.0,29.0,'Granted','1'
1999.0,561.0,199.0,625.0,261.0,47.0,21.0,27.0,'6','1'
2198.0,561.0,187.0,199.0,261.0,47.0,18.0,27.0,'4','1'
2385.0,561.0,1874.0,187.0,261.0,47.0,18.0,28.0,'8','1'
512.0,587.0,1676.0,1874.0,261.0,261.0,149.0,26.0,'sponsors','0'
2188.0,587.0,188.0,1676.0,864.0,261.0,38.0,36.0,'(9)','1'
