@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'Fair','Values','of','Financial','Instruments','shares','ConAgra','common','stock','in','a','transaction','The','Company','believes','that','the','book','value','short-term','accounted','for','as','pooling','interests.','informa-','financial','instruments','approximates','their','fair','value.','For','tion','periods','prior','to','this','has','not','been','these','purposes,','is','defined','any','item','restated','because','immateriality','and,','accordingly,','results','matures,','reprices,','or','represents','cash','between','operations','have','included','since','date','acquisition.','willing','parties','within','six','months','less','measurement','date.','All','are','considered','3.','RECEIVABLES','which','at','May','29,','1994,','specified.','During','September','1990,','entered','into','unless','otherwise','agreements','sell,','period','up','five','years,','undivided','2.','BUSINESS','COMBINATIONS','participation','interests','designated','pools','receivables,','with','limited','recourse,','an','amount','exceed','$400','mil-','1994','lion','one','time.','each','April','and','1993,','At','30,','had','50%','equity','inter-','agreement','was','temporarily','increased','$500','million','Australia','Meat','Holdings','Pty.','Ltd.','(AMH),','months,','time','it','automatically','est','Australian','beef','Effective','beginning','fiscal','reduces','original','million.','Participation','processor.','its','interest','AMH','new','receivables','may','be','sold','collections','reduce','previ-','approximately','91%.','purchase','price','additional','ously','$61','discount','Selling,','accounts','consolidated','Administrative','General','Expenses','state-','1994.','statements','earnings.','In','connection','transaction,','ments','rate','swap','1993','bank','counterparties','effec-','two','money','center','acquired','certain','busi-','tively','fix','such','on','nesses,','recorded','poolings','9.4%','estimated','years.','interests,','revenues','net','earnings','did','obliga-','significantly','affect','results.','$21.3','Gross','proceeds','1992','from','sales','were','On','July','11,','1991,','Golden','Valley','Microwave','Foods,','Inc.','1993.','(Golden','Valley)','merged','through','Receivables','Monfort','Finance','include','notes','exchange','.8514','share','receivable','$254','$273','stock.','respectively.','leader','development','marketing','foods','specifically','preparation','microwave','ovens.','Products','4.','INVENTORIES','popcorn,','french','fries,','breakfast','sand-','wiches','distributed','vending','industry,','major','classes','inventories','follows:','mass','merchandising','outlets','grocery','stores.','issued','15.0','Valley's','18.8','assumed','Hedged','commodities','$','723.4','656.5','out-','standing','Food','products','livestock','1,260.7','1,120.2','options','1.0','Agricultural','chemicals,','fertilizer','feed','322.6','146.1','addition,','outstanding','warrants','Retail','merchandise','176.0','170.1','0.6','con-','Other,','principally','ingredients','supplies','401.7','346.3','verted','0.5','$2,884.4','$2,439.2','$40.32','per','share.','transac-','ratio','amounts','above','revised','cost','food','invento-','reflect','ConAgra's','3-for-2','split','December','2,','ries','stated','under','last-in,','first-out','(LIFO)','method','1991.','historical','$211.0','$133.4','give','effect','acquisition','though','Had','companies','operated','together','lower','first-in,','(FIFO)','earliest','presented.','market,','they','would','$41.0','$44.2','January','1992,','all','capital','greater','than','reported','Arrow','Industries,','exchanged','5,250,000','40','75','Feeding','People','Better','Years'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
150.0,379.0,122.0,0.0,68.0,0.0,93.0,31.0,'Fair','0'
272.0,379.0,160.0,122.0,68.0,0.0,134.0,34.0,'Values','0'
432.0,379.0,61.0,160.0,68.0,0.0,47.0,46.0,'of','0'
493.0,379.0,242.0,61.0,68.0,0.0,220.0,34.0,'Financial','0'
735.0,379.0,589.0,242.0,68.0,0.0,268.0,31.0,'Instruments','0'
1324.0,379.0,115.0,589.0,68.0,0.0,101.0,34.0,'shares','0'
1439.0,379.0,48.0,115.0,68.0,0.0,39.0,34.0,'of','0'
1487.0,379.0,172.0,48.0,68.0,0.0,159.0,43.0,'ConAgra','0'
1659.0,379.0,170.0,172.0,68.0,0.0,155.0,20.0,'common','0'
1829.0,379.0,102.0,170.0,68.0,0.0,90.0,33.0,'stock','0'
1931.0,379.0,48.0,102.0,68.0,0.0,33.0,31.0,'in','0'
1979.0,379.0,30.0,48.0,68.0,0.0,17.0,20.0,'a','0'
2009.0,379.0,1812.0,30.0,68.0,0.0,192.0,32.0,'transaction','0'
198.0,427.0,85.0,1812.0,68.0,68.0,71.0,34.0,'The','0'
283.0,427.0,187.0,85.0,71.0,68.0,174.0,42.0,'Company','0'
470.0,427.0,146.0,187.0,71.0,68.0,131.0,33.0,'believes','0'
616.0,427.0,81.0,146.0,71.0,68.0,67.0,33.0,'that','0'
697.0,427.0,67.0,81.0,71.0,68.0,53.0,34.0,'the','0'
764.0,427.0,99.0,67.0,71.0,68.0,89.0,34.0,'book','0'
863.0,427.0,104.0,99.0,71.0,68.0,90.0,34.0,'value','0'
967.0,427.0,47.0,104.0,71.0,68.0,39.0,34.0,'of','0'
1014.0,427.0,310.0,47.0,71.0,68.0,185.0,34.0,'short-term','0'
1324.0,427.0,191.0,310.0,71.0,68.0,178.0,34.0,'accounted','0'
1515.0,427.0,63.0,191.0,71.0,68.0,49.0,33.0,'for','0'
1578.0,427.0,44.0,63.0,71.0,68.0,30.0,19.0,'as','0'
1622.0,427.0,30.0,44.0,71.0,68.0,17.0,19.0,'a','0'
1652.0,427.0,147.0,30.0,71.0,68.0,134.0,45.0,'pooling','0'
1799.0,427.0,47.0,147.0,71.0,68.0,38.0,34.0,'of','0'
1846.0,427.0,167.0,47.0,71.0,68.0,150.0,31.0,'interests.','0'
2013.0,427.0,172.0,167.0,71.0,68.0,158.0,35.0,'Financial','0'
2185.0,427.0,2037.0,172.0,71.0,68.0,153.0,34.0,'informa-','0'
149.0,477.0,163.0,2037.0,71.0,71.0,149.0,34.0,'financial','0'
312.0,477.0,222.0,163.0,50.0,71.0,208.0,31.0,'instruments','0'
534.0,477.0,245.0,222.0,50.0,71.0,231.0,43.0,'approximates','0'
779.0,477.0,95.0,245.0,50.0,71.0,81.0,34.0,'their','0'
874.0,477.0,68.0,95.0,50.0,71.0,57.0,34.0,'fair','0'
942.0,477.0,116.0,68.0,50.0,71.0,99.0,34.0,'value.','0'
1058.0,477.0,266.0,116.0,50.0,71.0,58.0,32.0,'For','0'
1324.0,477.0,83.0,266.0,50.0,71.0,69.0,31.0,'tion','0'
1407.0,477.0,62.0,83.0,50.0,71.0,49.0,34.0,'for','0'
1469.0,477.0,140.0,62.0,50.0,71.0,126.0,44.0,'periods','0'
1609.0,477.0,99.0,140.0,50.0,71.0,86.0,42.0,'prior','0'
1708.0,477.0,48.0,99.0,50.0,71.0,34.0,22.0,'to','0'
1756.0,477.0,76.0,48.0,50.0,71.0,61.0,34.0,'this','0'
1832.0,477.0,206.0,76.0,50.0,71.0,192.0,32.0,'transaction','0'
2038.0,477.0,69.0,206.0,50.0,71.0,54.0,34.0,'has','0'
2107.0,477.0,71.0,69.0,50.0,71.0,58.0,22.0,'not','0'
2178.0,477.0,2030.0,71.0,50.0,71.0,80.0,34.0,'been','0'
149.0,527.0,100.0,2030.0,50.0,50.0,86.0,33.0,'these','0'
249.0,527.0,178.0,100.0,50.0,50.0,162.0,31.0,'purposes,','0'
427.0,527.0,200.0,178.0,50.0,50.0,185.0,33.0,'short-term','0'
627.0,527.0,37.0,200.0,50.0,50.0,23.0,31.0,'is','0'
664.0,527.0,144.0,37.0,50.0,50.0,130.0,34.0,'defined','0'
808.0,527.0,45.0,144.0,50.0,50.0,30.0,20.0,'as','0'
853.0,527.0,73.0,45.0,50.0,50.0,61.0,30.0,'any','0'
926.0,527.0,92.0,73.0,50.0,50.0,78.0,32.0,'item','0'
1018.0,527.0,306.0,92.0,50.0,50.0,67.0,33.0,'that','0'
1324.0,527.0,147.0,306.0,50.0,50.0,133.0,33.0,'restated','0'
1471.0,527.0,145.0,147.0,50.0,50.0,132.0,33.0,'because','0'
1616.0,527.0,48.0,145.0,50.0,50.0,40.0,34.0,'of','0'
1664.0,527.0,248.0,48.0,50.0,50.0,236.0,44.0,'immateriality','0'
1912.0,527.0,88.0,248.0,50.0,50.0,72.0,38.0,'and,','0'
2000.0,527.0,222.0,88.0,50.0,50.0,206.0,45.0,'accordingly,','0'
2222.0,527.0,122.0,222.0,50.0,50.0,108.0,34.0,'results','0'
2344.0,527.0,2196.0,122.0,50.0,50.0,39.0,33.0,'of','0'
149.0,577.0,163.0,2196.0,50.0,50.0,147.0,26.0,'matures,','0'
312.0,577.0,157.0,163.0,54.0,50.0,141.0,43.0,'reprices,','0'
469.0,577.0,49.0,157.0,54.0,50.0,35.0,20.0,'or','0'
518.0,577.0,185.0,49.0,54.0,50.0,171.0,33.0,'represents','0'
703.0,577.0,30.0,185.0,54.0,50.0,18.0,20.0,'a','0'
733.0,577.0,87.0,30.0,54.0,50.0,73.0,34.0,'cash','0'
820.0,577.0,207.0,87.0,54.0,50.0,192.0,32.0,'transaction','0'
1027.0,577.0,297.0,207.0,54.0,50.0,142.0,33.0,'between','0'
1324.0,577.0,195.0,297.0,54.0,50.0,181.0,43.0,'operations','0'
1519.0,577.0,92.0,195.0,54.0,50.0,78.0,33.0,'have','0'
1611.0,577.0,94.0,92.0,54.0,50.0,80.0,33.0,'been','0'
1705.0,577.0,165.0,94.0,54.0,50.0,151.0,34.0,'included','0'
1870.0,577.0,99.0,165.0,54.0,50.0,84.0,32.0,'since','0'
1969.0,577.0,66.0,99.0,54.0,50.0,52.0,34.0,'the','0'
2035.0,577.0,86.0,66.0,54.0,50.0,72.0,34.0,'date','0'
2121.0,577.0,47.0,86.0,54.0,50.0,39.0,33.0,'of','0'
2168.0,577.0,2021.0,47.0,54.0,50.0,200.0,43.0,'acquisition.','0'
148.0,630.0,133.0,2021.0,54.0,54.0,121.0,45.0,'willing','0'
281.0,630.0,126.0,133.0,51.0,54.0,113.0,43.0,'parties','0'
407.0,630.0,128.0,126.0,51.0,54.0,114.0,34.0,'within','0'
535.0,630.0,58.0,128.0,51.0,54.0,45.0,31.0,'six','0'
593.0,630.0,146.0,58.0,51.0,54.0,132.0,34.0,'months','0'
739.0,630.0,48.0,146.0,51.0,54.0,36.0,20.0,'or','0'
787.0,630.0,71.0,48.0,51.0,54.0,57.0,34.0,'less','0'
858.0,630.0,47.0,71.0,51.0,54.0,39.0,34.0,'of','0'
905.0,630.0,67.0,47.0,51.0,54.0,54.0,34.0,'the','0'
972.0,630.0,825.0,67.0,51.0,54.0,234.0,22.0,'measurement','0'
149.0,680.0,106.0,825.0,51.0,51.0,81.0,33.0,'date.','0'
255.0,680.0,65.0,106.0,51.0,51.0,51.0,33.0,'All','0'
320.0,680.0,163.0,65.0,51.0,51.0,149.0,34.0,'financial','0'
483.0,680.0,221.0,163.0,51.0,51.0,207.0,31.0,'instruments','0'
704.0,680.0,63.0,221.0,51.0,51.0,50.0,19.0,'are','0'
767.0,680.0,201.0,63.0,51.0,51.0,187.0,34.0,'considered','0'
968.0,680.0,47.0,201.0,51.0,51.0,33.0,22.0,'to','0'
1015.0,680.0,91.0,47.0,51.0,51.0,77.0,33.0,'have','0'
1106.0,680.0,30.0,91.0,51.0,51.0,17.0,19.0,'a','0'
1136.0,680.0,188.0,30.0,51.0,51.0,57.0,33.0,'fair','0'
1324.0,680.0,52.0,188.0,51.0,51.0,34.0,37.0,'3.','0'
1376.0,680.0,1230.0,52.0,51.0,51.0,247.0,35.0,'RECEIVABLES','0'
148.0,730.0,102.0,1230.0,51.0,51.0,90.0,34.0,'value','0'
250.0,730.0,120.0,102.0,301.0,51.0,106.0,33.0,'which','0'
370.0,730.0,246.0,120.0,301.0,51.0,232.0,43.0,'approximates','0'
616.0,730.0,100.0,246.0,301.0,51.0,89.0,34.0,'book','0'
716.0,730.0,104.0,100.0,301.0,51.0,90.0,34.0,'value','0'
820.0,730.0,43.0,104.0,301.0,51.0,30.0,22.0,'at','0'
863.0,730.0,91.0,43.0,301.0,51.0,79.0,43.0,'May','0'
954.0,730.0,73.0,91.0,301.0,51.0,53.0,35.0,'29,','0'
1027.0,730.0,581.0,73.0,301.0,51.0,94.0,38.0,'1994,','0'
447.0,761.0,928.0,581.0,301.0,301.0,160.0,45.0,'specified.','0'
1375.0,761.0,139.0,928.0,298.0,301.0,127.0,43.0,'During','0'
1514.0,761.0,201.0,139.0,298.0,301.0,184.0,45.0,'September','0'
1715.0,761.0,109.0,201.0,298.0,301.0,93.0,35.0,'1990,','0'
1824.0,761.0,67.0,109.0,298.0,301.0,53.0,33.0,'the','0'
1891.0,761.0,185.0,67.0,298.0,301.0,173.0,43.0,'Company','0'
2076.0,761.0,139.0,185.0,298.0,301.0,126.0,34.0,'entered','0'
2215.0,761.0,2066.0,139.0,298.0,301.0,69.0,31.0,'into','0'
150.0,782.0,117.0,2066.0,298.0,298.0,103.0,34.0,'unless','0'
267.0,782.0,1059.0,117.0,1176.0,298.0,167.0,33.0,'otherwise','0'
1325.0,810.0,205.0,1059.0,1176.0,1176.0,192.0,33.0,'agreements','0'
1530.0,810.0,48.0,205.0,1177.0,1176.0,34.0,22.0,'to','0'
1578.0,810.0,77.0,48.0,1177.0,1176.0,62.0,38.0,'sell,','0'
1655.0,810.0,62.0,77.0,1177.0,1176.0,48.0,34.0,'for','0'
1717.0,810.0,28.0,62.0,1177.0,1176.0,17.0,20.0,'a','0'
1745.0,810.0,125.0,28.0,1177.0,1176.0,112.0,45.0,'period','0'
1870.0,810.0,45.0,125.0,1177.0,1176.0,37.0,34.0,'of','0'
1915.0,810.0,58.0,45.0,1177.0,1176.0,44.0,31.0,'up','0'
1973.0,810.0,47.0,58.0,1177.0,1176.0,33.0,22.0,'to','0'
2020.0,810.0,70.0,47.0,1177.0,1176.0,59.0,34.0,'five','0'
2090.0,810.0,110.0,70.0,1177.0,1176.0,95.0,32.0,'years,','0'
2200.0,810.0,2051.0,110.0,1177.0,1176.0,175.0,35.0,'undivided','0'
150.0,861.0,53.0,2051.0,1177.0,1177.0,35.0,35.0,'2.','0'
203.0,861.0,195.0,53.0,1176.0,1177.0,178.0,36.0,'BUSINESS','0'
398.0,861.0,927.0,195.0,1176.0,1177.0,304.0,37.0,'COMBINATIONS','0'
1325.0,861.0,235.0,927.0,1176.0,1177.0,222.0,42.0,'participation','0'
1560.0,861.0,154.0,235.0,1176.0,1177.0,140.0,31.0,'interests','0'
1714.0,861.0,46.0,154.0,1176.0,1177.0,33.0,31.0,'in','0'
1760.0,861.0,195.0,46.0,1176.0,1177.0,183.0,45.0,'designated','0'
1955.0,861.0,105.0,195.0,1176.0,1177.0,91.0,44.0,'pools','0'
2060.0,861.0,46.0,105.0,1176.0,1177.0,39.0,34.0,'of','0'
2106.0,861.0,784.0,46.0,1176.0,1177.0,190.0,38.0,'receivables,','0'
1324.0,910.0,91.0,784.0,1176.0,1176.0,78.0,33.0,'with','0'
1415.0,910.0,136.0,91.0,1171.0,1176.0,123.0,34.0,'limited','0'
1551.0,910.0,166.0,136.0,1171.0,1176.0,150.0,24.0,'recourse,','0'
1717.0,910.0,46.0,166.0,1171.0,1176.0,32.0,30.0,'in','0'
1763.0,910.0,54.0,46.0,1171.0,1176.0,40.0,20.0,'an','0'
1817.0,910.0,148.0,54.0,1171.0,1176.0,135.0,23.0,'amount','0'
1965.0,910.0,71.0,148.0,1171.0,1176.0,57.0,22.0,'not','0'
2036.0,910.0,46.0,71.0,1171.0,1176.0,33.0,22.0,'to','0'
2082.0,910.0,126.0,46.0,1171.0,1176.0,112.0,34.0,'exceed','0'
2208.0,910.0,101.0,126.0,1171.0,1176.0,86.0,38.0,'$400','0'
2309.0,910.0,2155.0,101.0,1171.0,1176.0,70.0,33.0,'mil-','0'
155.0,961.0,1170.0,2155.0,1171.0,1171.0,109.0,36.0,'1994','0'
1325.0,961.0,80.0,1170.0,66.0,1171.0,66.0,33.0,'lion','0'
1405.0,961.0,43.0,80.0,66.0,1171.0,30.0,22.0,'at','0'
1448.0,961.0,73.0,43.0,66.0,1171.0,62.0,31.0,'any','0'
1521.0,961.0,75.0,73.0,66.0,1171.0,62.0,20.0,'one','0'
