@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'NOTES','TO','FINANCIAL','STATEMENTS','In','millions,','except','for','share','amounts','A','Special','Charge','and','Accounting','Change','The','second','quarter','of','1993','included','a','special','pretax','charge','tized','cost.','impact','on','net','income','the','year','was','not','material.','$180','by','Marion','Merrell','Dow','Inc.','This','reflected','effect','change','an','increase','to','stockholders'','equity','Dow's','plans','reduce','its','work','force','in','line','with','$107.','Prior','were','restated.','current','business','conditions','redesign','U.S.','organiza-','Company','will','adopt','FASB','Statement','No.','112','tion.','holds','interest','("Employers'','Postemployment','Benefits")','1994,','approximately','72','percent.','anticipates','that','financial','be','During','fourth','1992,','opportunities','identi-','Effective','January','1,','adopted','fied','streamline','$433','106','Postretirement','Benefits','taken.','asset','write-offs','write-downs,','Other','Than','Pensions"),','107','("Disclosures','plant','shutdowns,','divestitures','consolidation','variety','about','Fair','Value','Financial','Instruments")','activities','globally.','Included','costs','related','109','("Accounting','Income','Taxes").','statements','reductions','associated','these','activities.','prior','1992','1991','requires','employers','recognize','$370','shutdown','divestiture','facilities','busi-','cost','certain','health','care','life','insurance','benefits','provided','ness','primarily','basic','chemicals','plastics.','deci-','retirees','their','dependents','as','liability','during','employees'','sion','take','this','consistent','strategy','active','years','service.','making','transition','divert','into','specialties.','Actions','contemplated','required','accounting','standard,','$994','or','$3.66','per','charges','are','substantially','complete,','no','significant','made','against','income.','also','had','adjustments','estimates.','increasing','operating','expenses','from','$58','(under','December','31,','1993,','previous','method)','$165.','115','Certain','Investments','Debt','changes','method','Equity','Securities").','statement','invest-','taxes.','favorable','cumulative','implementation','ments','debt','securities','classified','either','$229','84','cents','share.','credit','deferred','taxes','Trading,','Available-for-Sale,','Held-to-Maturity.','clas-','would','have','been','$191','if','prepared','accordance','sified','Trading','reported','at','fair','value','unrealized','gains','Principles','Board','(APB)','Opinion','11','instead','losses','Available-for-','$295','recorded','under','109.','Sale','impact,','together','separate','component','equity.','mentioned','above,','shown','$765','Held-to-Maturity','amor-','B','Supplementary','Information','Accrued','Current','Liabilities','vacations','$','196','201','Maintenance','repairs','$1,004','$1,152','$1,211','Employees'','retirement','135','128','Depreciation','1,343','1,342','1,306','Interest','payable','126','156','Taxes','other','than','income:','payroll','154','170','Property','275','264','242','miscellaneous','142','141','Payroll','338','378','351','Insurance','companies'','reserves','155','Provision','doubtful','receivables','18','9','20','Sundry','813','856','Total','$1,721','$1,787','Cash','Payments','Net','$611','$690','$571','454','439','681','Royalty','26','$21','$20','Gain','(loss)','(34)','24','4','sale','assets','57','22','8','Dividend','93','14','25','Othernet','(95)','5','30','47','$86','$87','THE','DOW','CHEMICAL','COMPANY','AND','Ai>.','SUBSIDIARIES'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
110.0,157.0,207.0,0.0,103.0,0.0,177.0,29.0,'NOTES','0'
317.0,157.0,100.0,207.0,103.0,0.0,68.0,29.0,'TO','0'
417.0,157.0,328.0,100.0,103.0,0.0,297.0,30.0,'FINANCIAL','0'
745.0,157.0,644.0,328.0,103.0,0.0,365.0,29.0,'STATEMENTS','0'
110.0,260.0,37.0,644.0,103.0,103.0,26.0,23.0,'In','0'
147.0,260.0,114.0,37.0,74.0,103.0,101.0,28.0,'millions,','0'
261.0,260.0,74.0,114.0,74.0,103.0,73.0,25.0,'except','0'
335.0,260.0,47.0,74.0,74.0,103.0,41.0,33.0,'for','0'
382.0,260.0,70.0,47.0,74.0,103.0,63.0,25.0,'share','0'
452.0,260.0,352.0,70.0,74.0,103.0,104.0,17.0,'amounts','0'
108.0,333.0,73.0,352.0,74.0,74.0,26.0,22.0,'A','0'
181.0,333.0,149.0,73.0,42.0,74.0,132.0,30.0,'Special','0'
330.0,333.0,143.0,149.0,42.0,74.0,127.0,30.0,'Charge','0'
473.0,333.0,82.0,143.0,42.0,74.0,65.0,24.0,'and','0'
555.0,333.0,226.0,82.0,42.0,74.0,208.0,31.0,'Accounting','0'
781.0,333.0,674.0,226.0,42.0,74.0,132.0,31.0,'Change','0'
109.0,374.0,76.0,674.0,42.0,42.0,65.0,32.0,'The','0'
185.0,374.0,122.0,76.0,50.0,42.0,111.0,32.0,'second','0'
307.0,374.0,129.0,122.0,50.0,42.0,118.0,31.0,'quarter','0'
436.0,374.0,46.0,129.0,50.0,42.0,36.0,32.0,'of','0'
482.0,374.0,90.0,46.0,50.0,42.0,77.0,31.0,'1993','0'
572.0,374.0,153.0,90.0,50.0,42.0,142.0,32.0,'included','0'
725.0,374.0,26.0,153.0,50.0,42.0,16.0,18.0,'a','0'
751.0,374.0,118.0,26.0,50.0,42.0,107.0,43.0,'special','0'
869.0,374.0,111.0,118.0,50.0,42.0,100.0,32.0,'pretax','0'
980.0,374.0,116.0,111.0,50.0,42.0,104.0,43.0,'charge','0'
1096.0,374.0,150.0,116.0,50.0,42.0,36.0,32.0,'of','0'
1246.0,374.0,85.0,150.0,50.0,42.0,75.0,32.0,'tized','0'
1331.0,374.0,81.0,85.0,50.0,42.0,70.0,20.0,'cost.','0'
1412.0,374.0,76.0,81.0,50.0,42.0,65.0,32.0,'The','0'
1488.0,374.0,120.0,76.0,50.0,42.0,110.0,41.0,'impact','0'
1608.0,374.0,51.0,120.0,50.0,42.0,40.0,19.0,'on','0'
1659.0,374.0,59.0,51.0,50.0,42.0,49.0,20.0,'net','0'
1718.0,374.0,128.0,59.0,50.0,42.0,117.0,30.0,'income','0'
1846.0,374.0,55.0,128.0,50.0,42.0,45.0,32.0,'for','0'
1901.0,374.0,58.0,55.0,50.0,42.0,49.0,32.0,'the','0'
1959.0,374.0,74.0,58.0,50.0,42.0,65.0,29.0,'year','0'
2033.0,374.0,68.0,74.0,50.0,42.0,57.0,19.0,'was','0'
2101.0,374.0,64.0,68.0,50.0,42.0,54.0,21.0,'not','0'
