@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'In','millions,','except','for','share','amounts','M','Pension','Plans','and','Other','Postemployment','Benefits','The','Company','has','defined','benefit','pension','plans','which','cover','net','periodic','cost','all','significant','employees','in','the','U.S.','a','number','of','foreign','countries.','was','as','follows:','Company's','funding','policy','is','to','contribute','annually,','at','rate','that','intended','approximate','level','percentage','compensation','Net','Periodic','Cost','covered','employees,','those','where','laws','eco-','1993','1992','1991','nomics','either','require','or','encourage','funding.','funded','plan','largest','plan.','Its','benefits','based','Service','costbenefits','earned','during','period','$','152','122','101','are','Interest','projected','obligation','333','306','271','length','service','employee's','three-highest','consecutive','on','Actual','(return)','assets','(494)','(341)','(725)','years','compensation.','weighted','average','discount','Amortization','deferred','153','47','459','increase','future','levels','used','determining','Employee','contributions','(8)','(9)','actuarial','present','value','obligations','were','136','125','98','7.25','5.5','percent,','respectively,','8.25','6','per-','cent,','1992.','assumed','long-term','return','Defined','contribution','Australia,','New','9','percent','Zealand,','Spain,','United','Kingdom','some','subsidiaries.','All','other','assumptions','addition,','eligible','participate','(Employee','Savings','Plans)','by','contribut-','consistent','with','(but','not','identical','to)','ing','portion','their','matches','com-','status','fully','funded,','depending','profit','pensation,','levels.','Contributions','charged','$92','income','1993,','$98','$89','1991.','Fully','Funded','Benefit','December','31','addition','providing','benefits,','pro-','vides','certain','health','care','life','insurance','retired','Accumulated','obligation,','including','vested','employees.','As','discussed','Note','A,','adopted','FASB','$(3,173)','$(2,718)','$(3,497)','$(2,913)','Statement','No.','106','effective','January','1,','Previously,','Projected','services','rendered','date','(4,335)','(3,752)','recognized','these','Plan','market','value,','primarily','listed','paid.','These','pretax','costs','amounted','$53','stocks','bonds','4,534','4,190','continues','fund','most','medical','199','438','year','incurred.','excess','Unrecognized','transition','29','33','covering','parent','company','(gain)','from','experience','favorable','It','provides','hospital,','(84)','(386)','physicians'','major','Prior','(4)','expense','yet','15','benefits.','supplemental','Prepaid','140','100','Medicare','after','retirees','shared','retiree,','partially','increasing','retiree','increased','credited','service.','ability','change','any','time.','Partially','Effective','October','amended','its','cap','absorbed','approximately','twice','per','person','who','retire','31,','1993.','effect','this','amendment','$(361)','$(197)','$(411)','$(219)','reduce','accumulated','postretirement','(575)','(333)','$327.','also','reduced','postre-','208','78','tirement','$21','estimated','(less','than)','(367)','(255)','1994','$83.','35','36','loss','51','(17)','48','Additional','minimum','liability','(13)','Accrued','$(241)','$(216)','THE','DOW','CHEMICAL','COMPANY','AND','410110.','SUBSIDIARIES'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
113.0,259.0,37.0,0.0,77.0,0.0,26.0,22.0,'In','0'
150.0,259.0,114.0,37.0,77.0,0.0,101.0,27.0,'millions,','0'
264.0,259.0,74.0,114.0,77.0,0.0,73.0,25.0,'except','0'
338.0,259.0,47.0,74.0,77.0,0.0,40.0,33.0,'for','0'
385.0,259.0,71.0,47.0,77.0,0.0,62.0,25.0,'share','0'
456.0,259.0,353.0,71.0,77.0,0.0,103.0,17.0,'amounts','0'
112.0,335.0,74.0,353.0,77.0,77.0,31.0,22.0,'M','0'
186.0,335.0,163.0,74.0,42.0,77.0,145.0,24.0,'Pension','0'
349.0,335.0,116.0,163.0,42.0,77.0,100.0,24.0,'Plans','0'
465.0,335.0,83.0,116.0,42.0,77.0,66.0,24.0,'and','0'
548.0,335.0,120.0,83.0,42.0,77.0,103.0,24.0,'Other','0'
668.0,335.0,329.0,120.0,42.0,77.0,311.0,31.0,'Postemployment','0'
997.0,335.0,887.0,329.0,42.0,77.0,152.0,24.0,'Benefits','0'
111.0,376.0,77.0,887.0,42.0,42.0,66.0,32.0,'The','0'
188.0,376.0,173.0,77.0,51.0,42.0,163.0,41.0,'Company','0'
361.0,376.0,62.0,173.0,51.0,42.0,50.0,33.0,'has','0'
423.0,376.0,133.0,62.0,51.0,42.0,122.0,33.0,'defined','0'
556.0,376.0,123.0,133.0,51.0,42.0,113.0,32.0,'benefit','0'
679.0,376.0,138.0,123.0,51.0,42.0,127.0,41.0,'pension','0'
817.0,376.0,95.0,138.0,51.0,42.0,84.0,43.0,'plans','0'
912.0,376.0,110.0,95.0,51.0,42.0,99.0,32.0,'which','0'
1022.0,376.0,226.0,110.0,51.0,42.0,85.0,18.0,'cover','0'
1248.0,376.0,78.0,226.0,51.0,42.0,64.0,30.0,'The','0'
1326.0,376.0,61.0,78.0,51.0,42.0,49.0,19.0,'net','0'
1387.0,376.0,143.0,61.0,51.0,42.0,131.0,40.0,'periodic','0'
1530.0,376.0,138.0,143.0,51.0,42.0,125.0,38.0,'pension','0'
1668.0,376.0,75.0,138.0,51.0,42.0,62.0,19.0,'cost','0'
1743.0,376.0,57.0,75.0,51.0,42.0,45.0,30.0,'for','0'
1800.0,376.0,49.0,57.0,51.0,42.0,36.0,30.0,'all','0'
1849.0,376.0,177.0,49.0,51.0,42.0,164.0,41.0,'significant','0'
2026.0,376.0,131.0,177.0,51.0,42.0,119.0,31.0,'defined','0'
2157.0,376.0,2046.0,131.0,51.0,42.0,109.0,31.0,'benefit','0'
112.0,426.0,179.0,2046.0,51.0,51.0,167.0,43.0,'employees','0'
291.0,426.0,43.0,179.0,50.0,51.0,30.0,30.0,'in','0'
334.0,426.0,60.0,43.0,50.0,51.0,49.0,32.0,'the','0'
394.0,426.0,83.0,60.0,50.0,51.0,70.0,30.0,'U.S.','0'
477.0,426.0,71.0,83.0,50.0,51.0,60.0,32.0,'and','0'
548.0,426.0,26.0,71.0,50.0,51.0,16.0,18.0,'a','0'
574.0,426.0,139.0,26.0,50.0,51.0,129.0,32.0,'number','0'
713.0,426.0,42.0,139.0,50.0,51.0,37.0,32.0,'of','0'
755.0,426.0,126.0,42.0,50.0,51.0,115.0,43.0,'foreign','0'
881.0,426.0,171.0,126.0,50.0,51.0,158.0,30.0,'countries.','0'
1052.0,426.0,197.0,171.0,50.0,51.0,65.0,32.0,'The','0'
1249.0,426.0,92.0,197.0,50.0,51.0,80.0,41.0,'plans','0'
1341.0,426.0,70.0,92.0,50.0,51.0,57.0,17.0,'was','0'
1411.0,426.0,40.0,70.0,50.0,51.0,27.0,17.0,'as','0'
1451.0,426.0,1340.0,40.0,50.0,51.0,120.0,30.0,'follows:','0'
112.0,476.0,186.0,1340.0,50.0,50.0,176.0,43.0,'Company's','0'
298.0,476.0,135.0,186.0,50.0,50.0,126.0,43.0,'funding','0'
433.0,476.0,106.0,135.0,50.0,50.0,97.0,43.0,'policy','0'
539.0,476.0,32.0,106.0,50.0,50.0,21.0,30.0,'is','0'
571.0,476.0,41.0,32.0,50.0,50.0,30.0,21.0,'to','0'
612.0,476.0,174.0,41.0,50.0,50.0,164.0,32.0,'contribute','0'
786.0,476.0,151.0,174.0,50.0,50.0,140.0,42.0,'annually,','0'
937.0,476.0,38.0,151.0,50.0,50.0,29.0,21.0,'at','0'
975.0,476.0,26.0,38.0,50.0,50.0,16.0,19.0,'a','0'
1001.0,476.0,67.0,26.0,50.0,50.0,57.0,21.0,'rate','0'
1068.0,476.0,72.0,67.0,50.0,50.0,62.0,32.0,'that','0'
1140.0,476.0,1030.0,72.0,50.0,50.0,21.0,30.0,'is','0'
112.0,526.0,150.0,1030.0,50.0,50.0,141.0,32.0,'intended','0'
262.0,526.0,41.0,150.0,50.0,50.0,30.0,20.0,'to','0'
303.0,526.0,208.0,41.0,50.0,50.0,198.0,41.0,'approximate','0'
511.0,526.0,24.0,208.0,50.0,50.0,15.0,19.0,'a','0'
535.0,526.0,79.0,24.0,50.0,50.0,69.0,32.0,'level','0'
614.0,526.0,178.0,79.0,50.0,50.0,169.0,32.0,'percentage','0'
792.0,526.0,41.0,178.0,50.0,50.0,36.0,32.0,'of','0'
833.0,526.0,232.0,41.0,50.0,50.0,221.0,41.0,'compensation','0'
1065.0,526.0,54.0,232.0,50.0,50.0,45.0,32.0,'for','0'
1119.0,526.0,130.0,54.0,50.0,50.0,49.0,32.0,'the','0'
1249.0,526.0,66.0,130.0,50.0,50.0,58.0,30.0,'Net','0'
1315.0,526.0,135.0,66.0,50.0,50.0,125.0,31.0,'Periodic','0'
1450.0,526.0,130.0,135.0,50.0,50.0,115.0,29.0,'Pension','0'
1580.0,526.0,1469.0,130.0,50.0,50.0,65.0,29.0,'Cost','0'
112.0,576.0,134.0,1469.0,50.0,50.0,123.0,32.0,'covered','0'
246.0,576.0,190.0,134.0,1798.0,50.0,177.0,43.0,'employees,','0'
436.0,576.0,43.0,190.0,1798.0,50.0,31.0,21.0,'to','0'
479.0,576.0,95.0,43.0,1798.0,50.0,84.0,32.0,'those','0'
574.0,576.0,94.0,95.0,1798.0,50.0,84.0,43.0,'plans','0'
668.0,576.0,108.0,94.0,1798.0,50.0,97.0,32.0,'where','0'
776.0,576.0,139.0,108.0,1798.0,50.0,127.0,41.0,'pension','0'
915.0,576.0,79.0,139.0,1798.0,50.0,67.0,32.0,'laws','0'
994.0,576.0,70.0,79.0,1798.0,50.0,59.0,32.0,'and','0'
1064.0,576.0,846.0,70.0,1798.0,50.0,66.0,19.0,'eco-','0'
1909.0,598.0,162.0,846.0,1798.0,1798.0,68.0,23.0,'1993','1'
2071.0,598.0,162.0,162.0,1798.0,1798.0,65.0,23.0,'1992','1'
2233.0,598.0,2122.0,162.0,1798.0,1798.0,62.0,24.0,'1991','1'
112.0,626.0,125.0,2122.0,1798.0,1798.0,114.0,29.0,'nomics','0'
237.0,626.0,101.0,125.0,82.0,1798.0,91.0,31.0,'either','0'
338.0,626.0,122.0,101.0,82.0,1798.0,111.0,40.0,'require','0'
460.0,626.0,42.0,122.0,82.0,1798.0,32.0,19.0,'or','0'
502.0,626.0,172.0,42.0,82.0,1798.0,162.0,30.0,'encourage','0'
674.0,626.0,490.0,172.0,82.0,1798.0,134.0,43.0,'funding.','0'
186.0,661.0,76.0,490.0,82.0,82.0,65.0,31.0,'The','0'
262.0,661.0,81.0,76.0,833.0,82.0,68.0,30.0,'U.S.','0'
343.0,661.0,122.0,81.0,833.0,82.0,113.0,32.0,'funded','0'
465.0,661.0,80.0,122.0,833.0,82.0,69.0,42.0,'plan','0'
545.0,661.0,32.0,80.0,833.0,82.0,22.0,29.0,'is','0'
577.0,661.0,60.0,32.0,833.0,82.0,50.0,32.0,'the','0'
637.0,661.0,111.0,60.0,833.0,82.0,101.0,42.0,'largest','0'
748.0,661.0,90.0,111.0,833.0,82.0,77.0,43.0,'plan.','0'
838.0,661.0,48.0,90.0,833.0,82.0,37.0,29.0,'Its','0'
886.0,661.0,188.0,48.0,833.0,82.0,122.0,32.0,'benefits','0'
1074.0,661.0,175.0,188.0,833.0,82.0,87.0,32.0,'based','0'
1249.0,661.0,98.0,175.0,833.0,82.0,88.0,24.0,'Service','1'
1347.0,661.0,182.0,98.0,833.0,82.0,172.0,24.0,'costbenefits','1'
1529.0,661.0,94.0,182.0,833.0,82.0,84.0,24.0,'earned','1'
1623.0,661.0,94.0,94.0,833.0,82.0,85.0,33.0,'during','1'
1717.0,661.0,49.0,94.0,833.0,82.0,39.0,24.0,'the','1'
1766.0,661.0,130.0,49.0,833.0,82.0,81.0,32.0,'period','1'
1896.0,661.0,31.0,130.0,833.0,82.0,15.0,27.0,'$','1'
1927.0,661.0,135.0,31.0,833.0,82.0,47.0,24.0,'152','1'
2062.0,661.0,30.0,135.0,833.0,82.0,14.0,27.0,'$','1'
2092.0,661.0,133.0,30.0,833.0,82.0,44.0,22.0,'122','1'
2225.0,661.0,29.0,133.0,833.0,82.0,13.0,27.0,'$','1'
2254.0,661.0,1237.0,29.0,833.0,82.0,41.0,22.0,'101','1'
1018.0,689.0,231.0,1237.0,833.0,833.0,45.0,19.0,'are','0'
1249.0,689.0,205.0,231.0,856.0,833.0,94.0,23.0,'Interest','1'
1454.0,689.0,128.0,205.0,856.0,833.0,118.0,32.0,'projected','1'
1582.0,689.0,96.0,128.0,856.0,833.0,86.0,24.0,'benefit','1'
1678.0,689.0,246.0,96.0,856.0,833.0,128.0,33.0,'obligation','1'
1924.0,689.0,165.0,246.0,856.0,833.0,50.0,24.0,'333','1'
2089.0,689.0,162.0,165.0,856.0,833.0,47.0,25.0,'306','1'
2251.0,689.0,2089.0,162.0,856.0,833.0,44.0,23.0,'271','1'
163.0,710.0,111.0,2089.0,856.0,856.0,100.0,42.0,'length','0'
274.0,710.0,40.0,111.0,59.0,856.0,35.0,32.0,'of','0'
314.0,710.0,116.0,40.0,59.0,856.0,105.0,29.0,'service','0'
430.0,710.0,69.0,116.0,59.0,856.0,59.0,32.0,'and','0'
499.0,710.0,59.0,69.0,59.0,856.0,48.0,32.0,'the','0'
558.0,710.0,180.0,59.0,59.0,856.0,169.0,42.0,'employee's','0'
738.0,710.0,218.0,180.0,59.0,856.0,208.0,43.0,'three-highest','0'
956.0,710.0,397.0,218.0,59.0,856.0,184.0,30.0,'consecutive','0'
1353.0,710.0,59.0,397.0,59.0,856.0,49.0,16.0,'cost','1'
1412.0,710.0,1301.0,59.0,59.0,856.0,32.0,14.0,'on','1'
112.0,739.0,1134.0,1301.0,59.0,59.0,40.0,19.0,'on','0'
1246.0,739.0,93.0,1134.0,38.0,59.0,81.0,25.0,'Actual','1'
1339.0,739.0,105.0,93.0,38.0,59.0,93.0,28.0,'(return)','1'
1444.0,739.0,42.0,105.0,38.0,59.0,31.0,14.0,'on','1'
1486.0,739.0,428.0,42.0,38.0,59.0,65.0,16.0,'assets','1'
1914.0,739.0,165.0,428.0,38.0,59.0,70.0,29.0,'(494)','1'
2079.0,739.0,163.0,165.0,38.0,59.0,67.0,28.0,'(341)','1'
2242.0,739.0,2132.0,163.0,38.0,59.0,66.0,28.0,'(725)','1'
111.0,776.0,88.0,2132.0,38.0,38.0,78.0,30.0,'years','0'
199.0,776.0,42.0,88.0,51.0,38.0,37.0,32.0,'of','0'
241.0,776.0,244.0,42.0,51.0,38.0,233.0,40.0,'compensation.','0'
485.0,776.0,74.0,244.0,51.0,38.0,65.0,32.0,'The','0'
559.0,776.0,156.0,74.0,51.0,38.0,145.0,43.0,'weighted','0'
715.0,776.0,125.0,156.0,51.0,38.0,115.0,30.0,'average','0'
840.0,776.0,148.0,125.0,51.0,38.0,138.0,33.0,'discount','0'
988.0,776.0,69.0,148.0,51.0,38.0,58.0,20.0,'rate','0'
1057.0,776.0,69.0,69.0,51.0,38.0,58.0,32.0,'and','0'
1126.0,776.0,121.0,69.0,51.0,38.0,57.0,21.0,'rate','0'
1247.0,776.0,181.0,121.0,51.0,38.0,171.0,23.0,'Amortization','1'
1428.0,776.0,57.0,181.0,51.0,38.0,46.0,24.0,'and','1'
1485.0,776.0,113.0,57.0,51.0,38.0,102.0,25.0,'deferred','1'
1598.0,776.0,329.0,113.0,51.0,38.0,109.0,16.0,'amounts','1'
1927.0,776.0,178.0,329.0,51.0,38.0,47.0,24.0,'153','1'
2105.0,776.0,146.0,178.0,51.0,38.0,31.0,26.0,'47','1'
2251.0,776.0,2140.0,146.0,51.0,38.0,47.0,25.0,'459','1'
112.0,826.0,42.0,2140.0,51.0,51.0,36.0,33.0,'of','0'
154.0,826.0,137.0,42.0,50.0,51.0,126.0,30.0,'increase','0'
291.0,826.0,42.0,137.0,50.0,51.0,30.0,29.0,'in','0'
333.0,826.0,108.0,42.0,50.0,51.0,96.0,33.0,'future','0'
441.0,826.0,237.0,108.0,50.0,51.0,226.0,40.0,'compensation','0'
678.0,826.0,95.0,237.0,50.0,51.0,84.0,32.0,'levels','0'
773.0,826.0,83.0,95.0,50.0,51.0,72.0,33.0,'used','0'
856.0,826.0,41.0,83.0,50.0,51.0,30.0,29.0,'in','0'
897.0,826.0,210.0,41.0,50.0,51.0,200.0,43.0,'determining','0'
1107.0,826.0,142.0,210.0,50.0,51.0,49.0,32.0,'the','0'
1249.0,826.0,135.0,142.0,50.0,51.0,125.0,33.0,'Employee','1'
1384.0,826.0,182.0,135.0,50.0,51.0,171.0,25.0,'contributions','1'
1566.0,826.0,35.0,182.0,50.0,51.0,24.0,16.0,'to','1'
1601.0,826.0,48.0,35.0,50.0,51.0,38.0,25.0,'the','1'
1649.0,826.0,299.0,48.0,50.0,51.0,65.0,33.0,'plans','1'
1948.0,826.0,164.0,299.0,50.0,51.0,36.0,28.0,'(8)','1'
