@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'TABLES','Page','Table','1.','Summary','of','tracer-spike','velocities','and','flow','rates','14','2.','Correlation','points,','identified','from','temperature','log','obtained','during','pumping,','with','fractures','acoustic-televiewer','television-camera','logs','19','3.','Ratio','principal','hydraulic-conductivity','values','for','in','USW','H-4,','as','determined','by','the','Snow','equation','26','4.','Estimates','fracture','porosity','tuffs','penetrated','assuming','33','zones','are','equally','permeable','28','METRIC','CONVERSION','TABLE','Multiply','inch-pound','units','By','To','obtain','SI','cubic','foot','per','hour','(ft3/h)','0.02832','meter','(ft)','0.3048','(ft/h)','gallon','minute','(gal/min)','3.785','liter','inch','(in.)','25.40','millimeter','mile','(mi)','1.609','kilometer','iv'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
1190.0,410.0,958.0,0.0,958.0,0.0,145.0,30.0,'TABLES','0'
2142.0,509.0,1854.0,958.0,958.0,958.0,95.0,39.0,'Page','0'
289.0,558.0,155.0,1854.0,1854.0,1854.0,121.0,30.0,'Table','0'
444.0,558.0,96.0,155.0,161.0,1854.0,35.0,28.0,'1.','0'
540.0,558.0,201.0,96.0,161.0,1854.0,172.0,37.0,'Summary','0'
741.0,558.0,75.0,201.0,161.0,1854.0,45.0,28.0,'of','0'
816.0,558.0,323.0,75.0,161.0,1854.0,294.0,38.0,'tracer-spike','0'
1139.0,558.0,278.0,323.0,161.0,1854.0,245.0,30.0,'velocities','0'
1417.0,558.0,101.0,278.0,161.0,1854.0,70.0,29.0,'and','0'
1518.0,558.0,126.0,101.0,161.0,1854.0,95.0,30.0,'flow','0'
1644.0,558.0,552.0,126.0,161.0,1854.0,116.0,27.0,'rates','0'
2196.0,558.0,1756.0,552.0,161.0,1854.0,42.0,31.0,'14','0'
441.0,609.0,100.0,1756.0,161.0,161.0,38.0,29.0,'2.','0'
541.0,609.0,300.0,100.0,159.0,161.0,271.0,30.0,'Correlation','0'
