@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'See','note','8','for','further','information','on','GECS'','allowance','periods','of','the','contracts','in','proportion','either','to','anticipated','losses','financing','receivables.','premium','income','or','gross','profit,','as','appropriate.','For','cer-','Cash','equivalents.','Marketable','securities','with','original','matu-','tain','annuity','contracts,','such','costs','are','amortized','ba-','rities','three','months','less','included','cash','equiva-','sis','profits.','other','lines','business,','lents','unless','held','trading','investment.','acquisition','over','life','related','insurance','contracts.','Deferred','Investment','and','securities.','On','December','31,','1993,','reviewed','recoverability;','short-duration','con-','Company','adopted','Statement','Financial','Accounting','tracts,','investment','is','considered','Standards','(SFAS)','No.','115,','Certain','Invest-','making','recoverability','evaluations.','ments','Debt','Equity','Securities,','which','requires','that','invest-','debt','marketable','equity','be','designated','trading,','held-to-maturity','available-','for-sale.','Trading','reported','at','fair','value,','2','changes','value','earnings.','se-','curities','include','both','available-for-sale','held-to-matu-','Note','Discontinued','Operations','rity','Available-for-sale','net','unrealized','gains','would','April','2,','General','Electric','transferred','available','share','owners','equity.','Held-to-','GE's','Aerospace','business','segment,','GE','Government','maturity','cost.','Services,','Inc.,','an','operating','component','notes','10','11','a','discussion','classification','operated','Knolls','Atomic','Power','Laboratory','under','reporting','these','1992.','contract','U.S.','Department','Energy','new','all','securities,','company','controlled','by','shareholders','Martin','than','temporary','recognized','Marietta','Corporation','transaction','valued','$3.3','Securities','sold','agreements','repurchase','(repurchase','billion.','The','transfer','resulted','gain','$678','million','agreements)','purchased','resell','after','taxes','$752','million.','Net','assets','discontinued','(reverse','agreements).','Repurchase','reverse','re-','operations','1992,','have','been','segregated','purchase','entered','into','Kidder,','Peabody','Position.','Summary','treated','transactions,','carried','results','operations,','excluding','above','tract','amount','subsequently','will','gain,','follows.','resold','reacquired.','relate','(In','millions)','1993','1992','1991','market','val-','ue,','obtained','pursuant','repur-','Revenues','$996','$5,231','$5,631','chase','It','Peabody's','policy','take','Earnings','before','119','668','710','agreements.','Provision','44','248','259','possession','subject','earnings','from','agreements,','monitor','underly-','75','420','451','ing','relation','receivable,','includ-','accrued','interest,','obtain','additional','collateral','when','3','Inventories.','Virtually','inventories','stated','last-in,','first-out','(LIFO)','basis;','Other','Income','primarily','first-in,','(FIFO)','basis.','None','exceed','realizable','values.','Intangible','assets.','Goodwill','its','estimated','period','benefit','intangible','their','esti-','Royalty','technical','mated','lives.','amortization','does','not','40','$371','$384','$394','years,','generally','straight-line','bank','expected','deposits','73','78','excess','associated','Associated','companies','65','195','156','flows','impaired','written','down','Customer','29','71','value.','investments','Dividends','50','18','costs.','property','21','Interest','22','casualty','deferred','sundry','items','80','pro','rata','$730','$812','$798','premiums','earned.','busi-','ness,','premium-paying','46'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
194.0,141.0,72.0,0.0,67.0,0.0,59.0,29.0,'See','0'
266.0,141.0,90.0,72.0,67.0,0.0,77.0,23.0,'note','0'
356.0,141.0,31.0,90.0,67.0,0.0,18.0,29.0,'8','0'
387.0,141.0,60.0,31.0,67.0,0.0,49.0,28.0,'for','0'
447.0,141.0,143.0,60.0,67.0,0.0,132.0,29.0,'further','0'
590.0,141.0,228.0,143.0,67.0,0.0,215.0,30.0,'information','0'
818.0,141.0,57.0,228.0,67.0,0.0,43.0,19.0,'on','0'
875.0,141.0,133.0,57.0,67.0,0.0,119.0,29.0,'GECS'','0'
1008.0,141.0,294.0,133.0,67.0,0.0,180.0,30.0,'allowance','0'
1302.0,141.0,146.0,294.0,67.0,0.0,133.0,39.0,'periods','0'
1448.0,141.0,47.0,146.0,67.0,0.0,39.0,29.0,'of','0'
1495.0,141.0,66.0,47.0,67.0,0.0,55.0,30.0,'the','0'
1561.0,141.0,173.0,66.0,67.0,0.0,161.0,24.0,'contracts','0'
1734.0,141.0,49.0,173.0,67.0,0.0,36.0,28.0,'in','0'
1783.0,141.0,206.0,49.0,67.0,0.0,195.0,39.0,'proportion','0'
1989.0,141.0,116.0,206.0,67.0,0.0,106.0,30.0,'either','0'
2105.0,141.0,43.0,116.0,67.0,0.0,33.0,23.0,'to','0'
2148.0,141.0,1997.0,43.0,67.0,0.0,204.0,39.0,'anticipated','0'
152.0,193.0,60.0,1997.0,67.0,67.0,49.0,29.0,'for','0'
212.0,193.0,111.0,60.0,53.0,67.0,98.0,29.0,'losses','0'
323.0,193.0,55.0,111.0,53.0,67.0,43.0,19.0,'on','0'
378.0,193.0,188.0,55.0,53.0,67.0,177.0,40.0,'financing','0'
566.0,193.0,737.0,188.0,53.0,67.0,203.0,30.0,'receivables.','0'
1303.0,193.0,179.0,737.0,53.0,67.0,167.0,39.0,'premium','0'
1482.0,193.0,145.0,179.0,53.0,67.0,132.0,28.0,'income','0'
1627.0,193.0,49.0,145.0,53.0,67.0,37.0,19.0,'or','0'
1676.0,193.0,45.0,49.0,53.0,67.0,32.0,23.0,'to','0'
1721.0,193.0,100.0,45.0,53.0,67.0,88.0,31.0,'gross','0'
1821.0,193.0,122.0,100.0,53.0,67.0,108.0,39.0,'profit,','0'
1943.0,193.0,46.0,122.0,53.0,67.0,34.0,19.0,'as','0'
1989.0,193.0,233.0,46.0,53.0,67.0,220.0,39.0,'appropriate.','0'
2222.0,193.0,70.0,233.0,53.0,67.0,59.0,29.0,'For','0'
2292.0,193.0,2138.0,70.0,53.0,67.0,66.0,19.0,'cer-','0'
155.0,245.0,92.0,2138.0,53.0,53.0,80.0,29.0,'Cash','0'
247.0,245.0,205.0,92.0,53.0,53.0,191.0,42.0,'equivalents.','0'
452.0,245.0,215.0,205.0,53.0,53.0,202.0,30.0,'Marketable','0'
667.0,245.0,177.0,215.0,53.0,53.0,167.0,30.0,'securities','0'
844.0,245.0,92.0,177.0,53.0,53.0,79.0,29.0,'with','0'
936.0,245.0,156.0,92.0,53.0,53.0,144.0,41.0,'original','0'
