@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'significant','year-to-year','increases','in','Venezuela,','EMPLOYMENT','AND','PAYROLLS','Colombia,','and','Argentina,','all','contributed','to','GM's','1993','1992','1991','18.0%','regional','market','share-its','highest','over-','Average','worldwide','employment','seas.','Sustained','levels','of','sales','profitability','GM','(excluding','units','listed','below)','531,700','571,000','578,400','Latin','America','are','highly','dependent','upon','GMAC','18,300','19,200','economic','political','conditions','the','region.','EDS','71,500','70,500','65,800','83,400','In','Asia-Pacific','region,','financial','perfor-','GMHE','89,300','92,900','NCRS','5,900','mance','was','favorable','despite','substantial','new','-','business','development','incurred','expand-','number','employees','710,800','750,000','756,300','costs','ing','operations','rapid-growth','econo-','Worldwide','payrolls','(in','millions)','$29,805.8','$30,340.5','$29,641.1','mies','China,','Taiwan,','Southeast','Asia.','U.S.','hourly','employment(])(2)','235,240','256,250','258,700','Japan,','re-launch','Opel','products','payrolls(1)','$12,438.9','$12,408.2','$12,194.6','worked','partnership','with','Yanase','&','Company','resulted','labor','cost','per','active','hour','hourly])','$42.72','$42.21','$36.85','record','sales.','local','assembly','very','popular','Astra','commenced','May','Canadian','at','December','31','(including','outside','personnel,','and,','September,','a','joint','venture','formed','contract','excluding','saleable','engineers)(i)','Indonesia,','where','models','Salaried','71,400','79,600','91,600','is','planned','for','1994.','The','VR','Commodore','Hourly-0','290,400','316,400','331,600','launched','mid-1993','by','Holden's','Total','361,800','396,000','423,200','named','Car','Year','Australia.','Equal','opportunity])','Minorities','as','%','work','force','21%','GMAC,','its','role','partner','General','16%','White-collar','15%','dealers,','financing','Motors','serves','Blue-collar','23%','22%','insurance','needs','customers.','Women','19%','Reference','should','be','made','condensed','28%','17%','statements','included','Note','12','Financial','Statements.','(I)','Excludes','EDS,','Hughes,','Saturn,','NCRS.','Consolidated','(2)','Includes','work"','(excludes','laid-off','receiving','benefits).','net','income','(3)','Excluding','GMHE,','totaled','$981.1','million,','an','increase','$45.0','(4)','roll"','(includes','million','1992.','over','Earnings','reflect','unfavorable','International','Automotive','Operations','Europe,','maintaining','position','second-','cumulative','effect','accounting','change','related','(10)','best-selling','car','Europe.','implementation','SFAS','No.','106','which','reduced','were','profitable','1992,','although','Progress','restructuring','Saab's','$282.6','million.','results','trailed','high','profit','achieved','during','1993.','Improvements','106,','GMAC's','nonrecurring','impact','1991.','Income','10','before','changes','efficiency','productivity','ensured','successful','earnings','declined','$237.6','year','year.','$1,224.9','versus','$1,514.5','launch','Saab','900,','$1,369.7','Net','$1,468.7','Automobile','AB's','first','all-new','product','since','$331.5','Results','reflected','prof-','company','established','1990.','relative','imple-','American','(LAO).','LAO's','performance','exceeded','previous','mentation','109,','Accounting','Europe','remained','extremely','records','on','fronts.','By','capital-','$170.9','after-tax','special','Taxes,','difficult','climate,','but','profits','below','izing','openings','throughout','wholesale','loss','provision.','items,','levels.','decline','all-time','deliveries','402,000','$1,218.7','compared','primarily','attributable','European','(up','vs.','1992),','able','$1,209.1','16.5%.','maintain','share','18%.','Led','from','During','1993,','Europe's','vehicle','unit','do','Brasil's','(45%),','LAO','$790.6','$1,011.6','10.5%,','increased','post','operating','truck','12.6%','also','106.','decrease','11.8%','11.3%','both','Venezuela','Colombia.','lower','asset','increasing','overall','passenger','Chile','second','best','tighter','interest','rate','margins','13.4%','up','12.7%','history.','poised','future','it','re-','North','(net','depreciation','expense','12.2%','1991,','maintained','place','manufacturing','presence','Argentina','lease','vehicles),','partially','offset','among','manufacturers','cars','take','advantage','growth.','All','this','higher','America.','Western','This','fifth','straight','accomplished','amidst','Opel/Vauxhall','uncertainty','competitive','pressures','favorably','$865.9','technically','identical','Opel/','Eastern','Asian','entries.','Vauxhall','model','range','While','attaining','18%','109)','due','one','(versus','1991)','314,000','reported','provision','Opel's','13','units,','continued','strengthen','$8,752.0','revenue','different','countries.','posting','$1,650.1','amounts.','Corsa','attributed','significantly','well.','region','benefited','retail','Revenue','development,','while','relatively','low','effective','tax','$3,673.4','down','33.3%,','again','largest','selling','line','Improved','Brazil,','well','leasing','9.7%','Ecuador,','combined','$3,870.9','Financing','22'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
1690.0,173.0,148.0,0.0,1519.0,0.0,136.0,36.0,'significant','0'
1838.0,173.0,177.0,148.0,1519.0,0.0,164.0,31.0,'year-to-year','0'
2015.0,173.0,135.0,177.0,1519.0,0.0,122.0,25.0,'increases','0'
2150.0,173.0,35.0,135.0,1519.0,0.0,24.0,26.0,'in','0'
2185.0,173.0,2014.0,35.0,1519.0,0.0,141.0,34.0,'Venezuela,','0'
172.0,207.0,238.0,2014.0,1519.0,1519.0,228.0,30.0,'EMPLOYMENT','0'
410.0,207.0,85.0,238.0,887.0,1519.0,71.0,29.0,'AND','0'
495.0,207.0,1195.0,85.0,887.0,1519.0,165.0,29.0,'PAYROLLS','0'
1690.0,207.0,149.0,1195.0,887.0,1519.0,134.0,34.0,'Colombia,','0'
1839.0,207.0,58.0,149.0,887.0,1519.0,48.0,28.0,'and','0'
1897.0,207.0,151.0,58.0,887.0,1519.0,136.0,34.0,'Argentina,','0'
2048.0,207.0,42.0,151.0,887.0,1519.0,30.0,28.0,'all','0'
2090.0,207.0,168.0,42.0,887.0,1519.0,156.0,28.0,'contributed','0'
2258.0,207.0,39.0,168.0,887.0,1519.0,26.0,23.0,'to','0'
2297.0,207.0,1242.0,39.0,887.0,1519.0,61.0,27.0,'GM's','0'
1057.0,260.0,226.0,1242.0,887.0,887.0,72.0,31.0,'1993','1'
1283.0,260.0,226.0,226.0,890.0,887.0,72.0,30.0,'1992','1'
1509.0,260.0,183.0,226.0,890.0,887.0,66.0,30.0,'1991','1'
1692.0,260.0,93.0,183.0,890.0,887.0,78.0,27.0,'18.0%','0'
1785.0,260.0,122.0,93.0,890.0,887.0,109.0,36.0,'regional','0'
1907.0,260.0,107.0,122.0,890.0,887.0,95.0,28.0,'market','0'
2014.0,260.0,156.0,107.0,890.0,887.0,144.0,29.0,'share-its','0'
2170.0,260.0,110.0,156.0,890.0,887.0,98.0,36.0,'highest','0'
2280.0,260.0,2112.0,110.0,890.0,887.0,66.0,20.0,'over-','0'
169.0,310.0,130.0,2112.0,890.0,890.0,120.0,35.0,'Average','1'
299.0,310.0,173.0,130.0,58.0,890.0,160.0,29.0,'worldwide','1'
472.0,310.0,1217.0,173.0,58.0,890.0,189.0,37.0,'employment','1'
1689.0,310.0,76.0,1217.0,58.0,890.0,61.0,20.0,'seas.','0'
1765.0,310.0,143.0,76.0,58.0,890.0,131.0,28.0,'Sustained','0'
1908.0,310.0,87.0,143.0,58.0,890.0,74.0,28.0,'levels','0'
1995.0,310.0,37.0,87.0,58.0,890.0,28.0,29.0,'of','0'
2032.0,310.0,77.0,37.0,58.0,890.0,64.0,28.0,'sales','0'
2109.0,310.0,60.0,77.0,58.0,890.0,49.0,28.0,'and','0'
2169.0,310.0,1958.0,60.0,58.0,890.0,162.0,37.0,'profitability','0'
212.0,348.0,57.0,1958.0,58.0,58.0,44.0,26.0,'GM','1'
269.0,348.0,154.0,57.0,41.0,58.0,142.0,36.0,'(excluding','1'
423.0,348.0,79.0,154.0,41.0,58.0,66.0,25.0,'units','1'
502.0,348.0,85.0,79.0,41.0,58.0,73.0,28.0,'listed','1'
587.0,348.0,438.0,85.0,41.0,58.0,92.0,36.0,'below)','1'
1025.0,348.0,239.0,438.0,41.0,58.0,126.0,33.0,'531,700','1'
1264.0,348.0,224.0,239.0,41.0,58.0,111.0,33.0,'571,000','1'
1488.0,348.0,201.0,224.0,41.0,58.0,111.0,34.0,'578,400','1'
1689.0,348.0,37.0,201.0,41.0,58.0,24.0,25.0,'in','0'
1726.0,348.0,77.0,37.0,41.0,58.0,66.0,26.0,'Latin','0'
1803.0,348.0,123.0,77.0,41.0,58.0,111.0,26.0,'America','0'
1926.0,348.0,53.0,123.0,41.0,58.0,40.0,20.0,'are','0'
1979.0,348.0,95.0,53.0,41.0,58.0,83.0,36.0,'highly','0'
2074.0,348.0,155.0,95.0,41.0,58.0,143.0,37.0,'dependent','0'
2229.0,348.0,2018.0,155.0,41.0,58.0,68.0,28.0,'upon','0'
212.0,389.0,834.0,2018.0,41.0,41.0,80.0,26.0,'GMAC','1'
1046.0,389.0,238.0,834.0,37.0,41.0,105.0,33.0,'18,300','1'
1284.0,389.0,224.0,238.0,37.0,41.0,91.0,31.0,'19,200','1'
1508.0,389.0,181.0,224.0,37.0,41.0,91.0,32.0,'19,200','1'
1689.0,389.0,140.0,181.0,37.0,41.0,127.0,26.0,'economic','0'
1829.0,389.0,61.0,140.0,37.0,41.0,49.0,28.0,'and','0'
1890.0,389.0,120.0,61.0,37.0,41.0,108.0,36.0,'political','0'
2010.0,389.0,154.0,120.0,37.0,41.0,141.0,28.0,'conditions','0'
2164.0,389.0,38.0,154.0,37.0,41.0,24.0,26.0,'in','0'
2202.0,389.0,54.0,38.0,37.0,41.0,41.0,28.0,'the','0'
2256.0,389.0,2046.0,54.0,37.0,41.0,91.0,34.0,'region.','0'
211.0,425.0,833.0,2046.0,37.0,37.0,54.0,26.0,'EDS','1'
1044.0,425.0,237.0,833.0,833.0,37.0,106.0,33.0,'71,500','1'
