@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'Notes','to','Financial','Statements','(Continued)','The','Goodyear','Tire','&','Rubber','Company','and','Subsidiaries','Geographic','Segments','IN','millions)','1993','1992','1991','Sales','Unaffiliated','Customers','United','States','$','6,777.4','6,787.3','6,230.8','Europe','2,233.3','2,476.1','2,281.9','Latin','America','1,403.5','1,325.1','1,248.9','Asia','644.9','654.0','590.6','Canada','584.3','542.4','554.6','Net','$11,643.4','$11,784,9','$10,906.8','Inter-Geographic','296.9','290.4','290.5','78.4','66,5','60.5','107.7','87.4','46.1','346.6','325.9','284.9','233.6','195.3','156.5','Total','1,063.2','965.5','838,5','Revenue','7,074.3','7,077.7','6,521.3','2,311.7','2,542.6','2,342.4','1,511,2','1,412.5','1,295.0','991.5','979.9','875.5','817.9','737.7','711.1','Adjustments','eliminations','(1,063.2)','(965.51','1838.51','$11,784.9','Operating','Income','590.5','654.3','422.7','221.5','216.8','123.9','-','271.1','155.5','156.4','70.0','829','863','12.0','4.0','15.91','(.4)','(3.21','1.11','1,164.7','1,110.3','783.3','Assets','5,113.4','5,143.0','4,971.3','1,433.8','1,462.0','1,597.4','799.2','854.6','820.5','471.6','466.0','409.9','521.8','541.4','592.6','(10.9)','111.01','(431','identifiable','assets','8,328.9','8,456.0','8,387.4','Investments','in','affiliated','companies,','at','equity','107.2','123.1','December','31','8,436.1','8,563.7','8,510.5','0'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
152.0,153.0,133.0,0.0,74.0,0.0,118.0,39.0,'Notes','0'
285.0,153.0,56.0,133.0,74.0,0.0,41.0,37.0,'to','0'
341.0,153.0,204.0,56.0,74.0,0.0,190.0,43.0,'Financial','0'
545.0,153.0,254.0,204.0,74.0,0.0,238.0,40.0,'Statements','0'
799.0,153.0,653.0,254.0,74.0,0.0,120.0,31.0,'(Continued)','0'
151.0,226.0,44.0,653.0,74.0,74.0,35.0,27.0,'The','0'
195.0,226.0,103.0,44.0,205.0,74.0,96.0,33.0,'Goodyear','0'
298.0,226.0,46.0,103.0,205.0,74.0,37.0,25.0,'Tire','0'
344.0,226.0,26.0,46.0,205.0,74.0,16.0,25.0,'&','0'
370.0,226.0,81.0,26.0,205.0,74.0,74.0,28.0,'Rubber','0'
451.0,226.0,106.0,81.0,205.0,74.0,97.0,31.0,'Company','0'
557.0,226.0,46.0,106.0,205.0,74.0,37.0,28.0,'and','0'
603.0,226.0,499.0,46.0,205.0,74.0,120.0,28.0,'Subsidiaries','0'
148.0,430.0,160.0,499.0,205.0,205.0,150.0,39.0,'Geographic','0'
308.0,430.0,194.0,160.0,108.0,205.0,127.0,35.0,'Segments','0'
148.0,538.0,35.0,194.0,108.0,108.0,25.0,29.0,'IN','1'
183.0,538.0,997.0,35.0,55.0,108.0,79.0,29.0,'millions)','1'
1180.0,538.0,498.0,997.0,55.0,108.0,58.0,29.0,'1993','1'
1678.0,538.0,497.0,498.0,55.0,108.0,58.0,28.0,'1992','1'
2175.0,538.0,2029.0,497.0,55.0,108.0,56.0,28.0,'1991','1'
147.0,592.0,73.0,2029.0,55.0,55.0,64.0,32.0,'Sales','1'
220.0,592.0,35.0,73.0,71.0,55.0,24.0,25.0,'to','1'
255.0,592.0,151.0,35.0,71.0,55.0,141.0,31.0,'Unaffiliated','1'
406.0,592.0,229.0,151.0,71.0,55.0,131.0,28.0,'Customers','1'
185.0,651.0,91.0,229.0,71.0,71.0,80.0,30.0,'United','1'
276.0,651.0,835.0,91.0,61.0,71.0,74.0,28.0,'States','1'
1111.0,651.0,33.0,835.0,61.0,71.0,15.0,37.0,'$','1'
1144.0,651.0,479.0,33.0,61.0,71.0,95.0,32.0,'6,777.4','1'
1623.0,651.0,28.0,479.0,61.0,71.0,12.0,35.0,'$','1'
1651.0,651.0,469.0,28.0,61.0,71.0,84.0,31.0,'6,787.3','1'
2120.0,651.0,29.0,469.0,61.0,71.0,12.0,34.0,'$','1'
2149.0,651.0,1965.0,29.0,61.0,71.0,84.0,30.0,'6,230.8','1'
185.0,712.0,959.0,1965.0,61.0,61.0,87.0,34.0,'Europe','1'
1144.0,712.0,508.0,959.0,58.0,61.0,94.0,33.0,'2,233.3','1'
1652.0,712.0,498.0,508.0,58.0,61.0,80.0,31.0,'2,476.1','1'
2150.0,712.0,1966.0,498.0,58.0,61.0,84.0,29.0,'2,281.9','1'
185.0,770.0,69.0,1966.0,58.0,58.0,60.0,28.0,'Latin','1'
254.0,770.0,893.0,69.0,60.0,58.0,100.0,28.0,'America','1'
1147.0,770.0,509.0,893.0,60.0,58.0,91.0,33.0,'1,403.5','1'
1656.0,770.0,497.0,509.0,60.0,58.0,77.0,31.0,'1,325.1','1'
2153.0,770.0,1970.0,497.0,60.0,58.0,81.0,31.0,'1,248.9','1'
184.0,829.0,984.0,1970.0,60.0,60.0,50.0,28.0,'Asia','1'
1168.0,829.0,505.0,984.0,56.0,60.0,70.0,28.0,'644.9','1'
1673.0,829.0,499.0,505.0,56.0,60.0,63.0,28.0,'654.0','1'
2172.0,829.0,1989.0,499.0,56.0,60.0,62.0,28.0,'590.6','1'
184.0,885.0,985.0,1989.0,56.0,56.0,90.0,30.0,'Canada','1'
1169.0,885.0,505.0,985.0,69.0,56.0,68.0,29.0,'584.3','1'
1674.0,885.0,498.0,505.0,69.0,56.0,61.0,28.0,'542.4','1'
2172.0,885.0,1951.0,498.0,69.0,56.0,61.0,27.0,'554.6','1'
222.0,942.0,51.0,1951.0,69.0,69.0,41.0,27.0,'Net','1'
273.0,942.0,838.0,51.0,139.0,69.0,63.0,31.0,'Sales','1'
1111.0,942.0,511.0,838.0,139.0,69.0,127.0,38.0,'$11,643.4','1'
1622.0,942.0,498.0,511.0,139.0,69.0,114.0,34.0,'$11,784,9','1'
2120.0,942.0,1976.0,498.0,139.0,69.0,113.0,34.0,'$10,906.8','1'
148.0,1059.0,215.0,1976.0,139.0,139.0,206.0,38.0,'Inter-Geographic','1'
363.0,1059.0,189.0,215.0,69.0,139.0,64.0,31.0,'Sales','1'
184.0,1117.0,91.0,189.0,69.0,69.0,81.0,31.0,'United','1'
275.0,1117.0,833.0,91.0,61.0,69.0,74.0,27.0,'States','1'
1108.0,1117.0,60.0,833.0,61.0,69.0,14.0,38.0,'$','1'
1168.0,1117.0,454.0,60.0,61.0,69.0,70.0,29.0,'296.9','1'
1622.0,1117.0,52.0,454.0,61.0,69.0,12.0,35.0,'$','1'
