@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'Cash','Flow','From','Operations','grams.','During','1993,','the','project','at','Lock','Haven,','Pa.,to','International','Paper','continued','to','generate','substantial','cash','produce','100%','recycled-paper','grades','from','postconsumer','flow','in','1993','despite','lower','operating','earnings.','However,','newspapers','and','magazines','was','completed','started','provided','by','operations','of','$929','million','production','late','year.','Also,','one','paper','machine','below','$1.1','billion','1992','$1.2','1991.','Kwidzyn,','Poland,','upgraded','improve','productivity.','working','capital','increased','$290','million,','most','Capital','spending','for','1994','is','expected','exceed','which','accounts','payable','accrued','lia-','billion.','Major','projects','will','focus','on','printing','papers','bilities.','An','increase','depreciation','amortization','packaging','facilities.','In','United','States,','design','charges','$898','$850','a','new,','low-cost','uncoated','Riverdale','$725','1991','mitigated','effect','net','mill','near','Selma,','Ala.,','majority','earnings','flow.','this','occur','during','1994.','Europe,','$175','investment','program','Kwidzyn','Expenditures','Industry','Segment','continue.','Spending','acquisitions','decreased','substantially','millions','years','ended','December','31','1993.','$35','spent','$22','Printing','Papers','$429','$','740','604','Packaging','181','201','246','debt','assumed','acquire','certain','assets','Los','Angeles-','Distribution','13','14','based','Ingram','Company,','distributor','industrial','Specialty','Products','155','245','209','fine','writing','papers,','Monsanto','Com-','Forest','145','104','79','pany's','Fome-Cor','division,','manufacturer','polystyrene','923','1,304','1,152','Corporate','64','foam','boards.','The','Company','also','acquired','ofJB','45','Consolidated','Total','$954','$1,368','$1,197','Papers,','Inc.,','distribution','company','located','Union,','N.J.,','issuing','117,000','shares','common','stock.','Investment','Activities','1992,','$153','$30','ac-','well','crued,','principally','Poland','$1.4','This','Western','Pacific','Oregon.','reduced','reflects','completion','several','major','proj-','$209','an','equity','interest','Scitex,','world','ects','including','Zanders'','leader','color','electronic','prepress','systems.','new','high-quality','base','expansion','1991,','$457','$50','Aussedat','Rey's','Saillat','pulp','mill.','Rhone','Valley','business,','As','recent','years,','largely','focused','Evergreen','Equipment,','Dillard','further','reduction','costs,','plant','upgrades','Scaldia','Papier','BV.','A','merger','with','Leslie','incremental','capacity','expansions,','quality','produc-','formation','joint','venture','control','32%','Carter','tivity','improvements,','environmental','safety','Holt','Harvey','Limited','were','pro-','Return','Equity','Dollars','Percent','1200','900','600','300','91','92','93','RI','Accrual','SFAS','No.106,','restructuring','charge','accounting','change','11','Restructuring','other','charges,','extraordinary','item','Adjustment','deferred','tax','balances','reflect','federal','rate','37'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
523.0,113.0,94.0,0.0,55.0,0.0,84.0,31.0,'Cash','0'
617.0,113.0,95.0,94.0,55.0,0.0,86.0,32.0,'Flow','0'
712.0,113.0,104.0,95.0,55.0,0.0,94.0,31.0,'From','0'
816.0,113.0,731.0,104.0,55.0,0.0,199.0,42.0,'Operations','0'
1547.0,113.0,120.0,731.0,55.0,0.0,109.0,33.0,'grams.','0'
1667.0,113.0,128.0,120.0,55.0,0.0,117.0,43.0,'During','0'
1795.0,113.0,98.0,128.0,55.0,0.0,87.0,36.0,'1993,','0'
1893.0,113.0,59.0,98.0,55.0,0.0,50.0,32.0,'the','0'
1952.0,113.0,122.0,59.0,55.0,0.0,112.0,42.0,'project','0'
2074.0,113.0,38.0,122.0,55.0,0.0,29.0,27.0,'at','0'
2112.0,113.0,86.0,38.0,55.0,0.0,78.0,32.0,'Lock','0'
2198.0,113.0,122.0,86.0,55.0,0.0,112.0,36.0,'Haven,','0'
2320.0,113.0,1799.0,122.0,55.0,0.0,92.0,35.0,'Pa.,to','0'
522.0,167.0,222.0,1799.0,55.0,55.0,213.0,33.0,'International','0'
744.0,167.0,102.0,222.0,55.0,55.0,93.0,42.0,'Paper','0'
846.0,167.0,173.0,102.0,55.0,55.0,164.0,33.0,'continued','0'
1019.0,167.0,41.0,173.0,55.0,55.0,32.0,26.0,'to','0'
1060.0,167.0,147.0,41.0,55.0,55.0,137.0,37.0,'generate','0'
1207.0,167.0,188.0,147.0,55.0,55.0,178.0,33.0,'substantial','0'
1395.0,167.0,152.0,188.0,55.0,55.0,69.0,32.0,'cash','0'
1547.0,167.0,144.0,152.0,55.0,55.0,133.0,44.0,'produce','0'
1691.0,167.0,94.0,144.0,55.0,55.0,84.0,30.0,'100%','0'
1785.0,167.0,243.0,94.0,55.0,55.0,234.0,44.0,'recycled-paper','0'
2028.0,167.0,114.0,243.0,55.0,55.0,105.0,45.0,'grades','0'
2142.0,167.0,87.0,114.0,55.0,55.0,78.0,33.0,'from','0'
2229.0,167.0,1709.0,87.0,55.0,55.0,233.0,38.0,'postconsumer','0'
521.0,221.0,78.0,1709.0,55.0,55.0,70.0,33.0,'flow','0'
599.0,221.0,42.0,78.0,54.0,55.0,31.0,30.0,'in','0'
641.0,221.0,89.0,42.0,54.0,55.0,78.0,30.0,'1993','0'
730.0,221.0,124.0,89.0,54.0,55.0,115.0,44.0,'despite','0'
854.0,221.0,98.0,124.0,54.0,55.0,89.0,32.0,'lower','0'
952.0,221.0,165.0,98.0,54.0,55.0,156.0,43.0,'operating','0'
1117.0,221.0,158.0,165.0,54.0,55.0,147.0,42.0,'earnings.','0'
1275.0,221.0,273.0,158.0,54.0,55.0,148.0,37.0,'However,','0'
1548.0,221.0,200.0,273.0,54.0,55.0,190.0,34.0,'newspapers','0'
1748.0,221.0,70.0,200.0,54.0,55.0,61.0,32.0,'and','0'
1818.0,221.0,179.0,70.0,54.0,55.0,170.0,43.0,'magazines','0'
1997.0,221.0,70.0,179.0,54.0,55.0,60.0,21.0,'was','0'
2067.0,221.0,180.0,70.0,54.0,55.0,171.0,44.0,'completed','0'
2247.0,221.0,71.0,180.0,54.0,55.0,61.0,32.0,'and','0'
