@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'4.','Finance','Receivables','and','Property','on','Lease','Concentration','of','Credit','Risk.','MDC','provides','a','diversified','lease','receivables','property','consist','range','financing','leasing','arrangements','through','its','wholly','the','following:','owned','subsidiary,','MDFS,','to','customers','industries','throughout','United','States,','Kingdom','lesser','extent,','December','31','1993','1992','other','countries.','Sales-type','direct','leases:','Minimum','payments','$','1,744','1,356','MDFS'','portfolio','consists','Residual','values','313','226','Unearned','income','(793)','(572)','Commercial','aircraft','financing:','1,264','1,010','commercial','jet','transports','Notes','receivable','381','600','42.7%','1,048','56.3%','769','1,645','1,610','Other','Allowances','for','doubtful','(36)','(39)','217','11.6%','247','13,7%','1,609','1,571','1,265','67.9%','1,016','56,4%','Investment','in','operating','leases,','net','industrial','accumulated','depreciation','$182','1993,','$175','635','446','Real','estate','124','6.7%','147','8,2%','2,244','2,017','Transportation','services','69','3.7%','98','5,4%','held','sale','or','113','245','equipment','43','2.3%','39','2.2%','2,357','2,262','Motor','freight','transportation','warehousing','2.1%','67','The','aggregate','amount','scheduled','principal','Furniture','home','furnishings','1.7%','2.4%','installments','be','received','notes','292','15.6%','391','21.7%','minimum','rentals','under','noncancelable','598','32.1%','785','43.6%','leases','following','at','31,','1993:','Total','Portfolio','1,863','100.0%','1,801','Principal','Payments','single','largest','customer','Installments','Rentals','accounted','$276','million','(14.8%','total','portfolio)','1994','380','116','$136','(7.5%','1992.','five','1995','267','90','$726','(39.0%)','$460','(25.5%)','1996','66','1997','186','61','1992,','respectively.','1998','191','51','There','were','no','significant','concentrations','by','After','884','133','portfolio.','holds','title','all','leased','generally','has','perfected','security','interest','assets','financed','note','loan','arrangements.','41'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
103.0,276.0,41.0,0.0,76.0,0.0,22.0,33.0,'4.','0'
144.0,276.0,124.0,41.0,76.0,0.0,115.0,35.0,'Finance','0'
268.0,276.0,186.0,124.0,76.0,0.0,175.0,36.0,'Receivables','0'
454.0,276.0,63.0,186.0,76.0,0.0,54.0,37.0,'and','0'
517.0,276.0,141.0,63.0,76.0,0.0,131.0,46.0,'Property','0'
658.0,276.0,45.0,141.0,76.0,0.0,34.0,24.0,'on','0'
703.0,276.0,512.0,45.0,76.0,0.0,82.0,34.0,'Lease','0'
1215.0,276.0,226.0,512.0,76.0,0.0,216.0,36.0,'Concentration','0'
1441.0,276.0,41.0,226.0,76.0,0.0,31.0,36.0,'of','0'
1482.0,276.0,105.0,41.0,76.0,0.0,95.0,35.0,'Credit','0'
1587.0,276.0,95.0,105.0,76.0,0.0,76.0,35.0,'Risk.','0'
1682.0,276.0,89.0,95.0,76.0,0.0,79.0,35.0,'MDC','0'
1771.0,276.0,140.0,89.0,76.0,0.0,130.0,48.0,'provides','0'
1911.0,276.0,25.0,140.0,76.0,0.0,14.0,23.0,'a','0'
1936.0,276.0,1784.0,25.0,76.0,0.0,157.0,37.0,'diversified','0'
153.0,333.0,124.0,1784.0,76.0,76.0,113.0,35.0,'Finance','0'
277.0,333.0,64.0,124.0,646.0,76.0,54.0,36.0,'and','0'
341.0,333.0,81.0,64.0,646.0,76.0,71.0,36.0,'lease','0'
422.0,333.0,173.0,81.0,646.0,76.0,162.0,37.0,'receivables','0'
595.0,333.0,64.0,173.0,646.0,76.0,54.0,36.0,'and','0'
659.0,333.0,185.0,64.0,646.0,76.0,129.0,43.0,'property','0'
844.0,333.0,81.0,185.0,646.0,76.0,71.0,36.0,'lease','0'
925.0,333.0,111.0,81.0,646.0,76.0,101.0,34.0,'consist','0'
1036.0,333.0,129.0,111.0,646.0,76.0,28.0,36.0,'of','0'
1165.0,333.0,93.0,129.0,646.0,76.0,82.0,37.0,'range','0'
1258.0,333.0,37.0,93.0,646.0,76.0,28.0,37.0,'of','0'
1295.0,333.0,148.0,37.0,646.0,76.0,138.0,49.0,'financing','0'
1443.0,333.0,65.0,148.0,646.0,76.0,55.0,35.0,'and','0'
1508.0,333.0,113.0,65.0,646.0,76.0,104.0,48.0,'leasing','0'
