@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'which','reduced','Net','income','by','$29.6','million','on','an','after-tax','$397.6','for','administrative','and','general','site','projects.','basis.','The','effect','of','this','change','1992','Income','before','Not','included','above','are','capital','expenditures','incurred','the','cumulative','accounting','changes','was','not','material.','Company's','joint','ventures,','totalled','$79.3','in','1993,','In','May','Statement','No.','115,','Accounting','Certain','including','$14.9','research','development','Investments','Debt','Equity','Securities,','issued','facilities.','requires','adoption','1994.','This','certain','Capital','authorizations','1993','were','$710.8','million,','a','investments','debt','equity','securities','to','be','reported','at','decrease','32%','from','1992's','level','$1.0','billion.','fair','value.','effects','results','approved','but','yet','spent','December','31,','expected','$640.5','million.','These','commitments','include','invest-','Company','believes','that','it','is','compliance','all','ments','facilities','($124.0','million),','material','respects','with','applicable','environmental','laws','production','($105.8','safety','environ-','regulations.','has','maintained','leadership','mental','projects','($82.1','million)','role','supporting','initiatives','fostering','($328.6','million).','pollution','prevention','actions','elimination','of,','Depreciation','$3484','$290.3','or','application','best','available','technology','to,','air','1992,','$237.7','$2014','respectively,','emissions','known','suspect','carcinogens','its','applied','locations','United','States.','worldwide','project','currently','underway','reduce','releases','toxic','chemicals','90%','1995.','AN','I','1','1',','01','1,10j','11)11','11)','C11311','11','Ri','()L','R(','Cash','provided','operations','continues','approximately','$1224','control','primary','source','funds','finance','operating','needs','purpose','forecasted','expenditures.','net','cash','flows','exceed','$400.0','years','1994','through','1998.','activities','$3.0','billion,','reflecting','continued','growth','addition,','maintenance','earnings.','used','$40.0','fund','pay','1993.','Expenditures','dividends','$1.2','billion','partially','purchase','1998','$200.0','treasury','shares.','At','total','party','number','proceedings','brought','$3.3','$1.5','under','Comprehensive','Environmental','Response,','cash,','equivalents','short-term','$1.8','Compensation','Liability','Act,','commonly','as','long-term','investments.','totals','Superfund,','well','other','Federal','state','statutes.','$895.8','held','Banyu','While','feasible','predict','determine','outcome','Pharmaceutical','Co.,','Ltd.,','these','proceedings,','management','does','believe','they','50.87%','ownership','interest.','should','ultimately','result','materially','adverse','financial','position,','operations,','liquidity','Selected','Data','resources.','also','remediating','($',')','1991','contamination','resulting','past','industrial','Working','$(161.1)','$782.4','$1,496.5','activity','sites.','Total','purposes','$26.3','estimated','liabilities','14.3%','11.9%','8.8%','$170.0','taken','active','identifying','providing','1.1:1','1.9:1','2.9:1','costs;','and,','therefore,','working','ratios','impacted','acquisition','Medco.','November','acquired','outstanding','C1111','JPlI)lIL','shares','Medco','$6.6','11,','R','S','compared','$4.2','paid','$1.1','1992.','States','$24','financed','$759.7','$784.0','commercial','paper','$250.0','during','$260.1','debt.','facilities,','$218.5','$136.5','38.'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
124.0,221.0,111.0,0.0,54.0,0.0,99.0,31.0,'which','0'
235.0,221.0,145.0,111.0,54.0,0.0,133.0,32.0,'reduced','0'
380.0,221.0,73.0,145.0,54.0,0.0,62.0,30.0,'Net','0'
453.0,221.0,133.0,73.0,54.0,0.0,121.0,30.0,'income','0'
586.0,221.0,51.0,133.0,54.0,0.0,39.0,41.0,'by','0'
637.0,221.0,90.0,51.0,54.0,0.0,77.0,38.0,'$29.6','0'
727.0,221.0,129.0,90.0,54.0,0.0,117.0,30.0,'million','0'
856.0,221.0,53.0,129.0,54.0,0.0,40.0,19.0,'on','0'
909.0,221.0,50.0,53.0,54.0,0.0,37.0,19.0,'an','0'
959.0,221.0,272.0,50.0,54.0,0.0,140.0,31.0,'after-tax','0'
1231.0,221.0,105.0,272.0,54.0,0.0,92.0,39.0,'$397.6','0'
1336.0,221.0,129.0,105.0,54.0,0.0,117.0,31.0,'million','0'
1465.0,221.0,58.0,129.0,54.0,0.0,46.0,31.0,'for','0'
1523.0,221.0,249.0,58.0,54.0,0.0,236.0,31.0,'administrative','0'
1772.0,221.0,70.0,249.0,54.0,0.0,58.0,31.0,'and','0'
1842.0,221.0,133.0,70.0,54.0,0.0,120.0,41.0,'general','0'
1975.0,221.0,66.0,133.0,54.0,0.0,54.0,31.0,'site','0'
2041.0,221.0,1918.0,66.0,54.0,0.0,136.0,41.0,'projects.','0'
124.0,275.0,104.0,1918.0,54.0,54.0,82.0,31.0,'basis.','0'
228.0,275.0,82.0,104.0,53.0,54.0,70.0,31.0,'The','0'
310.0,275.0,102.0,82.0,53.0,54.0,91.0,32.0,'effect','0'
412.0,275.0,43.0,102.0,53.0,54.0,37.0,31.0,'of','0'
455.0,275.0,71.0,43.0,53.0,54.0,58.0,31.0,'this','0'
526.0,275.0,126.0,71.0,53.0,54.0,114.0,42.0,'change','0'
652.0,275.0,55.0,126.0,53.0,54.0,40.0,20.0,'on','0'
707.0,275.0,78.0,55.0,53.0,54.0,63.0,29.0,'1992','0'
785.0,275.0,134.0,78.0,53.0,54.0,122.0,30.0,'Income','0'
919.0,275.0,312.0,134.0,53.0,54.0,103.0,32.0,'before','0'
1231.0,275.0,75.0,312.0,53.0,54.0,64.0,30.0,'Not','0'
1306.0,275.0,156.0,75.0,53.0,54.0,142.0,31.0,'included','0'
1462.0,275.0,105.0,156.0,53.0,54.0,91.0,31.0,'above','0'
1567.0,275.0,61.0,105.0,53.0,54.0,49.0,20.0,'are','0'
1628.0,275.0,121.0,61.0,53.0,54.0,109.0,42.0,'capital','0'
1749.0,275.0,227.0,121.0,53.0,54.0,215.0,42.0,'expenditures','0'
1976.0,275.0,153.0,227.0,53.0,54.0,141.0,31.0,'incurred','0'
2129.0,275.0,50.0,153.0,53.0,54.0,39.0,41.0,'by','0'
2179.0,275.0,2055.0,50.0,53.0,54.0,51.0,31.0,'the','0'
125.0,327.0,194.0,2055.0,53.0,53.0,182.0,31.0,'cumulative','0'
