@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'lower','worldwide','crude','oil','sales','prices.','Sales','prices','and','other','charges.','The','special','item','in','1991','was','an','after-tax','statistics','are:','$164','million','writedown','of','the','company's','offshore','California','1993','1992','properties.','Prices','Crude','(per','barrel)','United','States','$14.20','16,16','17.29','Millions','Dollars','Foreign','17.30','19,51','19.98','Worldwide','15.92','18.01','18.86','income','109','Reported','net','$136','231','Natural','gas','-','lease','thousand','cubic','feet)','1.99','1.67','1.50','Less','items','39','28','49','2.36','2.61','2.91','Operating','$','97','81','182','2.11','2.00','increased','for','1993,','compared','with','1992,','Average','Production','Costs','per','because','lifting','costs','exploration','partially','Barrel','Oil','Equivalent','expenses,','4.86','4.78','5.44','offset','by','natural','vol-','5.57','6.68','5.78','umes.','Lifting','were','partly','due','to','a','stronger','5.15','5.58','dollar','against','kroner','Norwegian','opera-','tions.','Exploration','expenses','primarily','Finding','Development','dry','hole','Canada,','Norway','foreign','coun-','2.54','2.49','4.63','tries.','8.88','2.86','5.10','production','down','3.88','2.71','4.85','sale','producing','properties','Indonesia','Australia,','as','well','Kingdom','sector','North','Sea.','Partially','offsetting','Expenses','decline','start-up','Embla','field','produc-','Geological','geophysical','$127','135','167','tion','Ekofisk','area.','Leasehold','impairment','24','30','37','mainly','Dry','holes','98','84','demand.','higher','output','Lease','rentals','7','6','9','aided','Kingdom,','Ann','field,','$256','252','297','which','came','on','stream','October','1993.','decrease','operating','from','resulted','along','gas,','volumes.','1991,','(loss)','$250','260','(7)','coupled','pro-','(11)','(164)','ducing','Argentina','late','fourth','quarter','1991.','$244','271','157','up','pri-','marily','Norway.','Special','included','asset-sale','gains','volumes,','production,','$26','million,','while','for-','charges','eign','currency','$30','million.','wells','drilled','Sunfish,','Kuvlum','Wild','Weasel','$78','prospects','Alaska.','these','negative','factors','losses','$29','19','percent','U.S.','Gas','Liquids','normal','declines','mature','fields.','Point','Arguello','California.','42','78','67','asset','(4)','increase','preferred','dividend','requirements','prices,','Phillips','Company','(32)','(2)','costs,','tax','credits','fuel','74','nonconventional','source','related','San','Juan','Basin','production.','These','positive','(G&GL)','operations','are','liquefied','gas.','conducted','through','GPM','Corporation','(GPM),','$5','refund','wholly','owned','subsidiary','Company.','In','December','windfall','profit','taxes.','$11','issued','stock,','$19','effect','has','been','excluded','more','than','imbalance','accrual','adjustment','determining','income.'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
155.0,223.0,103.0,0.0,50.0,0.0,93.0,30.0,'lower','0'
258.0,223.0,187.0,103.0,50.0,0.0,174.0,30.0,'worldwide','0'
445.0,223.0,102.0,187.0,50.0,0.0,89.0,30.0,'crude','0'
547.0,223.0,55.0,102.0,50.0,0.0,41.0,29.0,'oil','0'
602.0,223.0,88.0,55.0,50.0,0.0,76.0,29.0,'sales','0'
690.0,223.0,122.0,88.0,50.0,0.0,105.0,38.0,'prices.','0'
812.0,223.0,94.0,122.0,50.0,0.0,82.0,29.0,'Sales','0'
906.0,223.0,110.0,94.0,50.0,0.0,97.0,38.0,'prices','0'
1016.0,223.0,70.0,110.0,50.0,0.0,58.0,30.0,'and','0'
1086.0,223.0,230.0,70.0,50.0,0.0,83.0,30.0,'other','0'
1316.0,223.0,70.0,230.0,50.0,0.0,58.0,30.0,'and','0'
1386.0,223.0,95.0,70.0,50.0,0.0,83.0,29.0,'other','0'
1481.0,223.0,146.0,95.0,50.0,0.0,132.0,39.0,'charges.','0'
1627.0,223.0,75.0,146.0,50.0,0.0,61.0,29.0,'The','0'
1702.0,223.0,124.0,75.0,50.0,0.0,111.0,37.0,'special','0'
1826.0,223.0,84.0,124.0,50.0,0.0,71.0,30.0,'item','0'
1910.0,223.0,46.0,84.0,50.0,0.0,29.0,29.0,'in','0'
1956.0,223.0,88.0,46.0,50.0,0.0,71.0,29.0,'1991','0'
2044.0,223.0,75.0,88.0,50.0,0.0,62.0,20.0,'was','0'
2119.0,223.0,49.0,75.0,50.0,0.0,37.0,20.0,'an','0'
2168.0,223.0,2013.0,49.0,50.0,0.0,138.0,30.0,'after-tax','0'
156.0,272.0,152.0,2013.0,50.0,50.0,138.0,30.0,'statistics','0'
308.0,272.0,1009.0,152.0,707.0,50.0,56.0,21.0,'are:','0'
1317.0,272.0,91.0,1009.0,707.0,50.0,79.0,33.0,'$164','0'
1408.0,272.0,130.0,91.0,707.0,50.0,118.0,30.0,'million','0'
1538.0,272.0,187.0,130.0,707.0,50.0,174.0,30.0,'writedown','0'
1725.0,272.0,44.0,187.0,707.0,50.0,37.0,29.0,'of','0'
1769.0,272.0,61.0,44.0,707.0,50.0,48.0,29.0,'the','0'
1830.0,272.0,191.0,61.0,707.0,50.0,178.0,38.0,'company's','0'
2021.0,272.0,148.0,191.0,707.0,50.0,135.0,30.0,'offshore','0'
2169.0,272.0,1309.0,148.0,707.0,50.0,164.0,31.0,'California','0'
861.0,323.0,153.0,1309.0,707.0,707.0,62.0,23.0,'1993','0'
1014.0,323.0,160.0,153.0,708.0,707.0,60.0,24.0,'1992','0'
1174.0,323.0,141.0,160.0,708.0,707.0,55.0,23.0,'1991','0'
