@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'NOTES','TO','THE','FINANCIAL','STATEMENTS','The','reserve','for','the','estimated','loss','on','disposal','of','OPERAIING','RESULTS','OF','DISCONTINUED','OPERATIONS','(in','millions)','Discontinued','Operations','established','in','November','1992','con-','sisted','an','addition','to','valuation','allowance','Financial','Services','portfolios,','future','results','operations','and','sales','proceeds','be','obtained','from','Operations,','Year','ended','December','31,','1993','well','divestitures','Sales','products','services','$','305','$2,384','$2,689','as','estimates','timing','Net','earnings','(losses)','(212)','66','(146)','assumptions','regarding','other','relevant','factors.','During','1993,','Corporation','reviewed','its','Month','46','198','244','operating','income','that','would','generated','by','these','busi-','(13)','11','(2)','or','nesses','during','their','periods.','Through','third','quarter','Eleven','months','30,','had','favorable','experience','with','sale','699','$2,230','$2,929','assets,','selling','them','at','prices','excess','Income','(loss)','before','taxes','(181)','101','(80)','original','a','more','accelerated','schedule','than','was','(benefit)','(71)','7','(64)','anticipated','time','Plan','developed.','rapid','Minority','interest','10','4','14','(120)','liquidation','effect','reducing','earned','90','(30)','assets','1991','period,','which,','large','degree,','offset','price','expe-','$1,064','$2,439','$3,503','rience','asset','sales.','In','addition,','marketing','process','(1,660)','69','(1,591)','Other','indicated','expected','(172)','(12)','(184)','less','initial','forecast.','13','1','(1,501)','80','(1,421)','all','factors','were','considered','largely','offsetting.','composition','fourth','recorded','additional','provision','follows:','$148','million,','pre-tax','$95','after-tax.','This','change','resulted','ESTIMATED','LOSS','ON','DISPOSAL','information,','through','negotiation','activity,','WESCO','Australian','sub-','sidiary','DCBU.','Also','contributing','this','decision','bulk','sell','residential','develop-','Provision','losses','portfolio','ment','Corporation,','upon','adoption','Plan,','investments','$2,350','intended','transfer','WCI','development.','These','matters','Estimated','expenses','revision','(income)','phase-out','period','300','(144)','156','costs','restructuring','144','incurred','gain','provision.','(449)','Discon-','(gain)','tinued','may','require','adjustment','periods','2,650','2,201','reflect','changes','any','above','constituent','elements,','which','(901)','83','(818)','affected','adverse','economic,','market','beyond','what','1993.','$1,749','$(366)','$1,383','net','Management','has','believes','liabilities','have','should','adequate.','adequacy','been','separately','classified','balance','sheet','is','evaluated','each','quarter,','actual','Operations.','A','summary','expectations','will','determin-','information','pertaining','ing','whether','required.','accordance','APB','consolidated','financial','state-','ments','Continuing','Prior','restated.','Summarized','follow:','38'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
217.0,151.0,76.0,0.0,142.0,0.0,68.0,23.0,'NOTES','0'
293.0,151.0,37.0,76.0,142.0,0.0,29.0,23.0,'TO','0'
330.0,151.0,49.0,37.0,142.0,0.0,39.0,23.0,'THE','0'
379.0,151.0,123.0,49.0,142.0,0.0,115.0,24.0,'FINANCIAL','0'
502.0,151.0,281.0,123.0,142.0,0.0,135.0,23.0,'STATEMENTS','0'
257.0,287.0,76.0,281.0,142.0,142.0,64.0,30.0,'The','0'
333.0,287.0,117.0,76.0,65.0,142.0,106.0,19.0,'reserve','0'
450.0,287.0,56.0,117.0,65.0,142.0,45.0,31.0,'for','0'
506.0,287.0,60.0,56.0,65.0,142.0,49.0,31.0,'the','0'
566.0,287.0,162.0,60.0,65.0,142.0,152.0,31.0,'estimated','0'
728.0,287.0,68.0,162.0,65.0,142.0,56.0,30.0,'loss','0'
796.0,287.0,51.0,68.0,65.0,142.0,40.0,18.0,'on','0'
847.0,287.0,60.0,51.0,65.0,142.0,49.0,31.0,'the','0'
907.0,287.0,136.0,60.0,65.0,142.0,125.0,40.0,'disposal','0'
1043.0,287.0,256.0,136.0,65.0,142.0,36.0,32.0,'of','0'
1299.0,287.0,150.0,256.0,65.0,142.0,141.0,35.0,'OPERAIING','0'
1449.0,287.0,109.0,150.0,65.0,142.0,101.0,27.0,'RESULTS','0'
1558.0,287.0,41.0,109.0,65.0,142.0,31.0,26.0,'OF','0'
1599.0,287.0,191.0,41.0,65.0,142.0,182.0,26.0,'DISCONTINUED','0'
1790.0,287.0,168.0,191.0,65.0,142.0,156.0,27.0,'OPERATIONS','0'
1958.0,287.0,47.0,168.0,65.0,142.0,36.0,31.0,'(in','0'
2005.0,287.0,1789.0,47.0,65.0,142.0,113.0,31.0,'millions)','0'
217.0,338.0,228.0,1789.0,65.0,65.0,216.0,30.0,'Discontinued','0'
445.0,338.0,189.0,228.0,50.0,65.0,178.0,40.0,'Operations','0'
634.0,338.0,184.0,189.0,50.0,65.0,173.0,31.0,'established','0'
818.0,338.0,41.0,184.0,50.0,65.0,30.0,28.0,'in','0'
859.0,338.0,182.0,41.0,50.0,65.0,168.0,31.0,'November','0'
1041.0,338.0,89.0,182.0,50.0,65.0,77.0,29.0,'1992','0'
1130.0,338.0,916.0,89.0,50.0,65.0,70.0,19.0,'con-','0'
216.0,387.0,97.0,916.0,50.0,50.0,86.0,30.0,'sisted','0'
313.0,387.0,42.0,97.0,51.0,50.0,36.0,31.0,'of','0'
355.0,387.0,48.0,42.0,51.0,50.0,36.0,18.0,'an','0'
403.0,387.0,145.0,48.0,51.0,50.0,133.0,32.0,'addition','0'
548.0,387.0,42.0,145.0,51.0,50.0,30.0,21.0,'to','0'
