@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'DISTILLED','SPIRITS','HE','COMPANY'S','BUSINESS','IS','COMPOSED','OF','JIM','BEAM','BRANDS','Co.,','A','WORLDWIDE','LEADER','AND','THE','SECOND','LARGEST','COMPANY','IN','U.S.,','WHYTE','&','MACKAY','GROUP','PLC,','WHICH','BECAME','WORLD'S','THIRD','SCOTCH','WHISKY','PRODUCER','WITH','ITS','ACQUISITION','INVERGORDON','DISTILLERS','PLC.','1993','1992','Barry','M.','Berish','G.','Michael','Lunn','Chairman','of','the','and','Board','Chief','Executive','Revenues','(In','billions)','$1.19','$1.27','Officer','Whyte','Mackay','Operating','Company','Contribution','millions)','$246.9','$218.8','Jim','Beam','Brands','Our','distilled','spirits','business','Kessler','again','increased','its','including','Australia,','where','had','another','strong','year,','with','share','American','blended','is','largest','selling','operating','company','contribu-','whiskey','market,','while','spirit','any','type','tion','up','13%','despite','intensified','DeKuyper','retained','position','has','over','half','bourbon','price','competition','a','decline','as','nation's','#1','line','market.','in','revenues','6%.','cordials.','In','November,','U.K.-based','Market','improved','for','sec-','completed','key','products','Beam's','core','ond','seller','U.S.','bot-','acquisition','Invergordon,','portfolio,','although','adverse','eco-','tled','Canadian','whisky','propelling','group','to','#3','nomic','conditions','many','Windsor','Lord','world','scotch','markets','continued','Calvert.','28%','business.','Even','exclud-','depress','demand','con-','this','category','which','contin-','ing','benefits','from','acqui-','sumption','long-','ued','outperform','sition,','term','decline.','general.','achieved','increase','The','company's','flagship','Kam','ora','unit','vol-','tribution','bourbon,','ume,','strengthening','U.K.','market','world,','further','strengthened','#2','imported','coffee','around','15%.','leadership','world-','liqueur.','Wolfschrnidt','vodka','Vladivar','wide','sales','nearly','5','million','volume','by','10A.','cases.','Booker's','international','12.6%','other','small','batch','bourbons','10%,','volume.','growth.','increases','all','10'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
931.0,135.0,416.0,0.0,825.0,0.0,362.0,29.0,'DISTILLED','0'
1347.0,135.0,1129.0,416.0,825.0,0.0,261.0,29.0,'SPIRITS','0'
427.0,788.0,65.0,1129.0,825.0,825.0,45.0,23.0,'HE','0'
492.0,788.0,241.0,65.0,150.0,825.0,220.0,31.0,'COMPANY'S','0'
733.0,788.0,197.0,241.0,150.0,825.0,177.0,23.0,'DISTILLED','0'
930.0,788.0,143.0,197.0,150.0,825.0,123.0,23.0,'SPIRITS','0'
1073.0,788.0,185.0,143.0,150.0,825.0,166.0,24.0,'BUSINESS','0'
1258.0,788.0,46.0,185.0,150.0,825.0,26.0,24.0,'IS','0'
1304.0,788.0,223.0,46.0,150.0,825.0,202.0,24.0,'COMPOSED','0'
1527.0,788.0,57.0,223.0,150.0,825.0,44.0,23.0,'OF','0'
1584.0,788.0,81.0,57.0,150.0,825.0,62.0,40.0,'JIM','0'
1665.0,788.0,128.0,81.0,150.0,825.0,108.0,30.0,'BEAM','0'
1793.0,788.0,174.0,128.0,150.0,825.0,154.0,30.0,'BRANDS','0'
1967.0,788.0,99.0,174.0,150.0,825.0,77.0,34.0,'Co.,','0'
2066.0,788.0,1646.0,99.0,150.0,825.0,23.0,22.0,'A','0'
427.0,938.0,241.0,1646.0,150.0,150.0,222.0,24.0,'WORLDWIDE','0'
668.0,938.0,158.0,241.0,150.0,150.0,139.0,23.0,'LEADER','0'
826.0,938.0,98.0,158.0,150.0,150.0,79.0,23.0,'AND','0'
924.0,938.0,91.0,98.0,150.0,150.0,71.0,23.0,'THE','0'
1015.0,938.0,168.0,91.0,150.0,150.0,148.0,24.0,'SECOND','0'
1183.0,938.0,178.0,168.0,150.0,150.0,158.0,24.0,'LARGEST','0'
1361.0,938.0,142.0,178.0,150.0,150.0,122.0,23.0,'SPIRITS','0'
1503.0,938.0,204.0,142.0,150.0,150.0,185.0,24.0,'COMPANY','0'
1707.0,938.0,56.0,204.0,150.0,150.0,37.0,23.0,'IN','0'
1763.0,938.0,90.0,56.0,150.0,150.0,70.0,23.0,'THE','0'
1853.0,938.0,114.0,90.0,150.0,150.0,93.0,34.0,'U.S.,','0'
