@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'Notes','(continued)','earnings','are','expected','to','be','permanently','reinvested','in','of','the','application','equity','method','prior','periods,','these','companies.','were','consolidated','from','December','1,','1993.','Had','opera-','Under','insurance','tax','laws','effect','for','years','tions','been','January','1992,','they','would','1984,','a','portion','Franklin's','accumulated','statutory','not','have','materially','affected','periods','being','reported.','income','has','subject','tax.','Should','aggre-','In','connection','with','acquisition','Invergordon,','liabil-','gated','untaxed','exceed','certain','prescribed','maxi-','ities','amounting','$108.4','million','recorded','at','date','mums','or','cash','dividends','Company','acquisition.','taxed','portion,','excess','On','June','30,','1993,','The','American','Tobacco','federal','Taxes','$70','calculated','acquired','B.A.T','Industries,','PLC','Benson','and','using','current','rate','Hedges','cigarette','trademark','Europe','exchange','provided','on','income,','which','assignment','its','Lucky','Strike','Pall','Mall','overseas','$201','31,','since','Franklin','trademarks,','$107.2','cash,','includ-','does','contemplate','distributing','such','ing','expenses,','contingent','future','payments','based','foreseeable','future.','volumes.','Results','included','international','tobacco','Eavniri,s','Per','Share','A','pretax','gain','$25.5','was','recog-','Earnings','Common','share','weighted','nized','domestic','as','result','per','number','shares','outstanding','each','trademarks.','Certain','average','after','preferred','stock','dividend','requirements.','guaranteed','and,','accordingly,','year','Fully','diluted','that','their','present','value','is','initial','$183','assume','convertible','debentures','intangibles','recorded.','Any','any','beginning','guarantees','will','also','amortized','over','issuance,','if','later,','converted','those','40','years.','dates,','related','interest,','13,','1991,','Jim','Beam','Brands','Co.','requirements','adjusted','distilled','spirits','trademarks','an','accordingly.','It','gate','cost,','including','fees','$376.2','million.','assumes','increased','by','issuable','exercise','upon','options','market','price','exceeds','1992.','exer-','cise','price,','less','could','purchased','proceeds.','ACCOUNTS','RECEIVABLE,','NET','components','accounts','receivable,','net','ACQUISITIONS','follows:','During','fourth','quarter','Whyte','&','Mackay','1993','1992','completed','Invergordon','Distillers','(In','millions)','Group','("Invergordon")','purchasing','remain-','Accounts','receivable','$1,304.1','$1,315.3','58.7%','Less','allowances','discounts,','$343.6','doubtful','returns','62.5','60.0','41.3%','outstand-','$1,241.6','$1,255.3','$255.5','Due','absence','control,','Company's','comprises','this','assets"','investment','amounts','due','customers,','principally','marketable','securities','carrying','$222.2','products','segment.','At','aggregate','cost','approximately','45%','42%','$599.1','million,','exceeded','fair','U.K.','operations,','6%','5%','assets','$492.9','financial','state-','distributor,','respectively.','ments','restated','because','material.','Operations,','36'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
161.0,250.0,124.0,0.0,161.0,0.0,96.0,20.0,'Notes','0'
285.0,250.0,202.0,124.0,161.0,0.0,203.0,27.0,'(continued)','0'
162.0,410.0,167.0,202.0,161.0,161.0,153.0,40.0,'earnings','0'
329.0,410.0,64.0,167.0,54.0,161.0,52.0,20.0,'are','0'
393.0,410.0,174.0,64.0,54.0,161.0,161.0,43.0,'expected','0'
567.0,410.0,47.0,174.0,54.0,161.0,34.0,23.0,'to','0'
614.0,410.0,53.0,47.0,54.0,161.0,41.0,31.0,'be','0'
667.0,410.0,245.0,53.0,54.0,161.0,232.0,41.0,'permanently','0'
912.0,410.0,198.0,245.0,54.0,161.0,187.0,32.0,'reinvested','0'
1110.0,410.0,194.0,198.0,54.0,161.0,35.0,30.0,'in','0'
1304.0,410.0,48.0,194.0,54.0,161.0,42.0,32.0,'of','0'
1352.0,410.0,67.0,48.0,54.0,161.0,55.0,32.0,'the','0'
1419.0,410.0,215.0,67.0,54.0,161.0,202.0,42.0,'application','0'
1634.0,410.0,48.0,215.0,54.0,161.0,41.0,31.0,'of','0'
1682.0,410.0,67.0,48.0,54.0,161.0,54.0,31.0,'the','0'
1749.0,410.0,128.0,67.0,54.0,161.0,116.0,41.0,'equity','0'
1877.0,410.0,153.0,128.0,54.0,161.0,141.0,32.0,'method','0'
2030.0,410.0,48.0,153.0,54.0,161.0,35.0,23.0,'to','0'
2078.0,410.0,104.0,48.0,54.0,161.0,92.0,40.0,'prior','0'
2182.0,410.0,2021.0,104.0,54.0,161.0,146.0,42.0,'periods,','0'
162.0,464.0,103.0,2021.0,54.0,54.0,91.0,32.0,'these','0'
265.0,464.0,1039.0,103.0,69.0,54.0,204.0,41.0,'companies.','0'
1304.0,464.0,100.0,1039.0,69.0,54.0,87.0,20.0,'were','0'
1404.0,464.0,244.0,100.0,69.0,54.0,231.0,33.0,'consolidated','0'
1648.0,464.0,103.0,244.0,69.0,54.0,90.0,32.0,'from','0'
1751.0,464.0,205.0,103.0,69.0,54.0,191.0,31.0,'December','0'
1956.0,464.0,45.0,205.0,69.0,54.0,26.0,36.0,'1,','0'
2001.0,464.0,108.0,45.0,69.0,54.0,91.0,30.0,'1993.','0'
2109.0,464.0,89.0,108.0,69.0,54.0,77.0,32.0,'Had','0'
2198.0,464.0,1994.0,89.0,69.0,54.0,119.0,31.0,'opera-','0'
205.0,517.0,129.0,1994.0,69.0,69.0,118.0,33.0,'Under','0'
334.0,517.0,186.0,129.0,68.0,69.0,174.0,30.0,'insurance','0'
520.0,517.0,67.0,186.0,68.0,69.0,55.0,23.0,'tax','0'
587.0,517.0,93.0,67.0,68.0,69.0,80.0,32.0,'laws','0'
680.0,517.0,46.0,93.0,68.0,69.0,34.0,31.0,'in','0'
