@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'Notes','to','Consolidated','Financial','Statements','12','Company','Data','by','Industry','Segment','Geographic','Years','Ended','December','31,','(In','millions)','1993','1992','1991','Net','Sales','Customers','Health','Care','Products:','United','States','$5,695.8','$5,387.1','$4,877.7','Pharmaceuticals','$4,774.6','$4,589.3','$4,018.0','Canada','and','Latin','Consumer','America','897.7','758.9','707.5','1,743.0','1,611.0','1,435.7','Europe','Africa','1,196.6','1,244.1','1,108.8','Medical','Supplies','Asia','Australia','514.8','483.6','385.4','Diagnostic','Products','851.5','807.6','766.6','Total','$8,304.9','$7,873.7','$7,079.4','7,369.1','7,007.9','6,220.3','Food','935.8','865.8','859.1','before','Taxes','Income','States"'','$1,465.7','$1,245.9','$1,334.8','214.9','158.9','148.7','$1,836.7','$1,755.7','$1,561.3','224.0','233.6','211.0','152.4','146.1','129.4','88.1','85.7','65.3','Total.','$1,992.7','$1,724.1','$1,759.8','1,989.1','1,901.8','1,690.7','.','Corporate"'','3.6','(177.7)','69.1','Assets','at','31','$5,736.6','$5,249.6','$4,385.5','467.5','436.6','356.9','$5,165.3','$4,944.4','$3,601.9','1,075.7','1,065.3','867.2','504.4','384.0','317.4','407.6','389.9','329.2','Corporate','2,017.7','1,813.0','2,019.5','$7,687.4','$7,141.4','$5,938.8','These','segments','include','the','special','charge','of','$220,000,000','Depreciation','Expense','in','(see','Note','2).','$172.3','$169.3','$138.8','(2'','Capital','expenditures','for','additions','from','busi-','11.8','10.6','10.5','acquired.','nesses','6.8','3.7','3.5','Transactions','between','industry','geographic','$190.9','$183.6','$152.8','material.','Foreign','exchange','adjustments,','which','are','not','were','included','operating','income','taxes','this','note','Expenditures','other','(income),','expense','net','$416.3','$474.4','$209.1','on','page','29,','resulted','charges','24.9','20.0','16.1','$55,475,000','1993,','$23,662,000','$66,610,000','76.7','60.9','12.9','1991,','principally','segment','gm','$517.9','$555.3','$238.1','8).','38'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
285.0,204.0,190.0,0.0,375.0,0.0,166.0,51.0,'Notes','0'
475.0,204.0,78.0,190.0,375.0,0.0,54.0,36.0,'to','0'
553.0,204.0,404.0,78.0,375.0,0.0,381.0,55.0,'Consolidated','0'
957.0,204.0,282.0,404.0,375.0,0.0,259.0,55.0,'Financial','0'
1239.0,204.0,1023.0,282.0,375.0,0.0,310.0,53.0,'Statements','0'
287.0,578.0,112.0,1023.0,375.0,375.0,84.0,52.0,'12','0'
397.0,598.0,179.0,112.0,112.0,112.0,164.0,39.0,'Company','0'
576.0,598.0,96.0,179.0,458.0,112.0,79.0,32.0,'Data','0'
672.0,598.0,53.0,96.0,458.0,112.0,38.0,38.0,'by','0'
725.0,598.0,160.0,53.0,458.0,112.0,146.0,38.0,'Industry','0'
885.0,598.0,558.0,160.0,458.0,112.0,155.0,38.0,'Segment','0'
1443.0,598.0,179.0,558.0,458.0,112.0,164.0,39.0,'Company','0'
1622.0,598.0,96.0,179.0,458.0,112.0,79.0,32.0,'Data','0'
1718.0,598.0,52.0,96.0,458.0,112.0,38.0,38.0,'by','0'
1770.0,598.0,217.0,52.0,458.0,112.0,203.0,39.0,'Geographic','0'
1987.0,598.0,1141.0,217.0,458.0,112.0,156.0,39.0,'Segment','0'
849.0,671.0,98.0,1141.0,458.0,458.0,84.0,29.0,'Years','0'
947.0,671.0,121.0,98.0,563.0,458.0,107.0,32.0,'Ended','0'
1068.0,671.0,184.0,121.0,563.0,458.0,171.0,32.0,'December','0'
1252.0,671.0,768.0,184.0,563.0,458.0,51.0,34.0,'31,','0'
2020.0,671.0,97.0,768.0,563.0,458.0,84.0,30.0,'Years','1'
2117.0,671.0,122.0,97.0,563.0,458.0,108.0,32.0,'Ended','1'
2239.0,671.0,184.0,122.0,563.0,458.0,171.0,32.0,'December','1'
2423.0,671.0,2134.0,184.0,563.0,458.0,50.0,33.0,'31,','1'
291.0,742.0,59.0,2134.0,563.0,563.0,45.0,37.0,'(In','0'
350.0,742.0,511.0,59.0,103.0,563.0,139.0,38.0,'millions)','0'
861.0,742.0,203.0,511.0,103.0,563.0,82.0,30.0,'1993','0'
1064.0,742.0,204.0,203.0,103.0,563.0,80.0,31.0,'1992','0'
1268.0,742.0,181.0,204.0,103.0,563.0,77.0,31.0,'1991','0'
1449.0,742.0,59.0,181.0,103.0,563.0,45.0,38.0,'(In','1'
1508.0,742.0,511.0,59.0,103.0,563.0,140.0,38.0,'millions)','1'
2019.0,742.0,203.0,511.0,103.0,563.0,82.0,30.0,'1993','1'
2222.0,742.0,204.0,203.0,103.0,563.0,80.0,31.0,'1992','1'
2426.0,742.0,2143.0,204.0,103.0,563.0,77.0,30.0,'1991','1'
286.0,844.0,68.0,2143.0,103.0,103.0,55.0,29.0,'Net','0'
354.0,844.0,100.0,68.0,70.0,103.0,88.0,30.0,'Sales','0'
454.0,844.0,46.0,100.0,70.0,103.0,33.0,28.0,'to','0'
500.0,844.0,944.0,46.0,70.0,103.0,177.0,30.0,'Customers','0'
1444.0,844.0,67.0,944.0,70.0,103.0,55.0,30.0,'Net','1'
1511.0,844.0,101.0,67.0,70.0,103.0,89.0,30.0,'Sales','1'
1612.0,844.0,46.0,101.0,70.0,103.0,33.0,29.0,'to','1'
1658.0,844.0,1373.0,46.0,70.0,103.0,177.0,31.0,'Customers','1'
287.0,913.0,127.0,1373.0,70.0,70.0,113.0,32.0,'Health','0'
414.0,913.0,90.0,127.0,94.0,70.0,76.0,30.0,'Care','0'
504.0,913.0,940.0,90.0,94.0,70.0,154.0,32.0,'Products:','0'
1444.0,913.0,130.0,940.0,94.0,70.0,116.0,32.0,'United','1'
1574.0,913.0,376.0,130.0,94.0,70.0,93.0,30.0,'States','1'
1950.0,913.0,204.0,376.0,94.0,70.0,151.0,39.0,'$5,695.8','1'
2154.0,913.0,204.0,204.0,94.0,70.0,144.0,37.0,'$5,387.1','1'
2358.0,913.0,1997.0,204.0,94.0,70.0,148.0,37.0,'$4,877.7','1'
362.0,968.0,430.0,1997.0,94.0,94.0,269.0,33.0,'Pharmaceuticals','0'
792.0,968.0,204.0,430.0,58.0,94.0,151.0,39.0,'$4,774.6','0'
996.0,968.0,203.0,204.0,58.0,94.0,148.0,36.0,'$4,589.3','0'
1199.0,968.0,246.0,203.0,58.0,94.0,149.0,35.0,'$4,018.0','0'
1445.0,968.0,139.0,246.0,58.0,94.0,127.0,32.0,'Canada','1'
1584.0,968.0,74.0,139.0,58.0,94.0,61.0,31.0,'and','1'
1658.0,968.0,1299.0,74.0,58.0,94.0,86.0,29.0,'Latin','1'
361.0,1025.0,188.0,1299.0,58.0,58.0,175.0,31.0,'Consumer','0'
549.0,1025.0,967.0,188.0,62.0,58.0,113.0,33.0,'Health','0'
1516.0,1025.0,488.0,967.0,62.0,58.0,141.0,29.0,'America','1'
2004.0,1025.0,203.0,488.0,62.0,58.0,96.0,30.0,'897.7','1'
2207.0,1025.0,203.0,203.0,62.0,58.0,94.0,31.0,'758.9','1'
2410.0,1025.0,2025.0,203.0,62.0,58.0,94.0,31.0,'707.5','1'
386.0,1081.0,431.0,2025.0,62.0,62.0,77.0,31.0,'Care','0'
817.0,1081.0,203.0,431.0,62.0,62.0,125.0,35.0,'1,743.0','0'
1020.0,1081.0,203.0,203.0,62.0,62.0,123.0,34.0,'1,611.0','0'
1223.0,1081.0,222.0,203.0,62.0,62.0,125.0,36.0,'1,435.7','0'
1445.0,1081.0,132.0,222.0,62.0,62.0,119.0,40.0,'Europe','1'
1577.0,1081.0,72.0,132.0,62.0,62.0,61.0,32.0,'and','1'
1649.0,1081.0,326.0,72.0,62.0,62.0,101.0,33.0,'Africa','1'
1975.0,1081.0,203.0,326.0,62.0,62.0,126.0,36.0,'1,196.6','1'
2178.0,1081.0,204.0,203.0,62.0,62.0,120.0,37.0,'1,244.1','1'
2382.0,1081.0,2022.0,204.0,62.0,62.0,123.0,34.0,'1,108.8','1'
361.0,1137.0,147.0,2022.0,62.0,62.0,133.0,32.0,'Medical','0'
508.0,1137.0,151.0,147.0,63.0,62.0,137.0,43.0,'Supplies','0'
659.0,1137.0,783.0,151.0,63.0,62.0,60.0,32.0,'and','0'
1442.0,1137.0,84.0,783.0,63.0,62.0,71.0,31.0,'Asia','1'
1526.0,1137.0,71.0,84.0,63.0,62.0,60.0,32.0,'and','1'
1597.0,1137.0,408.0,71.0,63.0,62.0,148.0,31.0,'Australia','1'
2005.0,1137.0,202.0,408.0,63.0,62.0,96.0,30.0,'514.8','1'
2207.0,1137.0,204.0,202.0,63.0,62.0,95.0,33.0,'483.6','1'
2411.0,1137.0,2026.0,204.0,63.0,62.0,95.0,34.0,'385.4','1'
386.0,1194.0,193.0,2026.0,63.0,63.0,180.0,41.0,'Diagnostic','0'
579.0,1194.0,266.0,193.0,432.0,63.0,145.0,32.0,'Products','0'
845.0,1194.0,204.0,266.0,432.0,63.0,98.0,30.0,'851.5','0'
1049.0,1194.0,204.0,204.0,432.0,63.0,95.0,34.0,'807.6','0'
1253.0,1194.0,192.0,204.0,432.0,63.0,95.0,33.0,'766.6','0'
1445.0,1194.0,234.0,192.0,432.0,63.0,221.0,33.0,'Consolidated','1'
1679.0,1194.0,270.0,234.0,432.0,63.0,84.0,33.0,'Total','1'
1949.0,1194.0,204.0,270.0,432.0,63.0,153.0,39.0,'$8,304.9','1'
2153.0,1194.0,204.0,204.0,432.0,63.0,150.0,36.0,'$7,873.7','1'
2357.0,1194.0,1545.0,204.0,432.0,63.0,150.0,36.0,'$7,079.4','1'
814.0,1252.0,202.0,1545.0,432.0,432.0,127.0,36.0,'7,369.1','0'
1016.0,1252.0,203.0,202.0,530.0,432.0,127.0,33.0,'7,007.9','0'
1219.0,1252.0,934.0,203.0,530.0,432.0,127.0,35.0,'6,220.3','0'
287.0,1307.0,97.0,934.0,530.0,530.0,83.0,32.0,'Food','0'
384.0,1307.0,462.0,97.0,1158.0,530.0,145.0,32.0,'Products','0'
846.0,1307.0,203.0,462.0,1158.0,530.0,97.0,30.0,'935.8','0'
1049.0,1307.0,204.0,203.0,1158.0,530.0,94.0,34.0,'865.8','0'
1253.0,1307.0,326.0,204.0,1158.0,530.0,90.0,32.0,'859.1','0'
1579.0,1307.0,116.0,326.0,1158.0,530.0,104.0,30.0,'before','1'
1695.0,1307.0,252.0,116.0,1158.0,530.0,96.0,31.0,'Taxes','1'
1444.0,1327.0,1159.0,252.0,1158.0,1158.0,120.0,30.0,'Income','1'
286.0,1362.0,235.0,1159.0,1159.0,1159.0,223.0,33.0,'Consolidated','0'
521.0,1362.0,270.0,235.0,1160.0,1159.0,85.0,32.0,'Total','0'
791.0,1362.0,204.0,270.0,1160.0,1159.0,152.0,39.0,'$8,304.9','0'
995.0,1362.0,204.0,204.0,1160.0,1159.0,149.0,36.0,'$7,873.7','0'
1199.0,1362.0,249.0,204.0,1160.0,1159.0,149.0,37.0,'$7,079.4','0'
1445.0,1394.0,129.0,249.0,1160.0,1160.0,116.0,32.0,'United','1'
1574.0,1394.0,375.0,129.0,58.0,1160.0,128.0,31.0,'States"'','1'
1949.0,1394.0,204.0,375.0,58.0,1160.0,151.0,39.0,'$1,465.7','1'
2153.0,1394.0,204.0,204.0,58.0,1160.0,149.0,36.0,'$1,245.9','1'
2357.0,1394.0,915.0,204.0,58.0,1160.0,148.0,37.0,'$1,334.8','1'
