@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'Selected','Quarterly','Financial','Information','(Unaudited)','(Tabular','amounts','in','thousands,','except','per','share','amounts)','Fourth','Third','Second','First','Quarter','1994','Net','sales','$','2,493,286','2,149,908','2,076,700','2,468,854','Gross','margin','678,873','573,872','499,064','592,024','income','114,655','138,101','17,404','40,018','Earnings','common','and','equivalent','0.95','1.16','0.15','0.34','Cash','dividends','declared','0.12','Price','range','364$26'/,','331/2$251','381/:$291/','34$22%,','1993','2,140,789','1,861,979','1,973,894','2,000,292','550,428','606,004','760,763','810,925','(loss)','2,664','(188,316)','110,900','161,341','0.02','(1.63)','0.92','1.33','40'/,$24'/','58%$39N','65$52X','60X$433X','At','September','30,','1994,','there','were','32,219','shareholders','of','record.','The','Company','began','declaring','quarterly','cash','on','its','stock','April','1987.','dividend','policy','is','determined','by','the','Board','Directors','dependent','Company's','earnings,','capital','requirements,','financial','condition,','other','factors.','price','represents','highest','lowest','closing','prices','for','Nasdaq','National','Market','during','each','quarter.','third','quarter','includes','a','restructuring','adjustment','that','increased','8127','million','($79','million.','or','$0.66','share,','after','taxes).','loss','charge','$321','($199','million,','31,72','12'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
305.0,186.0,234.0,0.0,1254.0,0.0,218.0,59.0,'Selected','0'
539.0,186.0,260.0,234.0,1254.0,0.0,247.0,75.0,'Quarterly','0'
799.0,186.0,242.0,260.0,1254.0,0.0,226.0,59.0,'Financial','0'
1041.0,186.0,332.0,242.0,1254.0,0.0,312.0,60.0,'Information','0'
1373.0,186.0,221.0,332.0,1254.0,0.0,313.0,76.0,'(Unaudited)','0'
1552.0,314.0,100.0,221.0,1254.0,1254.0,92.0,30.0,'(Tabular','1'
1652.0,314.0,104.0,100.0,282.0,1254.0,95.0,17.0,'amounts','1'
1756.0,314.0,28.0,104.0,282.0,1254.0,19.0,21.0,'in','1'
1784.0,314.0,129.0,28.0,282.0,1254.0,120.0,27.0,'thousands,','1'
1913.0,314.0,80.0,129.0,282.0,1254.0,72.0,25.0,'except','1'
1993.0,314.0,44.0,80.0,282.0,1254.0,37.0,23.0,'per','1'
2037.0,314.0,68.0,44.0,282.0,1254.0,59.0,23.0,'share','1'
2105.0,314.0,827.0,68.0,282.0,1254.0,104.0,28.0,'amounts)','1'
1282.0,392.0,296.0,827.0,282.0,282.0,90.0,29.0,'Fourth','1'
1578.0,392.0,252.0,296.0,46.0,282.0,73.0,29.0,'Third','1'
1830.0,392.0,322.0,252.0,46.0,282.0,100.0,29.0,'Second','1'
2152.0,392.0,887.0,322.0,46.0,282.0,57.0,27.0,'First','1'
1267.0,435.0,279.0,887.0,46.0,46.0,106.0,35.0,'Quarter','1'
1546.0,435.0,279.0,279.0,967.0,46.0,106.0,35.0,'Quarter','1'
1825.0,435.0,279.0,279.0,967.0,46.0,106.0,35.0,'Quarter','1'
2104.0,435.0,1802.0,279.0,967.0,46.0,106.0,35.0,'Quarter','1'
306.0,539.0,103.0,1802.0,967.0,967.0,81.0,23.0,'1994','1'
303.0,641.0,56.0,103.0,103.0,103.0,47.0,27.0,'Net','1'
359.0,641.0,842.0,56.0,58.0,103.0,62.0,29.0,'sales','1'
1201.0,641.0,42.0,842.0,58.0,103.0,13.0,33.0,'$','1'
1243.0,641.0,238.0,42.0,58.0,103.0,129.0,37.0,'2,493,286','1'
1481.0,641.0,40.0,238.0,58.0,103.0,12.0,33.0,'$','1'
1521.0,641.0,238.0,40.0,58.0,103.0,130.0,36.0,'2,149,908','1'
1759.0,641.0,45.0,238.0,58.0,103.0,12.0,33.0,'$','1'
1804.0,641.0,234.0,45.0,58.0,103.0,126.0,36.0,'2,076,700','1'
2038.0,641.0,43.0,234.0,58.0,103.0,12.0,33.0,'$','1'
2081.0,641.0,1779.0,43.0,58.0,103.0,127.0,37.0,'2,468,854','1'
303.0,699.0,87.0,1779.0,58.0,58.0,77.0,28.0,'Gross','1'
390.0,699.0,811.0,87.0,58.0,58.0,93.0,35.0,'margin','1'
1201.0,699.0,68.0,811.0,58.0,58.0,13.0,33.0,'$','1'
1269.0,699.0,212.0,68.0,58.0,58.0,102.0,36.0,'678,873','1'
1481.0,699.0,67.0,212.0,58.0,58.0,12.0,33.0,'$','1'
1548.0,699.0,211.0,67.0,58.0,58.0,102.0,33.0,'573,872','1'
1759.0,699.0,64.0,211.0,58.0,58.0,12.0,33.0,'$','1'
1823.0,699.0,215.0,64.0,58.0,58.0,107.0,37.0,'499,064','1'
2038.0,699.0,66.0,215.0,58.0,58.0,12.0,33.0,'$','1'
2104.0,699.0,1802.0,66.0,58.0,58.0,105.0,36.0,'592,024','1'
