@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'Consolidated','Statements','of','Cash','Flows','(In','thousands)','Three','fiscal','years','ended','September','30,1994','1994','1993','1992','and','cash','equivalents,','beginning','the','period','$','676,413','498,557','604,147','Operations:','Net','income','310,178','86,589','530,373','Adjustments','to','reconcile','net','generated','by','(used','for)','operations:','Depreciation','amortization','167,958','166,113','217,182','book','value','property','plant,','equipment','retirements','11,130','13,145','14,687','Changes','in','assets','liabilities:','Accounts','receivable','(199,401)','(294,761)','(180,026)','Inventories','418,204','(926,541)','91,558','Deferred','tax','(24,963)','(68,946)','23,841','Other','current','33,616','(96,314)','(87,376)','payable','139,095','315,686','69,852','Income','taxes','50,045','(54,724)','100,361','Accrued','restructuring','costs','(249,694)','202,894','(57,327)','liabilities','39,991','(13,383)','96,915','40,836','19,029','100,933','operations','736,995','(651,213)','920,973','Investments:','Purchase','short-term','investments','(312,073)','(1,431,998)','(2,121,341)','Proceeds','from','sale','473,595','2,153,051','1,472,970','(159,587)','(213,118)','(194,853)','(3,737)','(15,169)','(69,410)','investment','activities','(1,802)','492,766','(912,634)','Financing:','Increase','(decrease)','borrowings','(530,982)','638,721','35,895','long-term','297,355','(10,624)','(391)','Increases','common','stock,','related','benefits','changes','notes','shareholders','82,081','85,289','120,388','Repurchase','stock','(273,454)','(212,625)','dividends','(56,572)','(55,593)','(57,196)','(48,036)','financing','(208,118)','336,303','(113,929)','Total','(used)','527,075','177,856','(105,590)','end','1.203,488','Supplemental','flow','disclosures:','paid','during','year','for:','Interest','34,387','11,748','8,778','taxes,','45,692','226,080','97,667','Schedule','noncash','transactions:','Tax','benefit','options','12,235','16,553','36,836','See','accompanying','notes.','22'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
314.0,186.0,360.0,0.0,1748.0,0.0,344.0,59.0,'Consolidated','0'
674.0,186.0,306.0,360.0,1748.0,0.0,288.0,56.0,'Statements','0'
980.0,186.0,66.0,306.0,1748.0,0.0,56.0,59.0,'of','0'
1046.0,186.0,141.0,66.0,1748.0,0.0,125.0,59.0,'Cash','0'
1187.0,186.0,880.0,141.0,1748.0,0.0,149.0,59.0,'Flows','0'
2057.0,314.0,39.0,880.0,1748.0,1748.0,30.0,27.0,'(In','1'
2096.0,314.0,1788.0,39.0,1749.0,1748.0,122.0,30.0,'thousands)','1'
310.0,391.0,128.0,1788.0,1749.0,1749.0,115.0,28.0,'Three','1'
438.0,391.0,120.0,128.0,100.0,1749.0,106.0,28.0,'fiscal','1'
558.0,391.0,123.0,120.0,100.0,1749.0,109.0,27.0,'years','1'
681.0,391.0,136.0,123.0,100.0,1749.0,121.0,29.0,'ended','1'
817.0,391.0,233.0,136.0,100.0,1749.0,220.0,36.0,'September','1'
1050.0,391.0,355.0,233.0,100.0,1749.0,166.0,34.0,'30,1994','1'
1405.0,391.0,376.0,355.0,100.0,1749.0,63.0,32.0,'1994','1'
1781.0,391.0,377.0,376.0,100.0,1749.0,63.0,30.0,'1993','1'
2158.0,391.0,1851.0,377.0,100.0,1749.0,61.0,30.0,'1992','1'
310.0,491.0,74.0,1851.0,100.0,100.0,64.0,29.0,'Cash','1'
384.0,491.0,59.0,74.0,62.0,100.0,50.0,29.0,'and','1'
443.0,491.0,69.0,59.0,62.0,100.0,58.0,29.0,'cash','1'
512.0,491.0,169.0,69.0,62.0,100.0,159.0,38.0,'equivalents,','1'
681.0,491.0,145.0,169.0,62.0,100.0,136.0,38.0,'beginning','1'
826.0,491.0,35.0,145.0,62.0,100.0,29.0,29.0,'of','1'
861.0,491.0,53.0,35.0,62.0,100.0,43.0,29.0,'the','1'
914.0,491.0,394.0,53.0,62.0,100.0,89.0,38.0,'period','1'
1308.0,491.0,58.0,394.0,62.0,100.0,12.0,32.0,'$','1'
