@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'employees,','at','not','less','than','the','fair','market','value','on','date','of','stock','prices','75%','grant.','These','options','generally','become','exercisable','over','varying','Options','under','1987','Plan','are','exer-','periods,','based','continued','employment,','and','expire','cisable','for','18','months','after','grant,','then','ten','years','grant','date.','The','1990','permits','granting','rates','subsequent','seven','years,','incentive','options,','nonstatutory','service','to','Company','appreciation','rights.','Summarized','information','regarding','Company's','option','plans','as','September','30,','1994,','is','follows:','certain','officers','purchase','Apple','common','(In','thousands,','except','per','share','amounts)','Number','Shares','Price','Share','Outstanding','24,','1993','13,096','$7.50$68.00','Granted','4,705','Exercised','(2,223)','$23.50$38.25','Expired','or','canceled','(2,167)','1994','13,411','Exercisable','5,475','Reserved','issuance','19,286','Available','future','5,879','Restricted','Stock','Repurchase','Programs','On','April','1,','1993,','Board','Directors','approved','In','November','1992,','authorized','a','(the','RSP),','up','10','million','shares','which','became','effective','July','1993.','RSP','was','subsequently','in','open','market.','No','were','repurchased','this','ratified','by','shareholders','January','26,','1994.','authorization','while','approximately','3.4','designed','provide','an','continue','own','acquired','upon','exercise','1990,','any','Option','Plans,','thus','more','closely','aligning','officers'','financial','interests','with','those','During','shareholders.','provides','that','who','remaining','authorization,','approximated','hold','exercised','least','1.6','4.0','shares,','respectively','three','will','receive','Awards','restricted','stock.','Each','such','Award','one-third','number','Savings','held','requisite','retention','period.','has','employee','savings','plan','Plan)','granted','pursuant','becomes','fully','vested','qualifies','deferred','salary','arrangement','Section','date,','provided','officer','maintains','401(k)','Internal','Revenue','Code.','Under','Plan,','continuous','employment','other','participating','U.S.','employees','may','defer','portion','their','pretax','vesting','requirements','met.','earnings,','Service','annual','contribution','limit','($9,240','calendar','year','1994).','Effective','Employee','Purchase','matches','30%','70%','each','employee's','contributions,','depending','length','service,','maximum','6%','substantially','all','earnings.','Prior','matched','through','payroll','deductions','price','50%','equal','85%','lower','values','earn-','beginning','end','offering','purchases','ings.','matching','contributions','limited','10%','compen-','$10.7','$11.1','sation,','$25,000','year.','As','1992.','1','reserved','Plan.','31'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
209.0,180.0,163.0,0.0,60.0,0.0,152.0,38.0,'employees,','0'
372.0,180.0,33.0,163.0,60.0,0.0,23.0,22.0,'at','0'
405.0,180.0,54.0,33.0,60.0,0.0,45.0,22.0,'not','0'
459.0,180.0,58.0,54.0,60.0,0.0,48.0,30.0,'less','0'
517.0,180.0,69.0,58.0,60.0,0.0,59.0,30.0,'than','0'
586.0,180.0,53.0,69.0,60.0,0.0,43.0,30.0,'the','0'
639.0,180.0,51.0,53.0,60.0,0.0,42.0,30.0,'fair','0'
690.0,180.0,102.0,51.0,60.0,0.0,93.0,29.0,'market','0'
792.0,180.0,80.0,102.0,60.0,0.0,70.0,29.0,'value','0'
872.0,180.0,44.0,80.0,60.0,0.0,34.0,20.0,'on','0'
916.0,180.0,53.0,44.0,60.0,0.0,43.0,29.0,'the','0'
969.0,180.0,67.0,53.0,60.0,0.0,57.0,30.0,'date','0'
1036.0,180.0,186.0,67.0,60.0,0.0,29.0,30.0,'of','0'
1222.0,180.0,80.0,186.0,60.0,0.0,71.0,29.0,'stock','0'
1302.0,180.0,33.0,80.0,60.0,0.0,24.0,23.0,'at','0'
1335.0,180.0,90.0,33.0,60.0,0.0,79.0,35.0,'prices','0'
1425.0,180.0,54.0,90.0,60.0,0.0,44.0,22.0,'not','0'
1479.0,180.0,57.0,54.0,60.0,0.0,47.0,29.0,'less','0'
1536.0,180.0,70.0,57.0,60.0,0.0,60.0,29.0,'than','0'
1606.0,180.0,65.0,70.0,60.0,0.0,54.0,31.0,'75%','0'
1671.0,180.0,35.0,65.0,60.0,0.0,28.0,30.0,'of','0'
1706.0,180.0,52.0,35.0,60.0,0.0,43.0,30.0,'the','0'
1758.0,180.0,51.0,52.0,60.0,0.0,43.0,30.0,'fair','0'
1809.0,180.0,103.0,51.0,60.0,0.0,94.0,30.0,'market','0'
1912.0,180.0,80.0,103.0,60.0,0.0,70.0,30.0,'value','0'
1992.0,180.0,44.0,80.0,60.0,0.0,34.0,21.0,'on','0'
2036.0,180.0,1829.0,44.0,60.0,0.0,43.0,29.0,'the','0'
208.0,239.0,87.0,1829.0,60.0,60.0,76.0,31.0,'grant.','0'
295.0,239.0,90.0,87.0,59.0,60.0,81.0,31.0,'These','0'
385.0,239.0,111.0,90.0,59.0,60.0,102.0,36.0,'options','0'
496.0,239.0,132.0,111.0,59.0,60.0,125.0,39.0,'generally','0'
628.0,239.0,118.0,132.0,59.0,60.0,108.0,30.0,'become','0'
746.0,239.0,158.0,118.0,59.0,60.0,148.0,30.0,'exercisable','0'
904.0,239.0,67.0,158.0,59.0,60.0,60.0,21.0,'over','0'
971.0,239.0,251.0,67.0,59.0,60.0,99.0,36.0,'varying','0'
1222.0,239.0,67.0,251.0,59.0,60.0,57.0,29.0,'date','0'
1289.0,239.0,34.0,67.0,59.0,60.0,29.0,30.0,'of','0'
1323.0,239.0,88.0,34.0,59.0,60.0,76.0,32.0,'grant.','0'
1411.0,239.0,118.0,88.0,59.0,60.0,108.0,36.0,'Options','0'
1529.0,239.0,91.0,118.0,59.0,60.0,82.0,30.0,'under','0'
1620.0,239.0,54.0,91.0,59.0,60.0,42.0,29.0,'the','0'
1674.0,239.0,71.0,54.0,59.0,60.0,61.0,31.0,'1987','0'
1745.0,239.0,65.0,71.0,59.0,60.0,55.0,29.0,'Plan','0'
1810.0,239.0,49.0,65.0,59.0,60.0,41.0,20.0,'are','0'
1859.0,239.0,132.0,49.0,59.0,60.0,124.0,39.0,'generally','0'
1991.0,239.0,54.0,132.0,59.0,60.0,45.0,23.0,'not','0'
2045.0,239.0,1838.0,54.0,59.0,60.0,65.0,20.0,'exer-','0'
208.0,298.0,118.0,1838.0,59.0,59.0,108.0,38.0,'periods,','0'
326.0,298.0,88.0,118.0,58.0,59.0,79.0,30.0,'based','0'
414.0,298.0,44.0,88.0,58.0,59.0,35.0,20.0,'on','0'
458.0,298.0,148.0,44.0,58.0,59.0,138.0,30.0,'continued','0'
606.0,298.0,190.0,148.0,58.0,59.0,179.0,38.0,'employment,','0'
796.0,298.0,58.0,190.0,58.0,59.0,49.0,29.0,'and','0'
