@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'Ramp','Inclination','to','Exploratory','Shaft','Vicinity','(0.10)','The','following','values','were','measured','from','the','candidate','sites','(same','constraints','as','previous)','a','point','300','feet','east','of','ES','in','center','repository','horizon:','Siteit','Slope%','2','10.4','3','11.7','4','11.1','5','8.8','7','12.7','8','19.5','ramp','azimuths','made','no','allowance','for','preferred','orientation','owing','rock','mechanical','properties','or','geologic','structure.','Only','one','had','slope','less','than','10%,','while','several','within','percent','two.','Sites','and','showed','much','steeper','grades','result','their','shorter','length.','These','variations','suggest','basis','discriminating','between','sites.','Tectonic/Fault','Displacement','(0.12)','Ground','motion','is','not','considered','this','category','because','design','considerations','that','involve','ground','are','related','more','cost','safety.','On','other','hand,','waste','handling','building','resist','fault','displacement','possible.','Because','-21-'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
622.0,372.0,126.0,0.0,199.0,0.0,96.0,32.0,'Ramp','0'
748.0,372.0,299.0,126.0,199.0,0.0,271.0,32.0,'Inclination','0'
1047.0,372.0,74.0,299.0,199.0,0.0,45.0,28.0,'to','0'
1121.0,372.0,299.0,74.0,199.0,0.0,272.0,34.0,'Exploratory','0'
1420.0,372.0,148.0,299.0,199.0,0.0,121.0,31.0,'Shaft','0'
1568.0,372.0,230.0,148.0,199.0,0.0,199.0,36.0,'Vicinity','0'
1798.0,372.0,1193.0,230.0,199.0,0.0,136.0,35.0,'(0.10)','0'
622.0,571.0,102.0,1193.0,199.0,199.0,72.0,30.0,'The','0'
724.0,571.0,248.0,102.0,138.0,199.0,219.0,38.0,'following','0'
972.0,571.0,172.0,248.0,138.0,199.0,144.0,30.0,'values','0'
1144.0,571.0,124.0,172.0,138.0,199.0,99.0,21.0,'were','0'
1268.0,571.0,228.0,124.0,138.0,199.0,198.0,31.0,'measured','0'
1496.0,571.0,124.0,228.0,138.0,199.0,98.0,31.0,'from','0'
1620.0,571.0,100.0,124.0,138.0,199.0,70.0,29.0,'the','0'
1720.0,571.0,249.0,100.0,138.0,199.0,221.0,32.0,'candidate','0'
1969.0,571.0,1445.0,249.0,138.0,199.0,119.0,31.0,'sites','0'
