@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'Consolidated','Statement','of','Retained','Earnings','COLGATE-PALMOLIVE','COMPANY','Dollars','in','Millions','1993','1992','1991','Balance,','January','1','$2,204.9','$1,928.6','$1,960.8','Add:','Net','income','189.9','477.0','124.9','2,394.8','2,405.6','2,085.7','Deduct:','Dividends','declared:','Series','B','Convertible','Preference','Stock,','net','taxes','21.1','20.2','20.3','Preferred','stock','.5','Common','209.8','180.0','136.3','231.4','200.7','157.1','December','31','$2,163.4','Changes','Capital','Accounts','Stock','A','dditional','Treasury','Paid-In','Shares','Amount','AMOU','nt','1,','133,207,216','$171.1','$','123.6','37,940,242','706.5','issued','through','public','offering','11,500,000','-','230.9','(11,500,000)','(214.6)','connection','with','acquisitions','1,571,730','33.3','(1,571,730)','(29.3)','for','options','1,238,377','.4','14.6','(827,203)','(15.4)','acquired','(188,245)','188,245','.2','Other','14,258','9.0','(14,258)','.3','31,','147,343,336','171.5','411.4','24,215,296','447.7','acquisition','11,648,693','11.7','532.4','2,441,044','9.5','(2,441,044)','(46.6)','(976,983)','976,983','54.0','(215,686)','32.0','221,656','12.2','160,240,404','183.2','985.3','22,972,891','467.3','1,408,105','9.6','(1,408,105)','(34.7)','(12,610,423)','12,610,423','698.1','218,517','6.0','(218,517)','(6.7)','149,256,603','$183.2','$1,000.9','33,956,692','$1,124.0','See','Notes','to','Financial','Statements.','28'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
203.0,168.0,441.0,0.0,366.0,0.0,410.0,53.0,'Consolidated','0'
644.0,168.0,349.0,441.0,366.0,0.0,319.0,53.0,'Statement','0'
993.0,168.0,90.0,349.0,366.0,0.0,68.0,52.0,'of','0'
1083.0,168.0,314.0,90.0,366.0,0.0,284.0,52.0,'Retained','0'
1397.0,168.0,484.0,314.0,366.0,0.0,284.0,67.0,'Earnings','0'
1881.0,168.0,340.0,484.0,366.0,0.0,328.0,21.0,'COLGATE-PALMOLIVE','0'
2221.0,168.0,2054.0,340.0,366.0,0.0,127.0,20.0,'COMPANY','0'
200.0,533.0,96.0,2054.0,366.0,366.0,83.0,22.0,'Dollars','0'
296.0,533.0,34.0,96.0,109.0,366.0,20.0,20.0,'in','0'
330.0,533.0,1429.0,34.0,109.0,366.0,93.0,21.0,'Millions','0'
1759.0,533.0,276.0,1429.0,109.0,366.0,53.0,22.0,'1993','0'
2035.0,533.0,277.0,276.0,109.0,366.0,51.0,21.0,'1992','0'
2312.0,533.0,2115.0,277.0,109.0,366.0,47.0,22.0,'1991','0'
200.0,642.0,149.0,2115.0,109.0,109.0,134.0,35.0,'Balance,','0'
349.0,642.0,144.0,149.0,59.0,109.0,127.0,41.0,'January','0'
493.0,642.0,1174.0,144.0,59.0,109.0,13.0,29.0,'1','0'
1667.0,642.0,280.0,1174.0,59.0,109.0,144.0,39.0,'$2,204.9','0'
1947.0,642.0,274.0,280.0,59.0,109.0,140.0,39.0,'$1,928.6','0'
2221.0,642.0,2023.0,274.0,59.0,109.0,140.0,39.0,'$1,960.8','0'
199.0,700.0,69.0,2023.0,59.0,59.0,72.0,30.0,'Add:','0'
241.0,754.0,71.0,69.0,69.0,69.0,56.0,30.0,'Net','0'
