@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'Consolidated','Statement','of','Income','Compaq','Computer','Corporation','Year','ended','December','31,','In','millions,','except','per','share','amounts','1993','1992','1991','Sales','$','7,191','4,100','3,271','Cost','sales','5,493','2,905','2,053','1,698','1,195','1,218','Research','and','development','costs','169','173','197','Selling,','general,','administrative','expense','837','699','722','Other','income','expense,','net','76','28','145','1,082','900','1,064','from','consolidated','companies','before','provision','for','taxes','616','295','154','Provision','97','43','462','198','111','Equity','in','affiliated','company','15','20','Net','213','131','Earnings','common','equivalent','share:','Primary','5.45','2.58','1.49','Assuming','full','dilution','5.35','2.52','Shares','used','computing','earnings','84.7','82.6','88.1','86.3','The','accompanying','notes','are','integral','part','these','financial','statements.','an'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
437.0,171.0,246.0,0.0,84.0,0.0,233.0,35.0,'Consolidated','0'
683.0,171.0,196.0,246.0,84.0,0.0,185.0,35.0,'Statement','0'
879.0,171.0,48.0,196.0,84.0,0.0,35.0,35.0,'of','0'
927.0,171.0,498.0,48.0,84.0,0.0,130.0,34.0,'Income','0'
436.0,254.0,122.0,498.0,84.0,84.0,112.0,34.0,'Compaq','0'
558.0,254.0,149.0,122.0,185.0,84.0,138.0,34.0,'Computer','0'
707.0,254.0,326.0,149.0,185.0,84.0,165.0,34.0,'Corporation','0'
439.0,438.0,79.0,326.0,185.0,185.0,69.0,26.0,'Year','1'
518.0,438.0,100.0,79.0,55.0,185.0,88.0,28.0,'ended','1'
618.0,438.0,167.0,100.0,55.0,185.0,155.0,29.0,'December','1'
785.0,438.0,351.0,167.0,55.0,185.0,45.0,33.0,'31,','1'
439.0,493.0,38.0,351.0,55.0,55.0,28.0,25.0,'In','1'
477.0,493.0,141.0,38.0,109.0,55.0,128.0,34.0,'millions,','1'
618.0,493.0,108.0,141.0,109.0,55.0,99.0,32.0,'except','1'
726.0,493.0,60.0,108.0,109.0,55.0,50.0,28.0,'per','1'
