@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'DEERE','&','COMPANY','STATEMENT','OF','CONSOLIDATED','INCOME','(Deere','Company','and','Consolidated','Subsidiaries)','Year','Ended','October','31','(In','millions','of','dollars','except','per','share','amounts)','1994','1993','1992','Net','Sales','Revenues','sales','equipment','$7,663.1','$6,479.3','$5,723.4','Finance','interest','income','547.8','562.8','615.4','Insurance','health','care','premiums','662.1','554.2','495.5','Investment','93.9','97.5','96.4','Other','62.9','59.7','30.0','Total','9,029,8','7,753.5','6,960.7','Costs','Expenses','Cost','goods','sold','6,007.6','5,374.6','4,891.8','Research','development','expenses','275.7','269.8','288.4','Selling,','administrative','general','906.5','845.0','842.8','Interest','expense','303.0','369.1','413.4','claims','benefits','578.3','478.4','440.4','operating','37.8','37.1','40.4','Restructuring','costs','107.2','8,108.9','7,481.2','6,917.2','Income','(Loss)','Group','before','Taxes','Changes','in','Accounting','920.9','272.3','43.5','Provision','(credit)','for','taxes','332.2','97.2','14.7','588.7','175.1','28.8','Equity','Unconsolidated','Subsidiaries','Affiliates','Credit','4.9','2.2','10.0','7.1','6.4','14.9','9.3','8.6','603.6','184.4','37.4','accounting','(1,105.3)','$','(920.9)','Per','Share','Data','Primary','fully','diluted:','changes','7.01','2.39','.49','(14.30)','(loss)','(11.91)','Dividends','declared','2.05','2.00','The','data','this','statement','conform','with','the','requirements','FASB','Statement','No.','94.','In','supplemental','consolidating','statement,','Operations"','Financial','Services','on','Basis)','reflect','basis','consolidation','described','page','47','notes','to','consolidated','financial','statements.','group','results','agricultural','equipment,','industrial','lawn','grounds','operations.','Services"','include','Deere','Company's','credit,','insurance','subsidiaries.','Transactions','between','have','been','eliminated','arrive','at','data.','information','pages','37','through','60','is','an','integral','part','statement.','30'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
239.0,143.0,176.0,0.0,60.0,0.0,147.0,33.0,'DEERE','0'
415.0,143.0,52.0,176.0,60.0,0.0,27.0,34.0,'&','0'
467.0,143.0,237.0,52.0,60.0,0.0,225.0,36.0,'COMPANY','0'
238.0,202.0,225.0,237.0,60.0,60.0,212.0,34.0,'STATEMENT','0'
463.0,202.0,58.0,225.0,1535.0,60.0,45.0,34.0,'OF','0'
521.0,202.0,287.0,58.0,1535.0,60.0,272.0,35.0,'CONSOLIDATED','0'
808.0,202.0,966.0,287.0,1535.0,60.0,141.0,33.0,'INCOME','0'
1770.0,285.0,264.0,966.0,1535.0,1535.0,223.0,28.0,'CONSOLIDATED','0'
1510.0,327.0,107.0,264.0,264.0,264.0,96.0,34.0,'(Deere','0'
1617.0,327.0,31.0,107.0,212.0,264.0,21.0,27.0,'&','0'
1648.0,327.0,148.0,31.0,212.0,264.0,137.0,34.0,'Company','0'
1796.0,327.0,64.0,148.0,212.0,264.0,53.0,28.0,'and','0'
1860.0,327.0,202.0,64.0,212.0,264.0,190.0,28.0,'Consolidated','0'
2062.0,327.0,351.0,202.0,212.0,264.0,191.0,35.0,'Subsidiaries)','0'
1715.0,377.0,74.0,351.0,212.0,212.0,64.0,27.0,'Year','1'
1789.0,377.0,101.0,74.0,1477.0,212.0,89.0,28.0,'Ended','1'
1890.0,377.0,124.0,101.0,1477.0,212.0,114.0,28.0,'October','1'
2014.0,377.0,1776.0,124.0,1477.0,212.0,29.0,28.0,'31','1'
239.0,418.0,49.0,1776.0,1477.0,1477.0,37.0,34.0,'(In','1'
288.0,418.0,125.0,49.0,62.0,1477.0,114.0,28.0,'millions','1'
413.0,418.0,38.0,125.0,62.0,1477.0,28.0,28.0,'of','1'
451.0,418.0,110.0,38.0,62.0,1477.0,100.0,28.0,'dollars','1'
561.0,418.0,109.0,110.0,62.0,1477.0,99.0,32.0,'except','1'
670.0,418.0,56.0,109.0,62.0,1477.0,47.0,27.0,'per','1'
726.0,418.0,93.0,56.0,62.0,1477.0,82.0,28.0,'share','1'
819.0,418.0,807.0,93.0,62.0,1477.0,137.0,34.0,'amounts)','1'
1626.0,418.0,223.0,807.0,62.0,1477.0,66.0,28.0,'1994','1'
1849.0,418.0,225.0,223.0,62.0,1477.0,66.0,27.0,'1993','1'
2074.0,418.0,1837.0,225.0,62.0,1477.0,66.0,27.0,'1992','1'
239.0,480.0,58.0,1837.0,62.0,62.0,49.0,27.0,'Net','1'
297.0,480.0,90.0,58.0,45.0,62.0,79.0,27.0,'Sales','1'
387.0,480.0,64.0,90.0,45.0,62.0,52.0,27.0,'and','1'
451.0,480.0,217.0,64.0,45.0,62.0,141.0,28.0,'Revenues','1'
239.0,525.0,51.0,217.0,45.0,45.0,42.0,28.0,'Net','1'
290.0,525.0,73.0,51.0,48.0,45.0,63.0,28.0,'sales','1'
363.0,525.0,33.0,73.0,48.0,45.0,24.0,28.0,'of','1'
396.0,525.0,1204.0,33.0,48.0,45.0,134.0,33.0,'equipment','1'
