@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'CONSOLIDATED','STATEMENTS','OF','CASH','FLOWS','Fiscal','Year','Ended','My','30.','1993','May','31','1992','Cash','Flows','-','Operating','Activities:','Earnings','from','continuing','operations','$469.9','$506.1','$505.6','Adjustments','to','reconcile','earnings','cash','flow:','Depreciation','and','amortization','303.8','274.2','247.4','Deferred','income','taxes','(27.8)','40.8','13.5','Change','in','current','assets','liabilities,','net','of','effects','business','acquired','(72.0)','2.5','20.0','Unusual','expenses','146.9','57.3','Other,','15.2','(15.0)','3.9','provided','by','836.0','865.9','790.4','used','discontinued','(5.3)','(6.0)','(18.8)','Net','Provided','Activities','830.7','859.9','771.6','Investment','Purchases','land,','buildings','equipment','(559.5)','(623.8)','(695.3)','Investments','businesses,','intangibles','affiliates,','dividends','(140.8)','(55.8)','(30.6)','marketable','investments','(83.8)','(82.8)','(6.9)','Proceeds','sale','33.7','13.1','6.9','disposal','7.2','5.2','8.1','dispositions','77.7','(39.0)','(40.0)','(7.9)','Used','(782.2)','(784.1)','(648.0)','Financing','Increase','notes','payable','93.2','207.6','150.3','Issuance','long-term','debt','273.6','422.6','188.7','Payment','(79.1)','(44.5)','(248.0)','Common','stock','issued','13.3','32.3','39.3','common','for','treasury','(145.7)','(420.2)','(40.1)','Dividends','paid','(299.4)','(274.8)','(245.2)','(4.2)','(7.4)','(148.3)','(84.4)','(162.9)','Decrease','Equivalents','(99.8)','(8.6)','(39.3)','Beginning','100.0','.5','39.8','Reclassification','Marketable','108.1','End','$','.2','$100.0','Flow','Changes','Current','Assets','Liabilities:','Receivables','(17.3)','(44.7)','2.1','Inventories','(111.0)','28.7','.6','Prepaid','other','(5.1)','4.6','(8.9)','Accounts','33.2','9.0','54.5','Other','liabilities','28.2','4.9','(28.3)','Liabilities','See','accompanying','consolidated','fi','nancial','statements.'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
201.0,227.0,413.0,0.0,1612.0,0.0,374.0,26.0,'CONSOLIDATED','0'
614.0,227.0,338.0,413.0,1612.0,0.0,299.0,27.0,'STATEMENTS','0'
952.0,227.0,91.0,338.0,1612.0,0.0,52.0,26.0,'OF','0'
1043.0,227.0,159.0,91.0,1612.0,0.0,118.0,25.0,'CASH','0'
1202.0,227.0,614.0,159.0,1612.0,0.0,154.0,27.0,'FLOWS','0'
1811.0,303.0,64.0,614.0,1612.0,1612.0,55.0,23.0,'Fiscal','0'
1875.0,303.0,55.0,64.0,60.0,1612.0,47.0,19.0,'Year','0'
1930.0,303.0,102.0,55.0,60.0,1612.0,63.0,23.0,'Ended','0'
1842.0,354.0,55.0,102.0,60.0,60.0,45.0,22.0,'My','1'
1897.0,354.0,46.0,55.0,1640.0,60.0,32.0,18.0,'30.','1'
1943.0,354.0,198.0,46.0,1640.0,60.0,51.0,18.0,'1993','1'
2141.0,354.0,55.0,198.0,1640.0,60.0,45.0,23.0,'May','1'
2196.0,354.0,46.0,55.0,1640.0,60.0,32.0,22.0,'31','1'
2242.0,354.0,2040.0,46.0,1640.0,60.0,51.0,18.0,'1992','1'
203.0,403.0,90.0,2040.0,1640.0,1640.0,79.0,31.0,'Cash','1'
293.0,403.0,107.0,90.0,76.0,1640.0,95.0,31.0,'Flows','1'
400.0,403.0,24.0,107.0,76.0,1640.0,11.0,3.0,'-','1'
424.0,403.0,172.0,24.0,76.0,1640.0,163.0,38.0,'Operating','1'
596.0,403.0,349.0,172.0,76.0,1640.0,156.0,29.0,'Activities:','1'
252.0,460.0,153.0,349.0,76.0,76.0,141.0,37.0,'Earnings','1'
405.0,460.0,88.0,153.0,60.0,76.0,76.0,30.0,'from','1'
493.0,460.0,187.0,88.0,60.0,76.0,176.0,36.0,'continuing','1'
680.0,460.0,890.0,187.0,60.0,76.0,169.0,36.0,'operations','1'
1570.0,460.0,299.0,890.0,60.0,76.0,112.0,32.0,'$469.9','1'
1869.0,460.0,302.0,299.0,60.0,76.0,110.0,32.0,'$506.1','1'
2171.0,460.0,1922.0,302.0,60.0,76.0,112.0,32.0,'$505.6','1'
