@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'F,eo','In','1994,','we','adopted','Statement','of','Financial','Accounting','We','sponsor','several','plans','that','provide','health','care','benefits','to','Standards','(SFAS)','No.','112,','for','the','majority','our','retirees.','The','salaried','plan','is','contributory','Postemployment','Benefits."','cumulative','effect','as','May','31,','with','retiree','contributions','based','on','years','service.','1993','changing','accrual','basis','severance','and','dis-','fund','certain','employees','retirees','an','ability','costs','was','a','decrease','in','net','earnings','$17.3','million','annual','basis.','1992','contributed','$38.3','($.11','per','share).','million,','$30.6','$4.2','respectively','Plan','assets','consist','principally','listed','equity','securities','U.S.','government','securities.','have','profit-sharing','incentives','key','indi-','Components','postretirement','expense','are','viduals','who','greatest','potential','contribute','cur-','follows:','rent','successful','future','operations.','These','Fiscal','Year','were','approved','by','Board','Directors','upon','recommenda-','Expel','2,11,22','Million,','tion','Compensation','Committee.','awards','under','these','Service','cost-benefits','earned','$','5.6','3.6','$3.5','depend','profit','performance','relation','pre-estab-','Interest','cost','accumulated','lished','goals.','administered','benefit','obligation','14.0','11.0','9.7','Committee,','which','consists','solely','outside','directors.','Profit-','Actual','return','(1.5)','(3.9)','(3.0)','sharing','expense,','including','unit','accruals,','Net','amortization','deferral','(4.5)','(1.0)','(1.2)','$1.7','$7.3','$8.8','$13.6','$9.0','.0','1992,','funded','status','amount','recognized','consolidated','balance','sheets','SFAS','109,','Income','Taxes"','Ix','VH111311,','Mop','10','1993.','adoption','109','changed','Accumulated','Assets','Exceed','Benefits','method','accounting','income','taxes','from','deferred','asset','liability','method.','Deferred','obligations:','reflect','differences','between','liabilities','recog-','Retirees','36.3','48.7','80.0','nized','financial','reporting','amounts','purposes','Fully','eligible','active','12.7','8.0','19.3','measured','enacted','tax','using','current','rates.','Other','27.0','48.5','70.4','increase','earn-','obligations','76.0','105.2','169.7','ings','$17.5','at','fair','value','89.3','7.4','60.8','components','before','thereon','excess','(less','than)','(13.3)','97.8','108.9','Unrecognized','prior','service','.1','12.2','14.3','loss','(28.1)','(27.7)','(51.1)','Earnings','(loss)','Accrued','(prepaid)','taxes:','$(41.3)','82.3','72.1','$746.4','$887.2','$818.3','Foreign','6.9','(43.2)','26.2','discount','rates','used','determining','actuarial','pres-','Total','ent','8.8%','8.5%','$753.3','$844.0','$844.5','1994','1993,','expected','long-term','rate','10%.','Current:','trend','capita','Federal','$246.5','$243.1','$254.0','charges','ranged','6.2%','9.8%','State','local','60.9','60.2','55.1','1995','4.0','(6.2)','16.3','depending','medical','category','gradually','311.4','297.1','325.4','4.4%','5.7%','2007','remain','level','(principally','U.S.)','(27.8)','40.8','13.5','thereafter.','If','increased','one','per-','$283.6','$337.9','$338.9','centage','point','each','year,','aggregate','interest','would','$3.1','29,','$24.6','million.'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
1104.0,224.0,318.0,0.0,858.0,0.0,55.0,25.0,'F,eo','0'
1422.0,224.0,55.0,318.0,858.0,0.0,33.0,27.0,'In','0'
1477.0,224.0,109.0,55.0,858.0,0.0,90.0,34.0,'1994,','0'
1586.0,224.0,64.0,109.0,858.0,0.0,45.0,19.0,'we','0'
1650.0,224.0,152.0,64.0,858.0,0.0,133.0,40.0,'adopted','0'
1802.0,224.0,182.0,152.0,858.0,0.0,164.0,28.0,'Statement','0'
1984.0,224.0,48.0,182.0,858.0,0.0,33.0,31.0,'of','0'
2032.0,224.0,168.0,48.0,858.0,0.0,152.0,30.0,'Financial','0'
2200.0,224.0,1952.0,168.0,858.0,0.0,193.0,38.0,'Accounting','0'
249.0,283.0,68.0,1952.0,858.0,858.0,51.0,28.0,'We','0'
317.0,283.0,143.0,68.0,60.0,858.0,128.0,30.0,'sponsor','0'
460.0,283.0,125.0,143.0,60.0,858.0,109.0,31.0,'several','0'
585.0,283.0,102.0,125.0,60.0,858.0,85.0,40.0,'plans','0'
687.0,283.0,78.0,102.0,60.0,858.0,61.0,30.0,'that','0'
765.0,283.0,138.0,78.0,60.0,858.0,121.0,40.0,'provide','0'
903.0,283.0,115.0,138.0,60.0,858.0,99.0,30.0,'health','0'
1018.0,283.0,80.0,115.0,60.0,858.0,63.0,20.0,'care','0'
1098.0,283.0,142.0,80.0,60.0,858.0,125.0,31.0,'benefits','0'
1240.0,283.0,132.0,142.0,60.0,858.0,29.0,22.0,'to','0'
1372.0,283.0,195.0,132.0,60.0,858.0,175.0,31.0,'Standards','0'
1567.0,283.0,139.0,195.0,60.0,858.0,119.0,36.0,'(SFAS)','0'
1706.0,283.0,86.0,139.0,60.0,858.0,60.0,28.0,'No.','0'
1792.0,283.0,95.0,86.0,60.0,858.0,74.0,34.0,'112,','0'
2118.0,283.0,226.0,231.0,60.0,858.0,207.0,39.0,'Accounting','0'
2344.0,283.0,2095.0,226.0,60.0,858.0,48.0,31.0,'for','0'
250.0,342.0,66.0,2095.0,60.0,60.0,49.0,30.0,'the','0'
316.0,342.0,151.0,66.0,59.0,60.0,135.0,37.0,'majority','0'
467.0,342.0,46.0,151.0,59.0,60.0,33.0,31.0,'of','0'
513.0,342.0,71.0,46.0,59.0,60.0,55.0,20.0,'our','0'
584.0,342.0,141.0,71.0,59.0,60.0,122.0,27.0,'retirees.','0'
725.0,342.0,77.0,141.0,59.0,60.0,61.0,30.0,'The','0'
802.0,342.0,139.0,77.0,59.0,60.0,122.0,30.0,'salaried','0'
941.0,342.0,86.0,139.0,59.0,60.0,70.0,39.0,'plan','0'
1027.0,342.0,41.0,86.0,59.0,60.0,24.0,27.0,'is','0'
1068.0,342.0,304.0,41.0,59.0,60.0,203.0,40.0,'contributory','0'
1372.0,342.0,284.0,304.0,59.0,60.0,272.0,41.0,'Postemployment','0'
1656.0,342.0,161.0,284.0,59.0,60.0,148.0,31.0,'Benefits."','0'
1817.0,342.0,74.0,161.0,59.0,60.0,61.0,31.0,'The','0'
1891.0,342.0,190.0,74.0,59.0,60.0,177.0,31.0,'cumulative','0'
