@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'10.','RETIREMENT','PLANS:','The','company','maintains','retirement','plans','for','the','majority','of','its','employees.','Benefits','are','based','on','years','service','and','compensation','or','stated','amounts','each','year','service.','Plan','assets','primarily','invested','in','equities','fixed','income','securities.','company's','funding','policy','domestic','is','to','contribute','annually','not','less','than','ERISA','minimum','standards','nor','more','maximum','amount','which','can','be','deducted','federal','tax','purposes.','Generally,','foreign','funded','sufficient','comply','with','local','regulations','ensure','adequate','funds','pay','benefits','retirees','as','they','become','due.','Net','pension','costs','consisted','following:','(Dollars','thousands)','1994','1993','1992','earned','during','$','15,215','20,384','22,801','Interest','cost','projected','benefit','obligation','66,706','65,612','66,668','Actual','return','plan','(98,673)','(98,358)','(105,940)','amortization','deferral','25,02B','21,292','23,235','8,276','8,930','6,764','following','table','sets','forth','combined','status','principal','at','April','27,','28,','1993.','Actuarial','present','value','of:','Accumulated','obligation,','vested','$775,986','$748,089','Additional','increases','43,074','69,992','Projected','819,060','818,081','assets,','fair','933,257','908,745','excess','114,197','90,664','Unamortized','prior','60,238','63,427','actuarial','losses,','net','22,910','56,819','date','adoption','(36,885)','(44,688)','Prepaid','$160,460','$166,222','weighted','average','rates','used','ended','1994,','29,','determining','obligations','were','follows:','Expected','rate','10.0%','10.1%','Discount','8.3%','8.6%','8.8%','Compensation','increase','4.8%','6.2%','6.7%','Assumptions','developed','a','basis','consistent','those','U.S.','plans,','adjusted','prevailing','economic','conditions.','In','1992,','Board','Directors','amended','salaried','defined','provide','that','no','would','accrue','under','this','after','January','1,','At','same','time,','expanded,','effective','1993,','contribution','covering','substantially','all','employees,','described','below.','Board's','actions','resulted','an','after-tax','curtailment','gain','$23.6','million,','was','recorded','1992.','No','withdrawn','from','result','curtailment.','non-union','provided','through','accounts','consist','solely','contributions','percentage','participant's','age,','increasing','age.','addition,','certain','employees','receive','supplemental','contributions,','paid','discretion','company,','matching','401(k)','portion','plan.','(The','ESOP.)','expense','recognized','excluding','(50)','ESOP,','totaled','$16.5','million','1994.','$4.5','expensed','plans.'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
274.0,190.0,62.0,0.0,718.0,0.0,38.0,23.0,'10.','0'
336.0,190.0,248.0,62.0,718.0,0.0,226.0,16.0,'RETIREMENT','0'
584.0,190.0,406.0,248.0,718.0,0.0,117.0,16.0,'PLANS:','0'
990.0,190.0,69.0,406.0,718.0,0.0,58.0,29.0,'The','0'
1059.0,190.0,145.0,69.0,718.0,0.0,134.0,26.0,'company','0'
1204.0,190.0,157.0,145.0,718.0,0.0,146.0,27.0,'maintains','0'
1361.0,190.0,164.0,157.0,718.0,0.0,154.0,28.0,'retirement','0'
1525.0,190.0,90.0,164.0,718.0,0.0,79.0,37.0,'plans','0'
1615.0,190.0,50.0,90.0,718.0,0.0,40.0,29.0,'for','0'
1665.0,190.0,56.0,50.0,718.0,0.0,45.0,29.0,'the','0'
1721.0,190.0,131.0,56.0,718.0,0.0,121.0,35.0,'majority','0'
1852.0,190.0,37.0,131.0,718.0,0.0,31.0,28.0,'of','0'
1889.0,190.0,44.0,37.0,718.0,0.0,34.0,27.0,'its','0'
1933.0,190.0,177.0,44.0,718.0,0.0,164.0,36.0,'employees.','0'
2110.0,190.0,131.0,177.0,718.0,0.0,120.0,29.0,'Benefits','0'
2241.0,190.0,57.0,131.0,718.0,0.0,46.0,18.0,'are','0'
2298.0,190.0,98.0,57.0,718.0,0.0,87.0,28.0,'based','0'
2396.0,190.0,46.0,98.0,718.0,0.0,35.0,18.0,'on','0'
2442.0,190.0,88.0,46.0,718.0,0.0,78.0,26.0,'years','0'
2530.0,190.0,38.0,88.0,718.0,0.0,30.0,28.0,'of','0'
2568.0,190.0,114.0,38.0,718.0,0.0,103.0,27.0,'service','0'
2682.0,190.0,65.0,114.0,718.0,0.0,54.0,28.0,'and','0'
2747.0,190.0,1758.0,65.0,718.0,0.0,206.0,35.0,'compensation','0'
990.0,239.0,41.0,1758.0,718.0,718.0,31.0,17.0,'or','0'
1031.0,239.0,99.0,41.0,50.0,718.0,88.0,29.0,'stated','0'
1130.0,239.0,138.0,99.0,50.0,718.0,127.0,23.0,'amounts','0'
1268.0,239.0,50.0,138.0,50.0,718.0,40.0,29.0,'for','0'
1318.0,239.0,80.0,50.0,50.0,718.0,69.0,28.0,'each','0'
1398.0,239.0,73.0,80.0,50.0,718.0,63.0,26.0,'year','0'
1471.0,239.0,37.0,73.0,50.0,718.0,30.0,28.0,'of','0'
1508.0,239.0,126.0,37.0,50.0,718.0,113.0,28.0,'service.','0'
1634.0,239.0,77.0,126.0,50.0,718.0,67.0,29.0,'Plan','0'
1711.0,239.0,99.0,77.0,50.0,718.0,89.0,22.0,'assets','0'
1810.0,239.0,57.0,99.0,50.0,718.0,46.0,18.0,'are','0'
1867.0,239.0,148.0,57.0,50.0,718.0,138.0,36.0,'primarily','0'
2015.0,239.0,131.0,148.0,50.0,718.0,121.0,29.0,'invested','0'
2146.0,239.0,38.0,131.0,50.0,718.0,28.0,27.0,'in','0'
2184.0,239.0,127.0,38.0,50.0,718.0,116.0,35.0,'equities','0'
2311.0,239.0,65.0,127.0,50.0,718.0,54.0,29.0,'and','0'
2376.0,239.0,84.0,65.0,50.0,718.0,73.0,29.0,'fixed','0'
2460.0,239.0,117.0,84.0,50.0,718.0,106.0,27.0,'income','0'
2577.0,239.0,162.0,117.0,50.0,718.0,150.0,27.0,'securities.','0'
2739.0,239.0,69.0,162.0,50.0,718.0,58.0,28.0,'The','0'
2808.0,239.0,1819.0,69.0,50.0,718.0,153.0,37.0,'company's','0'
990.0,289.0,126.0,1819.0,50.0,50.0,116.0,37.0,'funding','0'
1116.0,289.0,99.0,126.0,51.0,50.0,88.0,37.0,'policy','0'
1215.0,289.0,50.0,99.0,51.0,50.0,40.0,29.0,'for','0'
1265.0,289.0,55.0,50.0,51.0,50.0,44.0,28.0,'the','0'
1320.0,289.0,143.0,55.0,51.0,50.0,132.0,28.0,'domestic','0'
1463.0,289.0,89.0,143.0,51.0,50.0,79.0,36.0,'plans','0'
1552.0,289.0,34.0,89.0,51.0,50.0,23.0,28.0,'is','0'
1586.0,289.0,37.0,34.0,51.0,50.0,27.0,22.0,'to','0'
1623.0,289.0,162.0,37.0,51.0,50.0,151.0,30.0,'contribute','0'
1785.0,289.0,138.0,162.0,51.0,50.0,128.0,37.0,'annually','0'
1923.0,289.0,55.0,138.0,51.0,50.0,45.0,22.0,'not','0'
1978.0,289.0,66.0,55.0,51.0,50.0,56.0,28.0,'less','0'
2044.0,289.0,76.0,66.0,51.0,50.0,65.0,28.0,'than','0'
2120.0,289.0,55.0,76.0,51.0,50.0,44.0,28.0,'the','0'
2175.0,289.0,116.0,55.0,51.0,50.0,105.0,29.0,'ERISA','0'
2291.0,289.0,154.0,116.0,51.0,50.0,143.0,28.0,'minimum','0'
2445.0,289.0,125.0,154.0,51.0,50.0,116.0,37.0,'funding','0'
2570.0,289.0,156.0,125.0,51.0,50.0,145.0,29.0,'standards','0'
2726.0,289.0,59.0,156.0,51.0,50.0,49.0,18.0,'nor','0'
2785.0,289.0,86.0,59.0,51.0,50.0,75.0,18.0,'more','0'
2871.0,289.0,75.0,86.0,51.0,50.0,64.0,29.0,'than','0'
2946.0,289.0,1956.0,75.0,51.0,50.0,45.0,29.0,'the','0'
991.0,339.0,161.0,1956.0,51.0,51.0,150.0,28.0,'maximum','0'
1152.0,339.0,121.0,161.0,51.0,51.0,113.0,23.0,'amount','0'
1273.0,339.0,98.0,121.0,51.0,51.0,88.0,29.0,'which','0'
1371.0,339.0,63.0,98.0,51.0,51.0,53.0,18.0,'can','0'
1434.0,339.0,46.0,63.0,51.0,51.0,35.0,28.0,'be','0'
1480.0,339.0,148.0,46.0,51.0,51.0,138.0,28.0,'deducted','0'
1628.0,339.0,50.0,148.0,51.0,51.0,40.0,28.0,'for','0'
1678.0,339.0,111.0,50.0,51.0,51.0,102.0,29.0,'federal','0'
1789.0,339.0,117.0,111.0,51.0,51.0,107.0,28.0,'income','0'
1906.0,339.0,55.0,117.0,51.0,51.0,46.0,22.0,'tax','0'
1961.0,339.0,158.0,55.0,51.0,51.0,146.0,26.0,'purposes.','0'
