@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'STATEMENT','OF','CASH','FLOWS','Honeywell','Inc.','and','Subsidiaries','(Dollars','in','Millions)','Years','Ended','December','31','1994','1993','1992','Cash','Flows','from','Operating','Activities','Net','income','$278.9','$322.2','$246.8','Adjustments','to','reconcile','net','cash','flows','operating','activities:','Cumulative','effect','of','accounting','changes','144.5','Extraordinary','item','-','loss','on','early','redemption','debt','8.6','Depreciation','235.3','242.8','Amortization','intangibles','52.1','49.6','49.9','Deferred','taxes','14.0','28.8','6.7','Equity','income,','dividends','received','(7.6)','(14.5)','(13.8)','Loss','sale','assets','1.0','6.2','1.6','Contributions','employee','stock','plans','26.5','28.7','40.0','Increase','receivables','(83.8)','(62.7)','(136.0)','Decrease','inventories','20.9','54.2','67.7',',','(decrease)','accounts','payable','27.7','(60.8)','accrued','interest','(4.6)','8.3','(25.7)','Other','working','capital,','excluding','short-term','investments','(93.9)','(146.6)','(85.6)','noncurrent','items','3.0','(63.5)','44.9','activities','469.5','474.8','531.6','Investing','Reduction','investment','Sperry','Aerospace','Group','20.0','Proceeds','22.6','46.8','54.7','Capital','expenditures','(262.4)','(232.1)','(244.1)','Investment','acquisitions','(104.6)','(14.2)','(83.5)','(Increase)','decrease','(10.2)','6.8','Other-net','10.5','(23.3)','(7.1)','investing','(327.2)','(213.0)','(273.2)','Financing','increase','35.7','2.8','90.1','issuance','long-term','126.5','0.6','2.6','Repayment','(1.8)','(7.3)','(199.7)','Purchase','treasury','(162.5)','(241.2)','(188.2)','5.9','17.6','27.4','Dividends','paid','(125.6)','(122.0)','(116.7)','financing','(121.8)','(349.5)','(384.5)','Effect','exchange','rate','4.6','(12.4)','(28.7)','equivalents','25.1','(100.1)','(154.8)','at','beginning','year','242.3','342.4','497.2','end','$267.4','$242.3','$342.4','See','accompanying','Notes','Financial','Statements.','39'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
120.0,160.0,469.0,0.0,91.0,0.0,410.0,25.0,'STATEMENT','0'
589.0,160.0,130.0,469.0,91.0,0.0,71.0,25.0,'OF','0'
719.0,160.0,232.0,130.0,91.0,0.0,171.0,26.0,'CASH','0'
951.0,160.0,837.0,232.0,91.0,0.0,220.0,25.0,'FLOWS','0'
119.0,250.0,148.0,837.0,91.0,91.0,140.0,29.0,'Honeywell','0'
267.0,250.0,60.0,148.0,177.0,91.0,49.0,23.0,'Inc.','0'
327.0,250.0,58.0,60.0,177.0,91.0,50.0,23.0,'and','0'
385.0,250.0,319.0,58.0,177.0,91.0,163.0,23.0,'Subsidiaries','0'
120.0,426.0,117.0,319.0,177.0,177.0,107.0,27.0,'(Dollars','1'
237.0,426.0,33.0,117.0,1493.0,177.0,23.0,21.0,'in','1'
270.0,426.0,1511.0,33.0,1493.0,177.0,117.0,26.0,'Millions)','1'
1781.0,426.0,76.0,1511.0,1493.0,177.0,66.0,22.0,'Years','1'
1857.0,426.0,92.0,76.0,1493.0,177.0,83.0,23.0,'Ended','1'
1949.0,426.0,141.0,92.0,1493.0,177.0,133.0,23.0,'December','1'
2090.0,426.0,480.0,141.0,1493.0,177.0,28.0,23.0,'31','1'
1612.0,464.0,300.0,480.0,1493.0,1493.0,76.0,26.0,'1994','1'
1912.0,464.0,301.0,300.0,1495.0,1493.0,73.0,27.0,'1993','1'
2213.0,464.0,2095.0,301.0,1495.0,1493.0,71.0,27.0,'1992','1'
120.0,553.0,104.0,2095.0,1495.0,1495.0,88.0,29.0,'Cash','1'
224.0,553.0,115.0,104.0,70.0,1495.0,102.0,28.0,'Flows','1'
339.0,553.0,96.0,115.0,70.0,1495.0,81.0,28.0,'from','1'
435.0,553.0,190.0,96.0,70.0,1495.0,175.0,36.0,'Operating','1'
625.0,553.0,460.0,190.0,70.0,1495.0,166.0,28.0,'Activities','1'
168.0,603.0,69.0,460.0,70.0,70.0,56.0,27.0,'Net','1'
237.0,603.0,1343.0,69.0,53.0,70.0,115.0,27.0,'income','1'
1580.0,603.0,299.0,1343.0,53.0,70.0,107.0,33.0,'$278.9','1'
1879.0,603.0,299.0,299.0,53.0,70.0,107.0,32.0,'$322.2','1'
2178.0,603.0,2010.0,299.0,53.0,70.0,106.0,32.0,'$246.8','1'
169.0,655.0,212.0,2010.0,53.0,53.0,199.0,35.0,'Adjustments','1'
381.0,655.0,42.0,212.0,51.0,53.0,29.0,22.0,'to','1'
423.0,655.0,157.0,42.0,51.0,53.0,145.0,27.0,'reconcile','1'
580.0,655.0,60.0,157.0,51.0,53.0,48.0,22.0,'net','1'
640.0,655.0,127.0,60.0,51.0,53.0,115.0,27.0,'income','1'
767.0,655.0,42.0,127.0,51.0,53.0,30.0,22.0,'to','1'
809.0,655.0,59.0,42.0,51.0,53.0,48.0,22.0,'net','1'
868.0,655.0,82.0,59.0,51.0,53.0,69.0,26.0,'cash','1'
950.0,655.0,784.0,82.0,51.0,53.0,86.0,28.0,'flows','1'
168.0,705.0,89.0,784.0,51.0,51.0,76.0,27.0,'from','1'
257.0,705.0,162.0,89.0,72.0,51.0,148.0,35.0,'operating','1'
419.0,705.0,207.0,162.0,72.0,51.0,151.0,27.0,'activities:','1'
219.0,755.0,197.0,207.0,72.0,72.0,184.0,27.0,'Cumulative','1'
416.0,755.0,102.0,197.0,51.0,72.0,90.0,27.0,'effect','1'
518.0,755.0,43.0,102.0,51.0,72.0,33.0,27.0,'of','1'
561.0,755.0,186.0,43.0,51.0,72.0,173.0,35.0,'accounting','1'
747.0,755.0,1454.0,186.0,51.0,72.0,126.0,36.0,'changes','1'
2201.0,755.0,1984.0,1454.0,51.0,72.0,83.0,27.0,'144.5','1'
218.0,805.0,236.0,1984.0,51.0,51.0,222.0,36.0,'Extraordinary','1'
454.0,805.0,79.0,236.0,51.0,51.0,67.0,27.0,'item','1'
533.0,805.0,32.0,79.0,51.0,51.0,20.0,2.0,'-','1'
565.0,805.0,72.0,32.0,51.0,51.0,59.0,28.0,'loss','1'
637.0,805.0,50.0,72.0,51.0,51.0,37.0,19.0,'on','1'
687.0,805.0,90.0,50.0,51.0,51.0,77.0,36.0,'early','1'
777.0,805.0,194.0,90.0,51.0,51.0,180.0,36.0,'redemption','1'
971.0,805.0,43.0,194.0,51.0,51.0,33.0,28.0,'of','1'
1014.0,805.0,1224.0,43.0,51.0,51.0,67.0,27.0,'debt','1'
2238.0,805.0,2020.0,1224.0,51.0,51.0,47.0,27.0,'8.6','1'
219.0,855.0,1380.0,2020.0,51.0,51.0,204.0,36.0,'Depreciation','1'
1599.0,855.0,300.0,1380.0,51.0,51.0,87.0,28.0,'235.3','1'
1899.0,855.0,299.0,300.0,51.0,51.0,85.0,27.0,'235.3','1'
2198.0,855.0,1981.0,299.0,51.0,51.0,86.0,27.0,'242.8','1'
218.0,905.0,225.0,1981.0,51.0,51.0,211.0,27.0,'Amortization','1'
443.0,905.0,44.0,225.0,50.0,51.0,33.0,27.0,'of','1'
487.0,905.0,1132.0,44.0,50.0,51.0,172.0,36.0,'intangibles','1'
1619.0,905.0,298.0,1132.0,50.0,51.0,67.0,28.0,'52.1','1'
1917.0,905.0,299.0,298.0,50.0,51.0,69.0,27.0,'49.6','1'
2216.0,905.0,1999.0,299.0,50.0,51.0,69.0,28.0,'49.9','1'
218.0,955.0,154.0,1999.0,50.0,50.0,140.0,28.0,'Deferred','1'
372.0,955.0,127.0,154.0,50.0,50.0,114.0,28.0,'income','1'
499.0,955.0,1122.0,127.0,50.0,50.0,79.0,23.0,'taxes','1'
1621.0,955.0,298.0,1122.0,50.0,50.0,66.0,28.0,'14.0','1'
1919.0,955.0,318.0,298.0,50.0,50.0,66.0,27.0,'28.8','1'
2237.0,955.0,2020.0,318.0,50.0,50.0,47.0,27.0,'6.7','1'
218.0,1005.0,118.0,2020.0,50.0,50.0,105.0,35.0,'Equity','1'
