@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'MANAGEMENT'S','DISCUSSION','AND','ANALYSIS','Kimberly-Clark','Corporation','and','Subsidiaries','Management','believes','that','the','following','commentary','New','required','accounting','rules','were','adopted','for','post-','tables','appropriately','discuss','analyze','com-','retirement','health','care','life','insurance','benefits','parative','results','of','operations','financial','condition','income','taxes.','These','resulted','in','a','one-time','periods','covered.','charge','$210.0','million,','or','$1.31','per','share,','against','1992','net','income.','changes','had','Restructuring','Accounting','no','effect','on','cash','flow.','See','Notes','2','3','to','Finan-','The','comparability','statement','data','is','affected','cial','Statements.','by','items','occurred','1992:','announced','restructuring','plan','Analysis','Consolidated','Operating','Results','strengthen','its','competitive','position','consumer','By','Product','Class','service','products','Europe','certain','($','Millions)','North','America.','included','%','Change','1993','Net','Sales','vs.','eliminating','approximately','800','positions,','principally','Europe;','manufacturing','facilities','I','$5,565.5','$5,781.5','3.7%','79.8%','at','11','1,071.7','1,061.4','+','1.0','15.4','Rouen,','France,','Larkfield,','England;','discontinuing','III','.','383.0','298.9','+28.1','5.5','diaper','production','mills','Fullerton,','Calif.,','Adjustments','(47.3)','(50.7)','(.7)','Memphis,','Tenn.;','writing','off','No.','newsprint','$6,972.9','$7,091.1','-','1.7%','100.0%','machine','Coosa','Pines,','Ala.,','mill;','integrating','U.S.','Canadian','prod-','Return','ucts','operations.','Additional','information','concerning','Profit','events','decisions','which','gave','rise','restructur-','1','$','624.6','650.9','4.0%','11.2%','11.3%','ing','presented','Note','9','Financial','II','171.2','142.6','20.1','16.0','13.4','26.2','14.6','+79.5','6.8','4.9','$250.0','million','pretax','cost','was','Charge','(250.0)','charged','operating','profit.','(28.5)','(15.0)','decreased','product','class','geographic','793.5','543.1','+46.1%','11.4%','7.7%','profit','as','follows:','Classes','referred','this','Management's','Discus-','sion','are:','Outside','includes','tissue','household,','America','Total','mercial,','institutional','industrial','uses;','infant,','child,','$(133.1)','$(83.1)','$(216.2)','feminine','incontinence','products;','(21.5)','(8.2)','commercial','wipers;','$(162.8)','related','products.','(245.9)','newsprint,','printing','papers,','premium','Unallocated','(4.1)','business','correspondence','tobacco','industry','$(250.0)','papers','products,','technical','reduced','$172.0','$1.07','share.','aircraft','services,','air','For','Discussion','transportation','other','services.','purposes','Analysis,','has','been','segregated','presen-','tations','facilitate','meaningful','discussion','ongoing','summary','including','charge,','see','12','21'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
129.0,213.0,257.0,0.0,49.0,0.0,246.0,27.0,'MANAGEMENT'S','0'
386.0,213.0,188.0,257.0,49.0,0.0,177.0,26.0,'DISCUSSION','0'
574.0,213.0,76.0,188.0,49.0,0.0,64.0,25.0,'AND','0'
650.0,213.0,528.0,76.0,49.0,0.0,141.0,26.0,'ANALYSIS','0'
125.0,261.0,258.0,528.0,49.0,49.0,246.0,33.0,'Kimberly-Clark','0'
383.0,261.0,205.0,258.0,121.0,49.0,195.0,31.0,'Corporation','0'
588.0,261.0,71.0,205.0,121.0,49.0,64.0,25.0,'and','0'
659.0,261.0,546.0,71.0,121.0,49.0,196.0,25.0,'Subsidiaries','0'
127.0,381.0,243.0,546.0,121.0,121.0,233.0,36.0,'Management','0'
370.0,381.0,158.0,243.0,58.0,121.0,145.0,30.0,'believes','0'
528.0,381.0,81.0,158.0,58.0,121.0,68.0,30.0,'that','0'
609.0,381.0,68.0,81.0,58.0,121.0,56.0,29.0,'the','0'
677.0,381.0,185.0,68.0,58.0,121.0,174.0,38.0,'following','0'
862.0,381.0,390.0,185.0,58.0,121.0,232.0,32.0,'commentary','0'
1252.0,381.0,33.0,390.0,58.0,121.0,18.0,18.0,?,'0'
1285.0,381.0,94.0,33.0,58.0,121.0,83.0,28.0,'New','0'
1379.0,381.0,166.0,94.0,58.0,121.0,155.0,38.0,'required','0'
1545.0,381.0,215.0,166.0,58.0,121.0,203.0,36.0,'accounting','0'
1760.0,381.0,98.0,215.0,58.0,121.0,86.0,29.0,'rules','0'
1858.0,381.0,99.0,98.0,58.0,121.0,87.0,21.0,'were','0'
1957.0,381.0,160.0,99.0,58.0,121.0,148.0,37.0,'adopted','0'
2117.0,381.0,63.0,160.0,58.0,121.0,52.0,30.0,'for','0'
2180.0,381.0,2054.0,63.0,58.0,121.0,89.0,33.0,'post-','0'
127.0,439.0,78.0,2054.0,58.0,58.0,66.0,29.0,'and','0'
205.0,439.0,114.0,78.0,59.0,58.0,102.0,30.0,'tables','0'
319.0,439.0,257.0,114.0,59.0,58.0,245.0,37.0,'appropriately','0'
576.0,439.0,140.0,257.0,59.0,58.0,128.0,29.0,'discuss','0'
716.0,439.0,78.0,140.0,59.0,58.0,66.0,29.0,'and','0'
794.0,439.0,147.0,78.0,59.0,58.0,134.0,39.0,'analyze','0'
941.0,439.0,67.0,147.0,59.0,58.0,55.0,29.0,'the','0'
1008.0,439.0,278.0,67.0,59.0,58.0,91.0,21.0,'com-','0'
1286.0,439.0,202.0,278.0,59.0,58.0,190.0,28.0,'retirement','0'
1488.0,439.0,125.0,202.0,59.0,58.0,113.0,29.0,'health','0'
1613.0,439.0,84.0,125.0,59.0,58.0,72.0,21.0,'care','0'
