@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'Litton','Industries,','Inc.','1994','Annual','Report','BUSINESS','SEGMENT','INFORMATION','Year','Ended','July','31','(thousands','of','dollars)','1993','1992','Sales','and','Service','Revenues','Advanced','Electronics','Navigation','control','systems','$','702,872','810,030','911,204','Communications','electronic','data','1,040,452','1,043,762','1,065,116','Intrasegment','eliminations','(11,700)','(12,910)','(20,009)','1,731,624','1,840,882','1,956,311','Marine','Engineering','Production','1,484,149','1,393,088','1,485,382','Interconnect','Products*','289,295','307,390','324,491','Subtotal','3,505,068','3,541,360','3,766,184','Intersegment','Eliminations','(59,262)','(68,174)','(56,273)','Miscellaneous','247','972','927','$3,446,053','3,474,158','3,710,838','Operating','Profit','Electronics**','122,246','117,504','13_','8',',124','141,048','130,229','138,248','8,032','19,082','16,283','271,326','266,815','292,655','(3,919)','(2,692)','(2,726)','Segment','267,407','264,123','289,929','Other','Unallocated','Expenses','(58,135)','(53,656)','(60,376)','Interest','Net','(32',',62','(66,101)','(85,230)','Earnings','from','Continuing','Operations','before','Taxes','on','Income,','Extraordinary','Item','Cumulative','Effect','a','Change','in','Accounting','Principle','176,648','144,366','144,323','6','The','fiscal','year','information','above','has','been','restated','to','reflect','the','Western','Atlas','operations','as','discontinued','ct.','(see','Note','B','Notes','Consolidated','Financial','Statements).','*','Effective','August','1,','1993,','Company','named','its','other','businesses','Products"','principal','products','this','group','businesses.','**','profit','for','segment','is','effects','settlement','civil','suit','I','J'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
406.0,208.0,125.0,0.0,283.0,0.0,104.0,21.0,'Litton','0'
531.0,208.0,205.0,125.0,283.0,0.0,183.0,27.0,'Industries,','0'
736.0,208.0,1280.0,205.0,283.0,0.0,60.0,21.0,'Inc.','0'
2016.0,208.0,97.0,1280.0,283.0,0.0,75.0,20.0,'1994','0'
2113.0,208.0,135.0,97.0,283.0,0.0,117.0,22.0,'Annual','0'
2248.0,208.0,2050.0,135.0,283.0,0.0,99.0,28.0,'Report','0'
208.0,410.0,267.0,2050.0,283.0,283.0,235.0,32.0,'BUSINESS','0'
475.0,410.0,262.0,267.0,1426.0,283.0,232.0,33.0,'SEGMENT','0'
737.0,410.0,901.0,262.0,1426.0,283.0,348.0,32.0,'INFORMATION','0'
1627.0,545.0,74.0,901.0,1426.0,1426.0,64.0,22.0,'Year','1'
1701.0,545.0,93.0,74.0,1222.0,1426.0,85.0,24.0,'Ended','1'
1794.0,545.0,72.0,93.0,1222.0,1426.0,58.0,32.0,'July','1'
1866.0,545.0,1460.0,72.0,1222.0,1426.0,29.0,23.0,'31','1'
407.0,596.0,156.0,1460.0,1222.0,1222.0,144.0,29.0,'(thousands','1'
563.0,596.0,35.0,156.0,123.0,1222.0,28.0,24.0,'of','1'
598.0,596.0,905.0,35.0,123.0,1222.0,99.0,27.0,'dollars)','1'
1503.0,596.0,277.0,905.0,123.0,1222.0,65.0,23.0,'1994','1'
1780.0,596.0,276.0,277.0,123.0,1222.0,64.0,23.0,'1993','1'
2056.0,596.0,1751.0,276.0,123.0,1222.0,63.0,24.0,'1992','1'
307.0,666.0,83.0,1751.0,123.0,123.0,71.0,28.0,'Sales','1'
390.0,666.0,67.0,83.0,119.0,123.0,59.0,28.0,'and','1'
457.0,666.0,107.0,67.0,119.0,123.0,95.0,27.0,'Service','1'
564.0,666.0,170.0,107.0,119.0,123.0,123.0,27.0,'Revenues','1'
407.0,729.0,169.0,170.0,119.0,119.0,155.0,28.0,'Advanced','1'
576.0,729.0,156.0,169.0,65.0,119.0,173.0,28.0,'Electronics','1'
432.0,789.0,192.0,156.0,65.0,65.0,179.0,35.0,'Navigation','1'
624.0,789.0,69.0,192.0,64.0,65.0,56.0,28.0,'and','1'
693.0,789.0,125.0,69.0,64.0,65.0,111.0,29.0,'control','1'
818.0,789.0,564.0,125.0,64.0,65.0,120.0,28.0,'systems','1'
1382.0,789.0,53.0,564.0,64.0,65.0,16.0,33.0,'$','1'
1435.0,789.0,219.0,53.0,64.0,65.0,130.0,33.0,'702,872','1'
1654.0,789.0,58.0,219.0,64.0,65.0,16.0,33.0,'$','1'
1712.0,789.0,218.0,58.0,64.0,65.0,132.0,34.0,'810,030','1'
1930.0,789.0,58.0,218.0,64.0,65.0,16.0,33.0,'$','1'
1988.0,789.0,1557.0,58.0,64.0,65.0,132.0,27.0,'911,204','1'
433.0,852.0,284.0,1557.0,64.0,64.0,270.0,27.0,'Communications','1'
717.0,852.0,69.0,284.0,64.0,64.0,56.0,28.0,'and','1'
786.0,852.0,167.0,69.0,64.0,64.0,153.0,28.0,'electronic','1'
953.0,852.0,79.0,167.0,64.0,64.0,66.0,28.0,'data','1'
1032.0,852.0,376.0,79.0,64.0,64.0,120.0,27.0,'systems','1'
1408.0,852.0,277.0,376.0,64.0,64.0,158.0,27.0,'1,040,452','1'
1685.0,852.0,276.0,277.0,64.0,64.0,158.0,38.0,'1,043,762','1'
1961.0,852.0,1530.0,276.0,64.0,64.0,160.0,38.0,'1,065,116','1'
433.0,916.0,224.0,1530.0,64.0,64.0,210.0,34.0,'Intrasegment','1'
657.0,916.0,787.0,224.0,979.0,64.0,196.0,27.0,'eliminations','1'
1444.0,916.0,277.0,787.0,979.0,64.0,137.0,35.0,'(11,700)','1'
1721.0,916.0,276.0,277.0,979.0,64.0,136.0,35.0,'(12,910)','1'
1997.0,916.0,595.0,276.0,979.0,64.0,136.0,34.0,'(20,009)','1'
1408.0,998.0,276.0,595.0,979.0,979.0,159.0,36.0,'1,731,624','1'
1684.0,998.0,276.0,276.0,1005.0,979.0,158.0,34.0,'1,840,882','1'
1960.0,998.0,1556.0,276.0,1005.0,979.0,157.0,37.0,'1,956,311','1'
407.0,1082.0,125.0,1556.0,1005.0,1005.0,112.0,28.0,'Marine','1'
532.0,1082.0,208.0,125.0,85.0,1005.0,194.0,35.0,'Engineering','1'
740.0,1082.0,70.0,208.0,85.0,1005.0,56.0,28.0,'and','1'
810.0,1082.0,598.0,70.0,85.0,1005.0,177.0,29.0,'Production','1'
