@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'REVIEW','OF','ONGOING','OPERATIONS','ANIMAL','HEALTH','doing','on','the','product.','The','early','success','of','Annual','Dectomax','in','Brazil,','world's','second-largest','cat-','%','Change','tle','market,','is','significant','indicator','its','potential.','a','(millions','dollars)','1993','1992','1991','93/92','92/91','Sales','Advocin,','fluoroquinolone','antibac-','our','$578.0','$560.8','$526.1','+3%','+7%','terial','for','livestock,','increased','significantly','Operating','Profit','37.5','41.2','42.4','9','3','largely','strength','successful','introduc-','Pfizer's','Animal','Health','Group','moving','toward','tion','Japan.','product','now','available','what','promises','to','be','most','period','throughout','Latin','America,','Africa','and','growth','history.','group','Asia.','By','late','1995,','we','expect','begin','rolling','it','out','stages','introducing','three','major','new','products','large','markets','Europe','U.S.,','where','Dectomax,','Advocin','Aviaxaround','world.','respiratory','disease','problem.','These','innovative','add','thera-','Aviax,','Pfizer-discovered','treat-','peutic','value','practice','animal','husbandry.','ment','coccidiosis','chickens,','should','intro-','They,','along','with','technical','assistance','needed','duced','shortly.','It','has','already','been','approved','use','them','best','results,','will','important','addi-','America.','Aviax','complement','tions','line','which','Coxistac,','licensed','anticoccidial','mar-','producers','ket','outside','U.S.','Europe.','Since','poultry','food','animals.','generally','rotate','their','flocks','between','Operationally,','was','an','exciting','year.','We','or','four','anticoccidials,','enhance','launched','first','markets.','sales','opportunities','market','Coxistac','continued','expand,','in-line','open','up','whole','business','Pfizer','maintained','excellent','levels.','also','those','countries','do','not.','began','number','restructuring','projects','In','addition','prod-','contribute','ucts','developed','by','researchers,','future','profitability.','A','element','restruc-','working','hard','improve','prof-','turing','formation','North','American','itability','existing','world','products.','Division,','fully','integrated','opera-','Our','flagship','product,','TM/LA,','serving','Canada.','show','growthparticularly','West-','headquarters','this','division','Lee's','Summit,','ern','Hemisphere,','29','per-','Missouriwithin','1,000','miles','all','cus-','cent.','anthelmintic','family','tomerswe','have','made','possible','senior','rose','13','percent,','management','work','more','closely','largest','percent.','percent','decline','operating','profit','producers,','while','at','same','time','reducing','reflects','initial','manufacturing','start-up','expenses','costs','improving','efficiency','several','as','well','heavy','expendi-','Beginning','1994,','tures','support','introductions.','expects','realize','both','profit.','New','account','least','40','worldwide','1998.','addition,','drug','candidates','dis-','covery','research','facilities','hold','promise','substantial','pipeline','into','next','century','broader','spectrum','activity','against','parasites','than','any','other','health','effective','longer','well.','introduced','Argentina','South','second','half','notable','success.','Customers','shown','widespread','enthu-','siasm','about','how','animals','are','antiparasitic','agent','met','Brazil','1993.','24'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
301.0,154.0,281.0,0.0,398.0,0.0,261.0,48.0,'REVIEW','0'
582.0,154.0,109.0,281.0,398.0,0.0,88.0,48.0,'OF','0'
691.0,154.0,342.0,109.0,398.0,0.0,322.0,49.0,'ONGOING','0'
1033.0,154.0,834.0,342.0,398.0,0.0,425.0,49.0,'OPERATIONS','0'
301.0,552.0,186.0,834.0,398.0,398.0,172.0,30.0,'ANIMAL','0'
487.0,552.0,865.0,186.0,846.0,398.0,168.0,29.0,'HEALTH','0'
1352.0,552.0,117.0,865.0,846.0,398.0,103.0,40.0,'doing','0'
1469.0,552.0,57.0,117.0,846.0,398.0,45.0,21.0,'on','0'
1526.0,552.0,70.0,57.0,846.0,398.0,57.0,31.0,'the','0'
1596.0,552.0,168.0,70.0,846.0,398.0,153.0,40.0,'product.','0'
1764.0,552.0,84.0,168.0,846.0,398.0,71.0,32.0,'The','0'
1848.0,552.0,104.0,84.0,846.0,398.0,91.0,41.0,'early','0'
1952.0,552.0,152.0,104.0,846.0,398.0,138.0,22.0,'success','0'
2104.0,552.0,960.0,152.0,846.0,398.0,37.0,31.0,'of','0'
1145.0,595.0,205.0,960.0,846.0,846.0,115.0,26.0,'Annual','1'
1350.0,595.0,197.0,205.0,51.0,846.0,184.0,29.0,'Dectomax','0'
1547.0,595.0,48.0,197.0,51.0,846.0,36.0,29.0,'in','0'
1595.0,595.0,132.0,48.0,51.0,846.0,119.0,36.0,'Brazil,','0'
1727.0,595.0,70.0,132.0,51.0,846.0,57.0,32.0,'the','0'
1797.0,595.0,146.0,70.0,51.0,846.0,132.0,32.0,'world's','0'
1943.0,595.0,277.0,146.0,51.0,846.0,264.0,41.0,'second-largest','0'
2220.0,595.0,1113.0,277.0,51.0,846.0,63.0,26.0,'cat-','0'
1108.0,629.0,40.0,1113.0,51.0,51.0,26.0,25.0,'%','1'
1148.0,629.0,202.0,40.0,494.0,51.0,111.0,33.0,'Change','1'
1350.0,629.0,58.0,202.0,494.0,51.0,45.0,32.0,'tle','0'
1408.0,629.0,151.0,58.0,494.0,51.0,136.0,36.0,'market,','0'
1559.0,629.0,73.0,151.0,494.0,51.0,28.0,29.0,'is','0'
1632.0,629.0,206.0,73.0,494.0,51.0,194.0,42.0,'significant','0'
1838.0,629.0,180.0,206.0,494.0,51.0,166.0,32.0,'indicator','0'
2018.0,629.0,45.0,180.0,494.0,51.0,36.0,31.0,'of','0'
2063.0,629.0,54.0,45.0,494.0,51.0,40.0,29.0,'its','0'
2117.0,629.0,517.0,54.0,494.0,51.0,173.0,42.0,'potential.','0'
1601.0,655.0,1299.0,517.0,494.0,494.0,18.0,20.0,'a','0'
303.0,679.0,143.0,1299.0,1299.0,1299.0,132.0,30.0,'(millions','1'
446.0,679.0,36.0,143.0,1436.0,1299.0,30.0,33.0,'of','1'
482.0,679.0,226.0,36.0,1436.0,1299.0,112.0,31.0,'dollars)','1'
708.0,679.0,135.0,226.0,1436.0,1299.0,66.0,21.0,'1993','1'
843.0,679.0,112.0,135.0,1436.0,1299.0,68.0,22.0,'1992','1'
955.0,679.0,111.0,112.0,1436.0,1299.0,65.0,21.0,'1991','1'
1066.0,679.0,112.0,111.0,1436.0,1299.0,83.0,25.0,'93/92','1'
1178.0,679.0,224.0,112.0,1436.0,1299.0,80.0,26.0,'92/91','1'
1402.0,679.0,109.0,224.0,1436.0,1299.0,95.0,31.0,'Sales','0'
1511.0,679.0,46.0,109.0,1436.0,1299.0,37.0,31.0,'of','0'
1557.0,679.0,255.0,46.0,1436.0,1299.0,166.0,37.0,'Advocin,','0'
1812.0,679.0,317.0,255.0,1436.0,1299.0,303.0,41.0,'fluoroquinolone','0'
2129.0,679.0,392.0,317.0,1436.0,1299.0,149.0,32.0,'antibac-','0'
1738.0,701.0,1436.0,392.0,1436.0,1436.0,62.0,20.0,'our','0'
303.0,734.0,379.0,1436.0,1436.0,1436.0,74.0,26.0,'Sales','1'
682.0,734.0,131.0,379.0,43.0,1436.0,92.0,25.0,'$578.0','1'
813.0,734.0,113.0,131.0,43.0,1436.0,97.0,25.0,'$560.8','1'
926.0,734.0,187.0,113.0,43.0,1436.0,95.0,26.0,'$526.1','1'
1113.0,734.0,113.0,187.0,43.0,1436.0,66.0,26.0,'+3%','1'
1226.0,734.0,124.0,113.0,43.0,1436.0,65.0,26.0,'+7%','1'
1350.0,734.0,110.0,124.0,43.0,1436.0,95.0,31.0,'terial','0'
1460.0,734.0,63.0,110.0,43.0,1436.0,49.0,32.0,'for','0'
1523.0,734.0,188.0,63.0,43.0,1436.0,173.0,37.0,'livestock,','0'
