@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'Year','ended','December','31','1990','1989','1988','1987','1986','1985','1984','1983','$6,406.0','$5,671.5','$5,385.4','$4,919.8','$4,476.0','$4,024.5','$3,875.9','$3,764.7','2,259.4','2,062.3','2,020.1','1,896.9','1,720.4','1,545.7','1,528.4','1,548.2','2,452.7','2,109.8','1,880.9','1,681.1','1,465.3','1,313.2','1,252.6','1,227.0','640.1','531.2','472.5','401.0','335.5','286.7','254.8','229.5','1,053.8','968.2','1,011.9','940.8','954.8','878.9','840.1','760.0','61.2','78.8','99.4','60.1','47.1','30.7','2.2','(16.0)','(11.7)','(130.5)','(7.5)','9.9','(37.0)','(28.2)','(28.4)','(41.4)','49.5','(51.7)','91.9','70.0','10.1','2.5','(26.2)','(57.4)','1,103.3','916.5','1,103.8','1,010.8','964.9','881.4','813.9','702.6','297.9','231.3','309.4','317.3','300.7','296.4','296.2','248.4','4.2','4.1','3.1','3.3','5.3','6.3','5.8','801.2','681.1','791.3','690.2','660.0','579.7','511.4','448.4','-','_','$','27.0%','25.2%','28.0%','31.4%','31.2%','33.6%','36.4%','35.4%','64.8%','63.6%','62.5%','61.4%','61.6%','60.6%','58.9%','199.9','184.3','176.8','162.0','147.1','129.5','127.3','114.9','547.5','456.5','343.7','258.3','196.1','195.8','182.7','241.8','396.7','364.0','330.1','296.8','269.7','241.2','211.5','183.7','$1,319.0','$1,593.2','$1,750.5','$2,144.1','$1,728.8','$1,708.7','$1,363.9','$1,217.3','1,784.1','1,655.1','1,505.9','1,351.5','1,268.5','1,161.7','1,163.3','9,052.0','8,324.8','7,593.2','6,872.3','5,178.5','4,458.7','4,035.7','3,915.8','193.3','190.6','226.9','248.9','285.4','323.5','341.7','487.4','5,665.8','5,062.1','4,865.9','4,471.2','3,926.1','3,453.4','2,939.6','2,781.3','5,092.0','4,535.8','4,301.1','3,882.4','3,415.2','2,927.3','2,495.5','2,188.2','2.38','2.02','2.35','2.04','1.95','1.72','1.53','1.35','40.38','34.75','29.00','23.31','30.50','25.31','21.13','17.88','1.20','1.10','1.00','.90','.82','.74','.66','.58','15.42','13.72','13.00','11.80','10.35','8.93','7.65','6.76','337,152','339,392','338,848','341,126','341,592','341,112','339,288','337,110','42.5','42.1','40.9','40.7','40.0','39.2','151','135','132','121','112','103','99','92','53'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
1922.0,359.0,71.0,0.0,1766.0,0.0,62.0,24.0,'Year','0'
1993.0,359.0,101.0,71.0,1766.0,0.0,93.0,26.0,'ended','0'
2094.0,359.0,161.0,101.0,1766.0,0.0,152.0,26.0,'December','0'
2255.0,359.0,2099.0,161.0,1766.0,0.0,31.0,23.0,'31','0'
157.0,416.0,295.0,2099.0,1766.0,1766.0,70.0,22.0,'1990','1'
452.0,416.0,295.0,295.0,96.0,1766.0,69.0,22.0,'1989','1'
747.0,416.0,303.0,295.0,96.0,1766.0,69.0,23.0,'1988','1'
1050.0,416.0,286.0,303.0,96.0,1766.0,70.0,21.0,'1987','1'
1336.0,416.0,296.0,286.0,96.0,1766.0,70.0,23.0,'1986','1'
1632.0,416.0,294.0,296.0,96.0,1766.0,68.0,22.0,'1985','1'
1926.0,416.0,295.0,294.0,96.0,1766.0,68.0,22.0,'1984','1'
2221.0,416.0,2147.0,295.0,96.0,1766.0,69.0,23.0,'1983','1'
75.0,464.0,294.0,2147.0,96.0,96.0,150.0,32.0,'$6,406.0','1'
369.0,464.0,296.0,294.0,90.0,96.0,149.0,32.0,'$5,671.5','1'
665.0,464.0,303.0,296.0,90.0,96.0,148.0,33.0,'$5,385.4','1'
968.0,464.0,286.0,303.0,90.0,96.0,149.0,32.0,'$4,919.8','1'
1254.0,464.0,295.0,286.0,90.0,96.0,150.0,32.0,'$4,476.0','1'
1549.0,464.0,295.0,295.0,90.0,96.0,149.0,32.0,'$4,024.5','1'
1844.0,464.0,295.0,295.0,90.0,96.0,150.0,32.0,'$3,875.9','1'
2139.0,464.0,2043.0,295.0,90.0,96.0,149.0,33.0,'$3,764.7','1'
98.0,550.0,295.0,2043.0,90.0,90.0,127.0,31.0,'2,259.4','1'
393.0,550.0,295.0,295.0,41.0,90.0,126.0,30.0,'2,062.3','1'
688.0,550.0,304.0,295.0,41.0,90.0,125.0,30.0,'2,020.1','1'
992.0,550.0,286.0,304.0,41.0,90.0,125.0,30.0,'1,896.9','1'
1278.0,550.0,295.0,286.0,41.0,90.0,126.0,30.0,'1,720.4','1'
1573.0,550.0,295.0,295.0,41.0,90.0,126.0,30.0,'1,545.7','1'
1868.0,550.0,295.0,295.0,41.0,90.0,126.0,30.0,'1,528.4','1'
2163.0,550.0,2066.0,295.0,41.0,90.0,125.0,30.0,'1,548.2','1'
98.0,591.0,295.0,2066.0,41.0,41.0,127.0,31.0,'2,452.7','1'
393.0,591.0,295.0,295.0,53.0,41.0,126.0,30.0,'2,109.8','1'
688.0,591.0,303.0,295.0,53.0,41.0,126.0,31.0,'1,880.9','1'
991.0,591.0,287.0,303.0,53.0,41.0,124.0,31.0,'1,681.1','1'
1278.0,591.0,295.0,287.0,53.0,41.0,125.0,31.0,'1,465.3','1'
1573.0,591.0,295.0,295.0,53.0,41.0,125.0,31.0,'1,313.2','1'
1868.0,591.0,295.0,295.0,53.0,41.0,126.0,31.0,'1,252.6','1'
2163.0,591.0,2034.0,295.0,53.0,41.0,126.0,31.0,'1,227.0','1'
130.0,633.0,296.0,2034.0,53.0,53.0,94.0,27.0,'640.1','1'
426.0,633.0,293.0,296.0,101.0,53.0,94.0,26.0,'531.2','1'
719.0,633.0,303.0,293.0,101.0,53.0,95.0,26.0,'472.5','1'
1022.0,633.0,289.0,303.0,101.0,53.0,95.0,26.0,'401.0','1'
1311.0,633.0,295.0,289.0,101.0,53.0,92.0,26.0,'335.5','1'
1606.0,633.0,294.0,295.0,101.0,53.0,93.0,26.0,'286.7','1'
1900.0,633.0,296.0,294.0,101.0,53.0,94.0,26.0,'254.8','1'
2196.0,633.0,2100.0,296.0,101.0,53.0,92.0,26.0,'229.5','1'
99.0,729.0,326.0,2100.0,101.0,101.0,126.0,31.0,'1,053.8','1'
425.0,729.0,264.0,326.0,74.0,101.0,94.0,26.0,'968.2','1'
689.0,729.0,335.0,264.0,74.0,101.0,126.0,30.0,'1,011.9','1'
1024.0,729.0,286.0,335.0,74.0,101.0,94.0,26.0,'940.8','1'
1310.0,729.0,295.0,286.0,74.0,101.0,94.0,26.0,'954.8','1'
1605.0,729.0,295.0,295.0,74.0,101.0,95.0,26.0,'878.9','1'
1900.0,729.0,297.0,295.0,74.0,101.0,93.0,26.0,'840.1','1'
2197.0,729.0,2045.0,297.0,74.0,101.0,93.0,26.0,'760.0','1'
153.0,779.0,297.0,2045.0,74.0,74.0,72.0,26.0,'61.2','1'
450.0,779.0,293.0,297.0,44.0,74.0,71.0,26.0,'78.8','1'
743.0,779.0,303.0,293.0,44.0,74.0,72.0,26.0,'99.4','1'
1046.0,779.0,286.0,303.0,44.0,74.0,70.0,26.0,'60.1','1'
1332.0,779.0,297.0,286.0,44.0,74.0,71.0,26.0,'47.1','1'
1629.0,779.0,316.0,297.0,44.0,74.0,71.0,26.0,'30.7','1'
1945.0,779.0,260.0,316.0,44.0,74.0,49.0,26.0,'2.2','1'
2205.0,779.0,2065.0,260.0,44.0,74.0,98.0,36.0,'(16.0)','1'
141.0,821.0,273.0,2065.0,44.0,44.0,98.0,36.0,'(11.7)','1'
414.0,821.0,338.0,273.0,56.0,44.0,119.0,36.0,'(130.5)','1'
752.0,821.0,316.0,338.0,56.0,44.0,76.0,35.0,'(7.5)','1'
1068.0,821.0,252.0,316.0,56.0,44.0,50.0,26.0,'9.9','1'
1320.0,821.0,296.0,252.0,56.0,44.0,98.0,35.0,'(37.0)','1'
1616.0,821.0,294.0,296.0,56.0,44.0,97.0,36.0,'(28.2)','1'
1910.0,821.0,295.0,294.0,56.0,44.0,97.0,36.0,'(28.4)','1'
2205.0,821.0,2054.0,295.0,56.0,44.0,98.0,36.0,'(41.4)','1'
152.0,875.0,283.0,2054.0,56.0,56.0,73.0,26.0,'49.5','1'
435.0,875.0,308.0,283.0,113.0,56.0,98.0,36.0,'(51.7)','1'
743.0,875.0,304.0,308.0,113.0,56.0,72.0,26.0,'91.9','1'
1047.0,875.0,287.0,304.0,113.0,56.0,71.0,26.0,'70.0','1'
1334.0,875.0,316.0,287.0,113.0,56.0,70.0,25.0,'10.1','1'
1650.0,875.0,260.0,316.0,113.0,56.0,49.0,26.0,'2.5','1'
1910.0,875.0,295.0,260.0,113.0,56.0,98.0,36.0,'(26.2)','1'
2205.0,875.0,2108.0,295.0,113.0,56.0,97.0,36.0,'(57.4)','1'
100.0,975.0,327.0,2108.0,113.0,113.0,125.0,31.0,'1,103.3','1'
427.0,975.0,263.0,327.0,54.0,113.0,93.0,26.0,'916.5','1'
690.0,975.0,303.0,263.0,54.0,113.0,125.0,30.0,'1,103.8','1'
993.0,975.0,318.0,303.0,54.0,113.0,125.0,30.0,'1,010.8','1'
1311.0,975.0,295.0,318.0,54.0,113.0,94.0,26.0,'964.9','1'
1606.0,975.0,295.0,295.0,54.0,113.0,94.0,26.0,'881.4','1'
1901.0,975.0,296.0,295.0,54.0,113.0,94.0,26.0,'813.9','1'
2197.0,975.0,2065.0,296.0,54.0,113.0,93.0,26.0,'702.6','1'
133.0,1017.0,294.0,2065.0,54.0,54.0,94.0,26.0,'297.9','1'
427.0,1017.0,295.0,294.0,59.0,54.0,93.0,25.0,'231.3','1'
722.0,1017.0,303.0,295.0,59.0,54.0,94.0,26.0,'309.4','1'
1025.0,1017.0,287.0,303.0,59.0,54.0,93.0,25.0,'317.3','1'
1312.0,1017.0,295.0,287.0,59.0,54.0,93.0,26.0,'300.7','1'
1607.0,1017.0,295.0,295.0,59.0,54.0,94.0,27.0,'296.4','1'
1902.0,1017.0,295.0,295.0,59.0,54.0,93.0,26.0,'296.2','1'
2197.0,1017.0,2023.0,295.0,59.0,54.0,93.0,26.0,'248.4','1'
175.0,1058.0,295.0,2023.0,59.0,59.0,51.0,25.0,'4.2','1'
470.0,1058.0,296.0,295.0,70.0,59.0,50.0,25.0,'4.1','1'
766.0,1058.0,303.0,296.0,70.0,59.0,48.0,26.0,'3.1','1'
1069.0,1058.0,285.0,303.0,70.0,59.0,49.0,26.0,'3.3','1'
1354.0,1058.0,297.0,285.0,70.0,59.0,51.0,26.0,'4.2','1'
1651.0,1058.0,294.0,297.0,70.0,59.0,49.0,26.0,'5.3','1'
1945.0,1058.0,295.0,294.0,70.0,59.0,49.0,26.0,'6.3','1'
2240.0,1058.0,2109.0,295.0,70.0,59.0,51.0,26.0,'5.8','1'
132.0,1113.0,295.0,2109.0,70.0,70.0,94.0,27.0,'801.2','1'
427.0,1113.0,296.0,295.0,650.0,70.0,92.0,26.0,'681.1','1'
723.0,1113.0,301.0,296.0,650.0,70.0,91.0,26.0,'791.3','1'
1024.0,1113.0,287.0,301.0,650.0,70.0,94.0,26.0,'690.2','1'
1311.0,1113.0,296.0,287.0,650.0,70.0,95.0,27.0,'660.0','1'
1607.0,1113.0,295.0,296.0,650.0,70.0,93.0,26.0,'579.7','1'
1902.0,1113.0,293.0,295.0,650.0,70.0,93.0,26.0,'511.4','1'
2195.0,1113.0,1418.0,293.0,650.0,70.0,95.0,26.0,'448.4','1'
779.0,1168.0,590.0,1418.0,650.0,650.0,40.0,3.0,'-','1'
1369.0,1168.0,295.0,590.0,703.0,650.0,40.0,4.0,'-','1'
1664.0,1168.0,590.0,295.0,703.0,650.0,39.0,4.0,'-','1'
2254.0,1168.0,2177.0,590.0,703.0,650.0,40.0,4.0,'_','1'
78.0,1206.0,54.0,2177.0,703.0,703.0,19.0,32.0,'$','1'
132.0,1206.0,241.0,54.0,66.0,703.0,94.0,27.0,'801.2','1'
373.0,1206.0,54.0,241.0,66.0,703.0,19.0,31.0,'$','1'
427.0,1206.0,241.0,54.0,66.0,703.0,93.0,26.0,'681.1','1'
668.0,1206.0,55.0,241.0,66.0,703.0,18.0,31.0,'$','1'
723.0,1206.0,248.0,55.0,66.0,703.0,92.0,26.0,'791.3','1'
971.0,1206.0,54.0,248.0,66.0,703.0,18.0,31.0,'$','1'
1025.0,1206.0,233.0,54.0,66.0,703.0,93.0,26.0,'690.2','1'
1258.0,1206.0,54.0,233.0,66.0,703.0,18.0,31.0,'$','1'
1312.0,1206.0,241.0,54.0,66.0,703.0,94.0,26.0,'660.0','1'
1553.0,1206.0,54.0,241.0,66.0,703.0,18.0,32.0,'$','1'
1607.0,1206.0,241.0,54.0,66.0,703.0,94.0,26.0,'579.7','1'
1848.0,1206.0,54.0,241.0,66.0,703.0,18.0,32.0,'$','1'
1902.0,1206.0,240.0,54.0,66.0,703.0,94.0,26.0,'511.4','1'
2142.0,1206.0,54.0,240.0,66.0,703.0,19.0,32.0,'$','1'
2196.0,1206.0,2081.0,54.0,66.0,703.0,95.0,26.0,'448.4','1'
116.0,1259.0,295.0,2081.0,66.0,66.0,109.0,33.0,'27.0%','1'
411.0,1259.0,294.0,295.0,43.0,66.0,109.0,33.0,'25.2%','1'
705.0,1259.0,304.0,294.0,43.0,66.0,109.0,32.0,'28.0%','1'
1009.0,1259.0,286.0,304.0,43.0,66.0,109.0,32.0,'31.4%','1'
1295.0,1259.0,295.0,286.0,43.0,66.0,109.0,32.0,'31.2%','1'
1590.0,1259.0,295.0,295.0,43.0,66.0,109.0,33.0,'33.6%','1'
1885.0,1259.0,295.0,295.0,43.0,66.0,109.0,32.0,'36.4%','1'
2180.0,1259.0,2066.0,295.0,43.0,66.0,109.0,32.0,'35.4%','1'
115.0,1301.0,295.0,2066.0,43.0,43.0,110.0,32.0,'64.8%','1'
410.0,1301.0,295.0,295.0,57.0,43.0,110.0,33.0,'63.6%','1'
705.0,1301.0,303.0,295.0,57.0,43.0,109.0,32.0,'62.5%','1'
1008.0,1301.0,287.0,303.0,57.0,43.0,109.0,32.0,'61.4%','1'
1295.0,1301.0,295.0,287.0,57.0,43.0,109.0,32.0,'61.6%','1'
1590.0,1301.0,295.0,295.0,57.0,43.0,109.0,32.0,'61.6%','1'
1885.0,1301.0,295.0,295.0,57.0,43.0,109.0,32.0,'60.6%','1'
2180.0,1301.0,2102.0,295.0,57.0,43.0,109.0,32.0,'58.9%','1'
79.0,1344.0,55.0,2102.0,57.0,57.0,18.0,32.0,'$','1'
134.0,1344.0,239.0,55.0,71.0,57.0,94.0,26.0,'199.9','1'
373.0,1344.0,56.0,239.0,71.0,57.0,19.0,32.0,'$','1'
429.0,1344.0,240.0,56.0,71.0,57.0,92.0,26.0,'184.3','1'
669.0,1344.0,55.0,240.0,71.0,57.0,18.0,32.0,'$','1'
724.0,1344.0,248.0,55.0,71.0,57.0,92.0,26.0,'176.8','1'
972.0,1344.0,55.0,248.0,71.0,57.0,18.0,31.0,'$','1'
1027.0,1344.0,231.0,55.0,71.0,57.0,93.0,26.0,'162.0','1'
1258.0,1344.0,55.0,231.0,71.0,57.0,18.0,31.0,'$','1'
1313.0,1344.0,240.0,55.0,71.0,57.0,92.0,26.0,'147.1','1'
1553.0,1344.0,55.0,240.0,71.0,57.0,18.0,31.0,'$','1'
1608.0,1344.0,240.0,55.0,71.0,57.0,93.0,26.0,'129.5','1'
1848.0,1344.0,55.0,240.0,71.0,57.0,18.0,32.0,'$','1'
1903.0,1344.0,240.0,55.0,71.0,57.0,92.0,26.0,'127.3','1'
2143.0,1344.0,55.0,240.0,71.0,57.0,18.0,32.0,'$','1'
2198.0,1344.0,2065.0,55.0,71.0,57.0,94.0,26.0,'114.9','1'
134.0,1388.0,293.0,2065.0,71.0,71.0,93.0,26.0,'547.5','1'
427.0,1388.0,296.0,293.0,42.0,71.0,95.0,26.0,'456.5','1'
723.0,1388.0,303.0,296.0,42.0,71.0,93.0,26.0,'343.7','1'
1026.0,1388.0,287.0,303.0,42.0,71.0,93.0,25.0,'258.3','1'
1313.0,1388.0,295.0,287.0,42.0,71.0,92.0,26.0,'196.1','1'
1608.0,1388.0,295.0,295.0,42.0,71.0,94.0,26.0,'195.8','1'
1903.0,1388.0,295.0,295.0,42.0,71.0,93.0,25.0,'182.7','1'
2198.0,1388.0,2065.0,295.0,42.0,71.0,94.0,26.0,'241.8','1'
134.0,1430.0,295.0,2065.0,42.0,42.0,94.0,27.0,'396.7','1'
