@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'RALSTON','PURINA','COMPANY','AND','SUBSIDIARIES','NOTES','TO','RNANCIAL','STATEMENTS','(Continued)','(Dollars','in','millions','except','per','share','data)','Notes','payable','include','borrowings','highly','inflationary','economies.','The','real','effective','cost','of','local','currency','borrowing','these','economies','is','expected','to','be','substantially','less','due','devaluation','the','applicable','currencies','against','U.S.','dollar.','On','September','30,','1994,','total','unused','lines','credit','were','$132.5.','Long-Term','Debt','detail','long-term','debt','as','30','follows:','1994','1993','Debentures','91/2%','2016','$','86.4','143.8','93/8%','46.7','112.0','91/4%','2009','181.0','200.0','9.30%','2021','85/8%','2022','250.0','81/8%','2023','175.0','Other','ESOP','guarantee','260.2','309.5','Medium-term','Notes,','7.75%','10.18%','84.5','121.0','123/4%','Swiss','Franc','Bonds','1994(a)','50.1','113/4%','1995','123.3','132.3','9%','1996','12%','38.8','Capitalized','lease','obligations,','4%','111/8%','6.0','13.0','Industrial','revenue','bonds,','TA%','49.5','68.8','131.2','138.6','1,882.7','2,152.9','Less','current','portion','(288.1)','(98.4)','$1,594.6','$2,054.5','(a)','Represents','equivalent','principal','amount','and','approximate','interest','rate','53/8%','under','related','exchange','arrangements.','Aggregate','maturities','on','all','debt,','exclusive','debentures','held','treasury,','are','$290.5,','$58.5,','$18.5','$12.2','for','years','ending','through','1999,','respectively.','These','aggregate','do','not','future','guarantee.','To','fund','its','purchase','Company's','preferred','stock,','Trust','Company-sponsored','borrowed','$500.0','ten-year','8.25%','notes','(ESOP','loan).','loan','unconditionally','guaranteed','by','Company','included','consolidated','balance','sheet','along','with','a','corresponding','unearned','compensation.','Both','compensation','will','reduced','employee','employer','contributions','used','reduce','outstanding','loan.','During','1993,','incurred','$24.5','$28.4,','respectively,','expense','104'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
826.0,181.0,211.0,0.0,140.0,0.0,185.0,38.0,'RALSTON','0'
1037.0,181.0,178.0,211.0,140.0,0.0,154.0,39.0,'PURINA','0'
1215.0,181.0,230.0,178.0,140.0,0.0,209.0,39.0,'COMPANY','0'
1445.0,181.0,114.0,230.0,140.0,0.0,90.0,38.0,'AND','0'
1559.0,181.0,643.0,114.0,140.0,0.0,284.0,39.0,'SUBSIDIARIES','0'
924.0,280.0,128.0,643.0,140.0,140.0,111.0,33.0,'NOTES','0'
1052.0,280.0,65.0,128.0,150.0,140.0,45.0,33.0,'TO','0'
1117.0,280.0,199.0,65.0,150.0,140.0,181.0,32.0,'RNANCIAL','0'
1316.0,280.0,247.0,199.0,150.0,140.0,228.0,32.0,'STATEMENTS','0'
1563.0,280.0,506.0,247.0,150.0,140.0,183.0,37.0,'(Continued)','0'
1061.0,339.0,111.0,506.0,150.0,150.0,101.0,30.0,'(Dollars','0'
1172.0,339.0,32.0,111.0,654.0,150.0,22.0,25.0,'in','0'
1204.0,339.0,112.0,32.0,654.0,150.0,102.0,25.0,'millions','0'
1316.0,339.0,97.0,112.0,654.0,150.0,88.0,28.0,'except','0'
1413.0,339.0,50.0,97.0,654.0,150.0,41.0,25.0,'per','0'
1463.0,339.0,81.0,50.0,654.0,150.0,70.0,26.0,'share','0'
1544.0,339.0,1135.0,81.0,654.0,150.0,63.0,29.0,'data)','0'
413.0,422.0,106.0,1135.0,654.0,654.0,91.0,31.0,'Notes','0'
519.0,422.0,137.0,106.0,97.0,654.0,122.0,38.0,'payable','0'
656.0,422.0,127.0,137.0,97.0,654.0,112.0,31.0,'include','0'
783.0,422.0,192.0,127.0,97.0,654.0,178.0,38.0,'borrowings','0'
975.0,422.0,39.0,192.0,97.0,654.0,24.0,30.0,'in','0'
1014.0,422.0,105.0,39.0,97.0,654.0,92.0,38.0,'highly','0'
1119.0,422.0,189.0,105.0,97.0,654.0,176.0,38.0,'inflationary','0'
1308.0,422.0,193.0,189.0,97.0,654.0,180.0,31.0,'economies.','0'
1501.0,422.0,73.0,193.0,97.0,654.0,58.0,32.0,'The','0'
