@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'Cash','Flow','Information','(Millions','of','Dollars)','Fuels','Lubricants','Wholesale','Branded','Related','International','Canada','For','the','Year','Ended','December','31,','1993','Marketing','Lubes','Chemicals','Logistics','Production','(Sumer)*','Corporate*"','Cobsolitiated','flows','from','operating','activities:','Income','(loss)','$(49)','$','92','$50','$(32)','$13','$56','73','33','52','$288','Noncash','items','included','in','income','80','95','7','22','4','64','178','(138)','312','Net','cash','provided','by','activities','before','working','capital','changes','31','$187','$57','$(10)','$60','$137','$211','(86)','600','Changes','pertaining','to','(187)','413','investing','Capital','expenditures','(612)','operations','held','for','sale','154','Proceeds','divestments','370','Other','(26)','used','(114)','financing','debt','repayments','net','borrowings','(176)','dividend','payments','(192)','8','(360)','Decrease','and','equivalents','(61)','Canadian','corporate','overhead','expenses.','**Includes','leasing','operations,','coal','real','estate','impact','provision','write-down','assets','other','matters.','Also','includes','a','gain','on','divestment','exploration','production','properties','cumulative','effect','change','accounting','principle.','(See','Notes','2','Ole','consolidated','financial','statements.)','Market','Sun','Company,','Inc.','Stock','Security','Holder','Matters','The','Company's','common','stock','is','principally','traded','Company','had','approximately','59,000','holders','New','York','Exchange,','under','symbol','record','as','January','1994.','Its','market','price','range,','reported','has','paid','dividends','regular','Exchange','Composite','Transactions','quotations,','was','quarterly','1992','1993,','basis','many','years.','During','follows:','$1.80','share','($.45','each','per','quarter)','were','stock.','High','Low','Management','expects','continue','sustain','current','dividend.','ist','Quarter','301/4','241/2','2nd','27%','22%','3rd','28%','231/8','4th','321/4','281/2','303/4','263/4','291/2','25','261/2','241/8','221/2','77'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
180.0,254.0,109.0,0.0,50.0,0.0,93.0,31.0,'Cash','0'
289.0,254.0,111.0,109.0,50.0,0.0,96.0,30.0,'Flow','0'
400.0,254.0,227.0,111.0,50.0,0.0,243.0,30.0,'Information','0'
179.0,303.0,106.0,227.0,50.0,50.0,96.0,27.0,'(Millions','0'
285.0,303.0,30.0,106.0,717.0,50.0,21.0,23.0,'of','0'
315.0,303.0,581.0,30.0,717.0,50.0,83.0,27.0,'Dollars)','0'
895.0,335.0,289.0,581.0,717.0,717.0,53.0,23.0,'Fuels','0'
1184.0,335.0,399.0,289.0,116.0,717.0,106.0,23.0,'Lubricants','0'
788.0,379.0,176.0,399.0,116.0,116.0,111.0,22.0,'Wholesale','0'
964.0,379.0,305.0,176.0,610.0,116.0,84.0,22.0,'Branded','0'
1269.0,379.0,396.0,305.0,610.0,116.0,78.0,22.0,'Related','0'
1665.0,379.0,188.0,396.0,610.0,116.0,130.0,23.0,'International','0'
1853.0,379.0,1675.0,188.0,610.0,116.0,77.0,22.0,'Canada','0'
179.0,411.0,41.0,1675.0,610.0,610.0,33.0,23.0,'For','0'
220.0,411.0,43.0,41.0,108.0,610.0,34.0,23.0,'the','0'
263.0,411.0,58.0,43.0,108.0,610.0,49.0,23.0,'Year','0'
321.0,411.0,77.0,58.0,108.0,610.0,66.0,24.0,'Ended','0'
398.0,411.0,119.0,77.0,108.0,610.0,111.0,23.0,'December','0'
517.0,411.0,44.0,119.0,108.0,610.0,33.0,25.0,'31,','0'
561.0,411.0,286.0,44.0,108.0,610.0,51.0,23.0,'1993','0'
847.0,411.0,96.0,286.0,108.0,610.0,53.0,22.0,'Fuels','0'
943.0,411.0,196.0,96.0,108.0,610.0,105.0,27.0,'Marketing','0'
1139.0,411.0,156.0,196.0,108.0,610.0,59.0,21.0,'Lubes','0'
1295.0,411.0,96.0,156.0,108.0,610.0,53.0,22.0,'Fuels','0'
1391.0,411.0,166.0,96.0,108.0,610.0,106.0,23.0,'Chemicals','0'
1557.0,411.0,130.0,166.0,108.0,610.0,90.0,27.0,'Logistics','0'
1687.0,411.0,162.0,130.0,108.0,610.0,109.0,22.0,'Production','0'
1849.0,411.0,119.0,162.0,108.0,610.0,95.0,25.0,'(Sumer)*','0'
1968.0,411.0,142.0,119.0,108.0,610.0,126.0,27.0,'Corporate*"','0'
2110.0,411.0,1932.0,142.0,108.0,610.0,135.0,23.0,'Cobsolitiated','0'
181.0,518.0,76.0,1932.0,108.0,108.0,64.0,29.0,'Cash','0'
257.0,518.0,84.0,76.0,57.0,108.0,73.0,28.0,'flows','0'
341.0,518.0,73.0,84.0,57.0,108.0,61.0,28.0,'from','0'
414.0,518.0,140.0,73.0,57.0,108.0,128.0,36.0,'operating','0'
554.0,518.0,337.0,140.0,57.0,108.0,129.0,28.0,'activities:','0'
220.0,559.0,106.0,337.0,57.0,57.0,95.0,28.0,'Income','0'
326.0,559.0,514.0,106.0,49.0,57.0,70.0,34.0,'(loss)','0'
840.0,559.0,141.0,514.0,49.0,57.0,72.0,34.0,'$(49)','0'
981.0,559.0,36.0,141.0,49.0,57.0,16.0,33.0,'$','0'
1017.0,559.0,132.0,36.0,49.0,57.0,32.0,27.0,'92','0'
1149.0,559.0,139.0,132.0,49.0,57.0,50.0,31.0,'$50','0'
1288.0,559.0,160.0,139.0,49.0,57.0,73.0,35.0,'$(32)','0'
1448.0,559.0,150.0,160.0,49.0,57.0,50.0,32.0,'$13','0'
1598.0,559.0,133.0,150.0,49.0,57.0,50.0,34.0,'$56','0'
1731.0,559.0,36.0,133.0,49.0,57.0,17.0,32.0,'$','0'
1767.0,559.0,97.0,36.0,49.0,57.0,30.0,28.0,'73','0'
1864.0,559.0,33.0,97.0,49.0,57.0,16.0,33.0,'$','0'
1897.0,559.0,104.0,33.0,49.0,57.0,33.0,27.0,'33','0'
2001.0,559.0,46.0,104.0,49.0,57.0,16.0,33.0,'$','0'
2047.0,559.0,110.0,46.0,49.0,57.0,32.0,27.0,'52','0'
2157.0,559.0,1938.0,110.0,49.0,57.0,72.0,32.0,'$288','0'
220.0,608.0,129.0,1938.0,49.0,49.0,116.0,29.0,'Noncash','0'
349.0,608.0,86.0,129.0,76.0,49.0,72.0,28.0,'items','0'
435.0,608.0,124.0,86.0,76.0,49.0,111.0,29.0,'included','0'
559.0,608.0,35.0,124.0,76.0,49.0,21.0,27.0,'in','0'
594.0,608.0,106.0,35.0,76.0,49.0,94.0,28.0,'income','0'
700.0,608.0,168.0,106.0,76.0,49.0,69.0,34.0,'(loss)','0'
868.0,608.0,150.0,168.0,76.0,49.0,33.0,27.0,'80','0'
1018.0,608.0,166.0,150.0,76.0,49.0,32.0,28.0,'95','0'
1184.0,608.0,132.0,166.0,76.0,49.0,15.0,27.0,'7','0'
1316.0,608.0,317.0,132.0,76.0,49.0,33.0,27.0,'22','0'
1633.0,608.0,132.0,317.0,76.0,49.0,15.0,26.0,'4','0'
1765.0,608.0,117.0,132.0,76.0,49.0,33.0,27.0,'64','0'
1882.0,608.0,138.0,117.0,76.0,49.0,48.0,28.0,'178','0'
2020.0,608.0,160.0,138.0,76.0,49.0,74.0,33.0,'(138)','0'
2180.0,608.0,2001.0,160.0,76.0,49.0,49.0,28.0,'312','0'
181.0,673.0,59.0,2001.0,76.0,76.0,49.0,28.0,'Net','0'
