@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'Statements','TRW','Inc.','and','subsidiaries','of','Cash','Flows','In','millions','Years','ended','December','31','1993','1992','1991','Operating','activities','Net','earnings(loss)','$','195','(156)','(140)','Adjustments','to','reconcile','net','cash','provided','by','operating','activities:','Cumulative','effect','accounting','changes,','taxes','25','350','Depreciation','amortization','458','481','469','Restructuring','(61)','(96)','227','Deferred','income','49','5','27','Other-net','12','47','Changes','in','assets','liabilities,','effects','businesses','acquired','or','sold:','Accounts','receivable','(46)','(104)','(56)','Inventories','prepaid','expenses','(5)','22','payable','other','accruals','(107)','30','(30)','(42)','(14)','490','644','612','Investing','Capital','expenditures','(482)','(530)','(537)','Proceeds','from','divestitures','97','371','52','Investments','(51)','(62)','(95)','sales','property,','plant','equipment','24','11','51','(11)','(25)','used','investing','(423)','(199)','(554)','Financing','Increase(decrease)','short-term','debt','104','(229)','69','excess','90','days','255','198','462','Principal','payments','on','(344)','(351)','(495)','Dividends','paid','(120)','(114)','(111)','33','18','4','financing','(72)','(478)','(71)','Effect','exchange','rate','changes','16','equivalents','13','(9)','3','at','beginning','year','66','75','72','end','79','See','notes','financial','statements.','26'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
202.0,397.0,359.0,0.0,66.0,0.0,238.0,32.0,'Statements','0'
561.0,397.0,70.0,359.0,66.0,0.0,60.0,25.0,'TRW','0'
631.0,397.0,50.0,70.0,66.0,0.0,39.0,26.0,'Inc.','0'
681.0,397.0,54.0,50.0,66.0,0.0,43.0,26.0,'and','0'
735.0,397.0,535.0,54.0,66.0,0.0,147.0,25.0,'subsidiaries','0'
204.0,462.0,57.0,535.0,66.0,66.0,48.0,44.0,'of','0'
261.0,462.0,119.0,57.0,364.0,66.0,104.0,32.0,'Cash','0'
380.0,462.0,182.0,119.0,364.0,66.0,123.0,33.0,'Flows','0'
562.0,462.0,30.0,182.0,364.0,66.0,20.0,25.0,'In','1'
592.0,462.0,70.0,30.0,364.0,66.0,96.0,26.0,'millions','1'
562.0,525.0,77.0,70.0,364.0,364.0,67.0,26.0,'Years','1'
639.0,525.0,85.0,77.0,112.0,364.0,73.0,26.0,'ended','1'
724.0,525.0,132.0,85.0,112.0,364.0,123.0,25.0,'December','1'
856.0,525.0,656.0,132.0,112.0,364.0,24.0,25.0,'31','1'
1512.0,525.0,359.0,656.0,112.0,364.0,58.0,25.0,'1993','1'
1871.0,525.0,359.0,359.0,112.0,364.0,57.0,25.0,'1992','1'
2230.0,525.0,1671.0,359.0,112.0,364.0,52.0,25.0,'1991','1'
563.0,636.0,162.0,1671.0,112.0,112.0,150.0,37.0,'Operating','1'
725.0,636.0,153.0,162.0,51.0,112.0,143.0,28.0,'activities','1'
580.0,684.0,59.0,153.0,51.0,51.0,49.0,29.0,'Net','1'
639.0,684.0,841.0,59.0,50.0,51.0,190.0,36.0,'earnings(loss)','1'
1480.0,684.0,42.0,841.0,50.0,51.0,17.0,32.0,'$','1'
1522.0,684.0,322.0,42.0,50.0,51.0,47.0,28.0,'195','1'
1844.0,684.0,26.0,322.0,50.0,51.0,15.0,33.0,'$','1'
1870.0,684.0,333.0,26.0,50.0,51.0,66.0,34.0,'(156)','1'
2203.0,684.0,25.0,333.0,50.0,51.0,15.0,33.0,'$','1'
2228.0,684.0,1651.0,25.0,50.0,51.0,67.0,34.0,'(140)','1'
578.0,733.0,184.0,1651.0,50.0,50.0,173.0,36.0,'Adjustments','1'
762.0,733.0,38.0,184.0,53.0,50.0,26.0,25.0,'to','1'
800.0,733.0,135.0,38.0,53.0,50.0,123.0,29.0,'reconcile','1'
935.0,733.0,53.0,135.0,53.0,50.0,42.0,24.0,'net','1'
988.0,733.0,200.0,53.0,53.0,50.0,190.0,36.0,'earnings(loss)','1'
1188.0,733.0,595.0,200.0,53.0,50.0,26.0,25.0,'to','1'
596.0,782.0,53.0,595.0,53.0,53.0,43.0,24.0,'net','1'
649.0,782.0,74.0,53.0,52.0,53.0,61.0,29.0,'cash','1'
723.0,782.0,128.0,74.0,52.0,53.0,116.0,35.0,'provided','1'
851.0,782.0,41.0,128.0,52.0,53.0,30.0,36.0,'by','1'
892.0,782.0,140.0,41.0,52.0,53.0,129.0,35.0,'operating','1'
1032.0,782.0,422.0,140.0,52.0,53.0,131.0,28.0,'activities:','1'
613.0,831.0,165.0,422.0,52.0,52.0,153.0,29.0,'Cumulative','1'
778.0,831.0,90.0,165.0,49.0,52.0,79.0,29.0,'effect','1'
868.0,831.0,36.0,90.0,49.0,52.0,26.0,29.0,'of','1'
904.0,831.0,160.0,36.0,49.0,52.0,148.0,35.0,'accounting','1'
1064.0,831.0,134.0,160.0,49.0,52.0,121.0,35.0,'changes,','1'
1198.0,831.0,53.0,134.0,49.0,52.0,42.0,24.0,'net','1'
1251.0,831.0,35.0,53.0,49.0,52.0,26.0,30.0,'of','1'
1286.0,831.0,251.0,35.0,49.0,52.0,73.0,25.0,'taxes','1'
1537.0,831.0,341.0,251.0,49.0,52.0,31.0,29.0,'25','1'
1878.0,831.0,390.0,341.0,49.0,52.0,49.0,28.0,'350','1'
2268.0,831.0,1655.0,390.0,49.0,52.0,19.0,3.0,?,'1'
614.0,879.0,185.0,1655.0,49.0,49.0,173.0,37.0,'Depreciation','1'
799.0,879.0,60.0,185.0,50.0,49.0,48.0,28.0,'and','1'
859.0,879.0,660.0,60.0,50.0,49.0,170.0,29.0,'amortization','1'
1519.0,879.0,359.0,660.0,50.0,49.0,49.0,28.0,'458','1'
1878.0,879.0,359.0,359.0,50.0,49.0,44.0,28.0,'481','1'
2237.0,879.0,1625.0,359.0,50.0,49.0,49.0,28.0,'469','1'
613.0,928.0,913.0,1625.0,50.0,50.0,183.0,36.0,'Restructuring','1'
1526.0,928.0,360.0,913.0,50.0,50.0,53.0,34.0,'(61)','1'
1886.0,928.0,351.0,360.0,50.0,50.0,50.0,34.0,'(96)','1'
2237.0,928.0,1624.0,351.0,50.0,50.0,48.0,27.0,'227','1'
614.0,977.0,130.0,1624.0,50.0,50.0,117.0,29.0,'Deferred','1'
744.0,977.0,107.0,130.0,50.0,50.0,97.0,29.0,'income','1'
851.0,977.0,685.0,107.0,50.0,50.0,73.0,25.0,'taxes','1'
1536.0,977.0,377.0,685.0,50.0,50.0,32.0,28.0,'49','1'
1913.0,977.0,341.0,377.0,50.0,50.0,14.0,27.0,'5','1'
2254.0,977.0,1642.0,341.0,50.0,50.0,31.0,28.0,'27','1'
613.0,1026.0,925.0,1642.0,50.0,50.0,129.0,29.0,'Other-net','1'
1538.0,1026.0,357.0,925.0,59.0,50.0,30.0,27.0,'12','1'
1895.0,1026.0,359.0,357.0,59.0,50.0,32.0,28.0,'25','1'
2254.0,1026.0,1676.0,359.0,59.0,50.0,31.0,27.0,'47','1'
579.0,1074.0,130.0,1676.0,59.0,59.0,117.0,36.0,'Changes','1'
709.0,1074.0,32.0,130.0,52.0,59.0,20.0,28.0,'in','1'
741.0,1074.0,99.0,32.0,52.0,59.0,88.0,25.0,'assets','1'
840.0,1074.0,61.0,99.0,52.0,59.0,48.0,28.0,'and','1'
901.0,1074.0,145.0,61.0,52.0,59.0,132.0,32.0,'liabilities,','1'
1046.0,1074.0,53.0,145.0,52.0,59.0,42.0,25.0,'net','1'
1099.0,1074.0,506.0,53.0,52.0,59.0,26.0,29.0,'of','1'
596.0,1123.0,105.0,506.0,52.0,52.0,93.0,28.0,'effects','1'
701.0,1123.0,37.0,105.0,52.0,52.0,26.0,28.0,'of','1'
738.0,1123.0,162.0,37.0,52.0,52.0,150.0,29.0,'businesses','1'
900.0,1123.0,129.0,162.0,52.0,52.0,116.0,35.0,'acquired','1'
1029.0,1123.0,36.0,129.0,52.0,52.0,26.0,20.0,'or','1'
1065.0,1123.0,456.0,36.0,52.0,52.0,62.0,28.0,'sold:','1'
612.0,1172.0,139.0,456.0,52.0,52.0,126.0,28.0,'Accounts','1'
751.0,1172.0,776.0,139.0,50.0,52.0,140.0,29.0,'receivable','1'
1527.0,1172.0,343.0,776.0,50.0,52.0,52.0,33.0,'(46)','1'
