@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'Statements','of','TRW','Inc.','and','subsidiaries','Changes','in','In','millions','Shareholders'','Years','ended','December','31','1993','1992','1991','Investment','Shares','Dollars','Serial','Preference','Stock','II','Series','1','Balance','at','January','.1','$','3','Converted','into','common','stock','Common','62.9','39','61.6','38','60.8','Sale','other','1.2','1.3','.8','64.1','40','Other','capital','222','184','185','71','(1)','293','Retained','earnings','1,105','1,377','1,628','Net','earnings(loss)','195','(156)','(140)','Dividends','declared','($1.88,','$1.84','$1.80','per','share)','(120)','(115)','(110)','1,178','Cumulative','translation','adjustments','53','98','Translation','(17)','(45)','36','Treasury','shares-cost','excess','par','value','(4)','(13)','(43)','ESOP','Funding','12','26','Purchase','shares','(10)','(6)','Sold','under','options','5','(14)','Total','shareholders'','investment','1,534','1,416','1,685','See','notes','to','financial','statements.','27'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
136.0,394.0,254.0,0.0,68.0,0.0,238.0,32.0,'Statements','0'
390.0,394.0,106.0,254.0,68.0,0.0,49.0,44.0,'of','0'
496.0,394.0,70.0,106.0,68.0,0.0,60.0,25.0,'TRW','0'
566.0,394.0,51.0,70.0,68.0,0.0,39.0,25.0,'Inc.','0'
617.0,394.0,53.0,51.0,68.0,0.0,42.0,25.0,'and','0'
670.0,394.0,539.0,53.0,68.0,0.0,148.0,26.0,'subsidiaries','0'
136.0,462.0,200.0,539.0,68.0,68.0,183.0,43.0,'Changes','0'
336.0,462.0,161.0,200.0,56.0,68.0,42.0,31.0,'in','0'
497.0,462.0,30.0,161.0,56.0,68.0,20.0,26.0,'In','1'
527.0,462.0,395.0,30.0,56.0,68.0,96.0,25.0,'millions','1'
136.0,518.0,359.0,395.0,56.0,56.0,296.0,34.0,'Shareholders'','0'
495.0,518.0,78.0,359.0,61.0,56.0,68.0,26.0,'Years','1'
573.0,518.0,85.0,78.0,61.0,56.0,74.0,25.0,'ended','1'
658.0,518.0,132.0,85.0,61.0,56.0,124.0,26.0,'December','1'
790.0,518.0,590.0,132.0,61.0,56.0,25.0,26.0,'31','1'
1380.0,518.0,355.0,590.0,61.0,56.0,58.0,25.0,'1993','1'
1735.0,518.0,339.0,355.0,61.0,56.0,58.0,25.0,'1992','1'
2074.0,518.0,1941.0,339.0,61.0,56.0,54.0,25.0,'1991','1'
134.0,578.0,1138.0,1941.0,61.0,61.0,246.0,32.0,'Investment','0'
1272.0,578.0,180.0,1138.0,370.0,61.0,94.0,26.0,'Shares','1'
1452.0,578.0,178.0,180.0,370.0,61.0,94.0,25.0,'Dollars','1'
1630.0,578.0,181.0,178.0,370.0,61.0,82.0,26.0,'Shares','1'
1811.0,578.0,156.0,181.0,370.0,61.0,85.0,26.0,'Dollars','1'
1967.0,578.0,176.0,156.0,370.0,61.0,83.0,26.0,'Shares','1'
2143.0,578.0,1648.0,176.0,370.0,61.0,84.0,25.0,'Dollars','1'
497.0,646.0,104.0,1648.0,370.0,370.0,90.0,28.0,'Serial','1'
601.0,646.0,181.0,104.0,50.0,370.0,169.0,29.0,'Preference','1'
782.0,646.0,99.0,181.0,50.0,370.0,88.0,29.0,'Stock','1'
881.0,646.0,387.0,99.0,50.0,370.0,18.0,28.0,'II','1'
498.0,695.0,98.0,387.0,50.0,50.0,84.0,29.0,'Series','1'
596.0,695.0,109.0,98.0,46.0,50.0,7.0,27.0,'1','1'
498.0,741.0,119.0,109.0,46.0,46.0,107.0,29.0,'Balance','1'
617.0,741.0,36.0,119.0,68.0,46.0,26.0,25.0,'at','1'
653.0,741.0,122.0,36.0,68.0,46.0,110.0,36.0,'January','1'
775.0,741.0,24.0,122.0,68.0,46.0,9.0,27.0,'1','1'
799.0,741.0,61.0,24.0,68.0,46.0,48.0,29.0,'and','1'
860.0,741.0,149.0,61.0,68.0,46.0,139.0,29.0,'December','1'
1009.0,741.0,340.0,149.0,68.0,46.0,27.0,28.0,'31','1'
1349.0,741.0,93.0,340.0,68.0,46.0,17.0,27.0,'.1','1'
1442.0,741.0,82.0,93.0,68.0,46.0,17.0,31.0,'$','1'
