@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'Revenues','Operating','Profits','(Losses)','Profit','Margin','In','Millions','of','Dollars','1994','1993','1992','1992*','Otis','$4,644','$4,418','$4,512','$421','$377','$346','9.1%','8.5%','7.7%','Carrier','4,919','4,480','4,328','278','226','183','5.7%','5.0%','4.2%','Automotive','2,683','2,378','2,370','182','148','135','6.8%','6.2%','Pratt','&','Whitney','5,846','6,317','7,393','380','186','(212)','6.5%','2.9%','(2.9)%','Flight','Systems','3,218','3,555','3,546','282','355','272','8.8%','10.0%',''Operating','profits','(losses)','for','conform','to','the','current','basis','presentation','general','corporate','expenses.','See','Note','15','Notes','Financial','Statements','operating','presented','on','former','basis.','Segment','Review','offsetting','increases','were','higher','launch','costs','in','support','Compared','new','model','awards','North','America.','segment','revenues','increased','$226','million','(5%)','decreased','$471','over','1993.','Increased','Asia','Pacific','and','America','(8%).','During','1994,','shipments','commercial','engines','partially','offset','by','slightly','lower','Europe','Latin','sales','government','spare','parts','than','those','previ-','Revenue','particularly','signifi-','ous','year.','These','reductions','during','cant','part','from','investment','made','airline','military','engine','ship-','People's','Republic','China','earlier','year','which','allowed','ments.','Also,','results','included','resulting','full','consolidation.','While','equipment','volumes','negatively','renegotiation','certain','aircraft','leases.','affected','America,','reduction','was','$194','service','revenues.','The','impact','transla-','(104%)','Despite','revenue,','tion','foreign','currency','into','U.S.','dollars','a','negative','Pratt's','profit','as','result','benefits','contin-','$19','1994.','uing','cost','programs,','research','development','$44','spending','driven','certification','schedules','com-','(12%),','improving','all','regions','with','exception','Amer-','mercial','sales.','manufacturing','ica.','Increases','resulted','primarily','consolida-','estimates','contracts','second','quar-','PRC','operations','growth','Asian','market.','ter,','principally','related','initial','production','European','improved','due','volumes.','PW4084','engine,','these','improvements.','addition,','$439','(10%)','recorded','approximately','$50','charges','at','Transicold','quarter','volume','down-','geographic','except','where','lower.','Rev-','sizing','actions.','enue','strong','reflecting','$337','significant','increases.','Excluding','gain','translation','not','sale','equity','share','holdings','Westland','Group','plc,','seg-','ment','$424','(12%)','$52','international','helicopter','(23%)','Sikorsky,','continuing','aero-','Carrier's','business.','Operations','space','Hamilton','Standard,','absence','Norden','also','showed','continued','strength','accounted','approxi-','after','its','May','mately','15%','last','three','years.','$73','(21%)','$305','(13%)','West-','American','industry','land','$160','market','penetration.','(45%)','$34','associated','introduction','products','increase','is','attributable','aerospace','results.','rationalize','Europe.','Partially','Standard','$35','downsizing','20'}
@ATTRIBUTE 'table' {'1','0'}

@DATA
864.0,94.0,523.0,0.0,777.0,0.0,147.0,29.0,'Revenues','1'
1387.0,94.0,176.0,523.0,777.0,0.0,163.0,39.0,'Operating','1'
1563.0,94.0,114.0,176.0,777.0,0.0,99.0,30.0,'Profits','1'
1677.0,94.0,342.0,114.0,777.0,0.0,120.0,35.0,'(Losses)','1'
2019.0,94.0,175.0,342.0,777.0,0.0,162.0,40.0,'Operating','1'
2194.0,94.0,100.0,175.0,777.0,0.0,87.0,31.0,'Profit','1'
2294.0,94.0,2205.0,100.0,777.0,0.0,115.0,39.0,'Margin','1'
90.0,153.0,33.0,2205.0,777.0,777.0,23.0,20.0,'In','1'
123.0,153.0,105.0,33.0,66.0,777.0,95.0,22.0,'Millions','1'
228.0,153.0,32.0,105.0,66.0,777.0,26.0,22.0,'of','1'
260.0,153.0,465.0,32.0,66.0,777.0,81.0,22.0,'Dollars','1'
725.0,153.0,203.0,465.0,66.0,777.0,81.0,28.0,'1994','1'
928.0,153.0,164.0,203.0,66.0,777.0,73.0,29.0,'1993','1'
1092.0,153.0,278.0,164.0,66.0,777.0,74.0,29.0,'1992','1'
1370.0,153.0,208.0,278.0,66.0,777.0,81.0,28.0,'1994','1'
1578.0,153.0,159.0,208.0,66.0,777.0,74.0,29.0,'1993','1'
1737.0,153.0,264.0,159.0,66.0,777.0,89.0,30.0,'1992*','1'
2001.0,153.0,188.0,264.0,66.0,777.0,80.0,28.0,'1994','1'
2189.0,153.0,166.0,188.0,66.0,777.0,74.0,29.0,'1993','1'
2355.0,153.0,2265.0,166.0,66.0,777.0,74.0,29.0,'1992','1'
91.0,218.0,599.0,2265.0,66.0,66.0,67.0,29.0,'Otis','1'
690.0,218.0,203.0,599.0,59.0,66.0,116.0,33.0,'$4,644','1'
893.0,218.0,162.0,203.0,59.0,66.0,109.0,35.0,'$4,418','1'
1055.0,218.0,310.0,162.0,59.0,66.0,110.0,34.0,'$4,512','1'
1365.0,218.0,205.0,310.0,59.0,66.0,79.0,30.0,'$421','1'
1570.0,218.0,162.0,205.0,59.0,66.0,80.0,34.0,'$377','1'
1732.0,218.0,264.0,162.0,59.0,66.0,79.0,34.0,'$346','1'
1996.0,218.0,183.0,264.0,59.0,66.0,85.0,30.0,'9.1%','1'
2179.0,218.0,166.0,183.0,59.0,66.0,83.0,31.0,'8.5%','1'
2345.0,218.0,2255.0,166.0,59.0,66.0,87.0,29.0,'7.7%','1'
91.0,277.0,623.0,2255.0,59.0,59.0,112.0,29.0,'Carrier','1'
714.0,277.0,198.0,623.0,59.0,59.0,91.0,33.0,'4,919','1'
912.0,277.0,163.0,198.0,59.0,59.0,91.0,34.0,'4,480','1'
1075.0,277.0,311.0,163.0,59.0,59.0,89.0,34.0,'4,328','1'
1386.0,277.0,204.0,311.0,59.0,59.0,62.0,28.0,'278','1'
