@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'1994','*.','1993','*','1992','1991','1990','1989',',*','1988','1987','1986','1985','1984','Oni1/4,n)','dollar)','except','bare','data)','Key','Ratios','Operating','profit','margin','4.9%','6.4%','6.6%','5.8%','5.3%','5.9%','7.1%','8.1%','8.44','9.0','4,','Pre-tax','(3)','3.6%','5.0%','5.1%','4.5%','3.3%','8.2%','9.1%','10.2','Net','(4)','2.0%','3.1%','2.8%','2.5%','1A%','3.0%','4.4%','.','Return','on','average','stockholders'','equity','(5)','9.4%','14.2%','13.1%','11.6%','13.7%','12.3%','14.1%','15.8%','18.3','total','assets','(6)','4.0%','2.9%','1.4%','6.2%','8.0%','10.64','Current','to','current','liabilities','1.0','0.9','1.1','1.3','-','1.4','1.6','1.8','1.9','Total','debt-appliance','business','as','a','percent','of','invested','capital','(7)','34.4%','31.6%','41.7%','46.1%',''37.6%','39.2%','20.5%','19.3%','2.8"'o','9.7','Price','earnings','ratio','23.9','20.8','15.4','15.9','22.6','12.2','18.2','9.1','12.5','9.9','Fixed','charge','coverage','(8)','3.0','3.2','2.6','2.3','2.7','3.5','5.4','7.7','10.7','11.9','Other','Data','Number','common','shares','outstanding','(in','thousands):','Average','75,490','72,272','70,558','69,528','69,443','69,338','69,262','71,732','73,831','73,285','73,171','Year-end','73,845','73,068','70,027','69,640','69,465','69,382','69,289','69,232','74,128','73,325','73,234','shareholders','(year-end)','11,821','11,438','11,724','12,032','12,542','12,454','12,521','12,128','11,297','11,668','8,912','employees','39,016'','39,590','38,520','37,886','36,157','39,411','29,110','30,301','30,520','25,573','22,757','return','(five','year','annualized)','(9)','12.0%','25.8%','17.0%','6.7%','11.3%','26.8%','26.6%','26.6','(1)','Accounting','changes:','for','postretirement','benefits','other','than','pensions,','income','taxes','and','1986-','pensions.','(2)','The','Company's','kitchen','cabinet','was','discontinued','in','1988.','Earnings','from','continuing','operations','before','items,','revenue.','accounting','change,','change','divided','by','equity.','plus','minority','interest,','assets.','Cash,','debt,','interests','Ratio','(before','taxes,','interest','expense)','expense.','Stock','appreciation','reinvested','dividends.'}
@ATTRIBUTE 'table' {'1','0'}

@DATA
1023.0,419.0,123.0,0.0,758.0,0.0,73.0,17.0,'1994','1'
1146.0,419.0,62.0,123.0,758.0,0.0,24.0,15.0,'*.','1'
1208.0,419.0,125.0,62.0,758.0,0.0,74.0,16.0,'1993','1'
1333.0,419.0,64.0,125.0,758.0,0.0,15.0,15.0,'*','1'
1397.0,419.0,124.0,64.0,758.0,0.0,74.0,17.0,'1992','1'
1521.0,419.0,64.0,124.0,758.0,0.0,15.0,15.0,'*','1'
1585.0,419.0,123.0,64.0,758.0,0.0,69.0,17.0,'1991','1'
1708.0,419.0,66.0,123.0,758.0,0.0,14.0,14.0,'*','1'
1774.0,419.0,122.0,66.0,758.0,0.0,75.0,16.0,'1990','1'
1896.0,419.0,65.0,122.0,758.0,0.0,16.0,14.0,'*','1'
1961.0,419.0,114.0,65.0,758.0,0.0,74.0,16.0,'1989','1'
2075.0,419.0,75.0,114.0,758.0,0.0,24.0,14.0,',*','1'
2150.0,419.0,120.0,75.0,758.0,0.0,74.0,17.0,'1988','1'
2270.0,419.0,64.0,120.0,758.0,0.0,16.0,14.0,'*','1'
2334.0,419.0,127.0,64.0,758.0,0.0,73.0,16.0,'1987','1'
2461.0,419.0,65.0,127.0,758.0,0.0,14.0,14.0,'*','1'
2526.0,419.0,122.0,65.0,758.0,0.0,74.0,16.0,'1986','1'
2648.0,419.0,63.0,122.0,758.0,0.0,14.0,15.0,'*','1'
2711.0,419.0,190.0,63.0,758.0,0.0,74.0,15.0,'1985','1'
2901.0,419.0,2635.0,190.0,758.0,0.0,72.0,15.0,'1984','1'
267.0,460.0,133.0,2635.0,758.0,758.0,97.0,25.0,'Oni1/4,n)','1'
400.0,460.0,82.0,133.0,72.0,758.0,73.0,22.0,'dollar)','1'
482.0,460.0,73.0,82.0,72.0,758.0,67.0,22.0,'except','1'
555.0,460.0,68.0,73.0,72.0,758.0,60.0,21.0,'bare','1'
623.0,460.0,361.0,68.0,72.0,758.0,58.0,25.0,'data)','1'
270.0,531.0,79.0,361.0,72.0,72.0,66.0,36.0,'Key','1'
349.0,531.0,93.0,79.0,48.0,72.0,106.0,27.0,'Ratios','1'
269.0,578.0,178.0,93.0,48.0,48.0,167.0,36.0,'Operating','1'
447.0,578.0,103.0,178.0,52.0,48.0,90.0,39.0,'profit','1'
550.0,578.0,487.0,103.0,52.0,48.0,112.0,36.0,'margin','1'
1037.0,578.0,190.0,487.0,52.0,48.0,81.0,28.0,'4.9%','1'
