@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'TABLE','LXVIII','THERMODYNAMIC','DATA','FOR','ZEOLITES','AG','Experimental','AG,','(kcal/mole)','f','b','d','Robie','and','Mineral','TGa','Modified','Nriagu','Chenc','SUPCRT','Waldbaum','Analcime','Na[A1Si2061.H20','-747.3','-741.0','-732.5','-734.9','-738.1','-734.3','Wairakite','Ca[Al2','Si','0',']','.2H','-1502.0','-1479.0','-1474.0','-1477.8','4','12','2','Laumonite','-4H','-1620.4','-1597.4','-1586.6','-1591.1','-1597.0','Clinoptilolite','Ca[Al2Si.100241.81120','-3084.8','-3061.8','-3047.8','-3045.8','Mg[Al2Si10024].81120','-3061.5','-3051.2','-3035.7','-3024.5','Na2[Al2S110024]','-8H20','-3077.4','-3064.8','-3038.8','-3040.2','K','[Al2','-8H','-3090.0','-3062.8','-3065.8','10','24','Heulandite','Ca[Al2Si7018]','-61120','-2352.6','-2329.6','-2317.2','-2318.4','Mordenite','Na[A1S15','-3H','-1479.5','-1473.2','-1463.1','-1463.2','KfA1Si5012).3H20','-1485.8','-1475.1','-1476.2','aRef.','91.','Ref.','90.','c','82.','87.','e','88.'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
1584.0,359.0,115.0,0.0,201.0,0.0,92.0,25.0,'TABLE','0'
1699.0,359.0,314.0,115.0,201.0,0.0,109.0,24.0,'LXVIII','0'
1391.0,415.0,269.0,314.0,201.0,201.0,247.0,25.0,'THERMODYNAMIC','0'
1660.0,415.0,95.0,269.0,200.0,201.0,75.0,25.0,'DATA','0'
1755.0,415.0,78.0,95.0,200.0,201.0,56.0,24.0,'FOR','0'
1833.0,415.0,258.0,78.0,200.0,201.0,149.0,23.0,'ZEOLITES','0'
1582.0,472.0,708.0,258.0,200.0,200.0,54.0,25.0,'AG','1'
2290.0,472.0,248.0,708.0,57.0,200.0,225.0,30.0,'Experimental','1'
2538.0,472.0,1009.0,248.0,57.0,200.0,75.0,34.0,'AG,','1'
1530.0,493.0,113.0,1009.0,57.0,57.0,200.0,31.0,'(kcal/mole)','1'
1643.0,493.0,729.0,113.0,842.0,57.0,14.0,23.0,'f','1'
2371.0,513.0,523.0,729.0,842.0,842.0,201.0,31.0,'(kcal/mole)','1'
1850.0,554.0,518.0,523.0,523.0,523.0,16.0,23.0,'b','1'
2368.0,554.0,113.0,518.0,1091.0,523.0,15.0,22.0,'d','1'
2481.0,554.0,115.0,113.0,1091.0,523.0,93.0,24.0,'Robie','1'
2596.0,554.0,1837.0,115.0,1091.0,523.0,54.0,24.0,'and','1'
760.0,575.0,440.0,1837.0,1091.0,1091.0,130.0,25.0,'Mineral','1'
1200.0,575.0,190.0,440.0,150.0,1091.0,54.0,36.0,'TGa','1'
1390.0,575.0,174.0,190.0,150.0,1091.0,152.0,24.0,'Modified','1'
1564.0,575.0,171.0,174.0,150.0,1091.0,53.0,35.0,'TGa','1'
1735.0,575.0,269.0,171.0,150.0,1091.0,113.0,30.0,'Nriagu','1'
2004.0,575.0,249.0,269.0,150.0,1091.0,91.0,36.0,'Chenc','1'
2253.0,575.0,246.0,249.0,150.0,1091.0,111.0,24.0,'SUPCRT','1'
2499.0,575.0,1875.0,246.0,150.0,1091.0,152.0,24.0,'Waldbaum','1'
626.0,641.0,80.0,1875.0,150.0,150.0,151.0,24.0,'Analcime','1'
683.0,696.0,500.0,80.0,80.0,80.0,286.0,47.0,'Na[A1Si2061.H20','1'
1183.0,696.0,268.0,500.0,98.0,80.0,110.0,26.0,'-747.3','1'
1451.0,696.0,287.0,268.0,98.0,80.0,110.0,26.0,'-741.0','1'
1738.0,696.0,268.0,287.0,98.0,80.0,109.0,24.0,'-732.5','1'
2006.0,696.0,267.0,268.0,98.0,80.0,109.0,25.0,'-734.9','1'
2273.0,696.0,249.0,267.0,98.0,80.0,108.0,24.0,'-738.1','1'
2522.0,696.0,1898.0,249.0,98.0,80.0,109.0,26.0,'-734.3','1'
626.0,775.0,82.0,1898.0,98.0,98.0,169.0,24.0,'Wairakite','1'
685.0,831.0,114.0,82.0,82.0,82.0,111.0,44.0,'Ca[Al2','1'
799.0,831.0,56.0,114.0,155.0,82.0,34.0,23.0,'Si','1'
855.0,831.0,63.0,56.0,155.0,82.0,18.0,24.0,'0','1'
918.0,831.0,20.0,63.0,155.0,82.0,7.0,30.0,']','1'
938.0,831.0,71.0,20.0,155.0,82.0,51.0,23.0,'.2H','1'
1009.0,831.0,155.0,71.0,155.0,82.0,18.0,22.0,'0','1'
1164.0,831.0,267.0,155.0,155.0,82.0,129.0,24.0,'-1502.0','1'
1431.0,831.0,288.0,267.0,155.0,82.0,130.0,25.0,'-1479.0','1'
1719.0,831.0,267.0,288.0,155.0,82.0,129.0,24.0,'-1474.0','1'
1986.0,831.0,268.0,267.0,155.0,82.0,129.0,26.0,'-1477.8','1'
2254.0,831.0,1417.0,268.0,155.0,82.0,128.0,26.0,'-1477.8','1'
838.0,852.0,40.0,1417.0,155.0,155.0,16.0,25.0,'4','1'
878.0,852.0,113.0,40.0,219.0,155.0,33.0,24.0,'12','1'
991.0,852.0,369.0,113.0,219.0,155.0,15.0,24.0,'2','1'
627.0,909.0,80.0,369.0,219.0,219.0,169.0,24.0,'Laumonite','1'
685.0,964.0,115.0,80.0,80.0,80.0,111.0,46.0,'Ca[Al2','1'
800.0,964.0,56.0,115.0,155.0,80.0,34.0,24.0,'Si','1'
856.0,964.0,62.0,56.0,155.0,80.0,17.0,24.0,'0','1'
918.0,964.0,20.0,62.0,155.0,80.0,7.0,32.0,']','1'
938.0,964.0,71.0,20.0,155.0,80.0,50.0,24.0,'-4H','1'
1009.0,964.0,155.0,71.0,155.0,80.0,17.0,24.0,'0','1'
1164.0,964.0,267.0,155.0,155.0,80.0,130.0,26.0,'-1620.4','1'
1431.0,964.0,288.0,267.0,155.0,80.0,130.0,26.0,'-1597.4','1'
1719.0,964.0,267.0,288.0,155.0,80.0,128.0,25.0,'-1586.6','1'
1986.0,964.0,268.0,267.0,155.0,80.0,128.0,24.0,'-1591.1','1'
2254.0,964.0,1417.0,268.0,155.0,80.0,128.0,24.0,'-1597.0','1'
838.0,985.0,41.0,1417.0,155.0,155.0,16.0,25.0,'4','1'
879.0,985.0,113.0,41.0,219.0,155.0,31.0,24.0,'12','1'
992.0,985.0,370.0,113.0,219.0,155.0,14.0,23.0,'2','1'
627.0,1043.0,80.0,370.0,219.0,219.0,265.0,30.0,'Clinoptilolite','1'
685.0,1097.0,479.0,80.0,80.0,80.0,361.0,48.0,'Ca[Al2Si.100241.81120','1'
1164.0,1097.0,268.0,479.0,59.0,80.0,130.0,26.0,'-3084.8','1'
1432.0,1097.0,287.0,268.0,59.0,80.0,130.0,26.0,'-3061.8','1'
1719.0,1097.0,267.0,287.0,59.0,80.0,129.0,26.0,'-3047.8','1'
1986.0,1097.0,1304.0,267.0,59.0,80.0,130.0,26.0,'-3045.8','1'
684.0,1155.0,480.0,1304.0,59.0,59.0,362.0,47.0,'Mg[Al2Si10024].81120','1'
1164.0,1155.0,268.0,480.0,57.0,59.0,128.0,27.0,'-3061.5','1'
1432.0,1155.0,287.0,268.0,57.0,59.0,129.0,25.0,'-3051.2','1'
1719.0,1155.0,268.0,287.0,57.0,59.0,127.0,25.0,'-3035.7','1'
1987.0,1155.0,1305.0,268.0,57.0,59.0,127.0,26.0,'-3024.5','1'
684.0,1212.0,293.0,1305.0,57.0,57.0,280.0,47.0,'Na2[Al2S110024]','1'
977.0,1212.0,187.0,293.0,58.0,57.0,88.0,43.0,'-8H20','1'
1164.0,1212.0,268.0,187.0,58.0,57.0,130.0,26.0,'-3077.4','1'
1432.0,1212.0,287.0,268.0,58.0,57.0,129.0,26.0,'-3064.8','1'
1719.0,1212.0,268.0,287.0,58.0,57.0,129.0,25.0,'-3038.8','1'
1987.0,1212.0,1306.0,268.0,58.0,57.0,128.0,26.0,'-3040.2','1'
683.0,1269.0,45.0,1306.0,58.0,58.0,19.0,24.0,'K','1'
728.0,1269.0,71.0,45.0,31.0,58.0,68.0,45.0,'[Al2','1'
799.0,1269.0,75.0,71.0,31.0,58.0,35.0,24.0,'Si','1'
874.0,1269.0,62.0,75.0,31.0,58.0,18.0,24.0,'0','1'
936.0,1269.0,21.0,62.0,31.0,58.0,8.0,31.0,']','1'
957.0,1269.0,70.0,21.0,31.0,58.0,50.0,25.0,'-8H','1'
1027.0,1269.0,136.0,70.0,31.0,58.0,18.0,24.0,'0','1'
1163.0,1269.0,268.0,136.0,31.0,58.0,130.0,24.0,'-3090.0','1'
1431.0,1269.0,287.0,268.0,31.0,58.0,130.0,25.0,'-3090.0','1'
1718.0,1269.0,268.0,287.0,31.0,58.0,129.0,25.0,'-3062.8','1'
1986.0,1269.0,1283.0,268.0,31.0,58.0,129.0,26.0,'-3065.8','1'
704.0,1291.0,136.0,1283.0,31.0,31.0,15.0,24.0,'2','1'
840.0,1291.0,55.0,136.0,97.0,31.0,32.0,24.0,'10','1'
895.0,1291.0,115.0,55.0,97.0,31.0,35.0,24.0,'24','1'
