@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'THE','CHEMICAL','ENVIRONMENT','OF','PITCHBLENDE','543','SUMMARY','There','are','five','uranium','complex','ions','which','conceivably','might','occur','in','natural','solutions','of','pH','7','and','at','25','C.','They','listed','below','order','decreasing','stability.','Uranium','aqueous','Solubility','C','1.','Uranyl','carbonate','(UO2(CO3)3)-4','above','10-2','M','2.','pyrophosphate','(UO2P207)-2','3.','fluoride','(UO2F6)-4','6.5','X','10-'','4.','Uranous','hydroxide','(UO(OH)+'','3.0','5.','(UO20H)+1','2','10-5','At','elevated','temperatures','these','become','less','stable','the','solubility','is','changed.','215','near','a','7.','2.1','1.5','10-4','9.5','10-6','unknown','uranyl','carbonate,','hydroxide,','pyro-','phosphate','will','react','with','sulfide','to','precipitate','pitchblende','has','very','small','crystallite','size.','The','concentration','solution','when','either','or','reacts','ion','than','M.','reaction','been','only','qualitatively','investigated.','tetrafluoride,','UF4.','UF4','no','effect','on','IV','other','assist','keeping','it','its','reduced','state.','ion,','however,','pitchblende.','It','temperature','fluoride,','sulfide,','sulfite,','hy-','drogen','gas','large','M,','an','inert','H2S','atmosphere','water','Foreign','cations','known','form','precipitates.','also','change','chemical','solutions,','properties'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
444.0,209.0,99.0,0.0,430.0,0.0,79.0,27.0,'THE','0'
543.0,209.0,225.0,99.0,430.0,0.0,207.0,29.0,'CHEMICAL','0'
768.0,209.0,323.0,225.0,430.0,0.0,305.0,29.0,'ENVIRONMENT','0'
1091.0,209.0,68.0,323.0,430.0,0.0,50.0,28.0,'OF','0'
1159.0,209.0,427.0,68.0,430.0,0.0,284.0,28.0,'PITCHBLENDE','0'
1586.0,209.0,733.0,427.0,430.0,0.0,61.0,32.0,'543','0'
861.0,311.0,556.0,733.0,430.0,430.0,169.0,23.0,'SUMMARY','0'
309.0,372.0,126.0,556.0,556.0,556.0,110.0,32.0,'There','0'
435.0,372.0,72.0,126.0,76.0,556.0,56.0,20.0,'are','0'
507.0,372.0,82.0,72.0,76.0,556.0,65.0,31.0,'five','0'
589.0,372.0,171.0,82.0,76.0,556.0,153.0,32.0,'uranium','0'
760.0,372.0,167.0,171.0,76.0,556.0,150.0,41.0,'complex','0'
927.0,372.0,88.0,167.0,76.0,556.0,72.0,31.0,'ions','0'
1015.0,372.0,124.0,88.0,76.0,556.0,106.0,32.0,'which','0'
1139.0,372.0,235.0,124.0,76.0,556.0,216.0,40.0,'conceivably','0'
1374.0,372.0,125.0,235.0,76.0,556.0,107.0,39.0,'might','0'
1499.0,372.0,116.0,125.0,76.0,556.0,99.0,22.0,'occur','0'
1615.0,372.0,1367.0,116.0,76.0,556.0,31.0,31.0,'in','0'
249.0,418.0,147.0,1367.0,76.0,76.0,129.0,31.0,'natural','0'
396.0,418.0,177.0,147.0,49.0,76.0,161.0,32.0,'solutions','0'
573.0,418.0,51.0,177.0,49.0,76.0,35.0,32.0,'of','0'
624.0,418.0,76.0,51.0,49.0,76.0,55.0,40.0,'pH','0'
700.0,418.0,34.0,76.0,49.0,76.0,15.0,31.0,'7','0'
734.0,418.0,82.0,34.0,49.0,76.0,64.0,32.0,'and','0'
816.0,418.0,53.0,82.0,49.0,76.0,36.0,26.0,'at','0'
869.0,418.0,74.0,53.0,49.0,76.0,57.0,33.0,'25','0'
943.0,418.0,83.0,74.0,49.0,76.0,37.0,31.0,'C.','0'
1026.0,418.0,113.0,83.0,49.0,76.0,96.0,39.0,'They','0'
1139.0,418.0,72.0,113.0,49.0,76.0,54.0,21.0,'are','0'
1211.0,418.0,114.0,72.0,49.0,76.0,95.0,31.0,'listed','0'
1325.0,418.0,121.0,114.0,49.0,76.0,103.0,31.0,'below','0'
1446.0,418.0,52.0,121.0,49.0,76.0,32.0,30.0,'in','0'
1498.0,418.0,115.0,52.0,49.0,76.0,97.0,31.0,'order','0'
1613.0,418.0,1367.0,115.0,49.0,76.0,34.0,31.0,'of','0'
247.0,466.0,205.0,1367.0,49.0,49.0,190.0,39.0,'decreasing','0'
452.0,466.0,123.0,205.0,151.0,49.0,161.0,39.0,'stability.','0'
368.0,555.0,176.0,123.0,151.0,151.0,160.0,32.0,'Uranium','0'
544.0,555.0,87.0,176.0,66.0,151.0,72.0,32.0,'ions','0'
631.0,555.0,51.0,87.0,66.0,151.0,38.0,32.0,'in','0'
682.0,555.0,155.0,51.0,66.0,151.0,140.0,30.0,'aqueous','0'
837.0,555.0,284.0,155.0,66.0,151.0,154.0,32.0,'solutions','0'
1121.0,555.0,187.0,284.0,66.0,151.0,172.0,38.0,'Solubility','0'
1308.0,555.0,48.0,187.0,66.0,151.0,32.0,27.0,'at','0'
1356.0,555.0,78.0,48.0,66.0,151.0,60.0,32.0,'25','0'
1434.0,555.0,39.0,78.0,66.0,151.0,27.0,31.0,'C','0'
1473.0,555.0,81.0,39.0,66.0,151.0,67.0,30.0,'and','0'
1554.0,555.0,75.0,81.0,66.0,151.0,62.0,39.0,'pH','0'
1629.0,555.0,1243.0,75.0,66.0,151.0,19.0,31.0,'7','0'
388.0,617.0,52.0,1243.0,66.0,66.0,26.0,30.0,'1.','0'
440.0,617.0,143.0,52.0,47.0,66.0,126.0,38.0,'Uranyl','0'
583.0,617.0,202.0,143.0,47.0,66.0,180.0,32.0,'carbonate','0'
785.0,617.0,472.0,202.0,47.0,66.0,263.0,39.0,'(UO2(CO3)3)-4','0'
1257.0,617.0,126.0,472.0,47.0,66.0,107.0,32.0,'above','0'
1383.0,617.0,88.0,126.0,47.0,66.0,71.0,30.0,'10-2','0'
1471.0,617.0,1087.0,88.0,47.0,66.0,36.0,31.0,'M','0'
385.0,663.0,54.0,1087.0,47.0,47.0,28.0,30.0,'2.','0'
439.0,663.0,144.0,54.0,46.0,47.0,126.0,38.0,'Uranyl','0'
583.0,663.0,293.0,144.0,46.0,47.0,272.0,40.0,'pyrophosphate','0'
876.0,663.0,379.0,293.0,46.0,47.0,225.0,39.0,'(UO2P207)-2','0'
1255.0,663.0,128.0,379.0,46.0,47.0,108.0,32.0,'above','0'
1383.0,663.0,88.0,128.0,46.0,47.0,71.0,29.0,'10-2','0'
1471.0,663.0,1087.0,88.0,46.0,47.0,36.0,31.0,'M','0'
385.0,709.0,55.0,1087.0,46.0,46.0,29.0,30.0,'3.','0'
440.0,709.0,143.0,55.0,46.0,46.0,126.0,38.0,'Uranyl','0'
583.0,709.0,159.0,143.0,46.0,46.0,137.0,32.0,'fluoride','0'
742.0,709.0,516.0,159.0,46.0,46.0,178.0,38.0,'(UO2F6)-4','0'
1258.0,709.0,72.0,516.0,46.0,46.0,50.0,31.0,'6.5','0'
1330.0,709.0,51.0,72.0,46.0,46.0,29.0,30.0,'X','0'
1381.0,709.0,88.0,51.0,46.0,46.0,71.0,29.0,'10-'','0'
1469.0,709.0,1087.0,88.0,46.0,46.0,37.0,31.0,'M','0'
383.0,754.0,57.0,1087.0,46.0,46.0,30.0,30.0,'4.','0'
440.0,754.0,168.0,57.0,47.0,46.0,153.0,31.0,'Uranous','0'
608.0,754.0,204.0,168.0,47.0,46.0,183.0,40.0,'hydroxide','0'
812.0,754.0,444.0,204.0,47.0,46.0,209.0,40.0,'(UO(OH)+'','0'
1256.0,754.0,73.0,444.0,47.0,46.0,52.0,30.0,'3.0','0'
1329.0,754.0,51.0,73.0,47.0,46.0,29.0,30.0,'X','0'
1380.0,754.0,89.0,51.0,47.0,46.0,71.0,29.0,'10-'','0'
1469.0,754.0,1085.0,89.0,47.0,46.0,36.0,31.0,'M','0'
385.0,800.0,54.0,1085.0,47.0,47.0,29.0,30.0,'5.','0'
439.0,800.0,143.0,54.0,118.0,47.0,127.0,38.0,'Uranyl','0'
582.0,800.0,204.0,143.0,118.0,47.0,183.0,39.0,'hydroxide','0'
786.0,800.0,471.0,204.0,118.0,47.0,205.0,40.0,'(UO20H)+1','0'
1257.0,800.0,38.0,471.0,118.0,47.0,16.0,30.0,'2','0'
1295.0,800.0,51.0,38.0,118.0,47.0,30.0,29.0,'X','0'
1346.0,800.0,91.0,51.0,118.0,47.0,74.0,30.0,'10-5','0'
1437.0,800.0,1129.0,91.0,118.0,47.0,36.0,32.0,'M','0'
312.0,892.0,59.0,1129.0,118.0,118.0,45.0,32.0,'At','0'
371.0,892.0,168.0,59.0,78.0,118.0,152.0,31.0,'elevated','0'
539.0,892.0,257.0,168.0,78.0,118.0,242.0,33.0,'temperatures','0'
