@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'TABLE','VII','(cont)','X-Coord.','Y-Coord.','Vertical','Dipole','Horizontal','190','3.6','3.1','205','3.3','3.0','220','3.7','235','4.0','250','Drift','of','Machine','Measured','to','be','0.1','mmho/m','200','100','3.8','115','130','145','160','175','3.9','3.2','3.5','3.4','0.0','215','2.9','2.8','2.7','2.5','-0.1','230','2.6','4.2','33'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
1088.0,258.0,149.0,0.0,744.0,0.0,120.0,30.0,'TABLE','0'
1237.0,258.0,104.0,149.0,744.0,0.0,71.0,30.0,'VII','0'
1341.0,258.0,993.0,104.0,744.0,0.0,139.0,38.0,'(cont)','0'
360.0,408.0,325.0,993.0,744.0,744.0,192.0,31.0,'X-Coord.','1'
685.0,408.0,326.0,325.0,389.0,744.0,192.0,30.0,'Y-Coord.','1'
1011.0,408.0,226.0,326.0,389.0,744.0,193.0,30.0,'Vertical','1'
1237.0,408.0,274.0,226.0,389.0,744.0,146.0,37.0,'Dipole','1'
1511.0,408.0,275.0,274.0,389.0,744.0,243.0,31.0,'Horizontal','1'
1786.0,408.0,1048.0,275.0,389.0,744.0,146.0,37.0,'Dipole','1'
741.0,483.0,399.0,1048.0,389.0,389.0,66.0,32.0,'190','1'
1140.0,483.0,575.0,399.0,53.0,389.0,67.0,32.0,'3.6','1'
1715.0,483.0,977.0,575.0,53.0,389.0,65.0,32.0,'3.1','1'
740.0,535.0,400.0,977.0,53.0,53.0,66.0,31.0,'205','1'
1140.0,535.0,574.0,400.0,50.0,53.0,66.0,30.0,'3.3','1'
1714.0,535.0,979.0,574.0,50.0,53.0,67.0,32.0,'3.0','1'
737.0,584.0,402.0,979.0,50.0,50.0,68.0,32.0,'220','1'
1139.0,584.0,573.0,402.0,52.0,50.0,67.0,32.0,'3.3','1'
1712.0,584.0,976.0,573.0,52.0,50.0,68.0,32.0,'3.7','1'
738.0,635.0,400.0,976.0,52.0,52.0,67.0,32.0,'235','1'
1138.0,635.0,574.0,400.0,50.0,52.0,68.0,31.0,'3.3','1'
1712.0,635.0,976.0,574.0,50.0,52.0,69.0,31.0,'4.0','1'
738.0,685.0,401.0,976.0,50.0,50.0,67.0,31.0,'250','1'
1139.0,685.0,575.0,401.0,101.0,50.0,66.0,32.0,'3.6','1'
1714.0,685.0,961.0,575.0,101.0,50.0,66.0,32.0,'3.6','1'
759.0,783.0,152.0,961.0,101.0,101.0,124.0,31.0,'Drift','1'
