@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'24','G.','ROBERT','BRAKENRIDGE','TABLE','1','PUBLISHED','SNOWLINE','DEPRESSION','ESTIMATES','FOR','THE','SOUTHWEST','600C','Amount','of','orographic','regional','snowline','lowering','Location','(m)','Reference','500C','Northern','New','Mexico','1500','Leopold','(1951)','400-500','1300','Richmond','(1965)','400C','1000-1300','Antevs','(1954)','Central','Reeves','Northeast','Arizona','1200','Blagbrough','(1971)','300C','East-central','790-910','Melton','(1961)','timate','for','be','but','the','200C','northern','given','in','steeper,','present','purpose','Table','may','too','small.','minimum','slope','needed','to','fit','points','within','On','other','hand,','positions','small','these','latitude','limits','is','most','relevant.','It','100C','(<1','km2)','glaciers','and','nivation','hollows','clear','that','modern','do','not','(Flint,','1971,','p.','134)','should','accurately','reflect','match','0C','July','isotherm,','position','snowline.','There-','which','rises','at','a','gradient','only','25','m/1','lati-','sea','leve','fore,','depression','estimates','tude.','The','6C','annual','isotherm','matches','FIG.','1.','North','northeast','(1200','m),','east-central','much','better,','both','terms',')','(','extrapo','(790-910','central','elevation','(Fig.','1).','Thus,','Scattered','Ps','an','(1300','all','based','on','such','features,','available','data','favor','use','lines','m','suffer','from','above','error.','same','as','best','indicator','true','estimates,','southwest.','thus','plotted.','because','they','are','cirque','eleva-','produce','tions.','However,','climatic','indicators','used','agreement','wi','A','Revised','Estimate','Snowline','Depression','locating','a'','listed','must','now','ex-','As','noted,','where','snowline.'','In','amined.','(1)','line','below','Today,','lies','moun-','located','by','and/or','(2)','therm','abc','tains','Southwest.','This','means','it's','relict','cirques','head','glaciated','val-','utilized','di<','altitude','reconstructed','leys,','sion.','Becaust','data.','(1952),','(1951),','Therefore,','aid','estimating','snowlines','believed','average','value','southwal','controlled','primarily','summer','southwest,','Wisconsin','(not','(July)','freezing','isotherm.','Thus','Nevada,','Arizona,','were','inference','t','southern','Rocky','selected','basis','lack','evidence','cooler','Mountains','radiosonde-determining','large-scale','valley','glaciation.','These','ob-','elevationa','this','tained','literature,','topo-','amount','supposed','correlation','graphic','maps','check','with','supported','floor','elevations','(Table','3).','Annual','versu','ground-level,','long-term,','meteorologic','Nevada','considered','late','Figure','Ari-','shows','oro-','age','those','very','freq','obtained','zona','south-central','have','tures','desci','2)','been','more','precisely','correlated','southward','46','40N','no','early','middle','Pinedale','stades','(Updike',''','(196(','less','than','100','in/1','latitude.','If','higher','P6w6,','1974;','Richmond,','1963).','Regres-','Pleistocene','glac','considered,','sion','analysis','was','performed','thr,','poirtts','conclusi(','similar'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
323.0,611.0,595.0,0.0,764.0,0.0,40.0,31.0,'24','0'
918.0,611.0,48.0,595.0,764.0,0.0,32.0,25.0,'G.','0'
966.0,611.0,156.0,48.0,764.0,0.0,143.0,25.0,'ROBERT','0'
1122.0,611.0,112.0,156.0,764.0,0.0,264.0,25.0,'BRAKENRIDGE','0'
1080.0,714.0,136.0,112.0,764.0,764.0,119.0,25.0,'TABLE','0'
1216.0,714.0,590.0,136.0,455.0,764.0,8.0,23.0,'1','0'
630.0,781.0,180.0,590.0,455.0,455.0,166.0,25.0,'PUBLISHED','0'
810.0,781.0,175.0,180.0,1814.0,455.0,160.0,25.0,'SNOWLINE','0'
985.0,781.0,193.0,175.0,1814.0,455.0,177.0,26.0,'DEPRESSION','0'
1178.0,781.0,178.0,193.0,1814.0,455.0,164.0,24.0,'ESTIMATES','0'
1356.0,781.0,66.0,178.0,1814.0,455.0,54.0,18.0,'FOR','0'
1422.0,781.0,71.0,66.0,1814.0,455.0,58.0,18.0,'THE','0'
1493.0,781.0,951.0,71.0,1814.0,455.0,183.0,25.0,'SOUTHWEST','0'
2443.0,801.0,1636.0,951.0,1814.0,1814.0,60.0,18.0,'600C','0'
809.0,862.0,131.0,1636.0,1636.0,1636.0,119.0,25.0,'Amount','1'
940.0,862.0,42.0,131.0,53.0,1636.0,33.0,25.0,'of','1'
982.0,862.0,299.0,42.0,53.0,1636.0,157.0,32.0,'orographic','1'
1281.0,862.0,130.0,299.0,53.0,1636.0,118.0,24.0,'Amount','1'
1411.0,862.0,41.0,130.0,53.0,1636.0,32.0,25.0,'of','1'
1452.0,862.0,614.0,41.0,53.0,1636.0,116.0,30.0,'regional','1'
840.0,904.0,143.0,614.0,53.0,53.0,129.0,26.0,'snowline','1'
983.0,904.0,308.0,143.0,409.0,53.0,126.0,31.0,'lowering','1'
1291.0,904.0,142.0,308.0,409.0,53.0,129.0,25.0,'snowline','1'
1433.0,904.0,1001.0,142.0,409.0,53.0,125.0,31.0,'lowering','1'
433.0,936.0,517.0,1001.0,409.0,409.0,131.0,26.0,'Location','1'
950.0,936.0,451.0,517.0,139.0,409.0,49.0,28.0,'(m)','1'
1401.0,936.0,367.0,451.0,139.0,409.0,48.0,29.0,'(m)','1'
1768.0,936.0,677.0,367.0,139.0,409.0,146.0,25.0,'Reference','1'
2445.0,936.0,2119.0,677.0,139.0,409.0,60.0,19.0,'500C','0'
328.0,1027.0,149.0,2119.0,139.0,139.0,134.0,25.0,'Northern','1'
477.0,1027.0,84.0,149.0,42.0,139.0,68.0,24.0,'New','1'
561.0,1027.0,834.0,84.0,42.0,139.0,108.0,26.0,'Mexico','1'
1395.0,1027.0,312.0,834.0,42.0,139.0,62.0,25.0,'1500','1'
1707.0,1027.0,134.0,312.0,42.0,139.0,120.0,30.0,'Leopold','1'
1841.0,1027.0,1515.0,134.0,42.0,139.0,86.0,29.0,'(1951)','1'
