@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'UPPER','WIND','SUMMARY*','STATION','UCC','-YUCCA','FLAT,','NEVADA','PERIOD','OF','RECORD:','DECEMBER','THRU','-','1957','TO','1969','HOUR','0600','GMT','LEVEL','7,000','FT','MSL','SPEED','(KNOTS)','10-','2)-','3)-','40-','50-','60-','75-','100-','150-','R314','TOTAL','MEAN','CUM','PERCENTAGES','DIR','1-9','19','79','39','49','59','74','99','143','199','2004-','PENT','OBS','(1)','(2)','(3)','10','1.8','2.2','8.4','23','20.0','17.6','27.8','36.6','20','.7','2.9','.4','4.8','13','16.8','19.0','28.6','37.7','30','4.4','5.9','16','13.8','15.8','28.9','36.3','40','3.3','5.1','14','10.8','23.4','34.1','50','2.5','1.1','16.2','12.8','20.9','27.1','60','8','9.9','16.5','22.7','70','1.5','7.2','6','11.2','6.6','11.7','18.3','80','4','6.5','4.0','14.3','90','1','8.0','11.4','100','5.3','6.2','9.5','110','3','7.0','120','.3','5','130','9.2','140','11.0','3.7','0','150','a','9.0','12.1','I','160','14.7','1:.','170','9.3','12.5','20.1','180','9','8.9','23.8','190','12','21.2','25.3','200','5.6','18','22.4','15.3','22.0','210','20.3','19.8','220','16.0','8.8','230','23.0','240','13.9','250','10.2','10.3','260','12.7','8.1','270','2.0','2.6','280','290','2','12.0','300','10.0','310','15.0','320','7.7','13.2','330','340','14.4','350','2.3','12.4','25.6','31.5','17.2','CALM','TOT','91','/14','273','IN','COLUMNS','PERCENT','33.3','41.8','1.9','93.3','=','DEG','SECTORS','RES','352','.ES','NI40','SP','2.4','STD','VECTOR','DEV','18.4','CONSTA4:Y','17','M4','ALL','DOS','14.2','VALJE','X','COMP','7.9','VALUE','Y','-2.4'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
1389.0,358.0,179.0,0.0,170.0,0.0,147.0,32.0,'UPPER','0'
1568.0,358.0,151.0,179.0,170.0,0.0,119.0,32.0,'WIND','0'
1719.0,358.0,495.0,151.0,170.0,0.0,231.0,31.0,'SUMMARY*','0'
1227.0,408.0,237.0,495.0,170.0,170.0,205.0,31.0,'STATION','0'
1464.0,408.0,92.0,237.0,393.0,170.0,86.0,31.0,'UCC','0'
1556.0,408.0,206.0,92.0,393.0,170.0,175.0,31.0,'-YUCCA','0'
1762.0,408.0,178.0,206.0,393.0,170.0,138.0,35.0,'FLAT,','0'
1940.0,408.0,1104.0,178.0,393.0,170.0,177.0,31.0,'NEVADA','0'
838.0,457.0,208.0,1104.0,393.0,393.0,177.0,31.0,'PERIOD','0'
1046.0,457.0,90.0,208.0,302.0,393.0,56.0,31.0,'OF','0'
1136.0,457.0,268.0,90.0,302.0,393.0,197.0,32.0,'RECORD:','0'
1404.0,457.0,269.0,268.0,302.0,393.0,236.0,32.0,'DECEMBER','0'
1673.0,457.0,149.0,269.0,302.0,393.0,117.0,31.0,'THRU','0'
1822.0,457.0,271.0,149.0,302.0,393.0,235.0,32.0,'DECEMBER','0'
2093.0,457.0,60.0,271.0,302.0,393.0,22.0,6.0,'-','0'
2153.0,457.0,146.0,60.0,302.0,393.0,110.0,31.0,'1957','0'
2299.0,457.0,93.0,146.0,302.0,393.0,58.0,31.0,'TO','0'
2392.0,457.0,1258.0,93.0,302.0,393.0,109.0,31.0,'1969','0'
1135.0,507.0,152.0,1258.0,302.0,302.0,118.0,31.0,'HOUR','0'
1287.0,507.0,148.0,152.0,60.0,302.0,113.0,31.0,'0600','0'
1435.0,507.0,180.0,148.0,60.0,302.0,87.0,31.0,'GMT','0'
1615.0,507.0,238.0,180.0,60.0,302.0,144.0,32.0,'LEVEL','0'
1853.0,507.0,178.0,238.0,60.0,302.0,143.0,34.0,'7,000','0'
2031.0,507.0,88.0,178.0,60.0,302.0,57.0,31.0,'FT','0'
2119.0,507.0,987.0,88.0,60.0,302.0,87.0,32.0,'MSL','0'
