@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'4','PHASE','II','EXPERIMENT,','HORIZONTAL','EMPLACEMENT','IN','WELDED','TUFF','4.1','EXPERIMENTAL','CONFIGURATION','In','Phase','of','the','Small-Diameter','Heater','experiment,','same','heater','was','placed','in','a','horizontal','borehole','and','operated','at','four','successively','higher','power','levels:','400,','800,','1000','W','for','8','days','each','1200','11','days.','While','I','instrumentation','confined','to','surfaces,','included','measurements','surrounding','rock','as','well.','Three','satellite','thermocouple','holes','were','drilled','radius','0.25','m','from','emplacement','hole','centerline,','different','circumferential','positions.','The','orientation','intended','address','question','gravitational','influence','on','water','migration.','Part','additional','field','experiment','involved','determination','moisture','content','during','heating.','These','measure-','ments','indicated','that','welded','tuff','not','100','percent','saturated,','previously','assumed,','but','only','60','saturated.','Pertinent','locations','nonwelded','are','shown','Table','4-1','Zimmerman','et','al..','preparation].','Thermocouple','identical','those','listed','experiments','repeated','here.','Positions','wall','given','terms','height','base','heater,','positions','depth','collar.','4-1.','Levels','Experiment','Borehole','Wall','Satellite','Hole','Level','Heightt','(cm)','Depthl','(m)','1','3.6','2','61','3.0','3','107','2.4','135','2.2','5','164','1.8','6','1.2','Measured','heater.','24'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
585.0,384.0,102.0,0.0,140.0,0.0,27.0,42.0,'4','0'
687.0,384.0,231.0,102.0,140.0,0.0,201.0,43.0,'PHASE','0'
918.0,384.0,60.0,231.0,140.0,0.0,30.0,42.0,'II','0'
978.0,384.0,450.0,60.0,140.0,0.0,417.0,47.0,'EXPERIMENT,','0'
1428.0,384.0,742.0,450.0,140.0,0.0,396.0,44.0,'HORIZONTAL','0'
692.0,473.0,500.0,742.0,140.0,140.0,469.0,44.0,'EMPLACEMENT','0'
1192.0,473.0,88.0,500.0,407.0,140.0,58.0,42.0,'IN','0'
1280.0,473.0,286.0,88.0,407.0,140.0,258.0,43.0,'WELDED','0'
1566.0,473.0,1265.0,286.0,407.0,140.0,157.0,43.0,'TUFF','0'
309.0,609.0,131.0,1265.0,407.0,407.0,65.0,36.0,'4.1','0'
440.0,609.0,420.0,131.0,157.0,407.0,396.0,36.0,'EXPERIMENTAL','0'
860.0,609.0,491.0,420.0,157.0,407.0,424.0,37.0,'CONFIGURATION','0'
388.0,744.0,71.0,491.0,157.0,157.0,39.0,34.0,'In','0'
459.0,744.0,153.0,71.0,107.0,157.0,124.0,35.0,'Phase','0'
612.0,744.0,59.0,153.0,107.0,157.0,31.0,35.0,'II','0'
671.0,744.0,65.0,59.0,107.0,157.0,41.0,35.0,'of','0'
736.0,744.0,94.0,65.0,107.0,157.0,64.0,36.0,'the','0'
830.0,744.0,361.0,94.0,107.0,157.0,334.0,36.0,'Small-Diameter','0'
1191.0,744.0,168.0,361.0,107.0,157.0,140.0,34.0,'Heater','0'
1359.0,744.0,280.0,168.0,107.0,157.0,250.0,42.0,'experiment,','0'
1639.0,744.0,93.0,280.0,107.0,157.0,66.0,34.0,'the','0'
1732.0,744.0,132.0,93.0,107.0,157.0,106.0,23.0,'same','0'
1864.0,744.0,159.0,132.0,107.0,157.0,130.0,36.0,'heater','0'
2023.0,744.0,1716.0,159.0,107.0,157.0,75.0,22.0,'was','0'
309.0,816.0,167.0,1716.0,107.0,107.0,137.0,44.0,'placed','0'
476.0,816.0,65.0,167.0,74.0,107.0,34.0,34.0,'in','0'
541.0,816.0,51.0,65.0,74.0,107.0,22.0,22.0,'a','0'
592.0,816.0,241.0,51.0,74.0,107.0,212.0,36.0,'horizontal','0'
833.0,816.0,208.0,241.0,74.0,107.0,179.0,36.0,'borehole','0'
1041.0,816.0,103.0,208.0,74.0,107.0,75.0,36.0,'and','0'
1144.0,816.0,215.0,103.0,74.0,107.0,185.0,44.0,'operated','0'
1359.0,816.0,67.0,215.0,74.0,107.0,39.0,29.0,'at','0'
1426.0,816.0,110.0,67.0,74.0,107.0,83.0,36.0,'four','0'
1536.0,816.0,279.0,110.0,74.0,107.0,252.0,44.0,'successively','0'
1815.0,816.0,159.0,279.0,74.0,107.0,130.0,44.0,'higher','0'
1974.0,816.0,1665.0,159.0,74.0,107.0,126.0,32.0,'power','0'
311.0,889.0,152.0,1665.0,74.0,74.0,126.0,35.0,'levels:','0'
463.0,889.0,103.0,152.0,73.0,74.0,84.0,34.0,'400,','0'
566.0,889.0,104.0,103.0,73.0,74.0,85.0,41.0,'800,','0'
670.0,889.0,95.0,104.0,73.0,74.0,74.0,36.0,'and','0'
765.0,889.0,111.0,95.0,73.0,74.0,93.0,33.0,'1000','0'
876.0,889.0,61.0,111.0,73.0,74.0,43.0,34.0,'W','0'
937.0,889.0,75.0,61.0,73.0,74.0,56.0,36.0,'for','0'
1012.0,889.0,38.0,75.0,73.0,74.0,20.0,31.0,'8','0'
1050.0,889.0,108.0,38.0,73.0,74.0,92.0,43.0,'days','0'
1158.0,889.0,109.0,108.0,73.0,74.0,92.0,36.0,'each','0'
1267.0,889.0,97.0,109.0,73.0,74.0,76.0,36.0,'and','0'
1364.0,889.0,110.0,97.0,73.0,74.0,92.0,33.0,'1200','0'
1474.0,889.0,62.0,110.0,73.0,74.0,42.0,34.0,'W','0'
1536.0,889.0,75.0,62.0,73.0,74.0,56.0,35.0,'for','0'
1611.0,889.0,61.0,75.0,73.0,74.0,41.0,32.0,'11','0'
1672.0,889.0,134.0,61.0,73.0,74.0,106.0,44.0,'days.','0'
1806.0,889.0,138.0,134.0,73.0,74.0,120.0,35.0,'While','0'
1944.0,889.0,143.0,138.0,73.0,74.0,124.0,35.0,'Phase','0'
2087.0,889.0,1779.0,143.0,73.0,74.0,11.0,35.0,'I','0'
310.0,961.0,364.0,1779.0,73.0,73.0,347.0,35.0,'instrumentation','0'
674.0,961.0,92.0,364.0,73.0,73.0,76.0,22.0,'was','0'
766.0,961.0,192.0,92.0,73.0,73.0,175.0,36.0,'confined','0'
958.0,961.0,58.0,192.0,73.0,73.0,41.0,30.0,'to','0'
1016.0,961.0,82.0,58.0,73.0,73.0,64.0,35.0,'the','0'
