@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'Attachment','II-1','DOE','6410.1','Page','11-12','5-26-83','YEAR','ACTIVITY','ELEMENTS','FOR','FY','1986','PROJECTS','TARGET','DATES','1985','11.','Allotment','of','plant','engineering','10-84','and','design','funds','for','projects','12.','Design','started','on','with','12-84','funds.','13.','President's','budget','submitted','to','Congress.','1-85','14.','Authorization','appropriation','acts','6-85','passed.','9-85','15.','completed','16.','OMB','apportionment','allotment','10-85','field','organizations.','17.','and/or','construction','started.','12-85'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
346.0,117.0,278.0,0.0,50.0,0.0,243.0,34.0,'Attachment','0'
624.0,117.0,1221.0,278.0,50.0,0.0,91.0,35.0,'II-1','0'
1845.0,117.0,100.0,1221.0,50.0,0.0,70.0,35.0,'DOE','0'
1945.0,117.0,1601.0,100.0,50.0,0.0,146.0,38.0,'6410.1','0'
345.0,166.0,130.0,1601.0,50.0,50.0,94.0,41.0,'Page','0'
475.0,166.0,1376.0,130.0,147.0,50.0,117.0,35.0,'11-12','0'
1851.0,166.0,1487.0,1376.0,147.0,50.0,166.0,37.0,'5-26-83','0'
371.0,310.0,351.0,1487.0,147.0,147.0,94.0,34.0,'YEAR','1'
722.0,310.0,227.0,351.0,112.0,147.0,195.0,36.0,'ACTIVITY','1'
949.0,310.0,223.0,227.0,112.0,147.0,193.0,38.0,'ELEMENTS','1'
1172.0,310.0,100.0,223.0,112.0,147.0,71.0,36.0,'FOR','1'
1272.0,310.0,79.0,100.0,112.0,147.0,46.0,34.0,'FY','1'
1351.0,310.0,124.0,79.0,112.0,147.0,91.0,35.0,'1986','1'
1475.0,310.0,398.0,124.0,112.0,147.0,194.0,36.0,'PROJECTS','1'
1873.0,310.0,174.0,398.0,112.0,147.0,144.0,37.0,'TARGET','1'
