@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'4.1.50','TABLE','4.1.26.','Capital','Cost','Estimate','for','the','Waste','Calcination','Facility','Man-hours,','Costs,','1000s','of','Mid-1976','Dollars','Element','Nonmanual','Manual','Material','Labor','Total','Major','equipment','40','3,600','500','4,100','Building','and','structures','3,000','6,100','9,100','Bulk','materials','670','8,400','8,000','16,400','Site','improvements','10','100','200','Subtotal','direct','site','construction','costs','1,220','15,100','14,700','29,800','Indirect','320','240','5,400','7,100','12,500','field','cost','1,460','20,500','21,800','42,300','Architect-engineer','services','7,700','50,000','Owner's','15,000','facility','65,000','Estimated','accuracy','range','30%','4.1.27.','Operating','Annual','$1000s','Direct','labor','840','Process','3620','Utilities','Maintenance','300','Overhead','680','Miscellaneous','660','6200','25%','Levelized','Unit','Cost.','The','levelized','unit','cost,','including','capital','opera-','ting','segments,','is','shown','in','Table','4.1.28.','calculation','assumes','private','ownership','facilities','15-year','economic','life.','a'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
1209.0,140.0,681.0,0.0,681.0,0.0,121.0,31.0,'4.1.50','0'
550.0,311.0,126.0,681.0,681.0,681.0,101.0,30.0,'TABLE','0'
676.0,311.0,186.0,126.0,514.0,681.0,135.0,30.0,'4.1.26.','0'
862.0,311.0,166.0,186.0,514.0,681.0,136.0,35.0,'Capital','0'
1028.0,311.0,105.0,166.0,514.0,681.0,80.0,29.0,'Cost','0'
1133.0,311.0,187.0,105.0,514.0,681.0,161.0,30.0,'Estimate','0'
1320.0,311.0,83.0,187.0,514.0,681.0,58.0,29.0,'for','0'
1403.0,311.0,81.0,83.0,514.0,681.0,58.0,30.0,'the','0'
1484.0,311.0,126.0,81.0,514.0,681.0,101.0,30.0,'Waste','0'
1610.0,311.0,250.0,126.0,514.0,681.0,223.0,31.0,'Calcination','0'
1860.0,311.0,822.0,250.0,514.0,681.0,161.0,37.0,'Facility','0'
1048.0,435.0,604.0,822.0,514.0,514.0,201.0,34.0,'Man-hours,','0'
1652.0,435.0,562.0,604.0,61.0,514.0,117.0,32.0,'Costs,','0'
1092.0,476.0,374.0,562.0,61.0,61.0,97.0,30.0,'1000s','0'
1466.0,476.0,124.0,374.0,584.0,61.0,97.0,30.0,'1000s','0'
1590.0,476.0,60.0,124.0,584.0,61.0,38.0,29.0,'of','0'
1650.0,476.0,189.0,60.0,584.0,61.0,164.0,30.0,'Mid-1976','0'
1839.0,476.0,1330.0,189.0,584.0,61.0,139.0,30.0,'Dollars','0'
510.0,516.0,105.0,1330.0,584.0,584.0,79.0,28.0,'Cost','0'
615.0,516.0,351.0,105.0,151.0,584.0,141.0,30.0,'Element','0'
966.0,516.0,248.0,351.0,151.0,584.0,178.0,30.0,'Nonmanual','0'
1214.0,516.0,229.0,248.0,151.0,584.0,116.0,31.0,'Manual','0'
1443.0,516.0,271.0,229.0,151.0,584.0,157.0,30.0,'Material','0'
1714.0,516.0,207.0,271.0,151.0,584.0,101.0,29.0,'Labor','0'
1921.0,516.0,1540.0,207.0,151.0,584.0,95.0,31.0,'Total','0'
384.0,599.0,126.0,1540.0,151.0,151.0,102.0,35.0,'Major','0'
510.0,599.0,768.0,126.0,64.0,151.0,183.0,37.0,'equipment','0'
1278.0,599.0,208.0,768.0,64.0,151.0,38.0,30.0,'40','0'
1486.0,599.0,292.0,208.0,64.0,151.0,100.0,35.0,'3,600','0'
1778.0,599.0,165.0,292.0,64.0,151.0,57.0,30.0,'500','0'
1943.0,599.0,1560.0,165.0,64.0,151.0,100.0,34.0,'4,100','0'
385.0,662.0,188.0,1560.0,64.0,64.0,162.0,36.0,'Building','0'
573.0,662.0,83.0,188.0,61.0,64.0,58.0,29.0,'and','0'
656.0,662.0,602.0,83.0,61.0,64.0,201.0,29.0,'structures','0'
1258.0,662.0,228.0,602.0,61.0,64.0,58.0,30.0,'500','0'
1486.0,662.0,250.0,228.0,61.0,64.0,100.0,34.0,'3,000','0'
1736.0,662.0,207.0,250.0,61.0,64.0,100.0,33.0,'6,100','0'
1943.0,662.0,1560.0,207.0,61.0,64.0,100.0,33.0,'9,100','0'
385.0,723.0,102.0,1560.0,61.0,61.0,80.0,29.0,'Bulk','0'
487.0,723.0,771.0,102.0,63.0,61.0,183.0,30.0,'materials','0'
1258.0,723.0,227.0,771.0,63.0,61.0,58.0,29.0,'670','0'
1485.0,723.0,249.0,227.0,63.0,61.0,102.0,34.0,'8,400','0'
1734.0,723.0,189.0,249.0,63.0,61.0,102.0,33.0,'8,000','0'
1923.0,723.0,1539.0,189.0,63.0,61.0,120.0,34.0,'16,400','0'
386.0,785.0,105.0,1539.0,63.0,63.0,78.0,30.0,'Site','0'
491.0,785.0,789.0,105.0,76.0,63.0,242.0,36.0,'improvements','0'
1280.0,785.0,249.0,789.0,76.0,63.0,36.0,30.0,'10','0'
1529.0,785.0,250.0,249.0,76.0,63.0,57.0,30.0,'100','0'
1779.0,785.0,206.0,250.0,76.0,63.0,57.0,30.0,'100','0'
1985.0,785.0,1560.0,206.0,76.0,63.0,58.0,30.0,'200','0'
427.0,848.0,187.0,1560.0,76.0,76.0,157.0,30.0,'Subtotal','0'
614.0,848.0,62.0,187.0,61.0,76.0,40.0,28.0,'of','0'
676.0,848.0,211.0,62.0,61.0,76.0,121.0,30.0,'direct','0'
470.0,890.0,103.0,211.0,61.0,61.0,78.0,28.0,'site','0'
573.0,890.0,112.0,103.0,41.0,61.0,244.0,30.0,'construction','0'
469.0,930.0,748.0,112.0,41.0,41.0,98.0,27.0,'costs','0'
1217.0,930.0,250.0,748.0,116.0,41.0,99.0,34.0,'1,220','0'
1467.0,930.0,250.0,250.0,116.0,41.0,120.0,34.0,'15,100','0'
1717.0,930.0,206.0,250.0,116.0,41.0,119.0,33.0,'14,700','0'
1923.0,930.0,1537.0,206.0,116.0,41.0,121.0,34.0,'29,800','0'
389.0,1013.0,184.0,1537.0,116.0,116.0,159.0,31.0,'Indirect','0'
573.0,1013.0,152.0,184.0,57.0,116.0,79.0,30.0,'site','0'
427.0,1055.0,270.0,152.0,57.0,57.0,245.0,31.0,'construction','0'
697.0,1055.0,333.0,270.0,94.0,57.0,98.0,27.0,'costs','0'
1030.0,1055.0,228.0,333.0,94.0,57.0,58.0,30.0,'320','0'
1258.0,1055.0,229.0,228.0,94.0,57.0,59.0,30.0,'240','0'
1487.0,1055.0,250.0,229.0,94.0,57.0,101.0,35.0,'5,400','0'
1737.0,1055.0,188.0,250.0,94.0,57.0,100.0,33.0,'7,100','0'
1925.0,1055.0,1543.0,188.0,94.0,57.0,120.0,33.0,'12,500','0'
385.0,1138.0,126.0,1543.0,94.0,94.0,94.0,30.0,'Total','0'
511.0,1138.0,124.0,126.0,64.0,94.0,99.0,31.0,'field','0'
635.0,1138.0,395.0,124.0,64.0,94.0,79.0,28.0,'cost','0'
1030.0,1138.0,189.0,395.0,64.0,94.0,58.0,30.0,'320','0'
1219.0,1138.0,247.0,189.0,64.0,94.0,98.0,34.0,'1,460','0'
1466.0,1138.0,250.0,247.0,64.0,94.0,122.0,34.0,'20,500','0'
1716.0,1138.0,206.0,250.0,64.0,94.0,121.0,33.0,'21,800','0'
1922.0,1138.0,1540.0,206.0,64.0,94.0,123.0,33.0,'42,300','0'
384.0,1201.0,61.0,1540.0,64.0,64.0,373.0,37.0,'Architect-engineer','0'
429.0,1241.0,1515.0,61.0,61.0,61.0,160.0,30.0,'services','0'
1944.0,1241.0,1519.0,1515.0,84.0,61.0,101.0,34.0,'7,700','0'
