@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'TABLE','5-1','ANNUAL','WORKER','EXPOSURE','Annual','Total','Worker','Number','Exposure','Crew','of','(man-','Operation','Member','(rem)','Workers','rem)','1.0','Receiving','(R):','R1','R1G','0.008','2','0.004','R1RM','0.016','R1QC','4.96','2.481','R1OP','1','R2','R2R0','0.179','0.09','R2D','R2RM','8.953','4','2.238','R2QC','5.326','1.332','R2OP','5.06','1.265','R3','R3RM','1.188','0.297','R3OP','18.905','8','2.363','2.0','Handling','and','Packaging','(HP):','HP1','HP1H0','2.644','0.661','HP1OP','3.009','0.752','HP2','HP2H0','2.177','0.544','HP2QC','0.167','0.084','HP2RM','HP2OP','4.088','6','0.681','3.0','Surface','Storage','to','Emplacement','Horizon:','3.1','Shaft','Access','(SA);','SA1','SA1S0','1.757','0.879','SA1OP','0.669','0.335','SA1RM','SA2','SA2OP','0.502','0.251','SA3','SA3OP','SA3D','3.2','Ramp','(RA);','RA1','RA1S0','RA1OP','RA2','RA2OP','RA2RM','RA2D','5-3'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
1060.0,426.0,188.0,0.0,217.0,0.0,159.0,34.0,'TABLE','0'
1248.0,426.0,394.0,188.0,217.0,0.0,66.0,34.0,'5-1','0'
867.0,524.0,227.0,394.0,217.0,217.0,199.0,35.0,'ANNUAL','0'
1094.0,524.0,231.0,227.0,1157.0,217.0,199.0,34.0,'WORKER','0'
1325.0,524.0,704.0,231.0,1157.0,217.0,252.0,34.0,'EXPOSURE','0'
2017.0,648.0,251.0,704.0,1157.0,1157.0,159.0,34.0,'Annual','1'
1771.0,696.0,245.0,251.0,251.0,251.0,114.0,35.0,'Total','1'
2016.0,696.0,495.0,245.0,253.0,251.0,162.0,36.0,'Worker','1'
1524.0,746.0,224.0,495.0,253.0,253.0,113.0,35.0,'Total','1'
1748.0,746.0,247.0,224.0,549.0,253.0,174.0,34.0,'Number','1'
1995.0,746.0,1019.0,247.0,549.0,253.0,214.0,40.0,'Exposure','1'
978.0,795.0,273.0,1019.0,549.0,549.0,116.0,33.0,'Crew','1'
1251.0,795.0,225.0,273.0,525.0,549.0,117.0,35.0,'Crew','1'
1476.0,795.0,344.0,225.0,525.0,549.0,213.0,39.0,'Exposure','1'
1820.0,795.0,202.0,344.0,525.0,549.0,44.0,36.0,'of','1'
2022.0,795.0,1567.0,202.0,525.0,549.0,129.0,38.0,'(man-','1'
456.0,844.0,499.0,1567.0,525.0,525.0,223.0,41.0,'Operation','1'
955.0,844.0,271.0,499.0,199.0,525.0,173.0,34.0,'Number','1'
1226.0,844.0,278.0,271.0,199.0,525.0,171.0,32.0,'Member','1'
1504.0,844.0,241.0,278.0,199.0,525.0,121.0,39.0,'(rem)','1'
1745.0,844.0,302.0,241.0,199.0,525.0,186.0,35.0,'Workers','1'
2047.0,844.0,1765.0,302.0,199.0,525.0,98.0,40.0,'rem)','1'
285.0,945.0,100.0,1765.0,199.0,199.0,70.0,33.0,'1.0','1'
385.0,945.0,255.0,100.0,946.0,199.0,221.0,42.0,'Receiving','1'
640.0,945.0,366.0,255.0,946.0,199.0,94.0,39.0,'(R):','1'
1006.0,945.0,223.0,366.0,946.0,199.0,46.0,33.0,'R1','1'
1229.0,945.0,294.0,223.0,946.0,199.0,86.0,33.0,'R1G','1'
1523.0,945.0,323.0,294.0,946.0,199.0,123.0,34.0,'0.008','1'
1846.0,945.0,197.0,323.0,946.0,199.0,22.0,34.0,'2','1'
2043.0,945.0,816.0,197.0,946.0,199.0,122.0,34.0,'0.004','1'
1229.0,994.0,295.0,816.0,946.0,946.0,123.0,34.0,'R1RM','1'
1524.0,994.0,322.0,295.0,49.0,946.0,121.0,34.0,'0.016','1'
1846.0,994.0,198.0,322.0,49.0,946.0,22.0,34.0,'2','1'
2044.0,994.0,817.0,198.0,49.0,946.0,122.0,34.0,'0.008','1'
1229.0,1043.0,294.0,817.0,49.0,49.0,121.0,39.0,'R1QC','1'
1523.0,1043.0,324.0,294.0,50.0,49.0,98.0,34.0,'4.96','1'
1847.0,1043.0,198.0,324.0,50.0,49.0,21.0,35.0,'2','1'
2045.0,1043.0,817.0,198.0,50.0,49.0,114.0,34.0,'2.481','1'
1230.0,1092.0,295.0,817.0,50.0,50.0,116.0,33.0,'R1OP','1'
1525.0,1092.0,325.0,295.0,244.0,50.0,122.0,34.0,'0.008','1'
1850.0,1092.0,194.0,325.0,244.0,50.0,13.0,33.0,'1','1'
2044.0,1092.0,1042.0,194.0,244.0,50.0,123.0,34.0,'0.008','1'
1007.0,1190.0,224.0,1042.0,244.0,244.0,53.0,35.0,'R2','1'
1231.0,1190.0,294.0,224.0,230.0,244.0,121.0,35.0,'R2R0','1'
1525.0,1190.0,322.0,294.0,230.0,244.0,122.0,35.0,'0.179','1'
1847.0,1190.0,198.0,322.0,230.0,244.0,23.0,34.0,'2','1'
