@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'Table','2','Some','common','explosives','used','for','tunnelling','in','Sweden','Explosive','Dynamite','13','ANFO','NAB1T','GUR/T','Hole','diameter,','mm','45','4.5','Charge','40','32','22','17','density,','kg/dm3','1.15','1.45','0.95','1.1','1.2','Weight','strength','1.14','1.0','1,09','0.83','concentration','real,','kg/m','2.0','1.6','1.12','1.5','0,40','0.24','kg','ANFO/m','2.3','1.82','1.28','15','0.44','0.29','Borehole','pressure','bar','55','000','21','3','300','900','MPa','5','500','200','1','100','330','so','Drill-hole','concentration,','type','Burden,','m','Hobe','spacing,','AN','FO/m','and','size','25-32','0.08','11-mm','GURIT','0.30-0.45','0.25-0.35','25-48','0.20','17-mm','G','UR','IT','0.70-0.90','0.50-0.70','51-6.4','22-mm','NAB','1.00-1.10','0.80-0.90','Blast','planning','with','the','Swedish','Board','Technical','Development','lt','is','not','unusual','tunnel','constructors','to','fail','(ST','U).','consider','effects','of','charges','rows','adjacent','often','well-planned','smooth','blasted','Bibliography','contour','row.','Charging','a','1.','Persson','P.','A.','Holmberg','R.','G.','Careful','btasting','heavy','charge','results','cracks','spreading','further','slopes','Rep.','Deform.','Res.','Foundation','open','pit','mines.','into','remaining','rock','than','from','DS','1977:4,','1977.','(Swedish','text)','It','better','optimize','2.','Ambrasevs','N.','Hendron','J.','Jr.','Dynamic','behaviour','calculations','such','that','damage','zone','any','masses.','In','Rock','mechanics','engineering','practice','Stagg','K.','hole','round','will','exceed','Zienkiewicz','0.','C.','eds','(London,','etc.:','Wiley,','19681,','203-36.','holes.','This','easily','be','done','by','3.','Vorob'ev','I,','T.','et','al.','Features','development','can','Fig.','2(a),','where','given','propagation','Rayleigh','surface','wave','Dzhezkazgan','use','deposit.','Fiz.-Tekh.','Probl.','different','concentrations.','Raz.','Polez.','Isk.,','8,','no','6','1972.','36-43:','Soviet','Min.','Sci.,','1972,','634-9.','contains','recommended','burdens','some','4.','D'Andrea','D.','V.','Fischer','L','Hendrickson','Crater','blasting.','For','scaling','granite','small','charges.','Invest.','U.S.','Bur.','Mines','diameter','48','GUR','lT','pipe','7409,','1970,','28p.','charges,','burden','0.8','normal.','From','5.','Olson','blasting','2(a)','we','find','this','result','granite.','7751,','1973,44','p.','about','0.3','m.','Choosing','fully','charged','6.','Siskind','E.','Steckley','.1.','Fracturing','(1=','kg/m)','next','row','around','blasthole,','White','Pine,','Mich.','value','because','7753,','1973,','20','extends','0.4','7.','Fumanti','Blast-produced','fractures','(1.5-0.8-0.3','m)','Lithonia','7901,','1974,','38','=','8.','Nicholls','H.','Johnson','F.','it','would','Duvall','W.','I.','Blasting','vibrations','their','on','structures.','Bull.','656,','1971,','105','is.','equal','caused','9.','The','approach','plus','burden,','i.e.','(Fig.','5)','-','Paper','presented','Conference','should','have','1=','0.8-1.2','kg/m.','technique,','Society','Explosives','Engineers,','New','Orleans.','Louisiana,','U.S.A.,','February','3,','1978.','10.','Svanholm','B.','Larsson','Smooth','reliable','underground','openings,','Rocksrore','77:','Storage','excavated','caverns,','proceedings','first','international','symposium,','Stockholm,','1977','Bergman','M.','ed.','(Oxford,','0','Pergamon,','1977),','vol.','573-9.','11.','influence','rock.','Detonic','1973:15,','1973.','12.','Computer','drilling','patterns','blastings.','Design','methods','apparent','example','reduction','Fairhurst','Crough','S.','(New','York:','American','obtained','Civil','357-64.','(Proc.','16th','Symp.','per','metre','borehole.','Mechanics,','7975)','obviously','increased','costs','drill','13.','Kraula','ii','.4.','Examination','crack','blast','operation,','but','these','are','balanced','frequency','before','after','bia..','250','holes','Aitik','advantage','safer','roof','decreased','mine.','Deionic','1977:12,','grouting','maintenance.','14.','Lundborg','Relation','between','vibration,','distance','weight.','Council','Acknowledgment','Building','R',''1:1978,','work','part','programme','15.','Results','ngle','shot','ground','vibration','s','Research','Foundation,','measurements.','Der','mic','1977:9,','nomad','loaf','Castnrlith','inducers/','rnrtnoratirin','11:1177.','terri','.,..'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
290.0,81.0,120.0,0.0,101.0,0.0,103.0,34.0,'Table','0'
410.0,81.0,74.0,120.0,101.0,0.0,20.0,32.0,'2','0'
484.0,81.0,122.0,74.0,101.0,0.0,104.0,32.0,'Some','0'
606.0,81.0,180.0,122.0,101.0,0.0,162.0,24.0,'common','0'
786.0,81.0,208.0,180.0,101.0,0.0,192.0,37.0,'explosives','0'
994.0,81.0,98.0,208.0,101.0,0.0,80.0,31.0,'used','0'
1092.0,81.0,73.0,98.0,101.0,0.0,55.0,33.0,'for','0'
1165.0,81.0,214.0,73.0,101.0,0.0,194.0,40.0,'tunnelling','0'
1379.0,81.0,49.0,214.0,101.0,0.0,31.0,31.0,'in','0'
1428.0,81.0,1140.0,49.0,101.0,0.0,147.0,31.0,'Sweden','0'
293.0,181.0,446.0,1140.0,101.0,101.0,134.0,26.0,'Explosive','1'
739.0,181.0,148.0,446.0,85.0,101.0,133.0,26.0,'Dynamite','1'
887.0,181.0,451.0,148.0,85.0,101.0,17.0,23.0,'13','1'
1338.0,181.0,205.0,451.0,85.0,101.0,97.0,24.0,'ANFO','1'
1543.0,181.0,199.0,205.0,85.0,101.0,103.0,23.0,'NAB1T','1'
1742.0,181.0,1451.0,199.0,85.0,101.0,104.0,24.0,'GUR/T','1'
294.0,265.0,72.0,1451.0,85.0,85.0,61.0,21.0,'Hole','1'
366.0,265.0,147.0,72.0,43.0,85.0,136.0,24.0,'diameter,','1'
513.0,265.0,225.0,147.0,43.0,85.0,53.0,16.0,'mm','1'
738.0,265.0,198.0,225.0,43.0,85.0,35.0,23.0,'45','1'
936.0,265.0,198.0,198.0,43.0,85.0,34.0,24.0,'4.5','1'
1134.0,265.0,205.0,198.0,43.0,85.0,36.0,22.0,'45','1'
1339.0,265.0,204.0,205.0,43.0,85.0,35.0,23.0,'45','1'
1543.0,265.0,199.0,204.0,43.0,85.0,34.0,24.0,'45','1'
1742.0,265.0,1450.0,199.0,43.0,85.0,34.0,22.0,'45','1'
293.0,307.0,105.0,1450.0,43.0,43.0,93.0,27.0,'Charge','1'
398.0,307.0,147.0,105.0,41.0,43.0,136.0,25.0,'diameter,','1'
545.0,307.0,193.0,147.0,41.0,43.0,54.0,16.0,'mm','1'
738.0,307.0,198.0,193.0,41.0,43.0,35.0,22.0,'45','1'
936.0,307.0,199.0,198.0,41.0,43.0,35.0,23.0,'40','1'
1135.0,307.0,203.0,199.0,41.0,43.0,34.0,24.0,'32','1'
1338.0,307.0,205.0,203.0,41.0,43.0,37.0,23.0,'45','1'
1543.0,307.0,202.0,205.0,41.0,43.0,35.0,25.0,'22','1'
1745.0,307.0,1453.0,202.0,41.0,43.0,31.0,22.0,'17','1'
293.0,348.0,145.0,1453.0,41.0,41.0,134.0,24.0,'Explosive','1'
438.0,348.0,126.0,145.0,43.0,41.0,113.0,24.0,'density,','1'
564.0,348.0,178.0,126.0,43.0,41.0,103.0,33.0,'kg/dm3','1'
742.0,348.0,198.0,178.0,43.0,41.0,58.0,24.0,'1.15','1'
940.0,348.0,197.0,198.0,43.0,41.0,58.0,25.0,'1.45','1'
1137.0,348.0,201.0,197.0,43.0,41.0,63.0,24.0,'1.45','1'
1338.0,348.0,208.0,201.0,43.0,41.0,64.0,26.0,'0.95','1'
1546.0,348.0,198.0,208.0,43.0,41.0,38.0,24.0,'1.1','1'
1744.0,348.0,1455.0,198.0,43.0,41.0,42.0,24.0,'1.2','1'
290.0,390.0,108.0,1455.0,43.0,43.0,96.0,27.0,'Weight','1'
398.0,390.0,343.0,108.0,49.0,43.0,116.0,25.0,'strength','1'
741.0,390.0,198.0,343.0,49.0,43.0,59.0,23.0,'1.14','1'
939.0,390.0,198.0,198.0,49.0,43.0,60.0,24.0,'1.14','1'
1137.0,390.0,204.0,198.0,49.0,43.0,62.0,24.0,'1.14','1'
1341.0,390.0,204.0,204.0,49.0,43.0,43.0,24.0,'1.0','1'
1545.0,390.0,197.0,204.0,49.0,43.0,61.0,25.0,'1,09','1'
1742.0,390.0,1450.0,197.0,49.0,43.0,61.0,24.0,'0.83','1'
293.0,438.0,107.0,1450.0,49.0,49.0,92.0,27.0,'Charge','1'
400.0,438.0,70.0,107.0,59.0,49.0,198.0,18.0,'concentration','1'
340.0,473.0,72.0,70.0,59.0,59.0,58.0,24.0,'real,','1'
412.0,473.0,327.0,72.0,43.0,59.0,71.0,25.0,'kg/m','1'
739.0,473.0,200.0,327.0,43.0,59.0,42.0,25.0,'2.0','1'
939.0,473.0,198.0,200.0,43.0,59.0,41.0,24.0,'1.6','1'
1137.0,473.0,203.0,198.0,43.0,59.0,61.0,24.0,'1.12','1'
1340.0,473.0,202.0,203.0,43.0,59.0,43.0,25.0,'1.5','1'
1542.0,473.0,199.0,202.0,43.0,59.0,64.0,26.0,'0,40','1'
1741.0,473.0,1399.0,199.0,43.0,59.0,63.0,24.0,'0.24','1'
343.0,515.0,41.0,1399.0,43.0,43.0,27.0,25.0,'kg','1'
384.0,515.0,357.0,41.0,71.0,43.0,133.0,23.0,'ANFO/m','1'
741.0,515.0,199.0,357.0,71.0,43.0,41.0,23.0,'2.3','1'
940.0,515.0,198.0,199.0,71.0,43.0,59.0,24.0,'1.82','1'
1138.0,515.0,203.0,198.0,71.0,43.0,61.0,24.0,'1.28','1'
1341.0,515.0,202.0,203.0,71.0,43.0,42.0,25.0,'15','1'
1543.0,515.0,199.0,202.0,71.0,43.0,64.0,25.0,'0.44','1'
1742.0,515.0,1452.0,199.0,71.0,43.0,62.0,24.0,'0.29','1'
291.0,563.0,138.0,1452.0,71.0,71.0,126.0,23.0,'Borehole','1'
429.0,563.0,96.0,138.0,63.0,71.0,116.0,18.0,'pressure','1'
341.0,600.0,398.0,96.0,63.0,63.0,42.0,21.0,'bar','1'
739.0,600.0,44.0,398.0,42.0,63.0,34.0,22.0,'55','1'
783.0,600.0,154.0,44.0,42.0,63.0,54.0,23.0,'000','1'
937.0,600.0,44.0,154.0,42.0,63.0,33.0,23.0,'32','1'
981.0,600.0,157.0,44.0,42.0,63.0,54.0,24.0,'000','1'
1138.0,600.0,43.0,157.0,42.0,63.0,31.0,22.0,'13','1'
1181.0,600.0,158.0,43.0,42.0,63.0,55.0,24.0,'000','1'
1339.0,600.0,47.0,158.0,42.0,63.0,30.0,24.0,'21','1'
1386.0,600.0,157.0,47.0,42.0,63.0,56.0,23.0,'000','1'
1543.0,600.0,29.0,157.0,42.0,63.0,15.0,24.0,'3','1'
1572.0,600.0,169.0,29.0,42.0,63.0,53.0,24.0,'300','1'
1741.0,600.0,1401.0,169.0,42.0,63.0,53.0,23.0,'900','1'
341.0,642.0,416.0,1401.0,42.0,42.0,58.0,23.0,'MPa','1'
757.0,642.0,28.0,416.0,99.0,42.0,15.0,22.0,'5','1'
785.0,642.0,170.0,28.0,99.0,42.0,51.0,22.0,'500','1'
955.0,642.0,28.0,170.0,99.0,42.0,15.0,23.0,'3','1'
983.0,642.0,173.0,28.0,99.0,42.0,51.0,24.0,'200','1'
1156.0,642.0,26.0,173.0,99.0,42.0,8.0,20.0,'1','1'
1182.0,642.0,176.0,26.0,99.0,42.0,54.0,25.0,'300','1'
1358.0,642.0,32.0,176.0,99.0,42.0,16.0,24.0,'2','1'
1390.0,642.0,182.0,32.0,99.0,42.0,52.0,23.0,'100','1'
1572.0,642.0,188.0,182.0,99.0,42.0,54.0,25.0,'330','1'
1760.0,642.0,1472.0,188.0,99.0,42.0,34.0,24.0,'so','1'
291.0,727.0,448.0,1472.0,99.0,99.0,132.0,23.0,'Drill-hole','1'
739.0,727.0,107.0,448.0,42.0,99.0,94.0,25.0,'Charge','1'
846.0,727.0,288.0,107.0,42.0,99.0,207.0,22.0,'concentration,','1'
1134.0,727.0,110.0,288.0,42.0,99.0,99.0,28.0,'Charge','1'
1244.0,727.0,197.0,110.0,42.0,99.0,65.0,22.0,'type','1'
1441.0,727.0,126.0,197.0,42.0,99.0,114.0,27.0,'Burden,','1'
1567.0,727.0,176.0,126.0,42.0,99.0,26.0,16.0,'m','1'
1743.0,727.0,76.0,176.0,42.0,99.0,63.0,21.0,'Hobe','1'
1819.0,727.0,1529.0,76.0,42.0,99.0,111.0,21.0,'spacing,','1'
291.0,769.0,146.0,1529.0,42.0,42.0,131.0,24.0,'diameter,','1'
437.0,769.0,302.0,146.0,82.0,42.0,52.0,15.0,'mm','1'
739.0,769.0,41.0,302.0,82.0,42.0,30.0,26.0,'kg','1'
780.0,769.0,52.0,41.0,82.0,42.0,44.0,22.0,'AN','1'
832.0,769.0,303.0,52.0,82.0,42.0,82.0,23.0,'FO/m','1'
1135.0,769.0,63.0,303.0,82.0,42.0,50.0,22.0,'and','1'
1198.0,769.0,911.0,63.0,82.0,42.0,50.0,23.0,'size','1'
291.0,851.0,447.0,911.0,82.0,82.0,94.0,23.0,'25-32','1'
738.0,851.0,399.0,447.0,43.0,82.0,62.0,23.0,'0.08','1'
1137.0,851.0,111.0,399.0,43.0,82.0,99.0,22.0,'11-mm','1'
1248.0,851.0,194.0,111.0,43.0,82.0,109.0,25.0,'GURIT','1'
1442.0,851.0,300.0,194.0,43.0,82.0,153.0,24.0,'0.30-0.45','1'
1742.0,851.0,1454.0,300.0,43.0,82.0,150.0,24.0,'0.25-0.35','1'
289.0,893.0,448.0,1454.0,43.0,43.0,97.0,24.0,'25-48','1'
737.0,893.0,401.0,448.0,42.0,43.0,64.0,23.0,'0.20','1'
1138.0,893.0,111.0,401.0,42.0,43.0,98.0,22.0,'17-mm','1'
1249.0,893.0,27.0,111.0,42.0,43.0,21.0,23.0,'G','1'
1276.0,893.0,52.0,27.0,42.0,43.0,45.0,24.0,'UR','1'
1328.0,893.0,114.0,52.0,42.0,43.0,30.0,24.0,'IT','1'
1442.0,893.0,300.0,114.0,42.0,43.0,155.0,24.0,'0.70-0.90','1'
1742.0,893.0,1454.0,300.0,42.0,43.0,152.0,24.0,'0.50-0.70','1'
289.0,935.0,448.0,1454.0,42.0,42.0,96.0,23.0,'51-6.4','1'
737.0,935.0,398.0,448.0,97.0,42.0,63.0,23.0,'0.44','1'
1135.0,935.0,114.0,398.0,97.0,42.0,101.0,23.0,'22-mm','1'
1249.0,935.0,77.0,114.0,97.0,42.0,69.0,23.0,'NAB','1'
1326.0,935.0,120.0,77.0,97.0,42.0,29.0,24.0,'IT','1'
1446.0,935.0,295.0,120.0,97.0,42.0,151.0,24.0,'1.00-1.10','1'
1741.0,935.0,1452.0,295.0,97.0,42.0,153.0,24.0,'0.80-0.90','1'
293.0,1031.0,107.0,1452.0,97.0,97.0,90.0,31.0,'Blast','0'
400.0,1031.0,961.0,107.0,46.0,97.0,163.0,38.0,'planning','0'
1361.0,1031.0,103.0,961.0,46.0,97.0,86.0,31.0,'with','0'
1464.0,1031.0,77.0,103.0,46.0,97.0,60.0,32.0,'the','0'
1541.0,1031.0,172.0,77.0,46.0,97.0,153.0,33.0,'Swedish','0'
1713.0,1031.0,125.0,172.0,46.0,97.0,108.0,33.0,'Board','0'
1838.0,1031.0,70.0,125.0,46.0,97.0,54.0,32.0,'for','0'
1908.0,1031.0,204.0,70.0,46.0,97.0,183.0,33.0,'Technical','0'
2112.0,1031.0,1816.0,204.0,46.0,97.0,255.0,39.0,'Development','0'
297.0,1076.0,43.0,1816.0,46.0,46.0,24.0,30.0,'lt','0'
340.0,1076.0,42.0,43.0,48.0,46.0,22.0,22.0,'is','0'
382.0,1076.0,78.0,42.0,48.0,46.0,60.0,25.0,'not','0'
460.0,1076.0,161.0,78.0,48.0,46.0,144.0,31.0,'unusual','0'
621.0,1076.0,72.0,161.0,48.0,46.0,54.0,32.0,'for','0'
693.0,1076.0,135.0,72.0,48.0,46.0,119.0,30.0,'tunnel','0'
828.0,1076.0,252.0,135.0,48.0,46.0,235.0,29.0,'constructors','0'
1080.0,1076.0,55.0,252.0,48.0,46.0,37.0,26.0,'to','0'
1135.0,1076.0,78.0,55.0,48.0,46.0,59.0,32.0,'fail','0'
1213.0,1076.0,152.0,78.0,48.0,46.0,37.0,27.0,'to','0'
1365.0,1076.0,72.0,152.0,48.0,46.0,66.0,36.0,'(ST','0'
1437.0,1076.0,1145.0,72.0,48.0,46.0,56.0,36.0,'U).','0'
293.0,1123.0,175.0,1145.0,48.0,48.0,158.0,31.0,'consider','0'
468.0,1123.0,74.0,175.0,47.0,48.0,58.0,30.0,'the','0'
542.0,1123.0,142.0,74.0,47.0,48.0,126.0,32.0,'effects','0'
684.0,1123.0,55.0,142.0,47.0,48.0,36.0,31.0,'of','0'
739.0,1123.0,73.0,55.0,47.0,48.0,56.0,30.0,'the','0'
812.0,1123.0,155.0,73.0,47.0,48.0,138.0,38.0,'charges','0'
967.0,1123.0,48.0,155.0,47.0,48.0,30.0,32.0,'in','0'
1015.0,1123.0,74.0,48.0,47.0,48.0,57.0,32.0,'the','0'
1089.0,1123.0,797.0,74.0,47.0,48.0,90.0,23.0,'rows','0'
294.0,1169.0,175.0,797.0,47.0,47.0,157.0,37.0,'adjacent','0'
469.0,1169.0,54.0,175.0,1069.0,47.0,36.0,25.0,'to','0'
523.0,1169.0,73.0,54.0,1069.0,47.0,57.0,31.0,'the','0'
596.0,1169.0,118.0,73.0,1069.0,47.0,100.0,32.0,'often','0'
714.0,1169.0,256.0,118.0,1069.0,47.0,238.0,36.0,'well-planned','0'
970.0,1169.0,158.0,256.0,1069.0,47.0,139.0,32.0,'smooth','0'
1128.0,1169.0,236.0,158.0,1069.0,47.0,135.0,33.0,'blasted','0'
1362.0,1192.0,1069.0,236.0,1069.0,1069.0,188.0,28.0,'Bibliography','0'
294.0,1216.0,165.0,1069.0,1069.0,1069.0,148.0,26.0,'contour','0'
459.0,1216.0,101.0,165.0,1524.0,1069.0,81.0,21.0,'row.','0'
560.0,1216.0,183.0,101.0,1524.0,1069.0,166.0,40.0,'Charging','0'
743.0,1216.0,74.0,183.0,1524.0,1069.0,58.0,31.0,'the','0'
817.0,1216.0,173.0,74.0,1524.0,1069.0,158.0,38.0,'adjacent','0'
990.0,1216.0,101.0,173.0,1524.0,1069.0,87.0,23.0,'rows','0'
1091.0,1216.0,103.0,101.0,1524.0,1069.0,85.0,31.0,'with','0'
1194.0,1216.0,171.0,103.0,1524.0,1069.0,18.0,23.0,'a','0'
1365.0,1216.0,56.0,171.0,1524.0,1069.0,22.0,24.0,'1.','0'
1421.0,1216.0,120.0,56.0,1524.0,1069.0,107.0,24.0,'Persson','0'
1541.0,1216.0,38.0,120.0,1524.0,1069.0,24.0,24.0,'P.','0'
1579.0,1216.0,46.0,38.0,1524.0,1069.0,30.0,23.0,'A.','0'
1625.0,1216.0,150.0,46.0,1524.0,1069.0,138.0,28.0,'Holmberg','0'
1775.0,1216.0,104.0,150.0,1524.0,1069.0,29.0,23.0,'R.','0'
1879.0,1216.0,118.0,104.0,1524.0,1069.0,104.0,24.0,'Persson','0'
1997.0,1216.0,182.0,118.0,1524.0,1069.0,31.0,25.0,'G.','0'
1817.0,1236.0,225.0,182.0,1524.0,1524.0,49.0,21.0,'and','0'
2042.0,1236.0,117.0,225.0,1523.0,1524.0,104.0,23.0,'Careful','0'
2159.0,1236.0,124.0,117.0,1523.0,1524.0,112.0,28.0,'btasting','0'
2283.0,1236.0,1989.0,124.0,1523.0,1524.0,28.0,23.0,'of','0'
295.0,1259.0,123.0,1989.0,1523.0,1523.0,106.0,37.0,'heavy','0'
418.0,1259.0,136.0,123.0,1167.0,1523.0,121.0,38.0,'charge','0'
554.0,1259.0,140.0,136.0,1167.0,1523.0,121.0,31.0,'results','0'
694.0,1259.0,48.0,140.0,1167.0,1523.0,30.0,31.0,'in','0'
742.0,1259.0,132.0,48.0,1167.0,1523.0,116.0,31.0,'cracks','0'
874.0,1259.0,194.0,132.0,1167.0,1523.0,178.0,40.0,'spreading','0'
1068.0,1259.0,293.0,194.0,1167.0,1523.0,137.0,34.0,'further','0'
1361.0,1259.0,374.0,293.0,1167.0,1523.0,88.0,24.0,'slopes','0'
1735.0,1259.0,73.0,374.0,1167.0,1523.0,60.0,26.0,'Rep.','0'
1808.0,1259.0,128.0,73.0,1167.0,1523.0,117.0,25.0,'Swedish','0'
1936.0,1259.0,128.0,128.0,1167.0,1523.0,115.0,24.0,'Deform.','0'
2064.0,1259.0,73.0,128.0,1167.0,1523.0,56.0,23.0,'Res.','0'
2137.0,1259.0,677.0,73.0,1167.0,1523.0,172.0,25.0,'Foundation','0'
1461.0,1280.0,37.0,677.0,1167.0,1167.0,24.0,14.0,'in','0'
1498.0,1280.0,82.0,37.0,1167.0,1167.0,71.0,19.0,'open','0'
1580.0,1280.0,51.0,82.0,1167.0,1167.0,39.0,22.0,'pit','0'
1631.0,1280.0,1337.0,51.0,1167.0,1167.0,91.0,17.0,'mines.','0'
295.0,1307.0,89.0,1337.0,1167.0,1167.0,72.0,30.0,'into','0'
384.0,1307.0,76.0,89.0,46.0,1167.0,59.0,30.0,'the','0'
460.0,1307.0,204.0,76.0,46.0,1167.0,186.0,38.0,'remaining','0'
664.0,1307.0,100.0,204.0,46.0,1167.0,82.0,30.0,'rock','0'
764.0,1307.0,98.0,100.0,46.0,1167.0,80.0,31.0,'than','0'
862.0,1307.0,108.0,98.0,46.0,1167.0,90.0,32.0,'from','0'
970.0,1307.0,73.0,108.0,46.0,1167.0,57.0,32.0,'the','0'
1043.0,1307.0,321.0,73.0,46.0,1167.0,144.0,31.0,'smooth','0'
1364.0,1307.0,57.0,321.0,46.0,1167.0,40.0,24.0,'DS','0'
1421.0,1307.0,126.0,57.0,46.0,1167.0,110.0,27.0,'1977:4,','0'
1547.0,1307.0,95.0,126.0,46.0,1167.0,78.0,24.0,'1977.','0'
1642.0,1307.0,135.0,95.0,46.0,1167.0,123.0,25.0,'(Swedish','0'
1777.0,1307.0,1485.0,135.0,46.0,1167.0,67.0,23.0,'text)','0'
293.0,1352.0,149.0,1485.0,46.0,46.0,132.0,32.0,'blasted','0'
442.0,1352.0,104.0,149.0,43.0,46.0,83.0,22.0,'row.','0'
546.0,1352.0,45.0,104.0,43.0,46.0,25.0,32.0,'It','0'
591.0,1352.0,39.0,45.0,43.0,46.0,23.0,31.0,'is','0'
630.0,1352.0,130.0,39.0,43.0,46.0,113.0,32.0,'better','0'
760.0,1352.0,52.0,130.0,43.0,46.0,36.0,25.0,'to','0'
812.0,1352.0,183.0,52.0,43.0,46.0,166.0,37.0,'optimize','0'
995.0,1352.0,73.0,183.0,43.0,46.0,58.0,31.0,'the','0'
1068.0,1352.0,301.0,73.0,43.0,46.0,124.0,39.0,'charge','0'
1369.0,1352.0,52.0,301.0,43.0,46.0,24.0,24.0,'2.','0'
1421.0,1352.0,171.0,52.0,43.0,46.0,158.0,25.0,'Ambrasevs','0'
1592.0,1352.0,44.0,171.0,43.0,46.0,30.0,21.0,'N.','0'
1636.0,1352.0,42.0,44.0,43.0,46.0,30.0,23.0,'N.','0'
1678.0,1352.0,63.0,42.0,43.0,46.0,49.0,21.0,'and','0'
1741.0,1352.0,135.0,63.0,43.0,46.0,122.0,21.0,'Hendron','0'
1876.0,1352.0,43.0,135.0,43.0,46.0,31.0,21.0,'A.','0'
1919.0,1352.0,35.0,43.0,43.0,46.0,22.0,23.0,'J.','0'
1954.0,1352.0,48.0,35.0,43.0,46.0,33.0,22.0,'Jr.','0'
2002.0,1352.0,142.0,48.0,43.0,46.0,129.0,27.0,'Dynamic','0'
2144.0,1352.0,157.0,142.0,43.0,46.0,144.0,22.0,'behaviour','0'
2301.0,1352.0,2009.0,157.0,43.0,46.0,28.0,22.0,'of','0'
293.0,1395.0,241.0,2009.0,43.0,43.0,223.0,32.0,'calculations','0'
534.0,1395.0,100.0,241.0,40.0,43.0,82.0,33.0,'such','0'
634.0,1395.0,92.0,100.0,40.0,43.0,74.0,31.0,'that','0'
726.0,1395.0,73.0,92.0,40.0,43.0,57.0,30.0,'the','0'
799.0,1395.0,157.0,73.0,40.0,43.0,140.0,39.0,'damage','0'
956.0,1395.0,103.0,157.0,40.0,43.0,87.0,23.0,'zone','0'
1059.0,1395.0,109.0,103.0,40.0,43.0,92.0,32.0,'from','0'
1168.0,1395.0,200.0,109.0,40.0,43.0,69.0,30.0,'any','0'
1368.0,1395.0,76.0,200.0,40.0,43.0,62.0,21.0,'rock','0'
1444.0,1395.0,119.0,76.0,40.0,43.0,104.0,17.0,'masses.','0'
1563.0,1395.0,40.0,119.0,40.0,43.0,27.0,21.0,'In','0'
1603.0,1395.0,85.0,40.0,40.0,43.0,71.0,24.0,'Rock','0'
1688.0,1395.0,158.0,85.0,40.0,43.0,146.0,22.0,'mechanics','0'
1846.0,1395.0,37.0,158.0,40.0,43.0,24.0,21.0,'in','0'
1883.0,1395.0,173.0,37.0,40.0,43.0,164.0,28.0,'engineering','0'
2056.0,1395.0,132.0,173.0,40.0,43.0,119.0,20.0,'practice','0'
2188.0,1395.0,90.0,132.0,40.0,43.0,78.0,28.0,'Stagg','0'
2278.0,1395.0,45.0,90.0,40.0,43.0,30.0,23.0,'K.','0'
2323.0,1395.0,2031.0,45.0,40.0,43.0,31.0,25.0,'G.','0'
293.0,1435.0,96.0,2031.0,40.0,40.0,77.0,31.0,'hole','0'
389.0,1435.0,50.0,96.0,46.0,40.0,30.0,29.0,'in','0'
439.0,1435.0,73.0,50.0,46.0,40.0,56.0,31.0,'the','0'
512.0,1435.0,130.0,73.0,46.0,40.0,112.0,32.0,'round','0'
642.0,1435.0,84.0,130.0,46.0,40.0,65.0,31.0,'will','0'
726.0,1435.0,78.0,84.0,46.0,40.0,61.0,25.0,'not','0'
804.0,1435.0,145.0,78.0,46.0,40.0,127.0,31.0,'exceed','0'
949.0,1435.0,74.0,145.0,46.0,40.0,57.0,31.0,'the','0'
1023.0,1435.0,158.0,74.0,46.0,40.0,142.0,38.0,'damage','0'
