@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'TABLE','E.3.d.','Actinides','(Elemental),','Ci/gU,','at','20','MWd/kgM','10','YEARS','12','14','16','TL','3.C11-009','3.206-009','3.306-009','3.348-009','P8','8.379-009','8.919-009','9.198-009','9.313-009','BI','PO','1.375-008','1.463-008','1.509-008','1.528-008','AT','1.681-014','1.872-014','2.091-014','2.339-014','RN','FR','3.C77-014','3.715-014','4.435-014','5.231-014','RA','AC','1.C28-012','1.355-012','1.719-012','2.120-012','TH','3.530-007','3.535-007','3.538-007','3.539-007','PA','4.852-007','4.860-007','4.870-007','4.880-007','1.888-006','1.771-006','1.664-006','1.568-006','NP','5.142-006','5.141-006','Pu','5.590-002','5.089-002','4.635-002','4.222-002','Am','1.212-003','1.374-003','1.521-003','1.653-003','Cm','2.412-004','2.238-004','2.076-004','1.927-004','BK','5.374-015','1.105-015','2.270-016','4.668-017','CF','1.489-013','1.360-013','1.252-013','1.159-013','SUMTOT','5.736-002','5.250-002','4.808-002','4.407-002','TOTAL','E.41'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
570.0,321.0,153.0,0.0,327.0,0.0,123.0,36.0,'TABLE','0'
723.0,321.0,196.0,153.0,327.0,0.0,138.0,37.0,'E.3.d.','0'
919.0,321.0,256.0,196.0,327.0,0.0,221.0,38.0,'Actinides','0'
1175.0,321.0,316.0,256.0,327.0,0.0,283.0,44.0,'(Elemental),','0'
1491.0,321.0,177.0,316.0,327.0,0.0,141.0,45.0,'Ci/gU,','0'
1668.0,321.0,76.0,177.0,327.0,0.0,46.0,33.0,'at','0'
1744.0,321.0,71.0,76.0,327.0,0.0,44.0,35.0,'20','0'
1815.0,321.0,940.0,71.0,327.0,0.0,170.0,44.0,'MWd/kgM','0'
881.0,422.0,85.0,940.0,327.0,327.0,47.0,32.0,'10','1'
966.0,422.0,201.0,85.0,329.0,327.0,133.0,31.0,'YEARS','1'
1167.0,422.0,84.0,201.0,329.0,327.0,47.0,33.0,'12','1'
1251.0,422.0,201.0,84.0,329.0,327.0,132.0,32.0,'YEARS','1'
1452.0,422.0,87.0,201.0,329.0,327.0,45.0,32.0,'14','1'
1539.0,422.0,198.0,87.0,329.0,327.0,132.0,31.0,'YEARS','1'
1737.0,422.0,85.0,198.0,329.0,327.0,48.0,33.0,'16','1'
1822.0,422.0,1259.0,85.0,329.0,327.0,132.0,32.0,'YEARS','1'
567.0,517.0,314.0,1259.0,329.0,329.0,47.0,31.0,'TL','1'
881.0,517.0,284.0,314.0,46.0,329.0,248.0,34.0,'3.C11-009','1'
1165.0,517.0,286.0,284.0,46.0,329.0,246.0,36.0,'3.206-009','1'
1451.0,517.0,286.0,286.0,46.0,329.0,249.0,35.0,'3.306-009','1'
1737.0,517.0,1172.0,286.0,46.0,329.0,246.0,35.0,'3.348-009','1'
566.0,562.0,314.0,1172.0,46.0,46.0,48.0,31.0,'P8','1'
880.0,562.0,286.0,314.0,48.0,46.0,247.0,34.0,'8.379-009','1'
1166.0,562.0,285.0,286.0,48.0,46.0,244.0,35.0,'8.919-009','1'
1451.0,562.0,284.0,285.0,48.0,46.0,248.0,33.0,'9.198-009','1'
1735.0,562.0,1170.0,284.0,48.0,46.0,248.0,34.0,'9.313-009','1'
566.0,610.0,314.0,1170.0,48.0,48.0,47.0,31.0,'BI','1'
880.0,610.0,286.0,314.0,48.0,48.0,248.0,35.0,'8.379-009','1'
1166.0,610.0,284.0,286.0,48.0,48.0,246.0,34.0,'8.919-009','1'
1450.0,610.0,285.0,284.0,48.0,48.0,250.0,34.0,'9.198-009','1'
1735.0,610.0,1170.0,285.0,48.0,48.0,248.0,34.0,'9.313-009','1'
566.0,658.0,315.0,1170.0,48.0,48.0,48.0,32.0,'PO','1'
881.0,658.0,283.0,315.0,48.0,48.0,247.0,33.0,'1.375-008','1'
1164.0,658.0,288.0,283.0,48.0,48.0,246.0,35.0,'1.463-008','1'
1452.0,658.0,284.0,288.0,48.0,48.0,248.0,34.0,'1.509-008','1'
1736.0,658.0,1170.0,284.0,48.0,48.0,247.0,35.0,'1.528-008','1'
567.0,705.0,315.0,1170.0,48.0,48.0,47.0,30.0,'AT','1'
882.0,705.0,284.0,315.0,47.0,48.0,246.0,34.0,'1.681-014','1'
1166.0,705.0,286.0,284.0,47.0,48.0,246.0,35.0,'1.872-014','1'
1452.0,705.0,285.0,286.0,47.0,48.0,247.0,34.0,'2.091-014','1'
1737.0,705.0,1171.0,285.0,47.0,48.0,247.0,34.0,'2.339-014','1'
567.0,752.0,313.0,1171.0,47.0,47.0,48.0,30.0,'RN','1'
880.0,752.0,286.0,313.0,49.0,47.0,248.0,34.0,'8.379-009','1'
1166.0,752.0,285.0,286.0,49.0,47.0,245.0,34.0,'8.919-009','1'
1451.0,752.0,285.0,285.0,49.0,47.0,249.0,34.0,'9.198-009','1'
1736.0,752.0,1168.0,285.0,49.0,47.0,248.0,35.0,'9.313-009','1'
569.0,800.0,312.0,1168.0,49.0,49.0,45.0,31.0,'FR','1'
881.0,800.0,284.0,312.0,48.0,49.0,246.0,33.0,'3.C77-014','1'
1165.0,800.0,286.0,284.0,48.0,49.0,247.0,34.0,'3.715-014','1'
1451.0,800.0,287.0,286.0,48.0,49.0,249.0,34.0,'4.435-014','1'
1738.0,800.0,1172.0,287.0,48.0,49.0,245.0,34.0,'5.231-014','1'
567.0,847.0,313.0,1172.0,48.0,48.0,47.0,30.0,'RA','1'
880.0,847.0,285.0,313.0,49.0,48.0,248.0,34.0,'8.379-009','1'
1165.0,847.0,286.0,285.0,49.0,48.0,246.0,35.0,'8.919-009','1'
1451.0,847.0,285.0,286.0,49.0,48.0,248.0,34.0,'9.198-009','1'
1736.0,847.0,1171.0,285.0,49.0,48.0,247.0,34.0,'9.313-009','1'
566.0,895.0,315.0,1171.0,49.0,49.0,47.0,30.0,'AC','1'
881.0,895.0,285.0,315.0,50.0,49.0,246.0,33.0,'1.C28-012','1'
1166.0,895.0,287.0,285.0,50.0,49.0,246.0,35.0,'1.355-012','1'
1453.0,895.0,284.0,287.0,50.0,49.0,246.0,33.0,'1.719-012','1'
1737.0,895.0,1172.0,284.0,50.0,49.0,246.0,34.0,'2.120-012','1'
567.0,944.0,314.0,1172.0,50.0,50.0,48.0,31.0,'TH','1'
881.0,944.0,285.0,314.0,45.0,50.0,247.0,33.0,'3.530-007','1'
1166.0,944.0,286.0,285.0,45.0,50.0,246.0,35.0,'3.535-007','1'
1452.0,944.0,285.0,286.0,45.0,50.0,248.0,33.0,'3.538-007','1'
1737.0,944.0,1171.0,285.0,45.0,50.0,247.0,33.0,'3.539-007','1'
567.0,989.0,313.0,1171.0,45.0,45.0,47.0,29.0,'PA','1'
880.0,989.0,285.0,313.0,317.0,45.0,248.0,33.0,'4.852-007','1'
1165.0,989.0,287.0,285.0,317.0,45.0,247.0,33.0,'4.860-007','1'
1452.0,989.0,284.0,287.0,317.0,45.0,248.0,33.0,'4.870-007','1'
1736.0,989.0,858.0,284.0,317.0,45.0,248.0,34.0,'4.880-007','1'
880.0,1036.0,286.0,858.0,317.0,317.0,248.0,33.0,'1.888-006','1'
1166.0,1036.0,286.0,286.0,316.0,317.0,245.0,34.0,'1.771-006','1'
1452.0,1036.0,286.0,286.0,316.0,317.0,248.0,33.0,'1.664-006','1'
1738.0,1036.0,1171.0,286.0,316.0,317.0,246.0,33.0,'1.568-006','1'
568.0,1084.0,315.0,1171.0,316.0,316.0,47.0,30.0,'NP','1'
883.0,1084.0,284.0,315.0,47.0,316.0,246.0,33.0,'5.142-006','1'
1167.0,1084.0,286.0,284.0,47.0,316.0,244.0,33.0,'5.142-006','1'
