@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'TABLE','OF','CONTENTS','Page','ABSTRACT','1','I.','INTRODUCTION','II.','EXPERIMENTAL','3','A.','Test','Matrix','B.','Components','4','C.','Sample','Description','5','D.','Analyses','7','III.','RESULTS','Precision','and','Accuracy','Solution','-','Blank','16','SRL','Glass','17','1.','pH','18','2.','Cations','3.','Anions','19','4.','Actinides','20','Component','23','Weight','Loss','24','SEM/EDS','SIMS','28','IV.','DISCUSSION','31','of','the','Reaction','Process','Comparison','with','Other','Data','33','V.','ADDITIONAL','ITEMS','35','SA/V','Correlations','Gas-to-Liquid','Ratio','(R)','36','VI.','CONCLUSIONS','37','REFERENCES','39','APPENDIX','Preparation','Tuff','Prereacted','J-13','Water','41','Procedures','43'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
980.0,299.0,149.0,0.0,1101.0,0.0,121.0,28.0,'TABLE','0'
1129.0,299.0,75.0,149.0,1101.0,0.0,47.0,29.0,'OF','0'
1204.0,299.0,878.0,75.0,1101.0,0.0,196.0,29.0,'CONTENTS','0'
2076.0,399.0,1820.0,878.0,1101.0,1101.0,95.0,39.0,'Page','1'
259.0,498.0,1872.0,1820.0,1820.0,1820.0,197.0,30.0,'ABSTRACT','1'
2131.0,498.0,1822.0,1872.0,115.0,1820.0,14.0,30.0,'1','1'
312.0,599.0,100.0,1822.0,115.0,115.0,37.0,29.0,'I.','1'
412.0,599.0,1719.0,100.0,105.0,115.0,292.0,30.0,'INTRODUCTION','1'
2131.0,599.0,1846.0,1719.0,105.0,115.0,14.0,31.0,'1','1'
288.0,701.0,122.0,1846.0,105.0,105.0,62.0,29.0,'II.','1'
410.0,701.0,1719.0,122.0,158.0,105.0,295.0,30.0,'EXPERIMENTAL','1'
2129.0,701.0,1722.0,1719.0,158.0,105.0,19.0,30.0,'3','1'
410.0,801.0,100.0,1722.0,158.0,158.0,39.0,29.0,'A.','1'
510.0,801.0,122.0,100.0,76.0,158.0,92.0,28.0,'Test','1'
632.0,801.0,1497.0,122.0,76.0,158.0,148.0,32.0,'Matrix','1'
2129.0,801.0,1720.0,1497.0,76.0,158.0,18.0,30.0,'3','1'
411.0,876.0,99.0,1720.0,76.0,76.0,38.0,29.0,'B.','1'
510.0,876.0,124.0,99.0,76.0,76.0,92.0,29.0,'Test','1'
634.0,876.0,1493.0,124.0,76.0,76.0,244.0,37.0,'Components','1'
2127.0,876.0,1718.0,1493.0,76.0,76.0,21.0,32.0,'4','1'
411.0,952.0,102.0,1718.0,76.0,76.0,39.0,28.0,'C.','1'
513.0,952.0,171.0,102.0,76.0,76.0,141.0,39.0,'Sample','1'
